4057_12085_000000_000000	For hours Darrell tossed wearily, unable to sleep.	For hours Darrell tossed wearily, unable to sleep.	false	0	1.41	22.1114
4057_12085_000000_000001	His head throbbed wildly, the racking pain throughout his frame increased, while a raging fire seemed creeping through his veins.	His head throbbed wildly, the racking pain throughout his frame increased, while a raging fire seemed creeping through his veins.	false	1.41	5.67	20.560139
4057_12085_000000_000002	Not until long past midnight did he fall into a fitful sleep.	Not until long past midnight did he fall into a fitful sleep.	false	5.67	9.36	21.157305
4057_12085_000000_000003	Strange fancies surged through his fevered brain, torturing him with their endless repetition, their seeming reality.	Strange fancies surged through his fevered brain, torturing him with their endless repetition, their seeming reality.	false	9.36	15.36	19.439856
4057_12085_000000_000004	Suddenly he awoke, bewildered, exhausted, oppressed by a vague sense of impending evil.	Suddenly he awoke, bewildered, exhausted, oppressed by a vague sense of impending evil.	false	15.36	19.68	22.511892
4057_12085_000001_000000	_Chapter II_	underscore Chapter two underscore	false	19.68	21.27	24.440329
4057_12085_000002_000000	A NIGHT'S WORK	A NIGHT'S WORK	true	21.27	22.51	25.77384
4057_12085_000003_000000	For a few seconds Darrell tried vainly to recall what had awakened him. Low, confused sounds occasionally reached his ears, but they seemed part of his own troubled dreams.	For a few seconds Darrell tried vainly to recall what had awakened him. Low, confused sounds occasionally reached his ears, but they seemed part of his own troubled dreams.	true	23.99	34.92	21
4057_12085_000003_000001	The heat was intolerable; he raised himself to the open window that he might get a breath of cooler air; his head whirled, but the half-sitting posture seemed to clear his brain, and he recalled his surroundings.	The heat was intolerable; he raised himself to the open window that he might get a breath of cooler air; his head whirled, but the half sitting posture seemed to clear his brain, and he recalled his surroundings.	true	34.92	47.07	20
4057_12085_000003_000002	At once he became conscious that the train was not in motion, yet no sound of trainmen's voices came through the open window; all was dead silence, and the vague, haunting sense of impending danger quickened.	At once he became conscious that the train was not in motion, yet no sound of trainmen's voices came through the open window; all was dead silence, and the vague, haunting sense of impending danger quickened.	false	47.07	60.28	20.258516
4057_12085_000004_000000	Suddenly he heard a muttered oath in one of the sections, followed by an order, low, but peremptory,--	Suddenly he heard a muttered oath in one of the sections, followed by an order, low, but peremptory,--	true	61.07	67.45	21.46592
4057_12085_000005_000000	"No noise!	"No noise!	true	68.27	69.345	20.659863
4057_12085_000005_000001	Hand over, and be quick about it!"	Hand over, and be quick about it!"	true	69.345	71.38	23.939167
4057_12085_000006_000000	Instantly Darrell comprehended the situation.	Instantly Darrell comprehended the situation.	true	72.47	75.31	20
4057_12085_000006_000001	Peering cautiously between the curtains, he saw, at the forward end of the sleeper, a masked man with a revolver in each hand, while the mirror behind him revealed another figure at the rear, masked and armed in like manner.	Peering cautiously between the curtains, he saw, at the forward end of the sleeper, a masked man with a revolver in each hand, while the mirror behind him revealed another figure at the rear, masked and armed in like manner.	true	75.47	89.02	20.190742
4057_12085_000006_000002	He heard another order; the man was doing his work swiftly.	He heard another order; the man was doing his work swiftly.	true	89.3	93.16	19.58021
4057_12085_000006_000003	He thought at once of young Whitcomb, but no sound came from the opposite section, and he sank quietly back upon his pillow.	He thought at once of young Whitcomb, but no sound came from the opposite section, and he sank quietly back upon his pillow.	true	93.5	100.96	20.277643
4057_12085_000007_000000	A moment later the curtains were quickly thrust aside, the muzzle of a revolver confronted Darrell, and the same low voice demanded,--	A moment later the curtains were quickly thrust aside, the muzzle of a revolver confronted Darrell, and the same low voice demanded,--	true	102.2	110.08	19
4057_12085_000008_000000	"Hand out your valuables!"	"Hand out your valuables!"	true	110.42	112	21.562553
4057_12085_000009_000000	A man of medium height, wearing a mask and full beard, stood over him. Darrell quietly handed over his watch and purse, noting as he did so the man's hands, white, well formed, well kept.	A man of medium height, wearing a mask and full beard, stood over him. Darrell quietly handed over his watch and purse, noting as he did so the man's hands, white, well formed, well kept.	true	113.12	126.43	20.03147
4057_12085_000009_000001	He half expected a further demand, as the purse contained only a few small bills and some change, the bulk of his money being secreted about the mattress, as was his habit; but the man turned with peculiar abruptness to the opposite section, as one who had a definite object in view and was in haste to accomplish it.	He half expected a further demand, as the purse contained only a few small bills and some change, the bulk of his money being secreted about the mattress, as was his habit; but the man turned with peculiar abruptness to the opposite section, as one who had a definite object in view and was in haste to accomplish it.	true	126.83	146.35	20.186335
4057_12085_000009_000002	Darrell, his faculties alert, observed that the section in front of Whitcomb's was empty; he recalled the actions of its occupant on the preceding afternoon, his business later at the telegraph office, and the whole scheme flashed vividly before his mind.	Darrell, his faculties alert, observed that the section in front of Whitcomb's was empty; he recalled the actions of its occupant on the preceding afternoon, his business later at the telegraph office, and the whole scheme flashed vividly before his mind.	false	146.96	162.94	20.950464
4057_12085_000009_000003	The man had been a spy sent out by the band now holding the train, and Whitcomb's money was without doubt the particular object of the hold-up.	The man had been a spy sent out by the band now holding the train, and Whitcomb's money was without doubt the particular object of the hold up.	true	163.07	171.85	20
4057_12085_000010_000000	Whitcomb was asleep at the farther side of his berth.	Whitcomb was asleep at the farther side of his berth.	false	172.76	176.16	20.979723
4057_12085_000010_000001	Leaning slightly towards him, the man shook him, and his first words confirmed Darrell's intuitions,--	Leaning slightly towards him, the man shook him, and his first words confirmed Darrell's intuitions,--	true	176.16	182.14	18
4057_12085_000011_000000	"Hand over that money, young man, and no fuss about it, either!"	"Hand over that money, young man, and no fuss about it, either!"	true	182.93	186.79	20.466297
4057_12085_000012_000000	Whitcomb, instantly awake, gazed at the masked face without a word or movement.	Whitcomb, instantly awake, gazed at the masked face without a word or movement.	true	187.76	193.18	22.163721
4057_12085_000012_000001	Darrell, powerless to aid his friend, watched intently, dreading some rash act on his part to which his impetuous nature might prompt him.	Darrell, powerless to aid his friend, watched intently, dreading some rash act on his part to which his impetuous nature might prompt him.	true	193.49	202.51	21.829353
4057_12085_000013_000000	Again he heard the low tones, this time a note of danger in them,--	Again he heard the low tones, this time a note of danger in them,--	true	203.06	206.89	19.714153
4057_12085_000014_000000	"No fooling!	"No fooling!	true	207.14	208.24	21.79414
4057_12085_000014_000001	Hand that money over, lively!"	Hand that money over, lively!"	true	208.31	210.34	22.31794
4057_12085_000015_000000	With a spring, as sudden and noiseless as a panther's, Whitcomb grappled with the man, knocking the revolver from his hand upon the bed.	With a spring, as sudden and noiseless as a panther's, Whitcomb grappled with the man, knocking the revolver from his hand upon the bed.	true	211.43	220.18	19.750095
4057_12085_000015_000001	A quick, desperate, silent struggle followed.	A quick, desperate, silent struggle followed.	true	220.46	223.96	22.929798
4057_12085_000015_000002	Whitcomb suddenly reached for the revolver; as he did so Darrell saw a flash of steel in the dim light, and the next instant his friend sank, limp and motionless, upon the bed.	Whitcomb suddenly reached for the revolver; as he did so Darrell saw a flash of steel in the dim light, and the next instant his friend sank, limp and motionless, upon the bed.	true	224.27	235.72	19.47589
4057_12085_000016_000000	"Fool!" he heard the man mutter, with an oath.	"Fool!" he heard the man mutter, with an oath.	true	236.51	240.01	21.775776
4057_12085_000017_000000	An involuntary groan escaped from Darrell's lips.	An involuntary groan escaped from Darrell's lips.	true	240.83	243.97	19.70172
4057_12085_000017_000001	Slight as was the sound, the man heard it and turned, facing him; the latter was screened by the curtains, and the man, seeing no one, returned to his work, but that brief glance had revealed enough to Darrell that he knew he could henceforth identify the murderer among a thousand.	Slight as was the sound, the man heard it and turned, facing him; the latter was screened by the curtains, and the man, seeing no one, returned to his work, but that brief glance had revealed enough to Darrell that he knew he could henceforth identify the murderer among a thousand.	true	244.22	261.28	19
4057_12085_000017_000002	In the struggle the mask had been partially pushed aside, exposing a portion of the man's face.	In the struggle the mask had been partially pushed aside, exposing a portion of the man's face.	true	261.5	266.98	16
4057_12085_000017_000003	A scar of peculiar shape showed white against the olive skin, close to the curling black hair.	A scar of peculiar shape showed white against the olive skin, close to the curling black hair.	true	267.53	273.76	19.890577
4057_12085_000017_000004	But to Darrell the pre-eminently distinguishing characteristic of that face was the eyes.	But to Darrell the pre eminently distinguishing characteristic of that face was the eyes.	false	273.95	278.89	18
4057_12085_000017_000005	Of the most perfect steel blue he had ever seen, they seemed, as they turned upon him in that intense glance, to glint and scintillate like the points of two rapiers in a brilliant sword play, while their look of concentrated fury and malignity, more demon-like than human, was stamped ineffaceably upon his brain.	Of the most perfect steel blue he had ever seen, they seemed, as they turned upon him in that intense glance, to glint and scintillate like the points of two rapiers in a brilliant sword play, while their look of concentrated fury and malignity, more demon like than human, was stamped ineffaceably upon his brain.	true	279.32	299.65	18
4057_12085_000018_000000	Having secured as much as he could find of the money, the murderer left hastily and silently, and a few moments later the guards, after a warning to the passengers not to leave their berths, took their departure.	Having secured as much as he could find of the money, the murderer left hastily and silently, and a few moments later the guards, after a warning to the passengers not to leave their berths, took their departure.	true	300.56	313.81	18.805613
4057_12085_000019_000000	Having partially dressed, Darrell at once sprang across the aisle and took Whitcomb's limp form in his arms.	Having partially dressed, Darrell at once sprang across the aisle and took Whitcomb's limp form in his arms.	true	314.99	321.45	18
4057_12085_000019_000001	His heart still beat faintly, but he was unconscious and bleeding profusely.	His heart still beat faintly, but he was unconscious and bleeding profusely.	true	321.45	326.29	18
4057_12085_000019_000002	All had been done so silently and swiftly that no one outside of Darrell dreamed of murder, and soon the enforced silence began to be broken by hurried questions and angry exclamations.	All had been done so silently and swiftly that no one outside of Darrell dreamed of murder, and soon the enforced silence began to be broken by hurried questions and angry exclamations.	true	326.63	338.71	19
4057_12085_000019_000003	A man cursed over the loss of his money and a woman sobbed hysterically.	A man cursed over the loss of his money and a woman sobbed hysterically.	true	338.93	343.63	19.311384
4057_12085_000019_000004	Suddenly, Darrell's incisive tones rang through the sleeper.	Suddenly, Darrell's incisive tones rang through the sleeper.	true	344.09	348.01	19.096104
4057_12085_000020_000000	"For God's sake, see if there is a surgeon aboard!	"For God's sake, see if there is a surgeon aboard!	true	348.5	351.52	21.090622
4057_12085_000020_000001	Here is a man stabbed, dying; don't stop to talk of money when a life is at stake!"	Here is a man stabbed, dying; don't stop to talk of money when a life is at stake!"	true	351.53	357.34	20.83316
4057_12085_000021_000000	Instantly all thought of personal loss was for the time forgotten, and half a dozen men responded to Darrell's appeal.	Instantly all thought of personal loss was for the time forgotten, and half a dozen men responded to Darrell's appeal.	true	358.46	365.35	19.753391
4057_12085_000021_000001	When it became known throughout the train what had occurred, the greatest excitement followed.	When it became known throughout the train what had occurred, the greatest excitement followed.	true	365.66	370.69	21
4057_12085_000021_000002	Train officials, hurrying back and forth, stopped, hushed and horror-stricken, beside the section where Darrell sat holding Whitcomb in his arms.	Train officials, hurrying back and forth, stopped, hushed and horror stricken, beside the section where Darrell sat holding Whitcomb in his arms.	true	370.82	380.08	18.73962
4057_12085_000021_000003	Passengers from the other coaches crowded in, eager to offer assistance that was of no avail.	Passengers from the other coaches crowded in, eager to offer assistance that was of no avail.	true	380.51	386.47	19
4057_12085_000021_000004	A physician was found and came quickly to the scene, who, after a brief examination, silently shook his head, and Darrell, watching the weakening pulse and shortening gasps, needed no words to tell him that the young life was ebbing fast.	A physician was found and came quickly to the scene, who, after a brief examination, silently shook his head, and Darrell, watching the weakening pulse and shortening gasps, needed no words to tell him that the young life was ebbing fast.	false	386.93	402.73	18.758389
4057_12085_000022_000000	Just as the faint respirations had become almost imperceptible, Whitcomb opened his eyes, looking straight into Darrell's eyes with eager intensity, his face lighted with the winning smile which Darrell had already learned to love.	Just as the faint respirations had become almost imperceptible, Whitcomb opened his eyes, looking straight into Darrell's eyes with eager intensity, his face lighted with the winning smile which Darrell had already learned to love.	true	403.82	417.16	17
4057_12085_000022_000001	His lips moved; Darrell bent his head still lower to listen.	His lips moved; Darrell bent his head still lower to listen.	true	417.32	421.66	21
4057_12085_000023_000000	"Kate,--you will see her," he whispered.	"Kate,--you will see her," he whispered.	true	422.48	426.34	19.916197
4057_12085_000023_000001	"Tell her----" but the sentence was never finished.	"Tell her----" but the sentence was never finished.	true	427.1	431.14	15.498237
4057_12085_000024_000000	Deftly and gently as a woman Darrell did the little which remained to be done for his young friend, closing the eyes in which the love-light kindled by his dying words still lingered, smoothing the dishevelled golden hair, wondering within himself at his own unwonted tenderness.	Deftly and gently as a woman Darrell did the little which remained to be done for his young friend, closing the eyes in which the love light kindled by his dying words still lingered, smoothing the dishevelled golden hair, wondering within himself at his own unwonted tenderness.	true	432.77	450	14
4057_12085_000025_000000	"An awful pity for a bright young life to go out like that!" said a voice at his side, and, turning, he saw Parkinson.	"An awful pity for a bright young life to go out like that!" said a voice at his side, and, turning, he saw Parkinson.	false	450	459.19	19.50708
4057_12085_000026_000000	"How did it happen?" the latter inquired, recognizing Darrell for the first time in the dim light.	"How did it happen?" the latter inquired, recognizing Darrell for the first time in the dim light.	true	460.07	466.39	21.824953
4057_12085_000027_000000	Briefly Darrell gave the main facts as he had witnessed them, saying nothing, however, of his having seen the face of the murderer.	Briefly Darrell gave the main facts as he had witnessed them, saying nothing, however, of his having seen the face of the murderer.	true	467.78	475.27	18.3249
4057_12085_000028_000000	"Too bad!" said Parkinson.	"Too bad!" said Parkinson.	true	476.18	477.97	24.497303
4057_12085_000028_000001	"He ought never to have made a bluff of that sort; there were too many odds against him."	"He ought never to have made a bluff of that sort; there were too many odds against him."	true	478.31	482.41	23.709734
