7240_108066_000004_000000	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.
7240_108066_000005_000000	As the traveler journeys through Southern Italy, Sicily and certain parts of what was Ancient Greece, he will see broken arches, parts of viaducts, and now and again a beautiful column pointing to the sky. All about is the desert, or solitary pastures, and only this white milestone marking the path of the centuries and telling in its own silent, solemn and impressive way of a day that is dead.	As the traveler journeys through Southern Italy, Sicily and certain parts of what was Ancient Greece, he will see broken arches, parts of viaducts, and now and again a beautiful column pointing to the sky. All about is the desert, or solitary pastures, and only this white milestone marking the path of the centuries and telling in its own silent, solemn and impressive way of a day that is dead.
7240_108066_000006_000001	And that he might live absolutely beyond reproach, always in public view, free from temptation, and free from the tongue of scandal, he decided to live in the world, and still not be of it.	And that he might live absolutely beyond reproach, always in public view, free from temptation, and free from the tongue of scandal, he decided to live in the world, and still not be of it.
7240_108066_000006_000002	To this end he climbed to the top of a marble column, sixty feet high, and there on the capstone he began to live a life beyond reproach.	To this end he climbed to the top of a marble column, sixty feet high, and there on the capstone he began to live a life beyond reproach.
7240_108066_000007_000000	Simeon was then twenty-four years old.	Simeon was then twenty four years old.
7240_108066_000008_000000	The environment was circumscribed, but there were outlook, sunshine, ventilation--three good things.	The environment was circumscribed, but there were outlook, sunshine, ventilation-three good things.
7240_108066_000008_000002	The capstone was a little less than three feet square, so Simeon could not lie down.	The capstone was a little less than three feet square, so Simeon could not lie down.
7240_108066_000008_000003	He slept sitting, with his head bowed between his knees, and, indeed, in this posture he passed most of his time.	He slept sitting, with his head bowed between his knees, and, indeed, in this posture he passed most of his time.
7240_108066_000008_000004	Any recklessness in movement, and he would have slipped from his perilous position and been dashed to death upon the stones beneath.	Any recklessness in movement, and he would have slipped from his perilous position and been dashed to death upon the stones beneath.
7240_108066_000009_000000	As the sun arose he stood up, just for a few moments, and held out his arms in greeting, blessing and in prayer.	As the sun arose he stood up, just for a few moments, and held out his arms in greeting, blessing and in prayer.
7240_108066_000009_000001	Three times during the day did he thus stretch his cramped limbs, and pray with his face to the East.	Three times during the day did he thus stretch his cramped limbs, and pray with his face to the East.
7240_108066_000009_000002	At such times, those who stood near shared in his prayers, and went away blessed and refreshed.	At such times, those who stood near shared in his prayers, and went away blessed and refreshed.
7240_108066_000010_000000	How did Simeon get to the top of the column?	How did Simeon get to the top of the column?
7240_108066_000011_000000	Well, his companions at the monastery, a mile away, said he was carried there in the night by a miraculous power; that he went to sleep in his stone cell and awoke on the pillar.	Well, his companions at the monastery, a mile away, said he was carried there in the night by a miraculous power; that he went to sleep in his stone cell and awoke on the pillar.
7240_108066_000011_000001	Other monks said that Simeon had gone to pay his respects to a fair lady, and in wrath God had caught him and placed him on high.	Other monks said that Simeon had gone to pay his respects to a fair lady, and in wrath God had caught him and placed him on high.
7240_108066_000011_000002	The probabilities are, however, Terese, as viewed by an unbeliever, that he shot a line over the column with a bow and arrow and then drew up a rope ladder and ascended with ease.	The probabilities are, however, Terese, as viewed by an unbeliever, that he shot a line over the column with a bow and arrow and then drew up a rope ladder and ascended with ease.
7240_108066_000012_000000	However, in the morning the simple people of the scattered village saw the man on the column.	However, in the morning the simple people of the scattered village saw the man on the column.
7240_108066_000013_000000	All day he stayed there.	All day he stayed there.
7240_108066_000014_000000	And the next day he was still there.	And the next day he was still there.
7240_108066_000015_000000	The days passed, with the scorching heat of the midday sun, and the cool winds of the night.	The days passed, with the scorching heat of the midday sun, and the cool winds of the night.
7240_108066_000016_000000	Still Simeon kept his place.	Still Simeon kept his place.
7240_108066_000017_000000	The rainy season came on.	The rainy season came on.
7240_108066_000017_000001	When the nights were cold and dark, Simeon sat there with bowed head, and drew the folds of his single garment, a black robe, over his face.	When the nights were cold and dark, Simeon sat there with bowed head, and drew the folds of his single garment, a black robe, over his face.
7240_108066_000018_000001	Some prophesied he would be blown off, but the morning light revealed his form, naked from the waist up, standing with hands outstretched to greet the rising sun.	Some prophesied he would be blown off, but the morning light revealed his form, naked from the waist up, standing with hands outstretched to greet the rising sun
7240_108066_000019_000000	Once each day, as darkness gathered, a monk came with a basket containing a bottle of goat's milk and a little loaf of black bread, and Simeon dropped down a rope and drew up the basket.	Once each day, as darkness gathered, a monk came with a basket containing a bottle of goat's milk and a little loaf of black bread, and Simeon dropped down a rope and drew up the basket.
7240_108066_000020_000000	Simeon never spoke, for words are folly, and to the calls of saint or sinner he made no reply.	Simeon never spoke, for words are folly, and to the calls of saint or sinner he made no reply.
7240_108066_000020_000001	He lived in a perpetual attitude of adoration.	He lived in a perpetual attitude of adoration.
7240_108066_000021_000000	Did he suffer?	Did he suffer?
7240_108066_000021_000001	During those first weeks he must have suffered terribly and horribly.	During those first weeks he must have suffered terribly and horribly.
7240_108066_000021_000002	There was no respite nor rest from the hard surface of the rock, and aching muscles could find no change from the cramped and perilous position.	There was no respite nor rest from the hard surface of the rock, and aching muscles could find no change from the cramped and perilous position.
7240_108066_000021_000003	If he fell, it was damnation for his soul--all were agreed as to this.	If he fell, it was damnation for his soul-all were agreed as to this.
7240_108066_000022_000000	But man's body and mind accommodate themselves to almost any condition.	But man's body and mind accommodate themselves to almost any condition.
7240_108066_000022_000001	One thing at least, Simeon was free from economic responsibilities, free from social cares and intrusion.	One thing at least, Simeon was free from economic responsibilities, free from social cares and intrusion.
7240_108066_000022_000002	Bores with sad stories of unappreciated lives and fond hopes unrealized, never broke in upon his peace.	Bores with sad stories of unappreciated lives and fond hopes unrealized, never broke in upon his peace.
7240_108066_000022_000003	He was not pressed for time.	He was not pressed for time.
7240_108066_000022_000004	No frivolous dame of tarnished fame sought to share with him his perilous perch.	No frivolous dame of tarnished fame sought to share with him his perilous perch.
7240_108066_000022_000005	The people on a slow schedule, ten minutes late, never irritated his temper.	The people on a slow schedule, ten minutes late, never irritated his temper.
7240_108066_000022_000006	His correspondence never got in a heap.	His correspondence never got in a heap.
