5876_8675_000000_000000	'My friend, add one more kindness to those you have already heaped on me.	'My friend, add one more kindness to those you have already heaped on me.	false	0	2.19	25.797916
5876_8675_000000_000001	Give me your daughter as my wife.'	Give me your daughter as my wife.'	false	2.19	3.75	28.381445
5876_8675_000001_000000	So they were married, and the wedding feast was so splendid that there was not a kingdom in the world that did not hear of it.	So they were married, and the wedding feast was so splendid that there was not a kingdom in the world that did not hear of it.	false	3.75	10.56	21
5876_8675_000001_000001	And the prince never went back to his father's throne, but lived peacefully with his wife in the forest, where, if they are not dead, they are living still.	And the prince never went back to his father's throne, but lived peacefully with his wife in the forest, where, if they are not dead, they are living still.	false	10.56	22.98	25.076487
5876_8675_000002_000000	[From Ungarische Volksmarchen.]	[From Ungarische Volksmarchen.]	false	22.98	24.42	29.281824
5876_8675_000003_000000	The Treasure Seeker	The Treasure Seeker	false	24.42	25.86	-20
5876_8675_000004_000000	Once, long ago, in a little town that lay in the midst of high hills and wild forests, a party of shepherds sat one night in the kitchen of the inn talking over old times, and telling of the strange things that had befallen them in their youth.	Once, long ago, in a little town that lay in the midst of high hills and wild forests, a party of shepherds sat one night in the kitchen of the inn talking over old times, and telling of the strange things that had befallen them in their youth.	false	25.86	38.71	21
5876_8675_000005_000000	Presently up spoke the silver-haired Father Martin.	Presently up spoke the silver haired Father Martin.	true	38.96	42.31	27.174583
5876_8675_000006_000000	'Comrades,' said he, 'you have had wonderful adventures; but I will tell you something still more astonishing that happened to myself.	'Comrades,' said he, 'you have had wonderful adventures; but I will tell you something still more astonishing that happened to myself.	true	42.32	51.01	22.889309
5876_8675_000006_000001	When I was a young lad I had no home and no one to care for me, and I wandered from village to village all over the country with my knapsack on my back; but as soon as I was old enough I took service with a shepherd in the mountains, and helped him for three years.	When I was a young lad I had no home and no one to care for me, and I wandered from village to village all over the country with my knapsack on my back; but as soon as I was old enough I took service with a shepherd in the mountains, and helped him for three years.	true	51.38	67.935	23.29016
5876_8675_000006_000002	One autumn evening as we drove the flock homeward ten sheep were missing, and the master bade me go and seek them in the forest.	One autumn evening as we drove the flock homeward ten sheep were missing, and the master bade me go and seek them in the forest.	true	67.935	74.985	26.189829
5876_8675_000006_000003	I took my dog with me, but he could find no trace of them, though we searched among the bushes till night fell; and then, as I did not know the country and could not find my way home in the dark, I decided to sleep under a tree.	I took my dog with me, but he could find no trace of them, though we searched among the bushes till night fell; and then, as I did not know the country and could not find my way home in the dark, I decided to sleep under a tree.	true	74.985	87.67	25.921518
5876_8675_000006_000004	At midnight my dog became uneasy, and began to whine and creep close to me with his tail between his legs; by this I knew that something was wrong, and, looking about, I saw in the bright moonlight a figure standing beside me.	At midnight my dog became uneasy, and began to whine and creep close to me with his tail between his legs; by this I knew that something was wrong, and, looking about, I saw in the bright moonlight a figure standing beside me.	false	88.1	102.18	24.020412
