5876_8675_000005_000000	Presently up spoke the silver-haired Father Martin.	Presently up spoke the silver haired Father Martin.
5876_8675_000006_000000	'Comrades,' said he, 'you have had wonderful adventures; but I will tell you something still more astonishing that happened to myself.	'Comrades,' said he, 'you have had wonderful adventures; but I will tell you something still more astonishing that happened to myself.
5876_8675_000006_000001	When I was a young lad I had no home and no one to care for me, and I wandered from village to village all over the country with my knapsack on my back; but as soon as I was old enough I took service with a shepherd in the mountains, and helped him for three years.	When I was a young lad I had no home and no one to care for me, and I wandered from village to village all over the country with my knapsack on my back; but as soon as I was old enough I took service with a shepherd in the mountains, and helped him for three years.
5876_8675_000006_000002	One autumn evening as we drove the flock homeward ten sheep were missing, and the master bade me go and seek them in the forest.	One autumn evening as we drove the flock homeward ten sheep were missing, and the master bade me go and seek them in the forest.
5876_8675_000006_000003	I took my dog with me, but he could find no trace of them, though we searched among the bushes till night fell; and then, as I did not know the country and could not find my way home in the dark, I decided to sleep under a tree.	I took my dog with me, but he could find no trace of them, though we searched among the bushes till night fell; and then, as I did not know the country and could not find my way home in the dark, I decided to sleep under a tree.
5876_8675_000006_000006	I shook like an aspen leaf at the sight, and my spirit quaked for fear.	I shook like an aspen leaf at the sight, and my spirit quaked for fear.
5876_8675_000006_000009	If you will come with me you shall dig up much gold."	If you will come with me you shall dig up much gold."
5876_8675_000007_000000	'Though I was still deadly cold with terror I plucked up my courage and said: "Get away from me, evil spirit; I do not desire your treasures."	'Though I was still deadly cold with terror I plucked up my courage and said: "Get away from me, evil spirit; I do not desire your treasures."
5876_8675_000008_000000	'At this the spectre grinned in my face and cried mockingly:	'At this the spectre grinned in my face and cried mockingly:
5876_8675_000009_000000	'"Simpleton!	'"Simpleton!
5876_8675_000009_000001	Do you scorn your good fortune?	Do you scorn your good fortune?
5876_8675_000009_000002	Well, then, remain a ragamuffin all your days."	Well, then, remain a ragamuffin all your days."
5876_8675_000010_000001	I will fill your knapsack--I will fill your pouch."	I will fill your knapsack-I will fill your pouch."
