8677_296078_000002_000000	CHAPTER II.	CHAPTER two.
8677_296078_000003_000000	LITTLE FLORENCE.	LITTLE FLORENCE.
8677_296078_000005_000000	Wait a moment, girls, and boys too!	Wait a moment, girls, and boys too!
8677_296078_000005_000001	I advise you to read on, and see what came in this case of playing with dolls.	I advise you to read on, and see what came in this case of playing with dolls.
8677_296078_000006_000000	There were a good many thousands of boys in England at that time, in the Twenties and Thirties, who might have been badly off when the terrible Fifties came, if Florence Nightingale had not played with her dolls. Read on, and see for yourselves!	There were a good many thousands of boys in England at that time, in the Twenties and Thirties, who might have been badly off when the terrible Fifties came, if Florence Nightingale had not played with her dolls. Read on, and see for yourselves!
8677_296078_000007_000000	Florence Nightingale loved her dolls dearly, and took the greatest possible care of them; and yet they were always delicate and given to sudden and alarming illnesses.	Florence Nightingale loved her dolls dearly, and took the greatest possible care of them; and yet they were always delicate and given to sudden and alarming illnesses.
8677_296078_000007_000001	A doll never knew when she might be told that she was very ill, and undressed and put to bed, though she might but just have got on her new frock.	A doll never knew when she might be told that she was very ill, and undressed and put to bed, though she might but just have got on her new frock.
8677_296078_000007_000002	Then Mamma Florence would wait upon her tenderly, smoothing her pillow, bathing her forehead or rubbing her poor back, and bringing her all kinds of good things in the doll-house dishes.	Then Mamma Florence would wait upon her tenderly, smoothing her pillow, bathing her forehead or rubbing her poor back, and bringing her all kinds of good things in the doll house dishes.
8677_296078_000007_000003	The doll might feel very much better the next day, and think it was time to get up and put on the new frock again; but she was very apt to have a relapse and go back to bed and gruel again, once at least, before she was allowed to recover entirely.	The doll might feel very much better the next day, and think it was time to get up and put on the new frock again; but she was very apt to have a relapse and go back to bed and gruel again, once at least, before she was allowed to recover entirely.
8677_296078_000008_000000	The truth is, Florence was born to be a nurse, and a sick doll was dearer to her than a strong and healthy one.	The truth is, Florence was born to be a nurse, and a sick doll was dearer to her than a strong and healthy one.
8677_296078_000008_000002	These dolls were very unlucky, or else their mamma was very careless; you can call it whichever you like.	These dolls were very unlucky, or else their mamma was very careless; you can call it whichever you like.
8677_296078_000008_000003	They were always tumbling down and breaking their heads, or losing arms and legs, or burning themselves at the nursery fire, or suffering from doll's consumption, that dreadful complaint otherwise known as loss of sawdust.	They were always tumbling down and breaking their heads, or losing arms and legs, or burning themselves at the nursery fire, or suffering from doll's consumption, that dreadful complaint otherwise known as loss of sawdust.
8677_296078_000008_000004	When these things happened, Aunt Florence was called in as a matter of course; and she set the fractures, and salved the burns, and stopped the flow of sawdust, and proved herself in every way a most skillful nursery surgeon and physician.	When these things happened, Aunt Florence was called in as a matter of course; and she set the fractures, and salved the burns, and stopped the flow of sawdust, and proved herself in every way a most skillful nursery surgeon and physician.
8677_296078_000009_000000	So it was that unconsciously, and in play, Florence began her training for her life work.	So it was that unconsciously, and in play, Florence began her training for her life work.
8677_296078_000009_000001	She was having lessons, of course; arithmetic, and all the other proper things.	She was having lessons, of course; arithmetic, and all the other proper things.
8677_296078_000009_000003	Her mother, meantime, taught her all kinds of handiwork, and before she was twelve years old she could hemstitch, and seam and embroider.	Her mother, meantime, taught her all kinds of handiwork, and before she was twelve years old she could hemstitch, and seam and embroider.
