4335_15081_000000_000000	CHAPTER XXXI.	CHAPTER thirty one.	true	0.84	2.1	19.862688
4335_15081_000001_000000	1650-1652.	sixteen fifty to sixteen fifty two.	false	2.1	3.81	15
4335_15081_000002_000000	THE HURON MISSION ABANDONED.	THE HURON MISSION ABANDONED.	false	3.81	4.95	13.212641
4335_15081_000003_000000	FAMINE AND THE TOMAHAWK.--A NEW ASYLUM.-- VOYAGE OF THE REFUGEES TO QUEBEC.--MEETING WITH BRESSANI.-- DESPERATE COURAGE OF THE IROQUOIS.--INROADS AND BATTLES.-- DEATH OF BUTEUX.	FAMINE AND THE TOMAHAWK.--A NEW ASYLUM.-- VOYAGE OF THE REFUGEES TO QUEBEC.--MEETING WITH b r e s s a n i.-- DESPERATE COURAGE OF THE IROQUOIS.--INROADS AND BATTLES.-- DEATH OF BUTEUX.	false	4.95	32.505	20.574715
4335_15081_000004_000000	As spring approached, the starving multitude on Isle St. Joseph grew reckless with hunger.	As spring approached, the starving multitude on Isle saint Joseph grew reckless with hunger.	true	32.505	37.84	21.448357
4335_15081_000004_000001	Along the main shore, in spots where the sun lay warm, the spring fisheries had already begun, and the melting snow was uncovering the acorns in the woods.	Along the main shore, in spots where the sun lay warm, the spring fisheries had already begun, and the melting snow was uncovering the acorns in the woods.	true	38.33	48.01	20.165339
4335_15081_000004_000002	There was danger everywhere, for bands of Iroquois were again on the track of their prey.	There was danger everywhere, for bands of Iroquois were again on the track of their prey.	true	48.92	53.55	18
4335_15081_000004_000003	[ 1 ] The miserable Hurons, gnawed with inexorable famine, stood in the dilemma of a deadly peril and an assured death.	[ one ] The miserable Hurons, gnawed with inexorable famine, stood in the dilemma of a deadly peril and an assured death.	false	53.55	62.17	19.38694
4335_15081_000004_000004	They chose the former; and, early in March, began to leave their island and cross to the main-land, to gather what sustenance they could.	They chose the former; and, early in March, began to leave their island and cross to the main land, to gather what sustenance they could.	true	63.05	71.47	19.847141
4335_15081_000004_000005	The ice was still thick, but the advancing season had softened it; and, as a body of them were crossing, it broke under their feet.	The ice was still thick, but the advancing season had softened it; and, as a body of them were crossing, it broke under their feet.	true	72.11	79.81	20.58703
4335_15081_000004_000006	Some were drowned; while others dragged themselves out, drenched and pierced with cold, to die miserably on the frozen lake, before they could reach a shelter.	Some were drowned; while others dragged themselves out, drenched and pierced with cold, to die miserably on the frozen lake, before they could reach a shelter.	true	79.88	88.93	20.141691
4335_15081_000004_000007	Other parties, more fortunate, gained the shore safely, and began their fishing, divided into companies of from eight or ten to a hundred persons.	Other parties, more fortunate, gained the shore safely, and began their fishing, divided into companies of from eight or ten to a hundred persons.	false	89.78	98.86	19.64003
4335_15081_000004_000008	But the Iroquois were in wait for them.	But the Iroquois were in wait for them.	true	99.77	102.01	17.547707
4335_15081_000004_000009	A large band of warriors had already made their way, through ice and snow, from their towns in Central New York.	A large band of warriors had already made their way, through ice and snow, from their towns in Central New York.	true	102.59	108.88	19.447704
4335_15081_000004_000010	They surprised the Huron fishermen, surrounded them, and cut them in pieces without resistance,--tracking out the various parties of their victims, and hunting down fugitives with such persistency and skill, that, of all who had gone over to the main, the Jesuits knew of but one who escaped. [ 2 ]	They surprised the Huron fishermen, surrounded them, and cut them in pieces without resistance,--tracking out the various parties of their victims, and hunting down fugitives with such persistency and skill, that, of all who had gone over to the main, the Jesuits knew of but one who escaped. [ two ]	false	109.61	127.32	19.40053
4335_15081_000005_000000	[ 1 "Mais le Printemps estant venu, les Iroquois nous furent encore plus cruels; et ce sont eux qui vrayement ont ruine toutes nos esperances, et qui ont fait vn lieu d'horreur, vne terre de sang et de carnage, vn theatre de cruaute et vn sepulchre de carcasses decharnees par les langueurs d'vne longue famine, d'vn pais de benediction, d'vne terre de Saintete et d'vn lieu qui n'auoit plus rien de barbare, depuis que le sang respandu pour son amour auoit rendu tout son peuple Chrestien."-- Ragueneau, Relation des Hurons, 1650, 23.	[ one "Mais le Printemps estant venu, les Iroquois nous furent encore plus cruels; et c e sont e u x qui vrayement o n t ruine toutes nos esperances, et qui o n t fait v n lieu d'horreur, v n e terre de sang et de carnage, v n theatre de cruaute et v n sepulchre de carcasses decharnees par les langueurs d'vne longue famine, d'vn pais de benediction, d'vne terre de Saintete et d'vn lieu qui n'auoit plus rien de barbare, depuis que le sang respandu pour son amour auoit rendu tout son peuple Chrestien."-- Ragueneau, Relation des Hurons, sixteen fifty, twenty three.	false	127.32	129.12	15.5462885
4335_15081_000005_000001	]	closing square bracket	false	129.12	129.12	
4335_15081_000006_000000	[ 2 "Le iour de l'Annonciation, vingt-cinquiesme de Mars, vne armee d'Iroquois ayans marche prez de deux cents lieues de pais, a trauers les glaces et les neiges, trauersans les montagnes et les forests pleines d'horreur, surprirent au commencement de la nuit le camp de nos Chrestiens, et en firent vne cruelle boucherie.	[ two "Le iour de l'Annonciation, vingt cinquiesme de Mars, v n e armee d'Iroquois ayans marche prez de deux cents lieues de pais, a trauers les glaces et les neiges, trauersans les montagnes et les forests pleines d'horreur, surprirent au commencement de la nuit le camp de nos Chrestiens, et en firent v n e cruelle boucherie.	false	129.12	129.21	0
