4335_15081_000004_000000	As spring approached, the starving multitude on Isle St. Joseph grew reckless with hunger.	As spring approached, the starving multitude on Isle saint Joseph grew reckless with hunger.
4335_15081_000004_000001	Along the main shore, in spots where the sun lay warm, the spring fisheries had already begun, and the melting snow was uncovering the acorns in the woods.	Along the main shore, in spots where the sun lay warm, the spring fisheries had already begun, and the melting snow was uncovering the acorns in the woods.
4335_15081_000004_000005	The ice was still thick, but the advancing season had softened it; and, as a body of them were crossing, it broke under their feet.	The ice was still thick, but the advancing season had softened it; and, as a body of them were crossing, it broke under their feet.
4335_15081_000004_000006	Some were drowned; while others dragged themselves out, drenched and pierced with cold, to die miserably on the frozen lake, before they could reach a shelter.	Some were drowned; while others dragged themselves out, drenched and pierced with cold, to die miserably on the frozen lake, before they could reach a shelter.
4335_15081_000007_000002	So, too, our starving Hurons were driven out of a town which had become an abode of horror.	So, too, our starving Hurons were driven out of a town which had become an abode of horror.
4335_15081_000007_000007	And, in fact, only a few days passed before we heard of the disaster which we had foreseen.	And, in fact, only a few days passed before we heard of the disaster which we had foreseen.
4335_15081_000007_000008	These poor people fell into ambuscades of our Iroquois enemies.	These poor people fell into ambuscades of our Iroquois enemies.
4335_15081_000007_000009	Some were killed on the spot; some were dragged into captivity; women and children were burned.	Some were killed on the spot; some were dragged into captivity; women and children were burned.
4335_15081_000007_000012	Go where they would, they met with slaughter on all sides.	Go where they would, they met with slaughter on all sides.
4335_15081_000008_000000	The Jesuits at St. Joseph knew not what course to take.	The Jesuits at saint Joseph knew not what course to take.
4335_15081_000008_000001	The doom of their flock seemed inevitable.	The doom of their flock seemed inevitable.
4335_15081_000009_000000	"Take courage, brother," continued one of the chiefs, addressing Ragueneau.	"Take courage, brother," continued one of the chiefs, addressing Ragueneau.
4335_15081_000009_000002	Turn your eyes towards Quebec, and transport thither what is left of this ruined country.	Turn your eyes towards Quebec, and transport thither what is left of this ruined country.
4335_15081_000009_000007	If you do as we wish, we will form a church under the protection of the fort at Quebec.	If you do as we wish, we will form a church under the protection of the fort at Quebec.
4335_15081_000009_000008	Our faith will not be extinguished.	Our faith will not be extinguished.
