4057_11254_000000_000000	His son has taken his father's seat in Parliament, and has of course joined Young England.	His son has taken his father's seat in Parliament, and has of course joined Young England.	false	0	3.48	27.576445
4057_11254_000000_000001	He is the only man in the country who believes in the De Mogynses, and sighs for the days when a De Mogyns led the van of battle.	He is the only man in the country who believes in the De Mogynses, and sighs for the days when a De Mogyns led the van of battle.	false	3.48	9.39	21.488802
4057_11254_000000_000002	He has written a little volume of spoony puny poems.	He has written a little volume of spoony puny poems.	false	9.39	11.85	23.159899
4057_11254_000000_000003	He wears a lock of the hair of Laud, the Confessor and Martyr, and fainted when he kissed the Pope's toe at Rome.	He wears a lock of the hair of Laud, the Confessor and Martyr, and fainted when he kissed the Pope's toe at Rome.	false	11.85	16.11	23.415358
4057_11254_000000_000004	He sleeps in white kid-gloves, and commits dangerous excesses upon green tea.	He sleeps in white kid gloves, and commits dangerous excesses upon green tea.	false	16.11	17.67	26.000338
4057_11254_000001_000000	CHAPTER VIII--GREAT CITY SNOBS	CHAPTER eight-GREAT CITY SNOBS	true	17.67	21.22	28.111298
4057_11254_000002_000000	There is no disguising the fact that this series of papers is making a prodigious sensation among all classes in this Empire.	There is no disguising the fact that this series of papers is making a prodigious sensation among all classes in this Empire.	false	21.89	29.11	21.795076
4057_11254_000002_000001	Notes of admiration (!), of interrogation (?), of remonstrance, approval, or abuse, come pouring into MR.	Notes of admiration (!), of interrogation (?), of remonstrance, approval, or abuse, come pouring into mr	true	29.36	36.87	20.939255
4057_11254_000002_000002	PUNCH'S box.	PUNCH'S box.	true	36.87	38.11	25.68633
4057_11254_000002_000003	We have been called to task for betraying the secrets of three different families of De Mogyns; no less than four Lady Scrapers have been discovered; and young gentlemen are quite shy of ordering half-a-pint of port and simpering over the QUARTERLY REVIEW at the Club, lest they should be mistaken for Sydney Scraper, Esq. 'What CAN be your antipathy to Baker Street?' asks some fair remonstrant, evidently writing from that quarter.	We have been called to task for betraying the secrets of three different families of De Mogyns; no less than four Lady Scrapers have been discovered; and young gentlemen are quite shy of ordering half a pint of port and simpering over the QUARTERLY REVIEW at the Club, lest they should be mistaken for Sydney Scraper, e s q. 'What CAN be your antipathy to Baker Street?' asks some fair remonstrant, evidently writing from that quarter.	false	38.54	68.29	22.290104
4057_11254_000003_000000	'Why only attack the aristocratic Snobs?' says one 'estimable correspondent: 'are not the snobbish Snobs to have their turn?'--'Pitch into the University Snobs!' writes an indignant gentleman (who spelt ELEGANT with two I's)--'Show up the Clerical Snob,' suggests another.--'Being at "Meurice's Hotel," Paris, some time since,' some wag hints, 'I saw Lord B. leaning out of the window with his boots in his hand, and bawling out "GARCON, CIREZ-MOI CES BOTTES." Oughtn't he to be brought in among the Snobs?'	'Why only attack the aristocratic Snobs?' says one 'estimable correspondent: 'are not the snobbish Snobs to have their turn?'--'Pitch into the University Snobs!' writes an indignant gentleman (who spelt ELEGANT with two I's)--'Show up the Clerical Snob,' suggests another.--'Being at "Meurice's Hotel," Paris, some time since,' some wag hints, 'I saw Lord b leaning out of the window with his boots in his hand, and bawling out "GARCON, CIREZ MOI c e s b o t t e s." Oughtn't he to be brought in among the Snobs?'	false	69.8	107.86	21.306171
4057_11254_000004_000000	No; far from it.	No; far from it.	true	108.65	110.11	26.192362
4057_11254_000004_000001	If his lordship's boots are dirty, it is because he is Lord B., and walks.	If his lordship's boots are dirty, it is because he is Lord b, and walks.	true	110.51	115.78	23.674084
