7933_112597_000001_000000	HOW THE ANCIENT IRISH EXCELLED IN MUSIC.	HOW THE ANCIENT IRISH EXCELLED IN MUSIC.
7933_112597_000002_000000	From the very earliest ages Irish musicians were celebrated for their skill, not only in their own country but all over Europe.	From the very earliest ages Irish musicians were celebrated for their skill, not only in their own country but all over Europe.
7933_112597_000002_000001	Our native literature, whether referring to pagan or Christian times, is full of references to music and to skilful musicians, who are always spoken of in terms of the utmost respect.	Our native literature, whether referring to pagan or Christian times, is full of references to music and to skilful musicians, who are always spoken of in terms of the utmost respect.
7933_112597_000003_000000	Everywhere through the Records we find evidences that the ancient Irish, both high and low, were passionately fond of music.	Everywhere through the Records we find evidences that the ancient Irish, both high and low, were passionately fond of music.
7933_112597_000003_000001	It was mixed up with their daily home-life, and formed part of their amusements, meetings, and celebrations of every kind.	It was mixed up with their daily home life, and formed part of their amusements, meetings, and celebrations of every kind.
7933_112597_000003_000002	In the religious tales music is always one of the delights of heaven; and a chief function of the angels who attend on God is to chant music of ineffable sweetness to Him, which they generally do in the shape of beautiful white birds.	In the religious tales music is always one of the delights of heaven; and a chief function of the angels who attend on God is to chant music of ineffable sweetness to Him, which they generally do in the shape of beautiful white birds.
7933_112597_000005_000001	At a later time it was quite common among the Welsh bards to come over to Ireland to receive instruction from the Irish harpers.	At a later time it was quite common among the Welsh bards to come over to Ireland to receive instruction from the Irish harpers.
7933_112597_000005_000003	Ireland was long the school for Scottish harpers also, who regularly came over, like those of Wales, to finish their musical education--a practice which continued down to about 150 years ago.	Ireland was long the school for Scottish harpers also, who regularly came over, like those of Wales, to finish their musical education-a practice which continued down to about one hundred fifty years ago.
7933_112597_000006_000001	From that period, in spite of wars and troubles, music continued to be cultivated, and there was an unbroken succession of great professional harpers, till the end of the eighteenth century, when, for want of encouragement in the miserable condition of the country under the penal laws, the race died out.	From that period, in spite of wars and troubles, music continued to be cultivated, and there was an unbroken succession of great professional harpers, till the end of the eighteenth century, when, for want of encouragement in the miserable condition of the country under the penal laws, the race died out.
7933_112597_000007_000000	The Harp is mentioned in the earliest Irish literature: it is constantly mixed up with our oldest legends; and it was in use from the remotest pagan times.	The Harp is mentioned in the earliest Irish literature: it is constantly mixed up with our oldest legends; and it was in use from the remotest pagan times.
7933_112597_000007_000001	The old Irish harps were of a medium size, or rather small, the average height being about thirty inches: and some were not much more than half that height.	The old Irish harps were of a medium size, or rather small, the average height being about thirty inches: and some were not much more than half that height.
7933_112597_000007_000002	They had strings of brass wire which were tuned by a key, not very different from the present tuning-key.	They had strings of brass wire which were tuned by a key, not very different from the present tuning key.
