7933_112597_000000_000000	CHAPTER XI.	CHAPTER eleven.	false	0	23.955	23.66588
7933_112597_000001_000000	HOW THE ANCIENT IRISH EXCELLED IN MUSIC.	HOW THE ANCIENT IRISH EXCELLED IN MUSIC.	true	23.955	26.86	21.04707
7933_112597_000002_000000	From the very earliest ages Irish musicians were celebrated for their skill, not only in their own country but all over Europe.	From the very earliest ages Irish musicians were celebrated for their skill, not only in their own country but all over Europe.	true	26.9	35.08	22.576912
7933_112597_000002_000001	Our native literature, whether referring to pagan or Christian times, is full of references to music and to skilful musicians, who are always spoken of in terms of the utmost respect.	Our native literature, whether referring to pagan or Christian times, is full of references to music and to skilful musicians, who are always spoken of in terms of the utmost respect.	true	35.09	46.51	22.43992
7933_112597_000003_000000	Everywhere through the Records we find evidences that the ancient Irish, both high and low, were passionately fond of music.	Everywhere through the Records we find evidences that the ancient Irish, both high and low, were passionately fond of music.	true	46.7	54.31	23.011612
7933_112597_000003_000001	It was mixed up with their daily home-life, and formed part of their amusements, meetings, and celebrations of every kind.	It was mixed up with their daily home life, and formed part of their amusements, meetings, and celebrations of every kind.	true	54.32	61.33	22.540407
7933_112597_000003_000002	In the religious tales music is always one of the delights of heaven; and a chief function of the angels who attend on God is to chant music of ineffable sweetness to Him, which they generally do in the shape of beautiful white birds.	In the religious tales music is always one of the delights of heaven; and a chief function of the angels who attend on God is to chant music of ineffable sweetness to Him, which they generally do in the shape of beautiful white birds.	true	61.43	75.7	23.031029
7933_112597_000003_000003	A good example of the people's intense fondness for music is found in an old Irish religious poem, in which the hard lot of Adam and Eve for a whole year after their expulsion from Paradise is described, when they were--as the poem expresses it--"without proper food, fire, house, _music_, or raiment." Here music is put among the necessaries of life, so that it was a misery to be without it.	A good example of the people's intense fondness for music is found in an old Irish religious poem, in which the hard lot of Adam and Eve for a whole year after their expulsion from Paradise is described, when they were-as the poem expresses it-"without proper food, fire, house, underscore music underscore, or raiment." Here music is put among the necessaries of life, so that it was a misery to be without it.	false	75.77	102.25	23.863388
7933_112597_000004_000000	In the early ages of the Church many of the Irish ecclesiastics took delight in playing on the harp; and in order to indulge in this innocent and refining taste they were wont to bring with them, on their missionary journeys, a small portable harp, with which they beguiled many a weary hour after their hard work.	In the early ages of the Church many of the Irish ecclesiastics took delight in playing on the harp; and in order to indulge in this innocent and refining taste they were wont to bring with them, on their missionary journeys, a small portable harp, with which they beguiled many a weary hour after their hard work.	false	102.62	121.96	22.374409
7933_112597_000005_000000	In very early times Irish professors of music were as eagerly sought after on the Continent as those of literature and general learning, so that they were sometimes placed at the head of great music-schools.	In very early times Irish professors of music were as eagerly sought after on the Continent as those of literature and general learning, so that they were sometimes placed at the head of great music schools.	false	122.18	134.11	22.701439
7933_112597_000005_000001	At a later time it was quite common among the Welsh bards to come over to Ireland to receive instruction from the Irish harpers.	At a later time it was quite common among the Welsh bards to come over to Ireland to receive instruction from the Irish harpers.	true	134.27	141.46	22.614326
