8713_296159_000000_000000	CHAPTER X	CHAPTER ten	false	0.84	13.15	21.85833
8713_296159_000001_000000	It was the third week in August; summer was dying, as a London summer dies, in days of feverish sunlight and breathless languor.	It was the third week in August; summer was dying, as a London summer dies, in days of feverish sunlight and breathless languor.	true	13.85	22.06	21.474411
8713_296159_000001_000001	Everywhere there was the same torpor, the same wornout, desiccated life in death. It was in the streets with their sultry pallor, in the parks and squares where the dust lay like a grey blight on every green thing.	Everywhere there was the same torpor, the same wornout, desiccated life in death. It was in the streets with their sultry pallor, in the parks and squares where the dust lay like a grey blight on every green thing.	true	22.55	36.1	22.476171
8713_296159_000001_000002	Everywhere the glare accentuated this toneless melancholy.	Everywhere the glare accentuated this toneless melancholy.	true	36.35	40.15	22.314234
8713_296159_000001_000003	It was the symbol of the decadence following the brilliant efflorescence of the season, the exhaustion after that supreme effort of Society to amuse itself.	It was the symbol of the decadence following the brilliant efflorescence of the season, the exhaustion after that supreme effort of Society to amuse itself.	false	40.49	49.51	21.385187
8713_296159_000001_000004	This lassitude is felt most by those who have shared least in the amusement, the workers who must stay behind in the great workshop because they are too busy or too poor to leave it.	This lassitude is felt most by those who have shared least in the amusement, the workers who must stay behind in the great workshop because they are too busy or too poor to leave it.	true	50.21	60.69	22.630041
8713_296159_000002_000000	There was one worker, however, who felt nothing of this depression. Langley Wyndham had reasons for congratulating himself that everybody was out of town, and that he was left to himself in his rooms in Dover Street.	There was one worker, however, who felt nothing of this depression. Langley Wyndham had reasons for congratulating himself that everybody was out of town, and that he was left to himself in his rooms in Dover Street.	false	60.69	73.755	21.109287
8713_296159_000002_000001	For one thing, it gave him opportunity for cultivating Miss Craven's acquaintance.	For one thing, it gave him opportunity for cultivating Miss Craven's acquaintance.	true	73.755	78.01	21.915377
8713_296159_000002_000002	For another, he had now a luxurious leisure in which to polish up the proofs of his last novel, and to arrange his ideas for its successor.	For another, he had now a luxurious leisure in which to polish up the proofs of his last novel, and to arrange his ideas for its successor.	false	78.26	86.59	22.464247
8713_296159_000002_000003	Compared with this great work, all former efforts would seem to the taste they had created as so much literary trifling.	Compared with this great work, all former efforts would seem to the taste they had created as so much literary trifling.	true	86.87	94.15	23.547
8713_296159_000002_000004	Hitherto he had been merely trying his instrument, running his fingers over the keys in his easy professional way; but these preliminary flourishes gave no idea of the constructive harmonies to follow.	Hitherto he had been merely trying his instrument, running his fingers over the keys in his easy professional way; but these preliminary flourishes gave no idea of the constructive harmonies to follow.	true	94.43	106.78	22.278456
8713_296159_000002_000005	And now, on a dull evening, some three weeks after Audrey's dinner-party, he was alone in his study, smoking, as he leaned back in his easy-chair, in one of those dreamy moods which with him meant fiction in the making, the tobacco-smoke curling round his head the Pythian fumes of his inspiration.	And now, on a dull evening, some three weeks after Audrey's dinner party, he was alone in his study, smoking, as he leaned back in his easy chair, in one of those dreamy moods which with him meant fiction in the making, the tobacco smoke curling round his head the Pythian fumes of his inspiration.	true	107.09	126.76	22.173376
8713_296159_000002_000006	The study was curiously suggestive of its owner's inconsistencies.	The study was curiously suggestive of its owner's inconsistencies.	true	127.13	131.67	22.166605
8713_296159_000002_000007	With its silk cushions, Oriental rugs, and velvet draperies, its lining of books, and writing-table heaped with manuscripts and proofs, it witnessed to his impartial love of luxury and hard work.	With its silk cushions, Oriental rugs, and velvet draperies, its lining of books, and writing table heaped with manuscripts and proofs, it witnessed to his impartial love of luxury and hard work.	true	131.67	144.55	21.5053
8713_296159_000002_000008	It told other secrets too.	It told other secrets too.	true	144.77	146.8	22.881264
8713_296159_000002_000009	The cigar-case on the table beside him was embroidered by a woman's hand, the initials L. W. worked with gold thread in a raised monogram.	The cigar case on the table beside him was embroidered by a woman's hand, the initials l w worked with gold thread in a raised monogram.	true	146.93	156.24	20.300554
8713_296159_000002_000010	Two or three photographs of pretty women were stuck by their corners behind the big looking-glass over the fireplace, together with invitation cards, frivolous little notes, and ball programmes.	Two or three photographs of pretty women were stuck by their corners behind the big looking glass over the fireplace, together with invitation cards, frivolous little notes, and ball programmes.	false	156.24	168.16	22.183165
8713_296159_000002_000011	On one end of the mantel-board there was a photograph of Knowles; on the other, the one nearest Wyndham's chair, an empty frame of solid silver.	On one end of the mantel board there was a photograph of Knowles; on the other, the one nearest Wyndham's chair, an empty frame of solid silver.	false	168.32	176.92	21.899502
8713_296159_000002_000012	The photograph and the frame represented the friendship and the love of his life.	The photograph and the frame represented the friendship and the love of his life.	false	177.59	182.47	22.926222
8713_296159_000003_000000	To-night he had left his proofs untouched on the writing-table, and had settled himself comfortably to his pipe, with the voluptuous satisfaction of a man who has put off a disagreeable duty.	To night he had left his proofs untouched on the writing table, and had settled himself comfortably to his pipe, with the voluptuous satisfaction of a man who has put off a disagreeable duty.	true	182.93	193.9	22.307737
8713_296159_000003_000001	He felt that delicious turmoil of ideas which with him accompanied the building up of a story round its central character.	He felt that delicious turmoil of ideas which with him accompanied the building up of a story round its central character.	true	194.33	201.97	23.398418
8713_296159_000003_000002	Not that he yet understood that character.	Not that he yet understood that character.	true	202.25	204.82	25.263798
8713_296159_000003_000003	Wyndham had his intuitions, but he was not the man to trust them as such; it was his habit to verify them by a subsequent logic.	Wyndham had his intuitions, but he was not the man to trust them as such; it was his habit to verify them by a subsequent logic.	true	204.98	213.52	20.60698
8713_296159_000003_000004	His literary conscience allowed nothing to take the place of the experimental method, the careful observation, and arranging of minute facts, intimate analytical study from the life.	His literary conscience allowed nothing to take the place of the experimental method, the careful observation, and arranging of minute facts, intimate analytical study from the life.	false	213.68	225.07	22.92725
8713_296159_000003_000005	No action was too small, no emotion too insignificant, for his uncompromising realism.	No action was too small, no emotion too insignificant, for his uncompromising realism.	true	225.26	231.97	22.261515
8713_296159_000003_000006	He had applied the same method to his own experience.	He had applied the same method to his own experience.	true	232.16	235.15	23.536306
8713_296159_000003_000007	Whatever came in his way, the tragedy or comedy of his daily life, his moods of passion and apathy, the aspirations of his better moments, all underwent the same disintegrating process.	Whatever came in his way, the tragedy or comedy of his daily life, his moods of passion and apathy, the aspirations of his better moments, all underwent the same disintegrating process.	true	235.16	247.63	22.256775
