4222_187005_000001_000000	CHAPTER 10	CHAPTER ten
4222_187005_000002_000003	Mr. Wicker though interested and attentive, gave Chris the impression that what he had been told was not new to him.	mr Wicker though interested and attentive, gave Chris the impression that what he had been told was not new to him.
4222_187005_000003_000001	So there was nothing left to do but to work as fast and as well as he could.	So there was nothing left to do but to work as fast and as well as he could.
4222_187005_000005_000000	For Chris was now as accepted a member of the household as Mr. Wicker himself, and had it not been for the robust guffaws of Ned Cilley, and the ministrations of the now devoted Becky, Chris's days would have been tedious indeed.	For Chris was now as accepted a member of the household as mr Wicker himself, and had it not been for the robust guffaws of Ned Cilley, and the ministrations of the now devoted Becky, Chris's days would have been tedious indeed.
4222_187005_000006_000002	He went straight to the bowl and addressed the fish.	He went straight to the bowl and addressed the fish.
4222_187005_000007_000000	"Sir," he said to the goldfish, "I am here.	"Sir," he said to the goldfish, "I am here.
4222_187005_000007_000001	What shall I do first?"	What shall I do first?"
4222_187005_000009_000000	"How you have improved, my boy!" he exclaimed.	"How you have improved, my boy!" he exclaimed.
4222_187005_000009_000001	"It is now time for you to try, and this is as good a change as any."	"It is now time for you to try, and this is as good a change as any."
4222_187005_000010_000000	All at once, at the imminent prospect of really changing himself into some other form, Chris became frightened and his hands grew cold.	All at once, at the imminent prospect of really changing himself into some other form, Chris became frightened and his hands grew cold.
4222_187005_000011_000000	"Oh, sir!	"Oh, sir!
4222_187005_000011_000001	Do you really think I know how?" he cried, gazing up into the face of his master.	Do you really think I know how?" he cried, gazing up into the face of his master.
4222_187005_000011_000002	"Suppose I change and can't change back?"	"Suppose I change and can't change back?"
4222_187005_000012_000000	Mr. Wicker shook his head with a smile.	mr Wicker shook his head with a smile.
4222_187005_000013_000000	"Never fear, Christopher.	"Never fear, Christopher.
4222_187005_000013_000001	You know enough to start, and I feel reasonably sure that you will be quite able to change back again.	You know enough to start, and I feel reasonably sure that you will be quite able to change back again.
4222_187005_000013_000002	If you get stuck I can help you.	If you get stuck I can help you.
