4222_187005_000000_000000	Chris hurriedly set about proving his appreciation.	Chris hurriedly set about proving his appreciation.	false	4.23	23.43	21.14357
4222_187005_000001_000000	CHAPTER 10	CHAPTER ten	true	23.43	24.52	22.588755
4222_187005_000002_000000	The learning of magic was by no means easy.	The learning of magic was by no means easy.	true	25.55	28.425	17
4222_187005_000002_000001	The days went by with Chris's mornings and afternoons spent in Mr. Wicker's study, reading books too heavy for him to lift, learning incantations by heart, and how to blend simple formulae over the fire.	The days went by with Chris's mornings and afternoons spent in mr Wicker's study, reading books too heavy for him to lift, learning incantations by heart, and how to blend simple formulae over the fire.	true	28.425	41.29	15
4222_187005_000002_000002	He had told his master at once about Simon Gosler, his horde of money and his hiding places for it.	He had told his master at once about Simon Gosler, his horde of money and his hiding places for it.	false	41.75	48.24	20.212952
4222_187005_000002_000003	Mr. Wicker though interested and attentive, gave Chris the impression that what he had been told was not new to him.	mr Wicker though interested and attentive, gave Chris the impression that what he had been told was not new to him.	true	48.24	55.18	21.879963
4222_187005_000002_000004	At times Chris was allowed to run about the large vegetable garden and climb the orchard trees, but he was told that the moment had not yet come when he could wander at will in early Georgetown.	At times Chris was allowed to run about the large vegetable garden and climb the orchard trees, but he was told that the moment had not yet come when he could wander at will in early Georgetown.	false	55.43	67.05	20
4222_187005_000003_000000	Chris had tried it once, rebellious and bored at the now familiar ground, but it was as if an invisible wall kept him in the confines of Mr. Wicker's land, a slippery glass wall he could feel but not see, and in which he could discover no chink in which to put his toe to find the height of it.	Chris had tried it once, rebellious and bored at the now familiar ground, but it was as if an invisible wall kept him in the confines of mr Wicker's land, a slippery glass wall he could feel but not see, and in which he could discover no chink in which to put his toe to find the height of it.	false	67.05	85.75	23.79809
4222_187005_000003_000001	So there was nothing left to do but to work as fast and as well as he could.	So there was nothing left to do but to work as fast and as well as he could.	true	86.45	91.57	23.440073
4222_187005_000003_000002	"There are rumors," Mr. Wicker had told him quietly, too quietly, "that Claggett Chew is preparing his ship, the _Venture_, for a voyage East.	"There are rumors," mr Wicker had told him quietly, too quietly, "that Claggett Chew is preparing his ship, the underscore Venture underscore, for a voyage East.	false	91.91	101.68	19.501074
4222_187005_000003_000003	There is much activity about his ship, and he is laying in stores, so I am informed.	There is much activity about his ship, and he is laying in stores, so I am informed.	true	102.32	107.535	18
