2532_157475_000003_000000	THE NEW TIN GUTTER	THE NEW TIN GUTTER
2532_157475_000004_000000	All day Saturday the men had worked out upon the eaves of the house and the dolls facing the window could see them.	All day Saturday the men had worked out upon the eaves of the house and the dolls facing the window could see them.
2532_157475_000005_000000	The men made quite a lot of noise with their hammers, for they were putting new gutters around the eaves, and pounding upon tin makes a great deal of noise.	The men made quite a lot of noise with their hammers, for they were putting new gutters around the eaves, and pounding upon tin makes a great deal of noise.
2532_157475_000007_000000	"What are they doing now?" Raggedy Andy asked.	"What are they doing now?" Raggedy Andy asked.
2532_157475_000008_000000	He was lying with his head beneath a little bed quilt, just as Marcella had dropped him when she left the nursery; so he could not see what was going on.	He was lying with his head beneath a little bed quilt, just as Marcella had dropped him when she left the nursery; so he could not see what was going on.
2532_157475_000009_000000	"We can only see the men's legs as they pass the window," answered Uncle Clem.	"We can only see the men's legs as they pass the window," answered Uncle Clem.
2532_157475_000009_000001	"But they are putting new shingles or something on the roof!"	"But they are putting new shingles or something on the roof!"
2532_157475_000010_000000	After the men had left their work and gone home to supper and the house was quiet, Raggedy Andy cautiously moved his head out from under the little bed quilt and, seeing that the coast was clear, sat up.	After the men had left their work and gone home to supper and the house was quiet, Raggedy Andy cautiously moved his head out from under the little bed quilt and, seeing that the coast was clear, sat up.
2532_157475_000011_000000	This was a signal for all the dolls to sit up and smooth out the wrinkles in their clothes.	This was a signal for all the dolls to sit up and smooth out the wrinkles in their clothes.
2532_157475_000015_000000	"Here's a grand place to have a lovely slide!" he said as he gave one of the penny dolls a scoot down the shiny tin gutter.	"Here's a grand place to have a lovely slide!" he said as he gave one of the penny dolls a scoot down the shiny tin gutter.
2532_157475_000016_000001	See her go!" Raggedy Andy cried.	See her go!" Raggedy Andy cried.
2532_157475_000017_000000	All the other dolls climbed upon the window sill beside him.	All the other dolls climbed upon the window sill beside him.
2532_157475_000019_000000	Then Raggedy Andy climbed into the gutter himself and, taking a few steps, spread out his feet and went scooting down the shiny tin.	Then Raggedy Andy climbed into the gutter himself and, taking a few steps, spread out his feet and went scooting down the shiny tin.
2532_157475_000020_000000	The other dolls followed his example and scooted along behind him.	The other dolls followed his example and scooted along behind him.
2532_157475_000021_000000	When Raggedy Andy came to the place where he expected to find the penny dolls lying, they were nowhere about.	When Raggedy Andy came to the place where he expected to find the penny dolls lying, they were nowhere about.
2532_157475_000022_000000	"Perhaps you scooted them farther than you thought!" Uncle Clem said.	"Perhaps you scooted them farther than you thought!" Uncle Clem said.
2532_157475_000023_000000	"Perhaps I did!" Raggedy Andy said, "We will look around the bend in the eave!"	"Perhaps I did!" Raggedy Andy said, "We will look around the bend in the eave!"
2532_157475_000024_000000	"Oh dear!" he exclaimed when he had peeped around the corner of the roof, "the gutter ends here and there is nothing but a hole!"	"Oh dear!" he exclaimed when he had peeped around the corner of the roof, "the gutter ends here and there is nothing but a hole!"
2532_157475_000025_000000	"They must have scooted right into the hole," Henny, the Dutch doll said.	"They must have scooted right into the hole," Henny, the Dutch doll said.
2532_157475_000026_000000	Raggedy Andy lay flat upon the shiny tin and looked down into the hole.	Raggedy Andy lay flat upon the shiny tin and looked down into the hole.
2532_157475_000027_000000	"Are you down there, penny dolls?" he called.	"Are you down there, penny dolls?" he called.
2532_157475_000029_000000	"I hope their heads were not broken!" Raggedy Ann said.	"I hope their heads were not broken!" Raggedy Ann said.
2532_157475_000031_000000	"I'm so sorry I scooted them!" Raggedy Andy cried, as he brushed his hand over his shoe button eyes.	"I'm so sorry I scooted them!" Raggedy Andy cried, as he brushed his hand over his shoe button eyes.
2532_157475_000033_000000	Uncle Clem and Henny each caught hold of a foot of Raggedy Andy and let him slide down into the hole.	Uncle Clem and Henny each caught hold of a foot of Raggedy Andy and let him slide down into the hole.
2532_157475_000034_000000	It was a rather tight fit, but Raggedy Andy wiggled and twisted until all the dolls could see of him were his two feet.	It was a rather tight fit, but Raggedy Andy wiggled and twisted until all the dolls could see of him were his two feet.
2532_157475_000035_000000	"I can't find them!" he said in muffled tones.	"I can't find them!" he said in muffled tones.
2532_157475_000035_000001	"Let me down farther and I think I'll be able to reach them!"	"Let me down farther and I think I'll be able to reach them!"
2532_157475_000036_000000	Now Henny and Uncle Clem thought that Raggedy Andy meant for them to let go of his feet and this they did.	Now Henny and Uncle Clem thought that Raggedy Andy meant for them to let go of his feet and this they did.
2532_157475_000040_000000	Raggedy Andy tried to wiggle backward up the pipe, but his clothes caught upon a little piece of tin which stuck out from the inside of the pipe and there he stayed.	Raggedy Andy tried to wiggle backward up the pipe, but his clothes caught upon a little piece of tin which stuck out from the inside of the pipe and there he stayed.
2532_157475_000040_000001	He could neither go down nor come back up.	He could neither go down nor come back up.
2532_157475_000041_000000	"What shall we do?" Uncle Clem cried, "The folks will never find him down there, for we can not tell them where he is, and they will never guess it!"	"What shall we do?" Uncle Clem cried, "The folks will never find him down there, for we can not tell them where he is, and they will never guess it!"
2532_157475_000042_000000	The dolls were all very sad.	The dolls were all very sad.
2532_157475_000042_000001	They stayed out upon the shiny new tin gutter until it began raining and hoped and hoped that Raggedy Andy could get back up to them.	They stayed out upon the shiny new tin gutter until it began raining and hoped and hoped that Raggedy Andy could get back up to them.
2532_157475_000043_000000	Then they went inside the nursery and sat looking out the window until it was time for the folks to get up and the house to be astir.	Then they went inside the nursery and sat looking out the window until it was time for the folks to get up and the house to be astir.
2532_157475_000043_000001	Then they went back to the position each had been in, when Marcella had left them.	Then they went back to the position each had been in, when Marcella had left them.
2532_157475_000044_000000	And although they were very quiet, each one was so sorry to lose Raggedy Andy, and each felt that he would never be found again.	And although they were very quiet, each one was so sorry to lose Raggedy Andy, and each felt that he would never be found again.
2532_157475_000047_000000	Then Raggedy Ann remembered that there was an opening at the bottom of the pipe.	Then Raggedy Ann remembered that there was an opening at the bottom of the pipe.
2532_157475_000048_000000	"Tomorrow night if we have a chance, we dolls must take a stick and see if we can reach Raggedy Andy from the bottom of the pipe and pull him down to us!" she thought.	"Tomorrow night if we have a chance, we dolls must take a stick and see if we can reach Raggedy Andy from the bottom of the pipe and pull him down to us!" she thought.
2532_157475_000049_000000	Marcella came up to the nursery and played all day, watching the rain patter upon the new tin gutter.	Marcella came up to the nursery and played all day, watching the rain patter upon the new tin gutter.
2532_157475_000049_000001	She wondered where Raggedy Andy was, although she did not get worried about him until she had asked Mama where he might be.	She wondered where Raggedy Andy was, although she did not get worried about him until she had asked Mama where he might be.
2532_157475_000050_000000	"He must be just where you left him!" Mama said.	"He must be just where you left him!" Mama said.
2532_157475_000051_000000	"I cannot remember where I left him!" Marcella said.	"I cannot remember where I left him!" Marcella said.
2532_157475_000053_000000	All day Sunday it rained and all of Sunday night, and Monday morning when Daddy started to work it was still raining.	All day Sunday it rained and all of Sunday night, and Monday morning when Daddy started to work it was still raining.
2532_157475_000054_000000	As Daddy walked out of the front gate, he turned to wave good-bye to Mama and Marcella and then he saw something.	As Daddy walked out of the front gate, he turned to wave good bye to Mama and Marcella and then he saw something.
2532_157475_000055_000000	Daddy came right back into the house and called up the men who had put in the new shiny tin gutters.	Daddy came right back into the house and called up the men who had put in the new shiny tin gutters.
2532_157475_000056_000000	"The drain pipe is plugged up.	"The drain pipe is plugged up.
2532_157475_000056_000001	Some of you must have left shavings or something in the eaves, and it has washed down into the pipe, so that the water pours over the gutter in sheets!"	Some of you must have left shavings or something in the eaves, and it has washed down into the pipe, so that the water pours over the gutter in sheets!"
2532_157475_000057_000000	"We will send a man right up to fix it!" the men said.	"We will send a man right up to fix it!" the men said.
2532_157475_000058_000000	So along about ten o'clock that morning one of the men came to fix the pipe.	So along about ten o'clock that morning one of the men came to fix the pipe.
2532_157475_000059_000000	But although he punched a long pole down the pipe, and punched and punched, he could not dislodge whatever it was which plugged the pipe and kept the water from running through it.	But although he punched a long pole down the pipe, and punched and punched, he could not dislodge whatever it was which plugged the pipe and kept the water from running through it.
2532_157475_000062_000000	Then the man measured with his stick, so that he knew just where the place was, and with a pair of tin shears he cut a section from the pipe and found Raggedy Andy.	Then the man measured with his stick, so that he knew just where the place was, and with a pair of tin shears he cut a section from the pipe and found Raggedy Andy.
2532_157475_000064_000000	The man laughed and carried little water-soaked Raggedy Andy into the house.	The man laughed and carried little water soaked Raggedy Andy into the house.
2532_157475_000065_000000	"I guess your little girl must have dropped this rag doll down into the drain pipe!" the man said to Mama.	"I guess your little girl must have dropped this rag doll down into the drain pipe!" the man said to Mama.
2532_157475_000066_000000	"I'm so glad you found him!" Mama said to the man.	"I'm so glad you found him!" Mama said to the man.
2532_157475_000069_000000	And as he sat there he smiled and smiled, even though there was no one to see him.	And as he sat there he smiled and smiled, even though there was no one to see him.
2532_157475_000070_000000	He felt very happy within and he liked to smile, anyway, because his smile was painted on.	He felt very happy within and he liked to smile, anyway, because his smile was painted on.
2532_157475_000071_000000	And another reason Raggedy Andy smiled was because he was not lonesome.	And another reason Raggedy Andy smiled was because he was not lonesome.
2532_157475_000072_000000	Inside his waist were the two little penny dolls.	Inside his waist were the two little penny dolls.
2532_157475_000073_000000	The man had punched Raggedy Andy farther down into the pipe, and he had been able to reach the two little dolls and tuck them into a safe place.	The man had punched Raggedy Andy farther down into the pipe, and he had been able to reach the two little dolls and tuck them into a safe place.
