6406_89940_000001_000000	CHAPTER XIII.	CHAPTER thirteen.
6406_89940_000003_000000	The months sped on, and now the anniversary of her father's birthday arrived.	The months sped on, and now the anniversary of her father's birthday arrived.
6406_89940_000003_000001	Until then it had always been to Mary a day of great joy, but this time, when the day dawned, she was bathed in tears.	Until then it had always been to Mary a day of great joy, but this time, when the day dawned, she was bathed in tears.
6406_89940_000003_000002	Previously she had had the pleasure and excitement of preparing something which she knew would please her father, but now, alas, this delightful occupation was rendered useless!	Previously she had had the pleasure and excitement of preparing something which she knew would please her father, but now, alas, this delightful occupation was rendered useless!
6406_89940_000004_000000	The country people round about their home used to beg flowers from her for the purpose of decorating the graves of their friends.	The country people round about their home used to beg flowers from her for the purpose of decorating the graves of their friends.
6406_89940_000004_000001	It had always been a pleasure to Mary to give her flowers for this purpose, and she now determined to decorate her father's tomb in the same manner.	It had always been a pleasure to Mary to give her flowers for this purpose, and she now determined to decorate her father's tomb in the same manner.
6406_89940_000004_000002	Taking from a cupboard the beautiful basket which had been the first cause of all her unhappiness, she filled it with choice flowers of all colours, artistically interspersed with fresh green leaves, and carried it to Erlenbrunn before the hour of divine service, and laid it on her father's tomb, watering it at the same time with tears that could not be repressed.	Taking from a cupboard the beautiful basket which had been the first cause of all her unhappiness, she filled it with choice flowers of all colours, artistically interspersed with fresh green leaves, and carried it to Erlenbrunn before the hour of divine service, and laid it on her father's tomb, watering it at the same time with tears that could not be repressed.
6406_89940_000005_000001	Let me at least ornament your grave with them."	Let me at least ornament your grave with them."
6406_89940_000006_000000	Mary left the basket on the grave, and went back to the misery of Pine Farm.	Mary left the basket on the grave, and went back to the misery of Pine Farm.
6406_89940_000006_000001	She had no fear that any one would dare to steal either the basket or the flowers.	She had no fear that any one would dare to steal either the basket or the flowers.
6406_89940_000006_000002	Many of the country people who saw her offering were moved to tears, and, blessing the old gardener's pious daughter, they prayed for her prosperity.	Many of the country people who saw her offering were moved to tears, and, blessing the old gardener's pious daughter, they prayed for her prosperity.
6406_89940_000007_000000	The next day the labourers at the farm were busy taking in the hay from a large meadow just beyond the forest.	The next day the labourers at the farm were busy taking in the hay from a large meadow just beyond the forest.
6406_89940_000007_000001	The farmer's wife had a large piece of fine linen spread out on the grass a few steps from the house, and in the evening this was found to have disappeared.	The farmer's wife had a large piece of fine linen spread out on the grass a few steps from the house, and in the evening this was found to have disappeared.
6406_89940_000008_000000	When Mary was returning from her work in the evening with a rake on her shoulder and a pitcher in her hand, along with the other servants, this passionate woman came out of the kitchen and met her with a torrent of abuse, and ordered her to give up the linen immediately.	When Mary was returning from her work in the evening with a rake on her shoulder and a pitcher in her hand, along with the other servants, this passionate woman came out of the kitchen and met her with a torrent of abuse, and ordered her to give up the linen immediately.
6406_89940_000008_000002	This conjecture turned out to be the true one, but the farmer's wife was not to be turned from her conviction.	This conjecture turned out to be the true one, but the farmer's wife was not to be turned from her conviction.
6406_89940_000009_000000	"Thief," she cried coarsely, "do you think I am ignorant of the theft of the ring, and what difficulty you had to escape the executioner's sword?	"Thief," she cried coarsely, "do you think I am ignorant of the theft of the ring, and what difficulty you had to escape the executioner's sword?
6406_89940_000009_000001	Begone as soon as possible.	Begone as soon as possible.
6406_89940_000009_000002	There is no room in my house for creatures like you."	There is no room in my house for creatures like you."
6406_89940_000010_000000	"It is too late," said her husband, "to send Mary away now.	"It is too late," said her husband, "to send Mary away now.
