2960_155151_000000_000000	[45] No. 574.	[forty five] no five hundred seventy four.	false	5.94	11.88	21.155968
2960_155151_000000_000001	Friday, July 30th, 1714.	friday july thirtieth seventeen fourteen.	false	11.88	38.61	22.660784
2960_155151_000001_000000	JACOB BOeHMEN.	JACOB BOeHMEN.	true	38.61	40.3	25.803507
2960_155151_000002_000000	It is now time to speak of Jacob Boehmen, who thought he could discover the secret of the transmutation of metals in the Bible, and who invented a strange heterogeneous doctrine of mingled alchymy and religion, and founded upon it the sect of the Aurea-crucians.	It is now time to speak of Jacob Boehmen, who thought he could discover the secret of the transmutation of metals in the Bible, and who invented a strange heterogeneous doctrine of mingled alchymy and religion, and founded upon it the sect of the Aurea crucians.	true	40.76	59.59	23.880064
2960_155151_000002_000001	He was born at Goerlitz, in Upper Lusatia, in 1575, and followed till his thirtieth year the occupation of a shoemaker.	He was born at Goerlitz, in Upper Lusatia, in fifteen seventy five, and followed till his thirtieth year the occupation of a shoemaker.	true	60.11	70.2	22.770689
2960_155151_000002_000002	In this obscurity he remained, with the character of a visionary and a man of unsettled mind, until the promulgation of the Rosicrucian philosophy in his part of Germany, toward the year 1607 or 1608.	In this obscurity he remained, with the character of a visionary and a man of unsettled mind, until the promulgation of the Rosicrucian philosophy in his part of Germany, toward the year sixteen o seven or sixteen o eight.	true	70.2	87.46	21.41303
2960_155151_000002_000003	From that time he began to neglect his leather, and buried his brain under the rubbish of metaphysics.	From that time he began to neglect his leather, and buried his brain under the rubbish of metaphysics.	true	87.56	94.72	22.205973
2960_155151_000002_000004	The works of Paracelsus fell into his hands; and these, with the reveries of the Rosicrucians, so completely engrossed his attention, that he abandoned his trade altogether, sinking, at the same time, from a state of comparative independence into poverty and destitution.	The works of Paracelsus fell into his hands; and these, with the reveries of the Rosicrucians, so completely engrossed his attention, that he abandoned his trade altogether, sinking, at the same time, from a state of comparative independence into poverty and destitution.	false	94.82	114.4	22.757824
2960_155151_000002_000005	But he was nothing daunted by the miseries and privations of the flesh; his mind was fixed upon the beings of another sphere, and in thought he was already the new apostle of the human race.	But he was nothing daunted by the miseries and privations of the flesh; his mind was fixed upon the beings of another sphere, and in thought he was already the new apostle of the human race.	true	114.56	128.59	21.177938
2960_155151_000002_000006	In the year 1612, after a meditation of four years, he published his first work, entitled _Aurora, or the Rising of the Sun_; embodying the ridiculous notions of Paracelsus, and worse confounding the confusion of that writer.	In the year sixteen twelve, after a meditation of four years, he published his first work, entitled underscore Aurora, or the Rising of the Sun underscore; embodying the ridiculous notions of Paracelsus, and worse confounding the confusion of that writer.	false	129.29	148.99	21.345888
2960_155151_000002_000007	The philosopher's stone might, he contended, be discovered by a diligent search of the Old and New Testaments, and more especially of the Apocalypse, which alone contained all the secrets of alchymy.	The philosopher's stone might, he contended, be discovered by a diligent search of the Old and New Testaments, and more especially of the Apocalypse, which alone contained all the secrets of alchymy.	false	150.17	164.19	22.918829
2960_155151_000002_000008	He contended that the divine grace operated by the same rules, and followed the same methods, that the divine providence observed in the natural world; and that the minds of men were purged from their vices and corruptions in the very same manner that metals were purified from their dross, namely, by fire.	He contended that the divine grace operated by the same rules, and followed the same methods, that the divine providence observed in the natural world; and that the minds of men were purged from their vices and corruptions in the very same manner that metals were purified from their dross, namely, by fire.	true	164.19	187.03	21.249828
2960_155151_000003_000000	Besides the sylphs, gnomes, undines, and salamanders, he acknowledged various ranks and orders of demons.	Besides the sylphs, gnomes, undines, and salamanders, he acknowledged various ranks and orders of demons.	true	187.67	196.48	20.31226
2960_155151_000003_000001	He pretended to invisibility and absolute chastity.	He pretended to invisibility and absolute chastity.	true	196.64	200.95	22.635956
2960_155151_000003_000002	He also said that, if it pleased him, he could abstain for years from meat and drink, and all the necessities of the body.	He also said that, if it pleased him, he could abstain for years from meat and drink, and all the necessities of the body.	true	201.17	209.17	19.68696
2960_155151_000003_000003	It is needless, however, to pursue his follies any further.	It is needless, however, to pursue his follies any further.	true	209.66	213.69	19.767092
2960_155151_000003_000004	He was reprimanded for writing this work by the magistrates of Goerlitz, and commanded to leave the pen alone and stick to his wax, that his family might not become chargeable to the parish.	He was reprimanded for writing this work by the magistrates of Goerlitz, and commanded to leave the pen alone and stick to his wax, that his family might not become chargeable to the parish.	false	213.69	226.78	22.409548
2960_155151_000003_000005	He neglected this good advice, and continued his studies; burning minerals and purifying metals one day, and mystifying the Word of God on the next.	He neglected this good advice, and continued his studies; burning minerals and purifying metals one day, and mystifying the Word of God on the next.	true	226.82	237.88	21.96699
2960_155151_000003_000006	He afterwards wrote three other works, as sublimely ridiculous as the first.	He afterwards wrote three other works, as sublimely ridiculous as the first.	true	238.52	244.96	21.088661
2960_155151_000003_000007	The one was entitled _Metallurgia_, and has the slight merit of being the least obscure of his compositions. Another was called _The Temporal Mirror of Eternity_; and the last his _Theosophy revealed_, full of allegories and metaphors,	The one was entitled underscore Metallurgia underscore, and has the slight merit of being the least obscure of his compositions. Another was called underscore The Temporal Mirror of Eternity underscore; and the last his underscore Theosophy revealed underscore, full of allegories and metaphors,	false	245.45	266.04	22.91738
2960_155151_000004_000000	"All strange and geason, Devoid of sense and ordinary reason."	"All strange and geason, Devoid of sense and ordinary reason."	false	266.04	273.63	22.431238
2960_155151_000005_000000	Boehmen died in 1624, leaving behind him a considerable number of admiring disciples.	Boehmen died in sixteen twenty four, leaving behind him a considerable number of admiring disciples.	true	273.63	281.11	20.182426
2960_155151_000005_000001	Many of them became, during the seventeenth century, as distinguished for absurdity as their master; amongst whom may be mentioned Gifftheil, Wendenhagen, John Jacob Zimmermann, and Abraham Frankenberg. Their heresy rendered them obnoxious to the Church of Rome; and many of them suffered long imprisonment and torture for their faith.	Many of them became, during the seventeenth century, as distinguished for absurdity as their master; amongst whom may be mentioned Gifftheil, Wendenhagen, john Jacob Zimmermann, and Abraham Frankenberg. Their heresy rendered them obnoxious to the Church of Rome; and many of them suffered long imprisonment and torture for their faith.	false	281.51	310.42	19.981403
2960_155151_000005_000002	One, named Kuhlmann, was burned alive at Moscow, in 1684, on a charge of sorcery. Boehmen's works were translated into English, and published, many years afterwards, by an enthusiast named William Law.	One, named Kuhlmann, was burned alive at Moscow, in sixteen eighty four, on a charge of sorcery. Boehmen's works were translated into English, and published, many years afterwards, by an enthusiast named William Law.	false	310.85	327.9	21.858109
2960_155151_000006_000000	MORMIUS.	m o r m i u s.	false	327.9	330.51	18.360413
2960_155151_000007_000000	Peter Mormius, a notorious alchymist and contemporary of Boehmen, endeavoured, in 1630, to introduce the Rosicrucian philosophy into Holland.	peter Mormius, a notorious alchymist and contemporary of Boehmen, endeavoured, in sixteen thirty, to introduce the Rosicrucian philosophy into Holland.	false	330.51	341.95	23.1946
2960_155151_000007_000001	He applied to the States-General to grant him a public audience, that he might explain the tenets of the sect, and disclose a plan for rendering Holland the happiest and richest country on the earth, by means of the philosopher's stone and the service of the elementary spirits.	He applied to the States General to grant him a public audience, that he might explain the tenets of the sect, and disclose a plan for rendering Holland the happiest and richest country on the earth, by means of the philosopher's stone and the service of the elementary spirits.	true	342.23	363.55	25.235422
2960_155151_000007_000002	The States-General wisely resolved to have nothing to do with him.	The States General wisely resolved to have nothing to do with him.	true	363.8	368.25	23.023222
2960_155151_000007_000003	He thereupon determined to shame them by printing his book, which he did at Leyden the same year.	He thereupon determined to shame them by printing his book, which he did at Leyden the same year.	true	368.25	375.01	21.03869
2960_155151_000007_000004	It was entitled _The Book of the most Hidden Secrets of Nature_, and was divided into three parts; the first treating of "perpetual motion;" the second of the "transmutation of metals;" and the third of the "universal medicine." He also published some German works upon the Rosicrucian philosophy, at Frankfort, in 1617.	It was entitled underscore The Book of the most Hidden Secrets of Nature underscore, and was divided into three parts; the first treating of "perpetual motion;" the second of the "transmutation of metals;" and the third of the "universal medicine." He also published some German works upon the Rosicrucian philosophy, at Frankfort, in sixteen seventeen.	false	375.38	402.73	24.130499
2960_155151_000008_000000	Poetry and romance are deeply indebted to the Rosicrucians for many a graceful creation.	Poetry and romance are deeply indebted to the Rosicrucians for many a graceful creation.	true	403.34	409.59	21.865969
2960_155151_000008_000001	The literature of England, France, and Germany contains hundreds of sweet fictions, whose machinery has been borrowed from their day-dreams.	The literature of England, France, and Germany contains hundreds of sweet fictions, whose machinery has been borrowed from their day dreams.	true	409.59	419.59	23.92947
2960_155151_000008_000002	The "delicate Ariel" of Shakspeare stands pre-eminent among the number.	The "delicate Ariel" of Shakspeare stands pre-eminent among the number.	false	419.84	426.88	25.005033
2960_155151_000008_000003	From the same source Pope drew the airy tenants of Belinda's dressing-room, in his charming _Rape of the Lock_; and La Motte Fouque, the beautiful and capricious water-nymph Undine, around whom he has thrown more grace and loveliness, and for whose imaginary woes he has excited more sympathy, than ever were bestowed on a supernatural being.	From the same source Pope drew the airy tenants of Belinda's dressing room, in his charming underscore Rape of the Lock underscore; and La Motte Fouque, the beautiful and capricious water nymph Undine, around whom he has thrown more grace and loveliness, and for whose imaginary woes he has excited more sympathy, than ever were bestowed on a supernatural being.	false	427.28	455.29	20.618925
2960_155151_000008_000004	Sir Walter Scott also endowed the White Lady of Avenel with many of the attributes of the undines or water-sprites.	Sir Walter Scott also endowed the White Lady of Avenel with many of the attributes of the undines or water sprites.	true	455.9	465.88	23.109081
2960_155151_000008_000005	German romance and lyrical poetry teem with allusions to sylphs, gnomes, undines, and salamanders; and the French have not been behind in substituting them, in works of fiction, for the more cumbrous mythology of Greece and Rome.	German romance and lyrical poetry teem with allusions to sylphs, gnomes, undines, and salamanders; and the French have not been behind in substituting them, in works of fiction, for the more cumbrous mythology of Greece and Rome.	true	466.34	484.635	20.952206
2960_155151_000008_000006	The sylphs, more especially, have been the favourites of the bards, and have become so familiar to the popular mind as to be, in a manner, confounded with that other race of ideal beings, the fairies, who can boast of an antiquity much more venerable in the annals of superstition.	The sylphs, more especially, have been the favourites of the bards, and have become so familiar to the popular mind as to be, in a manner, confounded with that other race of ideal beings, the fairies, who can boast of an antiquity much more venerable in the annals of superstition.	false	484.635	503.98	21.428925
2960_155151_000008_000007	Having these obligations to the Rosicrucians, no lover of poetry can wish, however absurd they were, that such a sect of philosophers had never existed.	Having these obligations to the Rosicrucians, no lover of poetry can wish, however absurd they were, that such a sect of philosophers had never existed.	true	504.2	515.46	23.060957
2960_155151_000009_000000	BORRI.	b o r r i.	false	515.46	516.375	22.948923
2960_155151_000010_000000	Just at the time that Michael Mayer was making known to the world the existence of such a body as the Rosicrucians, there was born in Italy a man who was afterwards destined to become the most conspicuous member of the fraternity.	Just at the time that Michael Mayer was making known to the world the existence of such a body as the Rosicrucians, there was born in Italy a man who was afterwards destined to become the most conspicuous member of the fraternity.	true	516.375	532.45	24
2960_155151_000010_000001	The alchymic mania never called forth the ingenuity of a more consummate or more successful impostor than Joseph Francis Borri.	The alchymic mania never called forth the ingenuity of a more consummate or more successful impostor than Joseph Francis Borri.	false	532.46	542.68	23.77927
2960_155151_000010_000002	He was born in 1616, according to some authorities, and in 1627 according to others, at Milan; where his father, the Signor Branda Borri, practised as a physician.	He was born in sixteen sixteen, according to some authorities, and in sixteen twenty seven according to others, at Milan; where his father, the Signor Branda Borri, practised as a physician.	false	542.81	557.08	22.702986
2960_155151_000010_000003	At the age of sixteen Joseph was sent to finish his education at the Jesuits' college in Rome, where he distinguished himself by his extraordinary memory.	At the age of sixteen Joseph was sent to finish his education at the Jesuits' college in Rome, where he distinguished himself by his extraordinary memory.	true	557.09	567.64	23.219032
2960_155151_000010_000004	He learned every thing to which he applied himself with the utmost ease.	He learned every thing to which he applied himself with the utmost ease.	true	567.74	573.19	22.951105
2960_155151_000010_000005	In the most voluminous works no fact was too minute for his retention, and no study was so abstruse but that he could master it; but any advantages he might have derived from this facility were neutralised by his ungovernable passions and his love of turmoil and debauchery.	In the most voluminous works no fact was too minute for his retention, and no study was so abstruse but that he could master it; but any advantages he might have derived from this facility were neutralised by his ungovernable passions and his love of turmoil and debauchery.	false	573.26	594.97	22.933176
2960_155151_000010_000006	He was involved in continual difficulty, as well with the heads of the college as with the police of Rome, and acquired so bad a character that years could not remove it.	He was involved in continual difficulty, as well with the heads of the college as with the police of Rome, and acquired so bad a character that years could not remove it.	false	595.25	607.47	22.899406
2960_155151_000010_000007	By the aid of his friends he established himself as a physician in Rome, and also obtained some situation in the pope's household.	By the aid of his friends he established himself as a physician in Rome, and also obtained some situation in the pope's household.	true	607.47	617.02	21.398783
2960_155151_000010_000008	In one of his fits of studiousness he grew enamoured of alchymy, and determined to devote his energies to the discovery of the philosopher's stone.	In one of his fits of studiousness he grew enamoured of alchymy, and determined to devote his energies to the discovery of the philosopher's stone.	false	617.36	627.61	21.51932
2960_155151_000010_000009	Of unfortunate propensities he had quite sufficient, besides this, to bring him to poverty.	Of unfortunate propensities he had quite sufficient, besides this, to bring him to poverty.	false	627.98	635.11	24.839626
2960_155151_000010_000010	His pleasures were as expensive as his studies, and both were of a nature to destroy his health and ruin his fair fame.	His pleasures were as expensive as his studies, and both were of a nature to destroy his health and ruin his fair fame.	false	635.15	644.835	24.67844
2960_155151_000010_000011	At the age of thirty-seven he found that he could not live by the practice of medicine, and began to look about for some other employment.	At the age of thirty seven he found that he could not live by the practice of medicine, and began to look about for some other employment.	true	644.835	653.97	21.807816
2960_155151_000010_000012	He became, in 1653, private secretary to the Marquis di Mirogli, the minister of the Archduke of Innsprueck at the court of Rome.	He became, in sixteen fifty three, private secretary to the Marquis di Mirogli, the minister of the Archduke of Innsprueck at the court of Rome.	false	653.97	664.965	26.302534
2960_155151_000010_000013	He continued in this capacity for two years; leading, however, the same abandoned life as heretofore, frequenting the society of gamesters, debauchees, and loose women, involving himself in disgraceful street quarrels, and alienating the patrons who were desirous to befriend him.	He continued in this capacity for two years; leading, however, the same abandoned life as heretofore, frequenting the society of gamesters, debauchees, and loose women, involving himself in disgraceful street quarrels, and alienating the patrons who were desirous to befriend him.	false	664.965	685.245	21.981697
2960_155151_000011_000000	All at once a sudden change was observed in his conduct.	All at once a sudden change was observed in his conduct.	true	685.245	689.625	24.888449
2960_155151_000011_000001	The abandoned rake put on the outward sedateness of a philosopher; the scoffing sinner proclaimed that he had forsaken his evil ways, and would live thenceforth a model of virtue.	The abandoned rake put on the outward sedateness of a philosopher; the scoffing sinner proclaimed that he had forsaken his evil ways, and would live thenceforth a model of virtue.	true	689.625	702.76	22.050306
