922_132291_000000_000000	He glanced down at the coins in his hand.	He glanced down at the coins in his hand.	false	0	2.73	26.334618
922_132291_000000_000001	It was his lucky day, he thought bitterly.	It was his lucky day, he thought bitterly.	false	2.73	3.57	25.23018
922_132291_000001_000000	He moved across the street and away, not bothering about the squeal of brakes and the honking horns.	He moved across the street and away, not bothering about the squeal of brakes and the honking horns.	false	3.57	5.46	23.879953
922_132291_000001_000001	He looked back only once, toward the glowing sign that topped the building.	He looked back only once, toward the glowing sign that topped the building.	false	5.46	6.81	22.316517
922_132291_000001_000002	_Your health is our business!_ Then the great symbol of the health business faded behind him, and he stumbled on, sucking incessantly at the cigarettes he rolled.	underscore Your health is our business!underscore Then the great symbol of the health business faded behind him, and he stumbled on, sucking incessantly at the cigarettes he rolled.	false	6.81	13.95	24.960526
922_132291_000001_000003	One hand clutched the bronze badge belonging to the dead man and his stolen boots drove onward through the melting snow.	One hand clutched the bronze badge belonging to the dead man and his stolen boots drove onward through the melting snow.	false	13.95	22.77	25.525167
922_132291_000002_000000	It was Christmas in the year 2100 on the protectorate of Earth.	It was Christmas in the year two thousand one hundred on the protectorate of Earth.	false	22.77	30.48	22.538292
922_132291_000003_000000	II	two	false	30.48	30.96	-20
922_132291_000004_000000	Lobby	Lobby	true	30.96	31.75	20.638508
922_132291_000005_000000	Feldman had set his legs the problem of heading for the great spaceport and escape from Earth, and he let them take him without further guidance.	Feldman had set his legs the problem of heading for the great spaceport and escape from Earth, and he let them take him without further guidance.	true	33.02	40.63	22.008823
922_132291_000005_000001	His mind was wrapped up in a whirl of the past--his past and that of the whole planet.	His mind was wrapped up in a whirl of the past-his past and that of the whole planet.	true	41.12	47.05	24.866953
922_132291_000005_000002	Both pasts had in common the growth and sudden ruin of idealism.	Both pasts had in common the growth and sudden ruin of idealism.	true	47.51	52.06	19.931822
922_132291_000006_000000	Idealism!	Idealism!	true	52.76	54.1	22.418655
922_132291_000006_000001	Throughout history, some men had sought the ideal, and most had called it freedom.	Throughout history, some men had sought the ideal, and most had called it freedom.	true	54.47	59.5	21.597044
922_132291_000006_000002	Only fools expected absolute freedom, but wise men dreamed up many systems of relative freedom, including democracy. They had tried that in America, as the last fling of the dream.	Only fools expected absolute freedom, but wise men dreamed up many systems of relative freedom, including democracy. They had tried that in America, as the last fling of the dream.	true	59.9	72.13	23.697643
922_132291_000006_000003	It had been a good attempt, too.	It had been a good attempt, too.	true	72.29	74.02	26.370203
922_132291_000007_000000	The men who drew the Constitution had been pretty practical dreamers. They came to their task after a bitter war and a worse period of wild chaos, and they had learned where idealism stopped and idiocy began. They set up a republic with all the elements of democracy that they considered safe.	The men who drew the Constitution had been pretty practical dreamers. They came to their task after a bitter war and a worse period of wild chaos, and they had learned where idealism stopped and idiocy began. They set up a republic with all the elements of democracy that they considered safe.	true	74.3	93.07	23.80371
922_132291_000007_000001	It had worked well enough to make America the number one power of the world.	It had worked well enough to make America the number one power of the world.	false	93.59	97.48	25.818535
922_132291_000007_000002	But the men who followed the framers of the new plan were a different sort, without the knowledge of practical limits.	But the men who followed the framers of the new plan were a different sort, without the knowledge of practical limits.	true	97.67	103.99	25.075909
922_132291_000008_000000	The privileges their ancestors had earned in blood and care became automatic rights.	The privileges their ancestors had earned in blood and care became automatic rights.	true	104.45	109.45	26
922_132291_000008_000001	Practical men tried to explain that there were no such rights--that each generation had to pay for its rights with responsibility.	Practical men tried to explain that there were no such rights-that each generation had to pay for its rights with responsibility.	true	109.67	116.44	25.331923
922_132291_000008_000002	That kind of talk didn't get far.	That kind of talk didn't get far.	true	116.78	118.96	31.013706
922_132291_000008_000003	People wanted to hear about rights, not about duties.	People wanted to hear about rights, not about duties.	true	119.36	123.13	22.46125
922_132291_000009_000000	They took the phrase that all men were created equal and left out the implied kicker that equality was in the sight of God and before the law. They wanted an equality with the greatest men without giving up their drive toward mediocrity, and they meant to have it.	They took the phrase that all men were created equal and left out the implied kicker that equality was in the sight of God and before the law. They wanted an equality with the greatest men without giving up their drive toward mediocrity, and they meant to have it.	false	123.38	139.06	26.701197
922_132291_000009_000001	In a way, they got it.	In a way, they got it.	true	139.31	141.34	24.65812
922_132291_000010_000000	They got the vote extended to everyone.	They got the vote extended to everyone.	true	142.37	144.85	25.817198
922_132291_000010_000001	The man on subsidy or public dole could vote to demand more.	The man on subsidy or public dole could vote to demand more.	true	145.07	148.63	24
922_132291_000010_000002	The man who read of nothing beyond sex crimes could vote on the great political issues of the world.	The man who read of nothing beyond sex crimes could vote on the great political issues of the world.	true	148.82	154.03	22.546356
922_132291_000010_000003	No ability was needed for his vote.	No ability was needed for his vote.	true	154.22	156.3	20.451181
922_132291_000010_000004	In fact, he was assured that voting alone was enough to make him a fine and noble citizen.	In fact, he was assured that voting alone was enough to make him a fine and noble citizen.	true	156.3	161.98	20.54667
922_132291_000010_000005	He loved that, if he bothered to vote at all that year.	He loved that, if he bothered to vote at all that year.	false	162.41	165.76	22.075642
922_132291_000010_000006	He became a great man by listing his unthought, hungry desire for someone to take care of him without responsibility.	He became a great man by listing his unthought, hungry desire for someone to take care of him without responsibility.	true	166.19	173.14	24
922_132291_000010_000007	So he went out and voted for the man who promised him most, or who looked most like what his limited dreams felt to be a father image or son image or hero image.	So he went out and voted for the man who promised him most, or who looked most like what his limited dreams felt to be a father image or son image or hero image.	true	173.81	184.06	23.045235
922_132291_000010_000008	He never bothered later to see how the men he'd elected had handled the jobs he had given them.	He never bothered later to see how the men he'd elected had handled the jobs he had given them.	true	184.61	189.28	20.279373
922_132291_000011_000000	Someone had to look, of course, and someone did.	Someone had to look, of course, and someone did.	true	189.41	192.55	22.955185
922_132291_000011_000001	Organized special interests stepped in where the mob had failed.	Organized special interests stepped in where the mob had failed.	true	192.86	196.72	27.440533
922_132291_000011_000002	Lobbies grew up.	Lobbies grew up.	true	196.82	198.34	28.645983
922_132291_000011_000003	There had always been pressure groups, but now they developed into a third arm of the government.	There had always been pressure groups, but now they developed into a third arm of the government.	true	198.71	203.65	23.397451
922_132291_000012_000000	The old Farm Lobby was unbeatable.	The old Farm Lobby was unbeatable.	true	204.11	206.41	25.21123
922_132291_000012_000001	The big farmers shaped the laws they wanted.	The big farmers shaped the laws they wanted.	true	206.69	209.07	26.02089
922_132291_000012_000002	They convinced the little farmers it was for the good of all, and they made the story stick well enough to swing the farm vote.	They convinced the little farmers it was for the good of all, and they made the story stick well enough to swing the farm vote.	true	209.07	215.11	26.574673
922_132291_000012_000003	They made the laws when it came to food and crops.	They made the laws when it came to food and crops.	true	215.36	218.29	24.116386
922_132291_000013_000000	The last of the great lobbies was Space, probably.	The last of the great lobbies was Space, probably.	true	219.17	221.98	31
922_132291_000013_000001	It was an accident that grew up so fast it never even knew it wasn't a real part of the government.	It was an accident that grew up so fast it never even knew it wasn't a real part of the government.	true	222.32	228.49	27.866621
922_132291_000013_000002	It developed during a period of chaos when another country called Russia got the first hunk of metal above the atmosphere and when the representatives who had been picked for everything but their grasp of science and government went into panic over a myth of national prestige.	It developed during a period of chaos when another country called Russia got the first hunk of metal above the atmosphere and when the representatives who had been picked for everything but their grasp of science and government went into panic over a myth of national prestige.	true	228.77	243.94	27.331688
922_132291_000014_000000	The space effort was turned over to the aircraft industry, which had never been able to manage itself successfully except under the stimulus of war or a threat of war.	The space effort was turned over to the aircraft industry, which had never been able to manage itself successfully except under the stimulus of war or a threat of war.	true	244.28	253.63	25.603476
922_132291_000014_000001	The failing airplane industry became the space combine overnight, and nobody kept track of how big it was, except a few sharp operators.	The failing airplane industry became the space combine overnight, and nobody kept track of how big it was, except a few sharp operators.	true	254.03	263.02	32.260307
922_132291_000015_000000	They worked out a system of subcontracts that spread the profits so wide that hardly a company of any size in the country wasn't getting a share. Thus a lot of patriotic, noble voters got their pay from companies in the lobby block and could be panicked by the lobby at the first mention of recession.	They worked out a system of subcontracts that spread the profits so wide that hardly a company of any size in the country wasn't getting a share. Thus a lot of patriotic, noble voters got their pay from companies in the lobby block and could be panicked by the lobby at the first mention of recession.	true	263.39	280.06	25.558073
922_132291_000016_000000	So Space Lobby took over completely in its own field.	So Space Lobby took over completely in its own field.	true	280.28	283.69	28.695158
922_132291_000016_000001	It developed enough pressure to get whatever appropriations it wanted, even over Presidential veto.	It developed enough pressure to get whatever appropriations it wanted, even over Presidential veto.	true	283.76	289.395	24.15917
922_132291_000016_000002	It created the only space experts, which meant that the men placed in government agencies to regulate it came from its own ranks.	It created the only space experts, which meant that the men placed in government agencies to regulate it came from its own ranks.	true	289.395	296.32	27.77259
922_132291_000017_000000	The other lobbies learned a lot from Space.	The other lobbies learned a lot from Space.	true	296.69	299.47	23.528624
922_132291_000018_000000	There had been a medical lobby long before, but it had been a conservative group, mostly concerned with protecting medical autonomy and ethics.	There had been a medical lobby long before, but it had been a conservative group, mostly concerned with protecting medical autonomy and ethics.	true	299.87	307.33	26.235558
922_132291_000018_000001	It also tried to prevent government control of treatment and payment, feeling that it couldn't trust the people to know where to stop.	It also tried to prevent government control of treatment and payment, feeling that it couldn't trust the people to know where to stop.	true	307.58	313.99	27.942327
922_132291_000018_000002	But its history was a long series of retreats.	But its history was a long series of retreats.	true	314.12	317.2	23.186304
922_132291_000019_000000	It fought what it called socialized medicine.	It fought what it called socialized medicine.	true	318.05	321.1	31.386251
922_132291_000019_000001	But the people wanted their troubles handled free--which meant by government spending, since that could be added to the national debt, and thus didn't seem to cost anything.	But the people wanted their troubles handled free-which meant by government spending, since that could be added to the national debt, and thus didn't seem to cost anything.	true	321.32	330.34	26.12357
922_132291_000019_000002	It lost, and eventually the government paid most medical costs, with doctors working on a fixed fee.	It lost, and eventually the government paid most medical costs, with doctors working on a fixed fee.	false	330.89	337.3	26.623102
922_132291_000019_000003	Then quantity of treatment paid, rather than quality.	Then quantity of treatment paid, rather than quality.	true	337.7	340.995	25.283083
922_132291_000019_000004	Competence no longer mattered so much.	Competence no longer mattered so much.	true	340.995	343.21	20.013739
922_132291_000019_000005	The Lobby lost, but didn't know it--because the lowered standards of competence in the profession lowered the caliber of men running the political aspects of that profession as exemplified by the Lobby.	The Lobby lost, but didn't know it-because the lowered standards of competence in the profession lowered the caliber of men running the political aspects of that profession as exemplified by the Lobby.	true	343.49	354.01	23.304352
922_132291_000020_000000	It took a world-wide plague to turn the tide.	It took a world-wide plague to turn the tide.	true	354.77	357.82	25.765379
922_132291_000020_000001	The plague began in old China; anything could start there, with more than a billion people huddled in one area and a few madmen planning to conquer the world.	The plague began in old China; anything could start there, with more than a billion people huddled in one area and a few madmen planning to conquer the world.	true	358.34	367.93	25.895592
922_132291_000020_000002	It might have been a laboratory mutation, but nobody could ever prove it.	It might have been a laboratory mutation, but nobody could ever prove it.	false	368.06	371.68	23.016462
922_132291_000021_000000	It wiped out two billion people, depopulated Africa and most of Asia, and wrecked Europe, leaving only America comparatively safe to take over.	It wiped out two billion people, depopulated Africa and most of Asia, and wrecked Europe, leaving only America comparatively safe to take over.	true	372.38	382.72	27.27154
922_132291_000021_000001	An obscure scientist in one of the laboratories run by the Medical Lobby found a cure before the first waves of the epidemic hit America. Rutherford Ryan, then head of the Lobby, made sure that Medical Lobby got all the credit.	An obscure scientist in one of the laboratories run by the Medical Lobby found a cure before the first waves of the epidemic hit America. Rutherford Ryan, then head of the Lobby, made sure that Medical Lobby got all the credit.	true	383.03	395.625	23.776728
922_132291_000022_000000	By the time the world recovered, America ran it and the Medical Lobby was untouchable.	By the time the world recovered, America ran it and the Medical Lobby was untouchable.	true	395.625	400.72	24.529852
922_132291_000022_000001	Ryan made a deal with Space Lobby, and the two effectively ran the world.	Ryan made a deal with Space Lobby, and the two effectively ran the world.	true	401.27	406.42	23.30023
922_132291_000022_000002	None of the smaller lobbies could buck them, and neither could the government.	None of the smaller lobbies could buck them, and neither could the government.	true	406.67	410.8	26.85231
922_132291_000023_000000	There was still a president and a congress, as there had been a Senate under the Roman Caesars.	There was still a president and a congress, as there had been a Senate under the Roman Caesars.	true	411.5	416.38	24.63669
922_132291_000023_000001	But the two Lobbies ran themselves as they chose.	But the two Lobbies ran themselves as they chose.	true	416.84	419.62	19.194088
922_132291_000023_000002	The real government had become a kind of oligarchy, as it always did after too much false democracy ruined the ideals of real and practical self-rule.	The real government had become a kind of oligarchy, as it always did after too much false democracy ruined the ideals of real and practical self rule.	true	419.69	428.53	23.279371
922_132291_000023_000003	A man belonged to his Lobby, just as a serf had belonged to his feudal landlord.	A man belonged to his Lobby, just as a serf had belonged to his feudal landlord.	true	428.75	433.78	23.08699
922_132291_000024_000000	It was a safe world now.	It was a safe world now.	true	434.39	436.24	22.785793
922_132291_000024_000001	Maybe progress had been halted at about the level of 1980, but so long as the citizens didn't break the rules of their lobbies, they had very little to worry about.	Maybe progress had been halted at about the level of nineteen eighty, but so long as the citizens didn't break the rules of their lobbies, they had very little to worry about.	true	436.67	445.87	24.459267
922_132291_000024_000002	For that, for security and the right not to think, most people were willing to leave well enough alone.	For that, for security and the right not to think, most people were willing to leave well enough alone.	true	446.24	453.01	24.203741
922_132291_000025_000000	Some rules seemed harsh, of course, such as the law that all operations had to be performed in Lobby hospitals.	Some rules seemed harsh, of course, such as the law that all operations had to be performed in Lobby hospitals.	true	453.47	460.18	23.26523
922_132291_000025_000001	But that could be justified; it was the only safe kind of surgery and the only way to make sure there was no unsupervised experimentation, such as that which supposedly caused the plague.	But that could be justified; it was the only safe kind of surgery and the only way to make sure there was no unsupervised experimentation, such as that which supposedly caused the plague.	true	460.52	471.52	24.21344
922_132291_000025_000002	The rule was now an absolute ethic of medicine.	The rule was now an absolute ethic of medicine.	true	471.59	474.82	20.438988
922_132291_000025_000003	It also made for better fees.	It also made for better fees.	true	474.98	476.74	22.277533
922_132291_000026_000000	Feldman's father had stuck by the rule but had questioned it.	Feldman's father had stuck by the rule but had questioned it.	true	476.96	480.34	24.674032
922_132291_000026_000001	Feldman learned not to question in medical school.	Feldman learned not to question in medical school.	true	480.59	483.49	27.811325
922_132291_000026_000002	He scored second in Medical Ethics only to Christina Ryan.	He scored second in Medical Ethics only to Christina Ryan.	true	483.56	487.54	25.397877
922_132291_000027_000000	He had never figured why she singled him out for her attentions, but he gloried in both those attentions and the results.	He had never figured why she singled him out for her attentions, but he gloried in both those attentions and the results.	true	488.21	494.8	23.455439
922_132291_000027_000001	He became automatically a rising young man, the favorite of the daughter of the Lobby president.	He became automatically a rising young man, the favorite of the daughter of the Lobby president.	true	495.65	501.82	23.58968
922_132291_000027_000002	He went through internship without a sign of trouble. Chris humored him in his desire to spend three years of practice in a poor section loaded with disease, and her father approved; such selfless dedication was the perfect image projection for a future son-in-law.	He went through internship without a sign of trouble. Chris humored him in his desire to spend three years of practice in a poor section loaded with disease, and her father approved; such selfless dedication was the perfect image projection for a future son in law.	true	502.22	518.11	24.767063
922_132291_000027_000003	In return, he agreed to follow that period by becoming an administrator.	In return, he agreed to follow that period by becoming an administrator.	true	518.36	522.24	23.90425
922_132291_000027_000004	A doctor's doctor, as they put it.	A doctor's doctor, as they put it.	true	522.24	524.44	32.397446
922_132291_000028_000000	They were married in April and his office was ready in May, complete with a staff of eighty.	They were married in April and his office was ready in May, complete with a staff of eighty.	true	525.08	530.53	25.646694
922_132291_000028_000001	The publicity releases had gone out, and the Public Relations Lobby that handled news and education was paid to begin the greatest build-up any young genius ever had.	The publicity releases had gone out, and the Public Relations Lobby that handled news and education was paid to begin the greatest build-up any young genius ever had.	true	531.14	541.45	22.469742
922_132291_000029_000000	They celebrated that, with a little party of some four hundred people and reporters at Ryan's lodge in Canada.	They celebrated that, with a little party of some four hundred people and reporters at Ryan's lodge in Canada.	true	542.12	548.65	23.96031
922_132291_000029_000001	It was to be a gala weekend.	It was to be a gala weekend.	true	548.81	550.72	30.99747
922_132291_000030_000000	It was then that Baxter shot himself.	It was then that Baxter shot himself.	true	551.21	554.35	26.204624
