922_132291_000004_000000	Lobby	Lobby
922_132291_000005_000000	Feldman had set his legs the problem of heading for the great spaceport and escape from Earth, and he let them take him without further guidance.	Feldman had set his legs the problem of heading for the great spaceport and escape from Earth, and he let them take him without further guidance.
922_132291_000005_000001	His mind was wrapped up in a whirl of the past--his past and that of the whole planet.	His mind was wrapped up in a whirl of the past-his past and that of the whole planet.
922_132291_000006_000000	Idealism!	Idealism!
922_132291_000006_000001	Throughout history, some men had sought the ideal, and most had called it freedom.	Throughout history, some men had sought the ideal, and most had called it freedom.
922_132291_000006_000002	Only fools expected absolute freedom, but wise men dreamed up many systems of relative freedom, including democracy. They had tried that in America, as the last fling of the dream.	Only fools expected absolute freedom, but wise men dreamed up many systems of relative freedom, including democracy. They had tried that in America, as the last fling of the dream.
922_132291_000006_000003	It had been a good attempt, too.	It had been a good attempt, too.
922_132291_000007_000000	The men who drew the Constitution had been pretty practical dreamers. They came to their task after a bitter war and a worse period of wild chaos, and they had learned where idealism stopped and idiocy began. They set up a republic with all the elements of democracy that they considered safe.	The men who drew the Constitution had been pretty practical dreamers. They came to their task after a bitter war and a worse period of wild chaos, and they had learned where idealism stopped and idiocy began. They set up a republic with all the elements of democracy that they considered safe.
922_132291_000007_000002	But the men who followed the framers of the new plan were a different sort, without the knowledge of practical limits.	But the men who followed the framers of the new plan were a different sort, without the knowledge of practical limits.
922_132291_000008_000000	The privileges their ancestors had earned in blood and care became automatic rights.	The privileges their ancestors had earned in blood and care became automatic rights.
922_132291_000008_000001	Practical men tried to explain that there were no such rights--that each generation had to pay for its rights with responsibility.	Practical men tried to explain that there were no such rights-that each generation had to pay for its rights with responsibility.
922_132291_000008_000002	That kind of talk didn't get far.	That kind of talk didn't get far.
922_132291_000008_000003	People wanted to hear about rights, not about duties.	People wanted to hear about rights, not about duties.
922_132291_000009_000001	In a way, they got it.	In a way, they got it.
922_132291_000010_000000	They got the vote extended to everyone.	They got the vote extended to everyone.
922_132291_000010_000001	The man on subsidy or public dole could vote to demand more.	The man on subsidy or public dole could vote to demand more.
922_132291_000010_000002	The man who read of nothing beyond sex crimes could vote on the great political issues of the world.	The man who read of nothing beyond sex crimes could vote on the great political issues of the world.
922_132291_000010_000003	No ability was needed for his vote.	No ability was needed for his vote.
922_132291_000010_000004	In fact, he was assured that voting alone was enough to make him a fine and noble citizen.	In fact, he was assured that voting alone was enough to make him a fine and noble citizen.
922_132291_000010_000006	He became a great man by listing his unthought, hungry desire for someone to take care of him without responsibility.	He became a great man by listing his unthought, hungry desire for someone to take care of him without responsibility.
922_132291_000010_000007	So he went out and voted for the man who promised him most, or who looked most like what his limited dreams felt to be a father image or son image or hero image.	So he went out and voted for the man who promised him most, or who looked most like what his limited dreams felt to be a father image or son image or hero image.
922_132291_000010_000008	He never bothered later to see how the men he'd elected had handled the jobs he had given them.	He never bothered later to see how the men he'd elected had handled the jobs he had given them.
922_132291_000011_000000	Someone had to look, of course, and someone did.	Someone had to look, of course, and someone did.
922_132291_000011_000001	Organized special interests stepped in where the mob had failed.	Organized special interests stepped in where the mob had failed.
922_132291_000011_000002	Lobbies grew up.	Lobbies grew up.
922_132291_000011_000003	There had always been pressure groups, but now they developed into a third arm of the government.	There had always been pressure groups, but now they developed into a third arm of the government.
922_132291_000012_000000	The old Farm Lobby was unbeatable.	The old Farm Lobby was unbeatable.
922_132291_000012_000001	The big farmers shaped the laws they wanted.	The big farmers shaped the laws they wanted.
922_132291_000012_000002	They convinced the little farmers it was for the good of all, and they made the story stick well enough to swing the farm vote.	They convinced the little farmers it was for the good of all, and they made the story stick well enough to swing the farm vote.
922_132291_000012_000003	They made the laws when it came to food and crops.	They made the laws when it came to food and crops.
922_132291_000013_000000	The last of the great lobbies was Space, probably.	The last of the great lobbies was Space, probably.
922_132291_000013_000001	It was an accident that grew up so fast it never even knew it wasn't a real part of the government.	It was an accident that grew up so fast it never even knew it wasn't a real part of the government.
922_132291_000013_000002	It developed during a period of chaos when another country called Russia got the first hunk of metal above the atmosphere and when the representatives who had been picked for everything but their grasp of science and government went into panic over a myth of national prestige.	It developed during a period of chaos when another country called Russia got the first hunk of metal above the atmosphere and when the representatives who had been picked for everything but their grasp of science and government went into panic over a myth of national prestige.
922_132291_000014_000000	The space effort was turned over to the aircraft industry, which had never been able to manage itself successfully except under the stimulus of war or a threat of war.	The space effort was turned over to the aircraft industry, which had never been able to manage itself successfully except under the stimulus of war or a threat of war.
922_132291_000014_000001	The failing airplane industry became the space combine overnight, and nobody kept track of how big it was, except a few sharp operators.	The failing airplane industry became the space combine overnight, and nobody kept track of how big it was, except a few sharp operators.
922_132291_000015_000000	They worked out a system of subcontracts that spread the profits so wide that hardly a company of any size in the country wasn't getting a share. Thus a lot of patriotic, noble voters got their pay from companies in the lobby block and could be panicked by the lobby at the first mention of recession.	They worked out a system of subcontracts that spread the profits so wide that hardly a company of any size in the country wasn't getting a share. Thus a lot of patriotic, noble voters got their pay from companies in the lobby block and could be panicked by the lobby at the first mention of recession.
922_132291_000016_000000	So Space Lobby took over completely in its own field.	So Space Lobby took over completely in its own field.
922_132291_000016_000001	It developed enough pressure to get whatever appropriations it wanted, even over Presidential veto.	It developed enough pressure to get whatever appropriations it wanted, even over Presidential veto.
922_132291_000016_000002	It created the only space experts, which meant that the men placed in government agencies to regulate it came from its own ranks.	It created the only space experts, which meant that the men placed in government agencies to regulate it came from its own ranks.
922_132291_000017_000000	The other lobbies learned a lot from Space.	The other lobbies learned a lot from Space.
922_132291_000018_000000	There had been a medical lobby long before, but it had been a conservative group, mostly concerned with protecting medical autonomy and ethics.	There had been a medical lobby long before, but it had been a conservative group, mostly concerned with protecting medical autonomy and ethics.
922_132291_000018_000001	It also tried to prevent government control of treatment and payment, feeling that it couldn't trust the people to know where to stop.	It also tried to prevent government control of treatment and payment, feeling that it couldn't trust the people to know where to stop.
922_132291_000018_000002	But its history was a long series of retreats.	But its history was a long series of retreats.
922_132291_000019_000000	It fought what it called socialized medicine.	It fought what it called socialized medicine.
922_132291_000019_000001	But the people wanted their troubles handled free--which meant by government spending, since that could be added to the national debt, and thus didn't seem to cost anything.	But the people wanted their troubles handled free-which meant by government spending, since that could be added to the national debt, and thus didn't seem to cost anything.
922_132291_000019_000003	Then quantity of treatment paid, rather than quality.	Then quantity of treatment paid, rather than quality.
922_132291_000019_000004	Competence no longer mattered so much.	Competence no longer mattered so much.
922_132291_000019_000005	The Lobby lost, but didn't know it--because the lowered standards of competence in the profession lowered the caliber of men running the political aspects of that profession as exemplified by the Lobby.	The Lobby lost, but didn't know it-because the lowered standards of competence in the profession lowered the caliber of men running the political aspects of that profession as exemplified by the Lobby.
922_132291_000020_000000	It took a world-wide plague to turn the tide.	It took a world-wide plague to turn the tide.
922_132291_000020_000001	The plague began in old China; anything could start there, with more than a billion people huddled in one area and a few madmen planning to conquer the world.	The plague began in old China; anything could start there, with more than a billion people huddled in one area and a few madmen planning to conquer the world.
922_132291_000021_000000	It wiped out two billion people, depopulated Africa and most of Asia, and wrecked Europe, leaving only America comparatively safe to take over.	It wiped out two billion people, depopulated Africa and most of Asia, and wrecked Europe, leaving only America comparatively safe to take over.
922_132291_000021_000001	An obscure scientist in one of the laboratories run by the Medical Lobby found a cure before the first waves of the epidemic hit America. Rutherford Ryan, then head of the Lobby, made sure that Medical Lobby got all the credit.	An obscure scientist in one of the laboratories run by the Medical Lobby found a cure before the first waves of the epidemic hit America. Rutherford Ryan, then head of the Lobby, made sure that Medical Lobby got all the credit.
