8410_278220_000001_000000	GOING AWAY.	GOING AWAY.
8410_278220_000002_000000	At one o'clock on the appointed Thursday morning, Mr. Dunbar presented himself in the diamond-merchant's office.	At one o'clock on the appointed Thursday morning, mr Dunbar presented himself in the diamond merchant's office.
8410_278220_000002_000001	Henry Dunbar was not alone.	Henry Dunbar was not alone.
8410_278220_000005_000001	He did not go straight back to the Clarendon, but pierced his way across Smithfield, and into a busy smoky street, where he stopped by-and-by at a dingy-looking currier's shop.	He did not go straight back to the Clarendon, but pierced his way across Smithfield, and into a busy smoky street, where he stopped by and by at a dingy looking currier's shop.
8410_278220_000006_000000	He went in and selected a couple of chamois skins, very thick and strong.	He went in and selected a couple of chamois skins, very thick and strong.
8410_278220_000006_000001	At another shop he bought some large needles, half-a-dozen skeins of stout waxed thread, a pair of large scissors, a couple of strong steel buckles, and a tailor's thimble.	At another shop he bought some large needles, half a dozen skeins of stout waxed thread, a pair of large scissors, a couple of strong steel buckles, and a tailor's thimble.
8410_278220_000006_000002	When he had made these purchases, he hailed the first empty cab that passed him, and went back to his hotel.	When he had made these purchases, he hailed the first empty cab that passed him, and went back to his hotel.
8410_278220_000007_000000	He dined, drank the best part of a bottle of Burgundy, and then ordered a cup of strong tea to be taken to his dressing-room.	He dined, drank the best part of a bottle of Burgundy, and then ordered a cup of strong tea to be taken to his dressing room.
8410_278220_000007_000001	He had fires in his bedroom and dressing-room every night.	He had fires in his bedroom and dressing room every night.
8410_278220_000007_000002	To-night he retired very early, dismissed the servant who attended upon him, and locked the door of the outer room, the only door communicating with the corridor of the hotel.	To night he retired very early, dismissed the servant who attended upon him, and locked the door of the outer room, the only door communicating with the corridor of the hotel.
8410_278220_000009_000000	But he was not going to write; he pushed aside the writing-materials, and took his purchases of the afternoon from his pocket.	But he was not going to write; he pushed aside the writing materials, and took his purchases of the afternoon from his pocket.
8410_278220_000009_000001	He spread the chamois leather out upon the table, and cut the skins into two long strips, about a foot broad.	He spread the chamois leather out upon the table, and cut the skins into two long strips, about a foot broad.
8410_278220_000009_000002	He measured these round his waist, and then began to stitch them together, slowly and laboriously.	He measured these round his waist, and then began to stitch them together, slowly and laboriously.
8410_278220_000010_000001	It was past twelve o'clock when he had stitched both sides and one end of the double chamois-leather belt; the other end he left open.	It was past twelve o'clock when he had stitched both sides and one end of the double chamois leather belt; the other end he left open.
8410_278220_000011_000000	When he had completed the two sides and the end that was closed, he took four or five little canvas-bags from his pocket.	When he had completed the two sides and the end that was closed, he took four or five little canvas bags from his pocket.
8410_278220_000011_000001	Every one of these canvas-bags was full of loose diamonds.	Every one of these canvas bags was full of loose diamonds.
8410_278220_000012_000000	A thrill of rapture ran through the banker's veins as he plunged his fingers in amongst the glittering stones.	A thrill of rapture ran through the banker's veins as he plunged his fingers in amongst the glittering stones.
8410_278220_000012_000001	He filled his hands with the bright gems, and let them run from one hand to the other, like streams of liquid light.	He filled his hands with the bright gems, and let them run from one hand to the other, like streams of liquid light.
8410_278220_000012_000002	Then, very slowly and carefully, he began to drop the diamonds into the open end of the chamois-leather belt.	Then, very slowly and carefully, he began to drop the diamonds into the open end of the chamois leather belt.
8410_278220_000013_000000	When he had dropped a few into the belt, he stitched the leather across and across, quilting-in the stones.	When he had dropped a few into the belt, he stitched the leather across and across, quilting in the stones.
8410_278220_000013_000001	This work took him so long, that it was four o'clock in the morning when he had quilted the last diamond into the belt.	This work took him so long, that it was four o'clock in the morning when he had quilted the last diamond into the belt.
8410_278220_000013_000002	He gave a long sigh of relief as he threw the waste scraps of leather upon the top of the low fire, and watched them slowly smoulder away into black ashes.	He gave a long sigh of relief as he threw the waste scraps of leather upon the top of the low fire, and watched them slowly smoulder away into black ashes.
8410_278220_000013_000003	Then he put the chamois-leather belt under his pillow, and went to bed.	Then he put the chamois leather belt under his pillow, and went to bed.
8410_278220_000014_000001	He wore the chamois-leather belt buckled tightly round his waist next to his inner shirt, and was able to defy the swell-mob, had those gentry been aware of the treasures which he carried about with him.	He wore the chamois leather belt buckled tightly round his waist next to his inner shirt, and was able to defy the swell mob, had those gentry been aware of the treasures which he carried about with him.
8410_278220_000016_000000	But when the jeweller's agent came, two or three days afterwards, Mr. Dunbar could find no design that suited him; and the man returned to London without having received an order, and without having even seen the brilliants which the banker had bought.	But when the jeweller's agent came, two or three days afterwards, mr Dunbar could find no design that suited him; and the man returned to London without having received an order, and without having even seen the brilliants which the banker had bought.
