7657_104717_000000_000000	From the painting by Henry Ulke, in the Treasury Department at Washington.	From the painting by Henry Ulke, in the Treasury Department at Washington.	false	0	0.9	25
7657_104717_000001_000000	Autograph from the Chamberlain collection, Boston Public Library.	Autograph from the Chamberlain collection, Boston Public Library.	false	0.9	1.5	32
7657_104717_000002_000000	Stratford Canning 149	Stratford Canning one hundred forty nine	false	1.5	2.19	10
7657_104717_000003_000000	After a drawing (1853) by George Richmond. Autograph from "Life of Stratford Canning."	After a drawing (eighteen fifty three) by George Richmond. Autograph from "Life of Stratford Canning."	false	2.19	3.51	12
7657_104717_000004_000000	Henry A. Wise 291	Henry a Wise two hundred ninety one	false	3.51	6.06	17.460709
7657_104717_000005_000000	From a photograph by Brady, in the Library of the State Department at Washington.	From a photograph by Brady, in the Library of the State Department at Washington.	false	6.06	11.01	18
7657_104717_000006_000000	Autograph from the Chamberlain collection, Boston Public Library.	Autograph from the Chamberlain collection, Boston Public Library.	false	11.01	14.355	20.86276
7657_104717_000007_000000	JOHN QUINCY ADAMS (p.	john QUINCY ADAMS (p.	false	14.355	15.99	13
7657_104717_000007_000001	001)	o o one)	false	15.99	17.1	13
7657_104717_000008_000000	CHAPTER I	CHAPTER one	false	17.1	19.02	18.02654
7657_104717_000009_000000	YOUTH AND DIPLOMACY	YOUTH AND DIPLOMACY	true	19.02	20.56	16
7657_104717_000010_000000	On July 11, 1767, in the North Parish of Braintree, since set off as the town of Quincy, in Massachusetts, was born John Quincy Adams.	On july eleventh seventeen sixty seven, in the North Parish of Braintree, since set off as the town of Quincy, in Massachusetts, was born john Quincy Adams.	true	21.32	31.51	17
7657_104717_000010_000001	Two streams of as good blood as flowed in the colony mingled in the veins of the infant.	Two streams of as good blood as flowed in the colony mingled in the veins of the infant.	true	31.82	36.58	15
7657_104717_000010_000002	If heredity counts for anything he began life with an excellent chance of becoming famous--_non sine dis animosus infans_. He was called after his great-grandfather on the mother's side, John Quincy, a man of local note who had borne in his day a distinguished part in provincial affairs.	If heredity counts for anything he began life with an excellent chance of becoming famous-underscore non sine dis animosus infans underscore. He was called after his great grandfather on the mother's side, john Quincy, a man of local note who had borne in his day a distinguished part in provincial affairs.	false	36.71	55.54	20
7657_104717_000010_000003	Such a naming was a simple and natural occurrence enough, but Mr. Adams afterward moralized upon it in his characteristic way:--	Such a naming was a simple and natural occurrence enough, but mr Adams afterward moralized upon it in his characteristic way:--	true	55.91	63.58	17
7657_104717_000011_000000	"The incident which gave rise to this circumstance is not without its moral to my heart.	"The incident which gave rise to this circumstance is not without its moral to my heart.	true	64.16	68.71	14
7657_104717_000011_000001	He was dying when I was baptized; and his daughter, my grandmother, present at my birth, requested that I might receive his name.	He was dying when I was baptized; and his daughter, my grandmother, present at my birth, requested that I might receive his name.	true	68.78	76.57	18
7657_104717_000011_000002	The fact, recorded by my father at (p.	The fact, recorded by my father at (p.	false	76.85	78.75	20.487343
7657_104717_000011_000003	002) the time, has connected with that portion of my name a charm of mingled sensibility and devotion.	o o two) the time, has connected with that portion of my name a charm of mingled sensibility and devotion.	false	78.75	85.36	20
7657_104717_000011_000004	It was filial tenderness that gave the name.	It was filial tenderness that gave the name.	true	85.58	88.21	23
7657_104717_000011_000005	It was the name of one passing from earth to immortality.	It was the name of one passing from earth to immortality.	true	88.43	91.69	17
7657_104717_000011_000006	These have been among the strongest links of my attachment to the name of Quincy, and have been to me through life a perpetual admonition to do nothing unworthy of it."	These have been among the strongest links of my attachment to the name of Quincy, and have been to me through life a perpetual admonition to do nothing unworthy of it."	false	92.06	101.44	14
7657_104717_000012_000000	Fate, which had made such good preparation for him before his birth, was not less kind in arranging the circumstances of his early training and development.	Fate, which had made such good preparation for him before his birth, was not less kind in arranging the circumstances of his early training and development.	true	102.14	110.44	18
7657_104717_000012_000001	His father was deeply engaged in the patriot cause, and the first matters borne in upon his opening intelligence concerned the public discontent and resistance to tyranny.	His father was deeply engaged in the patriot cause, and the first matters borne in upon his opening intelligence concerned the public discontent and resistance to tyranny.	true	110.87	119.95	15
