8142_3966_000006_000000	CHAPTER XIV	CHAPTER fourteen
8142_3966_000008_000000	Genji well remembered the dream which he had dreamt at Suma, and in which his father, the late ex-Emperor, had made a faint allusion to his fallen state.	Genji well remembered the dream which he had dreamt at Suma, and in which his father, the late ex Emperor, had made a faint allusion to his fallen state.
8142_3966_000008_000001	He was always thinking of having solemn service performed for him, which might prove to be a remedy for evils.	He was always thinking of having solemn service performed for him, which might prove to be a remedy for evils.
8142_3966_000009_000000	He was now in the capital, and at liberty to do anything he wished.	He was now in the capital, and at liberty to do anything he wished.
8142_3966_000009_000001	In October, therefore, he ordered the grand ceremony of Mihakko to be performed for the repose of the dead.	In October, therefore, he ordered the grand ceremony of Mihakko to be performed for the repose of the dead.
8142_3966_000009_000002	Meanwhile the respect of the public towards Genji had now returned to its former state, and he himself had become a distinguished personage in the capital.	Meanwhile the respect of the public towards Genji had now returned to its former state, and he himself had become a distinguished personage in the capital.
8142_3966_000009_000003	The Empress-mother, though indisposed, regretted she had not ruined Genji altogether; while the Emperor, who had not forgotten the injunction of the late ex-Emperor, felt satisfied with his recent disposition towards his half-brother, which he believed to be an act of goodness.	The Empress mother, though indisposed, regretted she had not ruined Genji altogether; while the Emperor, who had not forgotten the injunction of the late ex Emperor, felt satisfied with his recent disposition towards his half brother, which he believed to be an act of goodness.
8142_3966_000010_000001	He did not, however, believe he should be long on the throne, and when he found himself lonely, he often sent for Genji, and spent hours conversing with him, without any reserve, on public affairs.	He did not, however, believe he should be long on the throne, and when he found himself lonely, he often sent for Genji, and spent hours conversing with him, without any reserve, on public affairs.
8142_3966_000012_000000	At the end of the same month the Emperor abdicated the throne in favor of the Heir-apparent, and his own son was made the Heir-apparent to the new Emperor.	At the end of the same month the Emperor abdicated the throne in favor of the Heir apparent, and his own son was made the Heir apparent to the new Emperor.
8142_3966_000014_000000	The new reign opened with several changes in public affairs.	The new reign opened with several changes in public affairs.
8142_3966_000014_000001	Genji had been made Naidaijin.	Genji had been made Naidaijin.
8142_3966_000014_000003	He was to take an active part in the administration, but as he was not yet disposed to engage in the busy cares of official life, the ex-Sadaijin, his father-in-law, was solicited to become the regent for the young Emperor.	He was to take an active part in the administration, but as he was not yet disposed to engage in the busy cares of official life, the ex Sadaijin, his father in law, was solicited to become the regent for the young Emperor.
8142_3966_000014_000004	He at first declined to accept the office, on the ground that he was advanced in age, that he had already retired from official life, and that the decline of his life left him insufficient energy.	He at first declined to accept the office, on the ground that he was advanced in age, that he had already retired from official life, and that the decline of his life left him insufficient energy.
8142_3966_000014_000006	Nor was it an unusual thing for a statesman who had retired from political scenes to assume again a place under another government.	Nor was it an unusual thing for a statesman who had retired from political scenes to assume again a place under another government.
8142_3966_000015_000000	So the ex-Sadaijin did not persist in his refusal, but finally accepted the post of Dajiodaijin (the Premier).	So the ex Sadaijin did not persist in his refusal, but finally accepted the post of Dajiodaijin (the Premier).
8142_3966_000015_000001	He was now sixty-three years of age.	He was now sixty three years of age.
8142_3966_000015_000004	His daughter by his wife, the fourth daughter of Udaijin, was now twelve years old, and was shortly expected to be presented at Court; while his son, who had sung the "high sand" at a summer-day reunion at Genji's mansion, received a title.	His daughter by his wife, the fourth daughter of Udaijin, was now twelve years old, and was shortly expected to be presented at Court; while his son, who had sung the "high sand" at a summer day reunion at Genji's mansion, received a title.
