8142_3966_000000_000000	FOOTNOTES:	FOOTNOTES:	false	0	0.06	-20
8142_3966_000001_000000	[Footnote 118: A religious feast in the Imperial Palace, in which Nin-wo-kio, one of the Buddhist Bibles, was read, an event which rarely took place.	[Footnote one hundred eighteen: A religious feast in the Imperial Palace, in which Nin wo kio, one of the Buddhist Bibles, was read, an event which rarely took place.	false	0.06	4.65	25.957954
8142_3966_000001_000001	Its object was to tranquillize the country.]	Its object was to tranquillize the country.]	false	4.65	6.36	22.351492
8142_3966_000002_000000	[Footnote 119: The god of the sea.]	[Footnote one hundred nineteen: The god of the sea.]	false	6.36	8.1	32.461826
8142_3966_000003_000000	[Footnote 120: The "biwa," more than any other instrument, is played by blind performers, who accompany it with ballads.]	[Footnote one hundred twenty: The "biwa," more than any other instrument, is played by blind performers, who accompany it with ballads.]	false	8.1	13.26	26.541267
8142_3966_000004_000000	[Footnote 121: The services performed by rigid priests were six times daily--namely, at early morn, mid-day, sunset, early evening, midnight, and after midnight.]	[Footnote one hundred twenty one: The services performed by rigid priests were six times daily-namely, at early morn, mid day, sunset, early evening, midnight, and after midnight.]	false	13.26	19.08	23.271114
8142_3966_000005_000000	[Footnote 122: The Buddhist idea that when we get into Paradise we take our seat upon the lotus flower.]	[Footnote one hundred twenty two: The Buddhist idea that when we get into Paradise we take our seat upon the lotus flower.]	false	19.08	26.28	25.204544
8142_3966_000006_000000	CHAPTER XIV	CHAPTER fourteen	true	26.28	27.67	28.492165
8142_3966_000007_000000	THE BEACON	THE BEACON	false	27.98	29.55	25.08657
8142_3966_000008_000000	Genji well remembered the dream which he had dreamt at Suma, and in which his father, the late ex-Emperor, had made a faint allusion to his fallen state.	Genji well remembered the dream which he had dreamt at Suma, and in which his father, the late ex Emperor, had made a faint allusion to his fallen state.	true	29.55	39.52	25.167376
8142_3966_000008_000001	He was always thinking of having solemn service performed for him, which might prove to be a remedy for evils.	He was always thinking of having solemn service performed for him, which might prove to be a remedy for evils.	true	39.83	46.63	26.281015
8142_3966_000009_000000	He was now in the capital, and at liberty to do anything he wished.	He was now in the capital, and at liberty to do anything he wished.	true	47.03	51.22	26.154093
8142_3966_000009_000001	In October, therefore, he ordered the grand ceremony of Mihakko to be performed for the repose of the dead.	In October, therefore, he ordered the grand ceremony of Mihakko to be performed for the repose of the dead.	true	52.1	59.02	26.936747
8142_3966_000009_000002	Meanwhile the respect of the public towards Genji had now returned to its former state, and he himself had become a distinguished personage in the capital.	Meanwhile the respect of the public towards Genji had now returned to its former state, and he himself had become a distinguished personage in the capital.	true	59.57	68.59	26.34242
8142_3966_000009_000003	The Empress-mother, though indisposed, regretted she had not ruined Genji altogether; while the Emperor, who had not forgotten the injunction of the late ex-Emperor, felt satisfied with his recent disposition towards his half-brother, which he believed to be an act of goodness.	The Empress mother, though indisposed, regretted she had not ruined Genji altogether; while the Emperor, who had not forgotten the injunction of the late ex Emperor, felt satisfied with his recent disposition towards his half brother, which he believed to be an act of goodness.	true	69.35	86.26	24.89557
8142_3966_000010_000000	This he felt the more, because he noticed the improvement in his health continued from day to day, and he experienced a sensation of fresh vigor.	This he felt the more, because he noticed the improvement in his health continued from day to day, and he experienced a sensation of fresh vigor.	false	86.93	95.83	26.973635
8142_3966_000010_000001	He did not, however, believe he should be long on the throne, and when he found himself lonely, he often sent for Genji, and spent hours conversing with him, without any reserve, on public affairs.	He did not, however, believe he should be long on the throne, and when he found himself lonely, he often sent for Genji, and spent hours conversing with him, without any reserve, on public affairs.	true	96.05	108.7	24.986328
8142_3966_000011_000000	In February of the next year the ceremony of the "Gembuk" of the Heir-apparent, who was eleven years of age, was performed.	In February of the next year the ceremony of the "Gembuk" of the Heir apparent, who was eleven years of age, was performed.	false	109.01	116.77	23.634336
8142_3966_000012_000000	At the end of the same month the Emperor abdicated the throne in favor of the Heir-apparent, and his own son was made the Heir-apparent to the new Emperor.	At the end of the same month the Emperor abdicated the throne in favor of the Heir apparent, and his own son was made the Heir apparent to the new Emperor.	true	116.99	127.54	24.736225
8142_3966_000013_000000	The suddenness of these changes struck the Empress-mother with surprise, but she was told by her son that his abdication had been occasioned by his desire to enjoy quiet and repose.	The suddenness of these changes struck the Empress mother with surprise, but she was told by her son that his abdication had been occasioned by his desire to enjoy quiet and repose.	false	127.7	138.55	26.257622
8142_3966_000014_000000	The new reign opened with several changes in public affairs.	The new reign opened with several changes in public affairs.	true	139.22	142.75	26.314373
8142_3966_000014_000001	Genji had been made Naidaijin.	Genji had been made Naidaijin.	true	142.79	145.57	20.821861
8142_3966_000014_000002	He filled this extra office of Daijin because there was no vacancy either in the Sadaijin or the Udaijin.	He filled this extra office of Daijin because there was no vacancy either in the Sadaijin or the Udaijin.	false	145.64	153.6	24.77572
8142_3966_000014_000003	He was to take an active part in the administration, but as he was not yet disposed to engage in the busy cares of official life, the ex-Sadaijin, his father-in-law, was solicited to become the regent for the young Emperor.	He was to take an active part in the administration, but as he was not yet disposed to engage in the busy cares of official life, the ex Sadaijin, his father in law, was solicited to become the regent for the young Emperor.	true	153.6	168.64	26.828922
8142_3966_000014_000004	He at first declined to accept the office, on the ground that he was advanced in age, that he had already retired from official life, and that the decline of his life left him insufficient energy.	He at first declined to accept the office, on the ground that he was advanced in age, that he had already retired from official life, and that the decline of his life left him insufficient energy.	true	169.01	180.43	26.24068
8142_3966_000014_000005	There was, however, an example in a foreign State, where some wise councillors, who resigned and had retired into the far-off mountains when their country was in a disturbed state, came forth from their retreat, with their snow-crowned heads, and took part in the administration of affairs.	There was, however, an example in a foreign State, where some wise councillors, who resigned and had retired into the far off mountains when their country was in a disturbed state, came forth from their retreat, with their snow crowned heads, and took part in the administration of affairs.	false	180.77	196.66	28.50598
8142_3966_000014_000006	Nor was it an unusual thing for a statesman who had retired from political scenes to assume again a place under another government.	Nor was it an unusual thing for a statesman who had retired from political scenes to assume again a place under another government.	true	196.82	204.79	24.273417
8142_3966_000015_000000	So the ex-Sadaijin did not persist in his refusal, but finally accepted the post of Dajiodaijin (the Premier).	So the ex Sadaijin did not persist in his refusal, but finally accepted the post of Dajiodaijin (the Premier).	true	205.34	213.58	25.12477
8142_3966_000015_000001	He was now sixty-three years of age.	He was now sixty three years of age.	true	213.95	216.225	27.863405
8142_3966_000015_000002	His former retirement had taken place more on account of his disgust with the world than from his indisposition, and hence, when he accepted his new post, he at once showed how capable he was of being a responsible Minister.	His former retirement had taken place more on account of his disgust with the world than from his indisposition, and hence, when he accepted his new post, he at once showed how capable he was of being a responsible Minister.	false	216.225	229.59	27.423105
8142_3966_000015_000003	To-no-Chiujio, his eldest son, was also made the Gon-Chiunagon.	To no Chiujio, his eldest son, was also made the Gon Chiunagon.	false	229.59	235.5	22.300842
8142_3966_000015_000004	His daughter by his wife, the fourth daughter of Udaijin, was now twelve years old, and was shortly expected to be presented at Court; while his son, who had sung the "high sand" at a summer-day reunion at Genji's mansion, received a title.	His daughter by his wife, the fourth daughter of Udaijin, was now twelve years old, and was shortly expected to be presented at Court; while his son, who had sung the "high sand" at a summer day reunion at Genji's mansion, received a title.	true	235.5	250.93	24.129591
8142_3966_000015_000005	The young Genji too, the son of the late Lady Aoi, was admitted to the Court of the Emperor and of the Heir-apparent.	The young Genji too, the son of the late Lady Aoi, was admitted to the Court of the Emperor and of the Heir apparent.	true	251.33	259.24	24.283628
8142_3966_000016_000000	The attendants who faithfully served the young Genji, and those in the mansion at Nijio, had all received a satisfactory token of appreciation from Genji, who now began to have a mansion repaired, which was situated to the east of the one in which he resided, and which had formerly belonged to his father.	The attendants who faithfully served the young Genji, and those in the mansion at Nijio, had all received a satisfactory token of appreciation from Genji, who now began to have a mansion repaired, which was situated to the east of the one in which he resided, and which had formerly belonged to his father.	false	260.03	278.59	25.373806
8142_3966_000016_000001	This he did with a notion of placing there some of his intimate friends, such as the younger one of the ladies in the "Villa of Falling Flowers."	This he did with a notion of placing there some of his intimate friends, such as the younger one of the ladies in the "Villa of Falling Flowers."	true	278.87	287.08	25.01238
8142_3966_000017_000000	Now the young maiden also, whom Genji had left behind at Akashi, and who had been in delicate health, did not pass away from his thoughts. He despatched a messenger there on the first of March, as he deemed the happy event would take place about that time.	Now the young maiden also, whom Genji had left behind at Akashi, and who had been in delicate health, did not pass away from his thoughts. He despatched a messenger there on the first of March, as he deemed the happy event would take place about that time.	true	287.39	303.16	23.855799
8142_3966_000017_000001	When the messenger returned, he reported that she was safely delivered of a girl on the sixteenth of the month.	When the messenger returned, he reported that she was safely delivered of a girl on the sixteenth of the month.	true	303.56	309.6	21.644373
8142_3966_000018_000000	He remembered the prediction of an astrologer who had told him that an Emperor would be born to him, and another son who would eventually become a Dajiodaijin.	He remembered the prediction of an astrologer who had told him that an Emperor would be born to him, and another son who would eventually become a Dajiodaijin.	false	309.6	318.69	23.687166
8142_3966_000018_000001	He also remembered that a daughter, who would be afterwards an Empress, would be also born to him, by a lady inferior to the mothers of the other two children.	He also remembered that a daughter, who would be afterwards an Empress, would be also born to him, by a lady inferior to the mothers of the other two children.	false	318.69	327.52	23.668295
8142_3966_000018_000002	When he reflected on this prediction and on the series of events, he began thinking of the remarkable coincidences they betrayed; and as he thought of sending for her, as soon as the condition of the young mother's health would admit, he hurried forward the repairs of the eastern mansion.	When he reflected on this prediction and on the series of events, he began thinking of the remarkable coincidences they betrayed; and as he thought of sending for her, as soon as the condition of the young mother's health would admit, he hurried forward the repairs of the eastern mansion.	true	327.89	344.65	26.067337
8142_3966_000018_000003	He also thought that as there might not be a suitable nurse at Akashi for the child, he ought to send one from the capital.	He also thought that as there might not be a suitable nurse at Akashi for the child, he ought to send one from the capital.	true	344.84	352.48	26.026068
8142_3966_000018_000004	Fortunately there was a lady there who had lately been delivered of a child.	Fortunately there was a lady there who had lately been delivered of a child.	true	352.67	357.1	21.775265
8142_3966_000018_000005	Her mother, who had waited at Court when the late ex-Emperor lived, and her father, who had been some time Court Chamberlain, were both dead.	Her mother, who had waited at Court when the late ex Emperor lived, and her father, who had been some time Court Chamberlain, were both dead.	true	357.2	365.26	24.764902
8142_3966_000018_000006	She was now in miserable circumstances.	She was now in miserable circumstances.	true	365.48	368.01	29.598648
