3914_10088_000020_000000	"It hasn't been a question for me.	"It hasn't been a question for me.
3914_10088_000020_000001	If you've had your woman I've had," she said, "my man."	If you've had your woman I've had," she said, "my man."
3914_10088_000021_000000	"And you mean that makes you all right?"	"And you mean that makes you all right?"
3914_10088_000023_000000	"I don't know why it shouldn't make me--humanly, which is what we're speaking of--as right as it makes you."	"I don't know why it shouldn't make me-humanly, which is what we're speaking of-as right as it makes you."
3914_10088_000024_000000	"I see," Marcher returned.	"I see," Marcher returned.
3914_10088_000024_000001	"'Humanly,' no doubt, as showing that you're living for something.	"'Humanly,' no doubt, as showing that you're living for something.
3914_10088_000024_000002	Not, that is, just for me and my secret."	Not, that is, just for me and my secret."
3914_10088_000025_000000	May Bartram smiled.	May Bartram smiled.
3914_10088_000025_000001	"I don't pretend it exactly shows that I'm not living for you.	"I don't pretend it exactly shows that I'm not living for you.
3914_10088_000025_000002	It's my intimacy with you that's in question."	It's my intimacy with you that's in question."
3914_10088_000026_000000	He laughed as he saw what she meant.	He laughed as he saw what she meant.
3914_10088_000026_000001	"Yes, but since, as you say, I'm only, so far as people make out, ordinary, you're--aren't you?	"Yes, but since, as you say, I'm only, so far as people make out, ordinary, you're-aren't you?
3914_10088_000026_000003	You help me to pass for a man like another.	You help me to pass for a man like another.
3914_10088_000026_000005	Is that it?"	Is that it?"
3914_10088_000027_000000	She had another of her waits, but she spoke clearly enough.	She had another of her waits, but she spoke clearly enough.
3914_10088_000027_000001	"That's it. It's all that concerns me--to help you to pass for a man like another."	"That's it. It's all that concerns me-to help you to pass for a man like another."
3914_10088_000028_000000	He was careful to acknowledge the remark handsomely.	He was careful to acknowledge the remark handsomely.
3914_10088_000028_000001	"How kind, how beautiful, you are to me!	"How kind, how beautiful, you are to me!
3914_10088_000028_000002	How shall I ever repay you?"	How shall I ever repay you?"
3914_10088_000029_000000	She had her last grave pause, as if there might be a choice of ways.	She had her last grave pause, as if there might be a choice of ways.
3914_10088_000029_000001	But she chose.	But she chose.
3914_10088_000029_000002	"By going on as you are."	"By going on as you are."
3914_10088_000030_000000	It was into this going on as he was that they relapsed, and really for so long a time that the day inevitably came for a further sounding of their depths.	It was into this going on as he was that they relapsed, and really for so long a time that the day inevitably came for a further sounding of their depths.
3914_10088_000030_000001	These depths, constantly bridged over by a structure firm enough in spite of its lightness and of its occasional oscillation in the somewhat vertiginous air, invited on occasion, in the interest of their nerves, a dropping of the plummet and a measurement of the abyss.	These depths, constantly bridged over by a structure firm enough in spite of its lightness and of its occasional oscillation in the somewhat vertiginous air, invited on occasion, in the interest of their nerves, a dropping of the plummet and a measurement of the abyss.
3914_10088_000030_000002	A difference had been made moreover, once for all, by the fact that she had all the while not appeared to feel the need of rebutting his charge of an idea within her that she didn't dare to express--a charge uttered just before one of the fullest of their later discussions ended.	A difference had been made moreover, once for all, by the fact that she had all the while not appeared to feel the need of rebutting his charge of an idea within her that she didn't dare to express-a charge uttered just before one of the fullest of their later discussions ended.
3914_10088_000030_000003	It had come up for him then that she "knew" something and that what she knew was bad--too bad to tell him.	It had come up for him then that she "knew" something and that what she knew was bad-too bad to tell him.
3914_10088_000030_000004	When he had spoken of it as visibly so bad that she was afraid he might find it out, her reply had left the matter too equivocal to be let alone and yet, for Marcher's special sensibility, almost too formidable again to touch.	When he had spoken of it as visibly so bad that she was afraid he might find it out, her reply had left the matter too equivocal to be let alone and yet, for Marcher's special sensibility, almost too formidable again to touch.
3914_10088_000030_000005	He circled about it at a distance that alternately narrowed and widened and that still wasn't much affected by the consciousness in him that there was nothing she could "know," after all, any better than he did.	He circled about it at a distance that alternately narrowed and widened and that still wasn't much affected by the consciousness in him that there was nothing she could "know," after all, any better than he did.
3914_10088_000030_000006	She had no source of knowledge he hadn't equally--except of course that she might have finer nerves.	She had no source of knowledge he hadn't equally-except of course that she might have finer nerves.
3914_10088_000030_000007	That was what women had where they were interested; they made out things, where people were concerned, that the people often couldn't have made out for themselves.	That was what women had where they were interested; they made out things, where people were concerned, that the people often couldn't have made out for themselves.
3914_10088_000030_000008	Their nerves, their sensibility, their imagination, were conductors and revealers, and the beauty of May Bartram was in particular that she had given herself so to his case.	Their nerves, their sensibility, their imagination, were conductors and revealers, and the beauty of May Bartram was in particular that she had given herself so to his case.
3914_10088_000030_000009	He felt in these days what, oddly enough, he had never felt before, the growth of a dread of losing her by some catastrophe--some catastrophe that yet wouldn't at all be the catastrophe: partly because she had almost of a sudden begun to strike him as more useful to him than ever yet, and partly by reason of an appearance of uncertainty in her health, co-incident and equally new.	He felt in these days what, oddly enough, he had never felt before, the growth of a dread of losing her by some catastrophe-some catastrophe that yet wouldn't at all be the catastrophe: partly because she had almost of a sudden begun to strike him as more useful to him than ever yet, and partly by reason of an appearance of uncertainty in her health, co incident and equally new.
3914_10088_000031_000000	When the day came, as come it had to, that his friend confessed to him her fear of a deep disorder in her blood, he felt somehow the shadow of a change and the chill of a shock.	When the day came, as come it had to, that his friend confessed to him her fear of a deep disorder in her blood, he felt somehow the shadow of a change and the chill of a shock.
3914_10088_000031_000001	He immediately began to imagine aggravations and disasters, and above all to think of her peril as the direct menace for himself of personal privation.	He immediately began to imagine aggravations and disasters, and above all to think of her peril as the direct menace for himself of personal privation.
3914_10088_000031_000002	This indeed gave him one of those partial recoveries of equanimity that were agreeable to him--it showed him that what was still first in his mind was the loss she herself might suffer.	This indeed gave him one of those partial recoveries of equanimity that were agreeable to him-it showed him that what was still first in his mind was the loss she herself might suffer.
3914_10088_000031_000004	It would have been brutal, in the early stages of her trouble, to put that question to her; but it had immediately sounded for him to his own concern, and the possibility was what most made him sorry for her.	It would have been brutal, in the early stages of her trouble, to put that question to her; but it had immediately sounded for him to his own concern, and the possibility was what most made him sorry for her.
3914_10088_000031_000005	If she did "know," moreover, in the sense of her having had some--what should he think?--mystical irresistible light, this would make the matter not better, but worse, inasmuch as her original adoption of his own curiosity had quite become the basis of her life.	If she did "know," moreover, in the sense of her having had some-what should he think?--mystical irresistible light, this would make the matter not better, but worse, inasmuch as her original adoption of his own curiosity had quite become the basis of her life.
3914_10088_000031_000007	These reflexions, as I say, quickened his generosity; yet, make them as he might, he saw himself, with the lapse of the period, more and more disconcerted.	These reflexions, as I say, quickened his generosity; yet, make them as he might, he saw himself, with the lapse of the period, more and more disconcerted.
3914_10088_000031_000008	It lapsed for him with a strange steady sweep, and the oddest oddity was that it gave him, independently of the threat of much inconvenience, almost the only positive surprise his career, if career it could be called, had yet offered him.	It lapsed for him with a strange steady sweep, and the oddest oddity was that it gave him, independently of the threat of much inconvenience, almost the only positive surprise his career, if career it could be called, had yet offered him.
3914_10088_000031_000011	If she was old, or almost, John Marcher assuredly was, and yet it was her showing of the lesson, not his own, that brought the truth home to him.	If she was old, or almost, john Marcher assuredly was, and yet it was her showing of the lesson, not his own, that brought the truth home to him.
3914_10088_000032_000001	He had never so unreservedly qualified her as while confronted in thought with such a possibility; in spite of which there was small doubt for him that as an answer to his long riddle the mere effacement of even so fine a feature of his situation would be an abject anticlimax.	He had never so unreservedly qualified her as while confronted in thought with such a possibility; in spite of which there was small doubt for him that as an answer to his long riddle the mere effacement of even so fine a feature of his situation would be an abject anticlimax.
3914_10088_000032_000002	It would represent, as connected with his past attitude, a drop of dignity under the shadow of which his existence could only become the most grotesques of failures.	It would represent, as connected with his past attitude, a drop of dignity under the shadow of which his existence could only become the most grotesques of failures.
3914_10088_000032_000003	He had been far from holding it a failure--long as he had waited for the appearance that was to make it a success.	He had been far from holding it a failure-long as he had waited for the appearance that was to make it a success.
3914_10088_000032_000004	He had waited for quite another thing, not for such a thing as that.	He had waited for quite another thing, not for such a thing as that.
3914_10088_000032_000005	The breath of his good faith came short, however, as he recognised how long he had waited, or how long at least his companion had.	The breath of his good faith came short, however, as he recognised how long he had waited, or how long at least his companion had.
3914_10088_000032_000007	It grew more grave as the gravity of her condition grew, and the state of mind it produced in him, which he himself ended by watching as if it had been some definite disfigurement of his outer person, may pass for another of his surprises.	It grew more grave as the gravity of her condition grew, and the state of mind it produced in him, which he himself ended by watching as if it had been some definite disfigurement of his outer person, may pass for another of his surprises.
3914_10088_000032_000008	This conjoined itself still with another, the really stupefying consciousness of a question that he would have allowed to shape itself had he dared.	This conjoined itself still with another, the really stupefying consciousness of a question that he would have allowed to shape itself had he dared.
3914_10088_000032_000011	Since it was in Time that he was to have met his fate, so it was in Time that his fate was to have acted; and as he waked up to the sense of no longer being young, which was exactly the sense of being stale, just as that, in turn, was the sense of being weak, he waked up to another matter beside.	Since it was in Time that he was to have met his fate, so it was in Time that his fate was to have acted; and as he waked up to the sense of no longer being young, which was exactly the sense of being stale, just as that, in turn, was the sense of being weak, he waked up to another matter beside.
3914_10088_000032_000012	It all hung together; they were subject, he and the great vagueness, to an equal and indivisible law. When the possibilities themselves had accordingly turned stale, when the secret of the gods had grown faint, had perhaps even quite evaporated, that, and that only, was failure.	It all hung together; they were subject, he and the great vagueness, to an equal and indivisible law. When the possibilities themselves had accordingly turned stale, when the secret of the gods had grown faint, had perhaps even quite evaporated, that, and that only, was failure.
3914_10088_000032_000013	It wouldn't have been failure to be bankrupt, dishonoured, pilloried, hanged; it was failure not to be anything.	It wouldn't have been failure to be bankrupt, dishonoured, pilloried, hanged; it was failure not to be anything.
3914_10088_000032_000014	And so, in the dark valley into which his path had taken its unlooked-for twist, he wondered not a little as he groped.	And so, in the dark valley into which his path had taken its unlooked for twist, he wondered not a little as he groped.
