3914_10088_000000_000000	"Afraid?"	"Afraid?"	false	0	0.57	6
3914_10088_000000_000001	He thought, as she repeated the word, that his question had made her, a little, change colour; so that, lest he should have touched on a truth, he explained very kindly: "You remember that that was what you asked _me_ long ago--that first day at Weatherend."	He thought, as she repeated the word, that his question had made her, a little, change colour; so that, lest he should have touched on a truth, he explained very kindly: "You remember that that was what you asked underscore me underscore long ago-that first day at Weatherend."	false	0.57	20.4	22.762499
3914_10088_000001_000000	"Oh yes, and you told me you didn't know--that I was to see for myself. We've said little about it since, even in so long a time."	"Oh yes, and you told me you didn't know-that I was to see for myself. We've said little about it since, even in so long a time."	false	20.4	26.64	19.69881
3914_10088_000002_000000	"Precisely," Marcher interposed--"quite as if it were too delicate a matter for us to make free with.	"Precisely," Marcher interposed-"quite as if it were too delicate a matter for us to make free with.	false	26.64	28.89	24.244488
3914_10088_000002_000001	Quite as if we might find, on pressure, that I _am_ afraid.	Quite as if we might find, on pressure, that I underscore am underscore afraid.	false	28.89	32.46	23
3914_10088_000002_000002	For then," he said, "we shouldn't, should we?	For then," he said, "we shouldn't, should we?	false	32.46	35.88	23
3914_10088_000002_000003	quite know what to do."	quite know what to do."	false	35.88	37.29	22.024714
3914_10088_000003_000000	She had for the time no answer to this question.	She had for the time no answer to this question.	false	37.29	37.68	12
3914_10088_000003_000001	"There have been days when I thought you were.	"There have been days when I thought you were.	false	37.68	38.94	26.420296
3914_10088_000003_000002	Only, of course," she added, "there have been days when we have thought almost anything."	Only, of course," she added, "there have been days when we have thought almost anything."	false	38.94	47.1	23.02822
3914_10088_000004_000000	"Everything.	"Everything.	false	47.1	47.49	10
3914_10088_000004_000001	Oh!" Marcher softly groaned, as with a gasp, half spent, at the face, more uncovered just then than it had been for a long while, of the imagination always with them.	Oh!" Marcher softly groaned, as with a gasp, half spent, at the face, more uncovered just then than it had been for a long while, of the imagination always with them.	false	47.49	59.61	22.498264
3914_10088_000004_000002	It had always had it's incalculable moments of glaring out, quite as with the very eyes of the very Beast, and, used as he was to them, they could still draw from him the tribute of a sigh that rose from the depths of his being.	It had always had it's incalculable moments of glaring out, quite as with the very eyes of the very Beast, and, used as he was to them, they could still draw from him the tribute of a sigh that rose from the depths of his being.	false	59.61	77.04	23.28988
3914_10088_000004_000003	All they had thought, first and last, rolled over him; the past seemed to have been reduced to mere barren speculation.	All they had thought, first and last, rolled over him; the past seemed to have been reduced to mere barren speculation.	false	77.04	83.67	22.646845
3914_10088_000004_000004	This in fact was what the place had just struck him as so full of--the simplification of everything but the state of suspense.	This in fact was what the place had just struck him as so full of-the simplification of everything but the state of suspense.	false	83.67	91.38	20.885612
3914_10088_000004_000005	That remained only by seeming to hang in the void surrounding it.	That remained only by seeming to hang in the void surrounding it.	false	91.38	95.25	23.445326
3914_10088_000004_000006	Even his original fear, if fear it as had been, had lost itself in the desert.	Even his original fear, if fear it as had been, had lost itself in the desert.	false	95.25	100.44	22.469173
3914_10088_000004_000007	"I judge, however," he continued, "that you see I'm not afraid now."	"I judge, however," he continued, "that you see I'm not afraid now."	false	100.44	104.25	24.172007
3914_10088_000005_000000	"What I see, as I make it out, is that you've achieved something almost unprecedented in the way of getting used to danger.	"What I see, as I make it out, is that you've achieved something almost unprecedented in the way of getting used to danger.	false	104.25	114.36	22.432055
3914_10088_000005_000001	Living with it so long and so closely you've lost your sense of it; you know it's there, but you're indifferent, and you cease even, as of old, to have to whistle in the dark.	Living with it so long and so closely you've lost your sense of it; you know it's there, but you're indifferent, and you cease even, as of old, to have to whistle in the dark.	false	114.36	125.52	21.209534
3914_10088_000005_000002	Considering what the danger is," May Bartram wound up, "I'm bound to say I don't think your attitude could well be surpassed."	Considering what the danger is," May Bartram wound up, "I'm bound to say I don't think your attitude could well be surpassed."	false	125.52	133.14	17.699718
3914_10088_000006_000000	John Marcher faintly smiled.	john Marcher faintly smiled.	false	133.14	134.55	18
3914_10088_000006_000001	"It's heroic?"	"It's heroic?"	false	134.55	135.24	27.993214
3914_10088_000007_000000	"Certainly--call it that."	"Certainly-call it that."	false	135.24	136.41	27.824604
3914_10088_000008_000000	It was what he would have liked indeed to call it.	It was what he would have liked indeed to call it.	false	136.41	141.33	24.364264
3914_10088_000008_000001	"I _am_ then a man of courage?"	"I underscore am underscore then a man of courage?"	false	141.33	146.37	22.738056
3914_10088_000009_000000	"That's what you were to show me."	"That's what you were to show me."	false	146.37	149.34	23.256636
3914_10088_000010_000000	He still, however, wondered.	He still, however, wondered.	false	149.34	152.37	25
3914_10088_000010_000001	"But doesn't the man of courage know what he's afraid of--or not afraid of?	"But doesn't the man of courage know what he's afraid of-or not afraid of?	false	152.37	160.29	24.162495
3914_10088_000010_000002	I don't know _that_, you see.	I don't know underscore that underscore, you see.	false	160.29	162.99	19
3914_10088_000010_000003	I don't focus it.	I don't focus it.	false	162.99	164.34	23.064314
3914_10088_000010_000004	I can't name it.	I can't name it.	false	164.34	165.6	20.86971
3914_10088_000010_000005	I only know I'm exposed."	I only know I'm exposed."	false	165.6	167.19	29.87644
3914_10088_000011_000000	"Yes, but exposed--how shall I say?--so directly.	"Yes, but exposed-how shall I say?--so directly.	false	167.19	170.1	16
3914_10088_000011_000001	So intimately.	So intimately.	false	170.1	170.73	8
3914_10088_000011_000002	That's surely enough."	That's surely enough."	false	170.73	172.35	16.849928
3914_10088_000012_000000	"Enough to make you feel then--as what we may call the end and the upshot of our watch--that I'm not afraid?"	"Enough to make you feel then-as what we may call the end and the upshot of our watch-that I'm not afraid?"	false	172.35	178.59	25.134176
3914_10088_000013_000000	"You're not afraid.	"You're not afraid.	false	178.59	178.59	
3914_10088_000013_000001	But it isn't," she said, "the end of our watch.	But it isn't," she said, "the end of our watch.	false	178.59	178.65	25
3914_10088_000013_000002	That is it isn't the end of yours.	That is it isn't the end of yours.	false	178.65	178.71	-20
3914_10088_000013_000003	You've everything still to see."	You've everything still to see."	false	178.71	178.74	-14
3914_10088_000014_000000	"Then why haven't you?" he asked.	"Then why haven't you?" he asked.	false	178.74	178.77	-20
3914_10088_000014_000001	He had had, all along, to-day, the sense of her keeping something back, and he still had it.	He had had, all along, to day, the sense of her keeping something back, and he still had it.	false	178.77	178.86	9
3914_10088_000014_000002	As this was his first impression of that it quite made a date.	As this was his first impression of that it quite made a date.	false	178.86	178.95	0
3914_10088_000014_000003	The case was the more marked as she didn't at first answer; which in turn made him go on.	The case was the more marked as she didn't at first answer; which in turn made him go on.	false	178.95	179.04	-20
3914_10088_000014_000004	"You know something I don't." Then his voice, for that of a man of courage, trembled a little.	"You know something I don't." Then his voice, for that of a man of courage, trembled a little.	false	179.04	179.13	-20
3914_10088_000014_000005	"You know what's to happen." Her silence, with the face she showed, was almost a confession--it made him sure.	"You know what's to happen." Her silence, with the face she showed, was almost a confession-it made him sure.	false	179.13	179.25	22.77674
3914_10088_000014_000006	"You know, and you're afraid to tell me.	"You know, and you're afraid to tell me.	false	179.25	179.28	-20
