2517_135227_000000_000000	I shuddered.	I shuddered.	false	0	0.93	-20
2517_135227_000001_000000	"Never forget," she said, "that here death is considered the chief blessing.	"Never forget," she said, "that here death is considered the chief blessing.	false	0.93	9.69	23.192421
2517_135227_000001_000001	It is useless for you to interfere in their ways.	It is useless for you to interfere in their ways.	false	9.69	14.43	22.380894
2517_135227_000001_000002	You cannot change them."	You cannot change them."	false	14.43	15.93	28.548887
2517_135227_000002_000000	Some more joms passed.	Some more joms passed.	false	15.93	17.43	16
2517_135227_000002_000001	The bodies were embalmed, and Almah had more victims to crown with garlands in the horrible cheder nebilin.	The bodies were embalmed, and Almah had more victims to crown with garlands in the horrible cheder nebilin.	false	17.43	26.4	24.011845
2517_135227_000003_000000	CHAPTER XII	CHAPTER twelve	true	26.4	27.555	27.402584
2517_135227_000004_000000	THE BALEFUL SACRIFICE	THE BALEFUL SACRIFICE	true	27.555	29.2	27.333824
2517_135227_000005_000000	I resolved to go on no more sacred hunts.	I resolved to go on no more sacred hunts.	true	30.38	33.43	22.803215
2517_135227_000005_000001	I was sickened at the horrible cruelty, the needless slaughter, the mad self-sacrifice which distinguished them.	I was sickened at the horrible cruelty, the needless slaughter, the mad self sacrifice which distinguished them.	true	33.92	40.78	23.210533
2517_135227_000005_000002	I was overwhelmed with horror at the merciless destruction of brave comrades, whose wounds, so gallantly received, should have been enough to inspire pity even in a heart of stone.	I was overwhelmed with horror at the merciless destruction of brave comrades, whose wounds, so gallantly received, should have been enough to inspire pity even in a heart of stone.	true	41.39	52.09	22.953491
2517_135227_000005_000003	The gentleness, the incessant kindness, the matchless generosity of these people seemed all a mockery.	The gentleness, the incessant kindness, the matchless generosity of these people seemed all a mockery.	true	52.94	59.2	21.781122
2517_135227_000005_000004	What availed it all when the same hand that heaped favors upon me, the guest, could deal death without compunction upon friends and relatives?	What availed it all when the same hand that heaped favors upon me, the guest, could deal death without compunction upon friends and relatives?	true	59.9	68.74	20.868696
2517_135227_000005_000005	It seemed quite possible for the Kohen to kill his own child, or cut the throat of his wife, if the humor seized him.	It seemed quite possible for the Kohen to kill his own child, or cut the throat of his wife, if the humor seized him.	true	69.53	76.51	25.652988
2517_135227_000005_000006	And how long could I hope to be spared among a people who had this insane thirst for blood?	And how long could I hope to be spared among a people who had this insane thirst for blood?	true	77.12	82.93	26.064085
2517_135227_000006_000000	Some more joms had passed, and the light season had almost ended. The sun had been sinking lower and lower.	Some more joms had passed, and the light season had almost ended. The sun had been sinking lower and lower.	true	84.17	91.66	20.363592
2517_135227_000006_000001	The time had at last come when only a portion of his disk would be visible for a little while above the hills, and then he would be seen no more for six months of our time.	The time had at last come when only a portion of his disk would be visible for a little while above the hills, and then he would be seen no more for six months of our time.	true	92.18	102.91	21.693882
2517_135227_000006_000002	This was the dark season, and, as I had already learned, its advent was always hailed with joy and celebrated with solemn services, for the dark season freed them from their long confinement, permitted them to go abroad, to travel by sea and land, to carry on their great works, to indulge in all their most important labors and favorite amusements.	This was the dark season, and, as I had already learned, its advent was always hailed with joy and celebrated with solemn services, for the dark season freed them from their long confinement, permitted them to go abroad, to travel by sea and land, to carry on their great works, to indulge in all their most important labors and favorite amusements.	true	103.43	125.44	22.094055
2517_135227_000006_000003	The Kohen asked me to be present at the great festival, and I gladly consented.	The Kohen asked me to be present at the great festival, and I gladly consented.	true	126.23	131.02	24.59243
2517_135227_000006_000004	There seemed to be nothing in this that could be repellent.	There seemed to be nothing in this that could be repellent.	true	131.6	134.38	31.067602
2517_135227_000006_000005	As I was anxious to witness some of their purely religious ceremonies, I wished to go.	As I was anxious to witness some of their purely religious ceremonies, I wished to go.	true	134.93	139.78	21.006111
2517_135227_000006_000006	When I told Almah, she looked sad, but said nothing.	When I told Almah, she looked sad, but said nothing.	true	140.39	143.59	23.956013
2517_135227_000006_000007	I wondered at this, and asked her if she was going.	I wondered at this, and asked her if she was going.	true	144.11	147.25	24.70212
2517_135227_000006_000008	She informed me that she would have to go, whereupon I assured her that this was an additional reason why I should go.	She informed me that she would have to go, whereupon I assured her that this was an additional reason why I should go.	true	147.65	154.78	22.966908
2517_135227_000007_000000	I went with Almah.	I went with Almah.	true	155.39	156.76	23.220894
2517_135227_000007_000001	The Kohen attended us with his usual kind and gracious consideration.	The Kohen attended us with his usual kind and gracious consideration.	true	157.01	161.32	21
2517_135227_000007_000002	It seemed almost as though he was our servant. He took us to a place where we could be seated, although all the others were standing.	It seemed almost as though he was our servant. He took us to a place where we could be seated, although all the others were standing.	true	161.75	169.69	22.950878
2517_135227_000007_000003	Almah wished to refuse, but I prevailed upon her to sit down, and she did so.	Almah wished to refuse, but I prevailed upon her to sit down, and she did so.	true	170.24	175.87	23.101032
2517_135227_000008_000000	The scene was upon the semicircular terrace in front of the cavern, and we were seated upon a stone platform beside the chief portal.	The scene was upon the semicircular terrace in front of the cavern, and we were seated upon a stone platform beside the chief portal.	true	176.84	185.11	23.962101
2517_135227_000008_000001	A vast crowd was gathered in front.	A vast crowd was gathered in front.	true	185.72	187.99	23.805336
2517_135227_000008_000002	Before us arose the half-pyramid of which I have already spoken.	Before us arose the half pyramid of which I have already spoken.	true	188.3	192.7	23.237684
2517_135227_000008_000003	The light was faint.	The light was faint.	true	193.25	194.65	24.034534
2517_135227_000008_000004	It came from the disk of the sun, which was partly visible over the icy crest of the distant mountains.	It came from the disk of the sun, which was partly visible over the icy crest of the distant mountains.	true	194.93	201.4	24.16767
2517_135227_000008_000005	Far away the sea was visible, rising high over the tops of the trees, while overhead the brighter stars were plainly discernible.	Far away the sea was visible, rising high over the tops of the trees, while overhead the brighter stars were plainly discernible.	true	202.01	210.85	20.164478
2517_135227_000009_000000	The Kohen ascended the pyramid, and others followed.	The Kohen ascended the pyramid, and others followed.	true	212.12	215.5	20.539967
2517_135227_000009_000001	At the base there was a crowd of men, with emaciated forms and faces, and coarse, squalid attire, who looked like the most abject paupers, and seemed the lowest in the land.	At the base there was a crowd of men, with emaciated forms and faces, and coarse, squalid attire, who looked like the most abject paupers, and seemed the lowest in the land.	true	215.87	228.1	24.716152
2517_135227_000009_000002	As the Kohen reached the summit there arose a strange sound--a mournful, plaintive chant, which seemed to be sung chiefly by the paupers at the base of the pyramid.	As the Kohen reached the summit there arose a strange sound-a mournful, plaintive chant, which seemed to be sung chiefly by the paupers at the base of the pyramid.	true	228.98	239.98	23.920097
2517_135227_000009_000003	The words of this chant I could not make out, but the melancholy strain affected me in spite of myself.	The words of this chant I could not make out, but the melancholy strain affected me in spite of myself.	true	240.89	247.42	24.885794
2517_135227_000009_000004	There was no particular tune, and nothing like harmony; but the effect of so many voices uniting in this strain was very powerful and altogether indescribable.	There was no particular tune, and nothing like harmony; but the effect of so many voices uniting in this strain was very powerful and altogether indescribable.	true	248.24	259.18	23.156868
2517_135227_000009_000005	In the midst of this I saw the crowd parting asunder so as to make way for something; and through the passage thus formed I saw a number of youths in long robes, who advanced to the pyramid, singing as they went.	In the midst of this I saw the crowd parting asunder so as to make way for something; and through the passage thus formed I saw a number of youths in long robes, who advanced to the pyramid, singing as they went.	true	259.88	273.52	21.4873
2517_135227_000009_000006	Then they ascended the steps, two by two, still singing, and at length reached the summit, where they arranged themselves in order.	Then they ascended the steps, two by two, still singing, and at length reached the summit, where they arranged themselves in order.	true	274.46	282.85	22.567492
2517_135227_000009_000007	There were thirty of them and they arranged themselves in three rows of ten each, and as they stood they never ceased to sing, while the paupers below joined in the strain.	There were thirty of them and they arranged themselves in three rows of ten each, and as they stood they never ceased to sing, while the paupers below joined in the strain.	true	283.67	294.85	21.813309
2517_135227_000010_000000	And now the sun was almost hidden, and there was only the faintest line from the upper edge of his disk perceptible over the icy mountain-tops.	And now the sun was almost hidden, and there was only the faintest line from the upper edge of his disk perceptible over the icy mountain tops.	true	295.34	303.61	19.885166
2517_135227_000010_000001	The light was a softened twilight glow.	The light was a softened twilight glow.	true	304.34	307.12	28.013138
2517_135227_000010_000002	It was to be the last sight of the sun for six months, and this was the spectacle upon which he threw his parting beam.	It was to be the last sight of the sun for six months, and this was the spectacle upon which he threw his parting beam.	true	307.61	314.77	24.069653
2517_135227_000010_000003	So the sun passed away, and then there came the beginning of the long dark season.	So the sun passed away, and then there came the beginning of the long dark season.	true	315.77	321.07	24.071688
2517_135227_000010_000004	At first, however, there was rather twilight than darkness, and this twilight continued long.	At first, however, there was rather twilight than darkness, and this twilight continued long.	true	321.71	327.76	27.135836
2517_135227_000010_000005	All this only served to heighten the effect of this striking scene; and as the light faded away, I looked with increasing curiosity upon the group at the top of the pyramid.	All this only served to heighten the effect of this striking scene; and as the light faded away, I looked with increasing curiosity upon the group at the top of the pyramid.	true	328.55	339.36	24.015703
2517_135227_000010_000006	Almah was silent.	Almah was silent.	false	339.36	341.71	19.514639
2517_135227_000010_000007	I half turned, and said something to her about the beauty of the view.	I half turned, and said something to her about the beauty of the view.	false	342.17	346.9	25.45374
2517_135227_000010_000008	She said nothing, but looked at me with such an expression that I was filled with amazement.	She said nothing, but looked at me with such an expression that I was filled with amazement.	true	347.51	352.66	21.90363
2517_135227_000010_000009	I saw in her face something like a dreadful anticipation--something that spoke of coming evil.	I saw in her face something like a dreadful anticipation-something that spoke of coming evil.	true	353.3	359.56	23.93581
2517_135227_000010_000010	The feeling was communicated to me, and I turned my eyes back to the group on the pyramid with vague fears in my soul.	The feeling was communicated to me, and I turned my eyes back to the group on the pyramid with vague fears in my soul.	false	360.32	367.66	24.168922
2517_135227_000011_000000	Those fears were but too well founded, for now the dread ceremony began.	Those fears were but too well founded, for now the dread ceremony began.	true	368.63	373.63	21.514225
2517_135227_000011_000001	The Kohen drew his knife, and placed himself at the head of the stone table.	The Kohen drew his knife, and placed himself at the head of the stone table.	false	374.18	378.82	23.595415
2517_135227_000011_000002	One of the youths came forward, stepped upon it, and lay down on his back with his head toward the Kohen.	One of the youths came forward, stepped upon it, and lay down on his back with his head toward the Kohen.	true	379.46	385.63	22.092321
2517_135227_000011_000003	The mournful chant still went on.	The mournful chant still went on.	true	386.51	388.63	24.686312
2517_135227_000011_000004	Then the Kohen raised his knife and plunged it into the heart of the youth.	Then the Kohen raised his knife and plunged it into the heart of the youth.	true	389.12	394.515	26.953522
2517_135227_000011_000005	I sat for a moment rooted to the spot; then a groan burst from me in spite of myself.	I sat for a moment rooted to the spot; then a groan burst from me in spite of myself.	false	394.515	400.05	22.583342
2517_135227_000011_000006	Almah caught my hands in hers, which were as cold as ice.	Almah caught my hands in hers, which were as cold as ice.	false	400.05	404.59	21.569883
2517_135227_000012_000000	"Be firm," she said, "or we are both lost.	"Be firm," she said, "or we are both lost.	true	405.41	409.15	20.634993
2517_135227_000012_000001	Be firm, Atam-or!"	Be firm, Atam or!"	false	409.31	411.39	23.361095
