2517_135227_000003_000000	CHAPTER XII	CHAPTER twelve
2517_135227_000004_000000	THE BALEFUL SACRIFICE	THE BALEFUL SACRIFICE
2517_135227_000005_000000	I resolved to go on no more sacred hunts.	I resolved to go on no more sacred hunts.
2517_135227_000005_000001	I was sickened at the horrible cruelty, the needless slaughter, the mad self-sacrifice which distinguished them.	I was sickened at the horrible cruelty, the needless slaughter, the mad self sacrifice which distinguished them.
2517_135227_000005_000002	I was overwhelmed with horror at the merciless destruction of brave comrades, whose wounds, so gallantly received, should have been enough to inspire pity even in a heart of stone.	I was overwhelmed with horror at the merciless destruction of brave comrades, whose wounds, so gallantly received, should have been enough to inspire pity even in a heart of stone.
2517_135227_000005_000003	The gentleness, the incessant kindness, the matchless generosity of these people seemed all a mockery.	The gentleness, the incessant kindness, the matchless generosity of these people seemed all a mockery.
2517_135227_000005_000004	What availed it all when the same hand that heaped favors upon me, the guest, could deal death without compunction upon friends and relatives?	What availed it all when the same hand that heaped favors upon me, the guest, could deal death without compunction upon friends and relatives?
2517_135227_000005_000005	It seemed quite possible for the Kohen to kill his own child, or cut the throat of his wife, if the humor seized him.	It seemed quite possible for the Kohen to kill his own child, or cut the throat of his wife, if the humor seized him.
2517_135227_000005_000006	And how long could I hope to be spared among a people who had this insane thirst for blood?	And how long could I hope to be spared among a people who had this insane thirst for blood?
2517_135227_000006_000000	Some more joms had passed, and the light season had almost ended. The sun had been sinking lower and lower.	Some more joms had passed, and the light season had almost ended. The sun had been sinking lower and lower.
2517_135227_000006_000001	The time had at last come when only a portion of his disk would be visible for a little while above the hills, and then he would be seen no more for six months of our time.	The time had at last come when only a portion of his disk would be visible for a little while above the hills, and then he would be seen no more for six months of our time.
2517_135227_000006_000002	This was the dark season, and, as I had already learned, its advent was always hailed with joy and celebrated with solemn services, for the dark season freed them from their long confinement, permitted them to go abroad, to travel by sea and land, to carry on their great works, to indulge in all their most important labors and favorite amusements.	This was the dark season, and, as I had already learned, its advent was always hailed with joy and celebrated with solemn services, for the dark season freed them from their long confinement, permitted them to go abroad, to travel by sea and land, to carry on their great works, to indulge in all their most important labors and favorite amusements.
2517_135227_000006_000003	The Kohen asked me to be present at the great festival, and I gladly consented.	The Kohen asked me to be present at the great festival, and I gladly consented.
2517_135227_000006_000004	There seemed to be nothing in this that could be repellent.	There seemed to be nothing in this that could be repellent.
2517_135227_000006_000005	As I was anxious to witness some of their purely religious ceremonies, I wished to go.	As I was anxious to witness some of their purely religious ceremonies, I wished to go.
2517_135227_000006_000006	When I told Almah, she looked sad, but said nothing.	When I told Almah, she looked sad, but said nothing.
2517_135227_000006_000007	I wondered at this, and asked her if she was going.	I wondered at this, and asked her if she was going.
2517_135227_000006_000008	She informed me that she would have to go, whereupon I assured her that this was an additional reason why I should go.	She informed me that she would have to go, whereupon I assured her that this was an additional reason why I should go.
2517_135227_000007_000000	I went with Almah.	I went with Almah.
2517_135227_000007_000001	The Kohen attended us with his usual kind and gracious consideration.	The Kohen attended us with his usual kind and gracious consideration.
2517_135227_000007_000002	It seemed almost as though he was our servant. He took us to a place where we could be seated, although all the others were standing.	It seemed almost as though he was our servant. He took us to a place where we could be seated, although all the others were standing.
2517_135227_000007_000003	Almah wished to refuse, but I prevailed upon her to sit down, and she did so.	Almah wished to refuse, but I prevailed upon her to sit down, and she did so.
