2254_152824_000000_000000	The Ballad of the Black Fox Skin	The Ballad of the Black Fox Skin	false	0.48	8.82	21.371365
2254_152824_000001_000000	There was Claw-fingered Kitty and Windy Ike living the life of shame, When unto them in the Long, Long Night came the man-who-had-no-name; Bearing his prize of a black fox pelt, out of the Wild he came.	There was Claw fingered Kitty and Windy Ike living the life of shame, When unto them in the Long, Long Night came the man who had no name; Bearing his prize of a black fox pelt, out of the Wild he came.	false	8.82	24.64	19.764738
2254_152824_000002_000000	His cheeks were blanched as the flume-head foam when the brown spring freshets flow; Deep in their dark, sin-calcined pits were his sombre eyes aglow; They knew him far for the fitful man who spat forth blood on the snow.	His cheeks were blanched as the flume head foam when the brown spring freshets flow; Deep in their dark, sin calcined pits were his sombre eyes aglow; They knew him far for the fitful man who spat forth blood on the snow.	true	25.37	42.01	20
2254_152824_000003_000000	"Did ever you see such a skin?" quoth he; "there's nought in the world so fine-- Such fullness of fur as black as the night, such lustre, such size, such shine; It's life to a one-lunged man like me; it's London, it's women, it's wine.	"Did ever you see such a skin?" quoth he; "there's nought in the world so fine- Such fullness of fur as black as the night, such lustre, such size, such shine; It's life to a one lunged man like me; it's London, it's women, it's wine.	false	42.62	62.59	19.759007
2254_152824_000004_000000	"The Moose-hides called it the devil-fox, and swore that no man could kill; That he who hunted it, soon or late, must surely suffer some ill; But I laughed at them and their old squaw-tales. Ha!	"The Moose hides called it the devil fox, and swore that no man could kill; That he who hunted it, soon or late, must surely suffer some ill; But I laughed at them and their old squaw tales. Ha!	true	63.35	77.7	21.713127
2254_152824_000004_000001	Ha!	Ha!	true	77.7	78.345	22.148287
2254_152824_000004_000002	I'm laughing still.	I'm laughing still.	true	78.345	80.02	19.348446
2254_152824_000005_000000	"For look ye, the skin--it's as smooth as sin, and black as the core of the Pit. By gun or by trap, whatever the hap, I swore I would capture it; By star and by star afield and afar, I hunted and would not quit.	"For look ye, the skin-it's as smooth as sin, and black as the core of the Pit. By gun or by trap, whatever the hap, I swore I would capture it; By star and by star afield and afar, I hunted and would not quit.	false	80.45	98.98	20.914486
2254_152824_000006_000000	"For the devil-fox, it was swift and sly, and it seemed to fleer at me; I would wake in fright by the camp-fire light, hearing its evil glee; Into my dream its eyes would gleam, and its shadow would I see.	"For the devil fox, it was swift and sly, and it seemed to fleer at me; I would wake in fright by the camp fire light, hearing its evil glee; Into my dream its eyes would gleam, and its shadow would I see.	true	99.44	116.29	19.515905
2254_152824_000007_000000	"It sniffed and ran from the ptarmigan I had poisoned to excess; Unharmed it sped from my wrathful lead ('twas as if I shot by guess); Yet it came by night in the stark moonlight to mock at my weariness.	"It sniffed and ran from the ptarmigan I had poisoned to excess; Unharmed it sped from my wrathful lead ('twas as if I shot by guess); Yet it came by night in the stark moonlight to mock at my weariness.	false	116.93	133.63	20
2254_152824_000008_000000	"I tracked it up where the mountains hunch like the vertebrae of the world; I tracked it down to the death-still pits where the avalanche is hurled; From the glooms to the sacerdotal snows, where the carded clouds are curled.	"I tracked it up where the mountains hunch like the vertebrae of the world; I tracked it down to the death still pits where the avalanche is hurled; From the glooms to the sacerdotal snows, where the carded clouds are curled.	true	134.78	151.81	21.765425
2254_152824_000009_000000	"From the vastitudes where the world protrudes through clouds like seas up-shoaled, I held its track till it led me back to the land I had left of old-- The land I had looted many moons.	"From the vastitudes where the world protrudes through clouds like seas up shoaled, I held its track till it led me back to the land I had left of old- The land I had looted many moons.	true	152.36	166.965	19.169958
2254_152824_000009_000001	I was weary and sick and cold.	I was weary and sick and cold.	true	166.965	170.29	20.27286
2254_152824_000010_000000	"I was sick, soul-sick, of the futile chase, and there and then I swore The foul fiend fox might scathless go, for I would hunt no more; Then I rubbed mine eyes in a vast surprise--it stood by my cabin door.	"I was sick, soul sick, of the futile chase, and there and then I swore The foul fiend fox might scathless go, for I would hunt no more; Then I rubbed mine eyes in a vast surprise-it stood by my cabin door.	false	170.72	188.5	20.509676
2254_152824_000011_000000	"A rifle raised in the wraith-like gloom, and a vengeful shot that sped; A howl that would thrill a cream-faced corpse-- and the demon fox lay dead. . . . Yet there was never a sign of wound, and never a drop he bled.	"A rifle raised in the wraith like gloom, and a vengeful shot that sped; A howl that would thrill a cream faced corpse- and the demon fox lay dead. . . . Yet there was never a sign of wound, and never a drop he bled.	false	189.8	207.4	19.390516
2254_152824_000012_000000	"So that was the end of the great black fox, and here is the prize I've won; And now for a drink to cheer me up--I've mushed since the early sun; We'll drink a toast to the sorry ghost of the fox whose race is run."	"So that was the end of the great black fox, and here is the prize I've won; And now for a drink to cheer me up-I've mushed since the early sun; We'll drink a toast to the sorry ghost of the fox whose race is run."	true	208.46	224.88	20.398348
2254_152824_000013_000000	II.	two.	false	224.88	227.01	-20
2254_152824_000014_000000	Now Claw-fingered Kitty and Windy Ike, bad as the worst were they; In their road-house down by the river-trail they waited and watched for prey; With wine and song they joyed night long, and they slept like swine by day.	Now Claw fingered Kitty and Windy Ike, bad as the worst were they; In their road house down by the river trail they waited and watched for prey; With wine and song they joyed night long, and they slept like swine by day.	true	227.01	243.79	18.444958
2254_152824_000015_000000	For things were done in the Midnight Sun that no tongue will ever tell; And men there be who walk earth-free, but whose names are writ in hell-- Are writ in flames with the guilty names of Fournier and Labelle.	For things were done in the Midnight Sun that no tongue will ever tell; And men there be who walk earth free, but whose names are writ in hell- Are writ in flames with the guilty names of Fournier and Labelle.	true	244.28	262.59	19.025072
2254_152824_000016_000000	Put not your trust in a poke of dust would ye sleep the sleep of sin; For there be those who would rob your clothes ere yet the dawn comes in; And a prize likewise in a woman's eyes is a peerless black fox skin.	Put not your trust in a poke of dust would ye sleep the sleep of sin; For there be those who would rob your clothes ere yet the dawn comes in; And a prize likewise in a woman's eyes is a peerless black fox skin.	true	262.59	279.94	19
2254_152824_000017_000000	Put your faith in the mountain cat if you lie within his lair; Trust the fangs of the mother-wolf, and the claws of the lead-ripped bear; But oh, of the wiles and the gold-tooth smiles of a dance-hall wench beware!	Put your faith in the mountain cat if you lie within his lair; Trust the fangs of the mother wolf, and the claws of the lead ripped bear; But oh, of the wiles and the gold tooth smiles of a dance hall wench beware!	false	280.73	298.15	19.883106
