2673_162130_000001_000000	IS THERE ANY WAY OUT?	IS THERE ANY WAY OUT?
2673_162130_000003_000001	The right means, and the only entirely satisfactory means, of escape from it is through the undoing of the error which brought it about--that is, through the repeal of the Eighteenth Amendment.	The right means, and the only entirely satisfactory means, of escape from it is through the undoing of the error which brought it about-that is, through the repeal of the Eighteenth Amendment.
2673_162130_000003_000002	Towards that end many earnest and patriotic citizens are working; but of course they realize the stupendous difficulty of the task they have undertaken.	Towards that end many earnest and patriotic citizens are working; but of course they realize the stupendous difficulty of the task they have undertaken.
2673_162130_000003_000005	A possible plan exists, however, which is not open to this objection, and yet the execution of which would not present such terrific difficulty as would the proposal of a simple repeal of the Eighteenth Amendment.	A possible plan exists, however, which is not open to this objection, and yet the execution of which would not present such terrific difficulty as would the proposal of a simple repeal of the Eighteenth Amendment.
2673_162130_000003_000006	That Amendment imbeds Prohibition in the organic law of the country, and thus not only imposes it upon the individual States regardless of what their desires may be, but takes away from the nation itself the right to legislate upon the subject by the ordinary processes of law-making.	That Amendment imbeds Prohibition in the organic law of the country, and thus not only imposes it upon the individual States regardless of what their desires may be, but takes away from the nation itself the right to legislate upon the subject by the ordinary processes of law making.
2673_162130_000003_000007	Now an Amendment repealing the Eighteenth Amendment but at the same time conferring upon Congress the power to make laws concerning the manufacture, sale and transportation of intoxicating liquors, would make it possible for Congress to pass a Volstead act, or a beer-and-wine act, or no Liquor act at all, just as its own judgment or desire might dictate.	Now an Amendment repealing the Eighteenth Amendment but at the same time conferring upon Congress the power to make laws concerning the manufacture, sale and transportation of intoxicating liquors, would make it possible for Congress to pass a Volstead act, or a beer and wine act, or no Liquor act at all, just as its own judgment or desire might dictate.
2673_162130_000003_000008	It would give the Federal Government a power which I think it would be far more wholesome to reserve to the States; but it would get rid of the worst part of the Eighteenth Amendment.	It would give the Federal Government a power which I think it would be far more wholesome to reserve to the States; but it would get rid of the worst part of the Eighteenth Amendment.
2673_162130_000003_000009	And it would have, I think, an incomparably more favorable reception, from the start, than would a proposal of simple repeal.	And it would have, I think, an incomparably more favorable reception, from the start, than would a proposal of simple repeal.
2673_162130_000003_000012	The one strong argument which might be urged against the proposal--namely that such a provision would make Prohibition a constant issue in national elections, while the actual incorporation of Prohibition in the Constitution settles the matter once for all--has been deprived of all its force by our actual experience.	The one strong argument which might be urged against the proposal-namely that such a provision would make Prohibition a constant issue in national elections, while the actual incorporation of Prohibition in the Constitution settles the matter once for all-has been deprived of all its force by our actual experience.
2673_162130_000003_000013	So far from settling the matter once for all, the Eighteenth Amendment has been a frightful breeder of unsettlement and contention, which bids fair to continue indefinitely.	So far from settling the matter once for all, the Eighteenth Amendment has been a frightful breeder of unsettlement and contention, which bids fair to continue indefinitely.
2673_162130_000004_000000	I have offered this suggestion for what it may be worth as a practical proposal; it seems certainly deserving of discussion, and I could not refrain from putting it forward as a possible means of relief from an intolerable situation.	I have offered this suggestion for what it may be worth as a practical proposal; it seems certainly deserving of discussion, and I could not refrain from putting it forward as a possible means of relief from an intolerable situation.
2673_162130_000004_000001	But I do not wish to wind up on that note.	But I do not wish to wind up on that note.
2673_162130_000004_000002	The right solution--a solution incomparably better than this which I have suggested on account of its apparently better chance of acceptance--is the outright repeal of the Eighteenth Amendment.	The right solution-a solution incomparably better than this which I have suggested on account of its apparently better chance of acceptance-is the outright repeal of the Eighteenth Amendment.
2673_162130_000005_000000	To the exposition of those fundamental issues this little book has been almost exclusively confined.	To the exposition of those fundamental issues this little book has been almost exclusively confined.
2673_162130_000005_000001	It has left untouched a score of aspects of the question of drink, and of the prohibition of drink, which it would have been interesting to discuss, and the discussion of which would, I feel sure, have added to the strength of the argument I have endeavored to present.	It has left untouched a score of aspects of the question of drink, and of the prohibition of drink, which it would have been interesting to discuss, and the discussion of which would, I feel sure, have added to the strength of the argument I have endeavored to present.
2673_162130_000005_000002	But there is an advantage, too, in keeping to the high points.	But there is an advantage, too, in keeping to the high points.
2673_162130_000005_000003	It is not to a multiplicity of details that one must trust in a case like this.	It is not to a multiplicity of details that one must trust in a case like this.
2673_162130_000005_000004	What is needed above all is a clear and wholehearted recognition of fundamentals.	What is needed above all is a clear and wholehearted recognition of fundamentals.
2673_162130_000005_000005	And I do not believe that the American people have got so far away from their fundamentals that such recognition will be denied when the case is clearly put before them.	And I do not believe that the American people have got so far away from their fundamentals that such recognition will be denied when the case is clearly put before them.
2673_162130_000005_000006	There is one and only one thing that could justify such a violation of liberty and of the cardinal principles of rational government as is embodied in the Eighteenth Amendment.	There is one and only one thing that could justify such a violation of liberty and of the cardinal principles of rational government as is embodied in the Eighteenth Amendment.
2673_162130_000005_000007	In the face of desperate necessity, there may be justification for the most desperate remedy.	In the face of desperate necessity, there may be justification for the most desperate remedy.
2673_162130_000006_000001	It is unnecessary to appeal to statistics.	It is unnecessary to appeal to statistics.
2673_162130_000006_000004	To shake off this tyranny is one of the worthiest objects to which good Americans can devote themselves.	To shake off this tyranny is one of the worthiest objects to which good Americans can devote themselves.
2673_162130_000006_000006	If it is allowed to stand, there is no telling in what quarter the next invasion of liberty will be made by fanatics possessed with the itch for perfection.	If it is allowed to stand, there is no telling in what quarter the next invasion of liberty will be made by fanatics possessed with the itch for perfection.
