2673_162130_000000_000000	CHAPTER XI	CHAPTER eleven	false	0.15	32.38	24.066513
2673_162130_000001_000000	IS THERE ANY WAY OUT?	IS THERE ANY WAY OUT?	true	33.44	36.07	27.22402
2673_162130_000002_000000	IN the second chapter of this book, I undertook to give an account of the state of mind which the enactment of the Eighteenth Amendment has created, and which is at the bottom of that contempt for the law whose widespread prevalence among the best elements of our population is acknowledged alike by prohibitionists and anti-prohibitionists. "People feel in their hearts," I said, "that they are confronted with no other choice but that of either submitting to the full rigor of Prohibition, of trying to procure a law which nullifies the Constitution, or of expressing their resentment against an outrage on the first principles of the Constitution by contemptuous disregard of the law." It is a deplorable choice of evils; a state of things which it is hardly too much to call appalling in its potentialities of civic demoralization.	IN the second chapter of this book, I undertook to give an account of the state of mind which the enactment of the Eighteenth Amendment has created, and which is at the bottom of that contempt for the law whose widespread prevalence among the best elements of our population is acknowledged alike by prohibitionists and anti prohibitionists. "People feel in their hearts," I said, "that they are confronted with no other choice but that of either submitting to the full rigor of Prohibition, of trying to procure a law which nullifies the Constitution, or of expressing their resentment against an outrage on the first principles of the Constitution by contemptuous disregard of the law." It is a deplorable choice of evils; a state of things which it is hardly too much to call appalling in its potentialities of civic demoralization.	true	36.47	92.5	24.020363
2673_162130_000003_000000	And one who realizes the gravity of the injury that a long continuance of this situation will inevitably inflict upon our institutions and our national character must ask whether there is any practical possibility of escape from it.	And one who realizes the gravity of the injury that a long continuance of this situation will inevitably inflict upon our institutions and our national character must ask whether there is any practical possibility of escape from it.	false	93.05	108.7	22.451874
2673_162130_000003_000001	The right means, and the only entirely satisfactory means, of escape from it is through the undoing of the error which brought it about--that is, through the repeal of the Eighteenth Amendment.	The right means, and the only entirely satisfactory means, of escape from it is through the undoing of the error which brought it about-that is, through the repeal of the Eighteenth Amendment.	true	109.22	123.07	23.47783
2673_162130_000003_000002	Towards that end many earnest and patriotic citizens are working; but of course they realize the stupendous difficulty of the task they have undertaken.	Towards that end many earnest and patriotic citizens are working; but of course they realize the stupendous difficulty of the task they have undertaken.	true	123.32	133.3	23.657785
2673_162130_000003_000003	As a rule, these men, while working for the distant goal of repeal of the Amendment, are seeking to substitute for the Volstead act a law which will permit the manufacture and sale of beer and light wines; a plan which, as I have elsewhere stated, while by no means free from grave objection--for it is clearly not in keeping with the intent of the Eighteenth Amendment--would, in my judgment, be an improvement on the present state of things.	As a rule, these men, while working for the distant goal of repeal of the Amendment, are seeking to substitute for the Volstead act a law which will permit the manufacture and sale of beer and light wines; a plan which, as I have elsewhere stated, while by no means free from grave objection-for it is clearly not in keeping with the intent of the Eighteenth Amendment-would, in my judgment, be an improvement on the present state of things.	true	133.94	163.75	23.092337
2673_162130_000003_000004	But it is not pleasant to contemplate a situation in which, to avoid something still worse, the national legislature is driven to the deliberate enactment of a law that flies in the face of a mandate of the Constitution.	But it is not pleasant to contemplate a situation in which, to avoid something still worse, the national legislature is driven to the deliberate enactment of a law that flies in the face of a mandate of the Constitution.	false	163.82	177.7	22.21564
2673_162130_000003_000005	A possible plan exists, however, which is not open to this objection, and yet the execution of which would not present such terrific difficulty as would the proposal of a simple repeal of the Eighteenth Amendment.	A possible plan exists, however, which is not open to this objection, and yet the execution of which would not present such terrific difficulty as would the proposal of a simple repeal of the Eighteenth Amendment.	true	178.31	191.89	24.98536
2673_162130_000003_000006	That Amendment imbeds Prohibition in the organic law of the country, and thus not only imposes it upon the individual States regardless of what their desires may be, but takes away from the nation itself the right to legislate upon the subject by the ordinary processes of law-making.	That Amendment imbeds Prohibition in the organic law of the country, and thus not only imposes it upon the individual States regardless of what their desires may be, but takes away from the nation itself the right to legislate upon the subject by the ordinary processes of law making.	true	191.96	210.43	24.07378
2673_162130_000003_000007	Now an Amendment repealing the Eighteenth Amendment but at the same time conferring upon Congress the power to make laws concerning the manufacture, sale and transportation of intoxicating liquors, would make it possible for Congress to pass a Volstead act, or a beer-and-wine act, or no Liquor act at all, just as its own judgment or desire might dictate.	Now an Amendment repealing the Eighteenth Amendment but at the same time conferring upon Congress the power to make laws concerning the manufacture, sale and transportation of intoxicating liquors, would make it possible for Congress to pass a Volstead act, or a beer and wine act, or no Liquor act at all, just as its own judgment or desire might dictate.	true	210.71	234.46	25.053339
2673_162130_000003_000008	It would give the Federal Government a power which I think it would be far more wholesome to reserve to the States; but it would get rid of the worst part of the Eighteenth Amendment.	It would give the Federal Government a power which I think it would be far more wholesome to reserve to the States; but it would get rid of the worst part of the Eighteenth Amendment.	true	234.71	245.71	22.504652
2673_162130_000003_000009	And it would have, I think, an incomparably more favorable reception, from the start, than would a proposal of simple repeal.	And it would have, I think, an incomparably more favorable reception, from the start, than would a proposal of simple repeal.	true	245.75	255.61	24.629374
2673_162130_000003_000010	For the public could readily be brought to see the reasonableness of giving the nation a chance, through its representatives at Washington, to express its will on the subject from time to time, and the unreasonableness of binding generation after generation to helpless submission.	For the public could readily be brought to see the reasonableness of giving the nation a chance, through its representatives at Washington, to express its will on the subject from time to time, and the unreasonableness of binding generation after generation to helpless submission.	false	255.83	274.87	21.116188
2673_162130_000003_000011	The plea of majority rule is always a taking one in this country; and it is rarely that that plea rests on stronger ground than it would in this instance.	The plea of majority rule is always a taking one in this country; and it is rarely that that plea rests on stronger ground than it would in this instance.	false	275.09	284.92	22.3824
2673_162130_000003_000012	The one strong argument which might be urged against the proposal--namely that such a provision would make Prohibition a constant issue in national elections, while the actual incorporation of Prohibition in the Constitution settles the matter once for all--has been deprived of all its force by our actual experience.	The one strong argument which might be urged against the proposal-namely that such a provision would make Prohibition a constant issue in national elections, while the actual incorporation of Prohibition in the Constitution settles the matter once for all-has been deprived of all its force by our actual experience.	true	285.41	306.1	23.249722
2673_162130_000003_000013	So far from settling the matter once for all, the Eighteenth Amendment has been a frightful breeder of unsettlement and contention, which bids fair to continue indefinitely.	So far from settling the matter once for all, the Eighteenth Amendment has been a frightful breeder of unsettlement and contention, which bids fair to continue indefinitely.	true	306.26	317.41	23.120384
2673_162130_000004_000000	I have offered this suggestion for what it may be worth as a practical proposal; it seems certainly deserving of discussion, and I could not refrain from putting it forward as a possible means of relief from an intolerable situation.	I have offered this suggestion for what it may be worth as a practical proposal; it seems certainly deserving of discussion, and I could not refrain from putting it forward as a possible means of relief from an intolerable situation.	true	318.38	333.61	22.78074
2673_162130_000004_000001	But I do not wish to wind up on that note.	But I do not wish to wind up on that note.	true	334.01	336.76	22.835503
2673_162130_000004_000002	The right solution--a solution incomparably better than this which I have suggested on account of its apparently better chance of acceptance--is the outright repeal of the Eighteenth Amendment.	The right solution-a solution incomparably better than this which I have suggested on account of its apparently better chance of acceptance-is the outright repeal of the Eighteenth Amendment.	true	337.16	349.18	23.522896
2673_162130_000004_000003	And moreover, the primary need of this moment is not so much any practical proposal likely to be quickly realized as the awakening of the public mind to the fundamental issues of the case --the essential principles of law, of government, and of individual life which are so flagrantly sinned against by the Prohibition Amendment.	And moreover, the primary need of this moment is not so much any practical proposal likely to be quickly realized as the awakening of the public mind to the fundamental issues of the case --the essential principles of law, of government, and of individual life which are so flagrantly sinned against by the Prohibition Amendment.	false	349.76	372.7	23.113691
2673_162130_000005_000000	To the exposition of those fundamental issues this little book has been almost exclusively confined.	To the exposition of those fundamental issues this little book has been almost exclusively confined.	true	373.13	379.84	23.741022
2673_162130_000005_000001	It has left untouched a score of aspects of the question of drink, and of the prohibition of drink, which it would have been interesting to discuss, and the discussion of which would, I feel sure, have added to the strength of the argument I have endeavored to present.	It has left untouched a score of aspects of the question of drink, and of the prohibition of drink, which it would have been interesting to discuss, and the discussion of which would, I feel sure, have added to the strength of the argument I have endeavored to present.	true	380.18	398.44	23.68791
2673_162130_000005_000002	But there is an advantage, too, in keeping to the high points.	But there is an advantage, too, in keeping to the high points.	true	398.63	402.81	21.284733
2673_162130_000005_000003	It is not to a multiplicity of details that one must trust in a case like this.	It is not to a multiplicity of details that one must trust in a case like this.	true	402.81	408.93	23.681324
2673_162130_000005_000004	What is needed above all is a clear and wholehearted recognition of fundamentals.	What is needed above all is a clear and wholehearted recognition of fundamentals.	true	408.93	413.89	20.372427
2673_162130_000005_000005	And I do not believe that the American people have got so far away from their fundamentals that such recognition will be denied when the case is clearly put before them.	And I do not believe that the American people have got so far away from their fundamentals that such recognition will be denied when the case is clearly put before them.	true	414.26	424.57	23.856688
2673_162130_000005_000006	There is one and only one thing that could justify such a violation of liberty and of the cardinal principles of rational government as is embodied in the Eighteenth Amendment.	There is one and only one thing that could justify such a violation of liberty and of the cardinal principles of rational government as is embodied in the Eighteenth Amendment.	true	424.61	434.98	21.734
2673_162130_000005_000007	In the face of desperate necessity, there may be justification for the most desperate remedy.	In the face of desperate necessity, there may be justification for the most desperate remedy.	true	435.38	441.91	21.954172
2673_162130_000006_000000	But so far from this being a case of desperate necessity, nothing is more unanimously acknowledged by all except those who labor under an obsession, than that the evil of drink has been steadily diminishing. Not only during the period of Prohibition agitation, but for many decades before that, drunkenness had been rapidly declining, and both temperate drinking and total abstinence correspondingly increasing.	But so far from this being a case of desperate necessity, nothing is more unanimously acknowledged by all except those who labor under an obsession, than that the evil of drink has been steadily diminishing. Not only during the period of Prohibition agitation, but for many decades before that, drunkenness had been rapidly declining, and both temperate drinking and total abstinence correspondingly increasing.	false	442.22	468.64	24.389446
2673_162130_000006_000001	It is unnecessary to appeal to statistics.	It is unnecessary to appeal to statistics.	true	469.07	472.87	25.088812
2673_162130_000006_000002	The familiar experience of every man whose memory runs back twenty, or forty, or sixty years, is sufficient to put the case beyond question; and every species of literary and historical record confirms the conclusion.	The familiar experience of every man whose memory runs back twenty, or forty, or sixty years, is sufficient to put the case beyond question; and every species of literary and historical record confirms the conclusion.	false	473.12	488.17	22.276495
2673_162130_000006_000003	This violent assault upon liberty, this crude defiance of the most settled principles of lawmaking and of government, this division of the country--as it has been well expressed--into the hunters and the hunted, this sowing of dragons' teeth in the shape of lawlessness and contempt for law, has not been the dictate of imperious necessity, but the indulgence of the crude desire of a highly organized but one-idead minority to impose its standards of conduct upon all of the American people.	This violent assault upon liberty, this crude defiance of the most settled principles of lawmaking and of government, this division of the country-as it has been well expressed-into the hunters and the hunted, this sowing of dragons' teeth in the shape of lawlessness and contempt for law, has not been the dictate of imperious necessity, but the indulgence of the crude desire of a highly organized but one idead minority to impose its standards of conduct upon all of the American people.	false	488.69	523.48	23.009596
2673_162130_000006_000004	To shake off this tyranny is one of the worthiest objects to which good Americans can devote themselves.	To shake off this tyranny is one of the worthiest objects to which good Americans can devote themselves.	true	523.7	529.6	23
