6895_96175_000000_000000	Her book of books is the Old Testament.	Her book of books is the Old Testament.
6895_96175_000001_000000	Three nights since when it was pretty late, and the moon very splendid, I saw her passing homewards close to the lake, and shouted down to her, meaning to say 'Good-night'; but she thought that I had called her, and came: and sitting out on the top step we talked for hours, she without the yashmak.	Three nights since when it was pretty late, and the moon very splendid, I saw her passing homewards close to the lake, and shouted down to her, meaning to say 'Good night'; but she thought that I had called her, and came: and sitting out on the top step we talked for hours, she without the yashmak.
6895_96175_000002_000000	We fell to talking about the Bible.	We fell to talking about the Bible.
6895_96175_000003_000000	'He knocked him over,' I replied, liking sometimes to use such idioms, with the double object of teaching and perplexing her.	'He knocked him over,' I replied, liking sometimes to use such idioms, with the double object of teaching and perplexing her.
6895_96175_000004_000000	'Over what?' says she.	'Over what?' says she.
6895_96175_000006_000000	'I do not complehend!'	'I do not complehend!'
6895_96175_000007_000000	'He killed him, then.'	'He killed him, then.'
6895_96175_000008_000001	But how did Abel feel when he was killed?	But how did Abel feel when he was killed?
6895_96175_000009_000000	'Well,' said I, 'you have seen bones all around you, and the bones of your mother, and you can feel the bones in your fingers.	'Well,' said I, 'you have seen bones all around you, and the bones of your mother, and you can feel the bones in your fingers.
6895_96175_000010_000000	'And the men and the butterfly feel the same after they are dead?'	'And the men and the butterfly feel the same after they are dead?'
6895_96175_000013_000000	'Ah!... so much the better: for it is possible that you may have to die a great deal sooner than you think.'	'Ah!... so much the better: for it is possible that you may have to die a great deal sooner than you think.'
6895_96175_000015_000000	'Because they were all such shocking cowards.'	'Because they were all such shocking cowards.'
6895_96175_000016_000000	'Oh, not all!	'Oh, not all!
6895_96175_000016_000001	not all!'	not all!'
6895_96175_000017_000001	With every chance she is at it.)	With every chance she is at it.)
6895_96175_000018_000000	'Nearly all,' said I: 'tell me one who was not afraid--'	'Nearly all,' said I: 'tell me one who was not afraid-'
6895_96175_000019_000000	'There was Isaac,' says she: 'when Ablaham laid him on the wood to kill him, he did not jump up and lun to hide.'	'There was Isaac,' says she: 'when Ablaham laid him on the wood to kill him, he did not jump up and lun to hide.'
6895_96175_000021_000000	This, for several minutes, she did not answer, sitting with her back half toward me, cracking almonds, continually striking one step with the ball of her outstretched foot.	This, for several minutes, she did not answer, sitting with her back half toward me, cracking almonds, continually striking one step with the ball of her outstretched foot.
