6308_68358_000001_000000	CHAPTER XVI	CHAPTER sixteen
6308_68358_000002_000000	A WORLD-FAMOUS CITY--JERUSALEM	A WORLD FAMOUS CITY-JERUSALEM
6308_68358_000003_000000	The history of the world is largely the story of the rise and fall of great cities.	The history of the world is largely the story of the rise and fall of great cities.
6308_68358_000003_000002	Some of the great cities of today are famous for their size, such as New York and London; some for their beauty, like Paris and Rio Janeiro; some for their culture and learning, as Boston and Oxford; some for their manufacturing and commercial supremacy, as Detroit and Liverpool.	Some of the great cities of today are famous for their size, such as New York and London; some for their beauty, like Paris and Rio Janeiro; some for their culture and learning, as Boston and Oxford; some for their manufacturing and commercial supremacy, as Detroit and Liverpool.
6308_68358_000003_000003	But there is one city on the globe not nearly as large as Des Moines, not at all beautiful, its people neither cultured nor learned, has no factories and one narrow gauge railway takes care of most of its commerce, and yet it is by far the most famous city of all time.	But there is one city on the globe not nearly as large as Des Moines, not at all beautiful, its people neither cultured nor learned, has no factories and one narrow gauge railway takes care of most of its commerce, and yet it is by far the most famous city of all time.
6308_68358_000003_000004	It is the city of Jerusalem.	It is the city of Jerusalem.
6308_68358_000004_000000	The site of the city was once owned by a farmer whose name was Oman.	The site of the city was once owned by a farmer whose name was Oman.
6308_68358_000004_000001	He had a threshing floor on the top of Mount Moriah.	He had a threshing floor on the top of Mount Moriah.
6308_68358_000004_000002	The city as it is today is on top of two mountains, but the valley between has been filled up so that it is almost like one continuous mountain top.	The city as it is today is on top of two mountains, but the valley between has been filled up so that it is almost like one continuous mountain top.
6308_68358_000005_000000	To get an idea of the city as it was when the war broke out you must imagine a city of about sixty thousand people, without street cars, electric lights, telephones, waterworks, sewer system or any modern improvements whatever.	To get an idea of the city as it was when the war broke out you must imagine a city of about sixty thousand people, without street cars, electric lights, telephones, waterworks, sewer system or any modern improvements whatever.
6308_68358_000005_000001	However, General Allenby's entrance into the city in December, 1917, was the beginning of a new era.	However, General Allenby's entrance into the city in December, nineteen seventeen, was the beginning of a new era.
6308_68358_000005_000002	In three months the English did more for the city than the Turk did in a thousand years.	In three months the English did more for the city than the Turk did in a thousand years.
6308_68358_000006_000000	There is an old Arab legend which says: "Not until the River Nile flows into Palestine will the Turk be driven from Palestine." Of course this was their way of saying that such a thing would never come to pass for the Turk actually believed that he had such a hold on that country that there was no power on earth that could make him give it up.	There is an old Arab legend which says: "Not until the River Nile flows into Palestine will the Turk be driven from Palestine." Of course this was their way of saying that such a thing would never come to pass for the Turk actually believed that he had such a hold on that country that there was no power on earth that could make him give it up.
6308_68358_000006_000001	But when the English started from Egypt they not only built a railroad as they went toward Jerusalem, but not far from the Nile they prepared a great filtering process to cleanse the water, and then laid a twelve-inch pipe and brought the pure water along with them for both man and beast.	But when the English started from Egypt they not only built a railroad as they went toward Jerusalem, but not far from the Nile they prepared a great filtering process to cleanse the water, and then laid a twelve inch pipe and brought the pure water along with them for both man and beast.
6308_68358_000008_000000	Jerusalem is to this day a walled city.	Jerusalem is to this day a walled city.
6308_68358_000008_000001	The walls average some thirty feet high and are about fifteen feet thick at the top.	The walls average some thirty feet high and are about fifteen feet thick at the top.
6308_68358_000008_000002	It is a little less than two and one-half miles around the city wall, but the city itself has outgrown these limitations, quite a portion of it being on the outside of the wall.	It is a little less than two and one half miles around the city wall, but the city itself has outgrown these limitations, quite a portion of it being on the outside of the wall.
6308_68358_000008_000003	The hotel at which the writer stopped while visiting the city some years ago, was located outside the wall, as are many of the best buildings.	The hotel at which the writer stopped while visiting the city some years ago, was located outside the wall, as are many of the best buildings.
6308_68358_000008_000004	The streets are narrow, the houses have flat tops and many of them are but one or two stories high.	The streets are narrow, the houses have flat tops and many of them are but one or two stories high.
6308_68358_000009_000000	There was a time, however, when this city boasted of having the finest building ever erected by the hands of man, viz: Solomon's Temple.	There was a time, however, when this city boasted of having the finest building ever erected by the hands of man, viz: Solomon's Temple.
6308_68358_000009_000001	This was built on Mount Moriah which was a great flat mountain top of uneven rock.	This was built on Mount Moriah which was a great flat mountain top of uneven rock.
6308_68358_000009_000002	Great arches were built around the sides and then the top leveled off until the large temple area was formed.	Great arches were built around the sides and then the top leveled off until the large temple area was formed.
6308_68358_000009_000003	Below the sides of this area are still seen the massive rooms that are called Solomon's stables.	Below the sides of this area are still seen the massive rooms that are called Solomon's stables.
6308_68358_000009_000004	The writer rambled for hours through these great underground vaults and saw the holes in the stone pillars where the horses were tied.	The writer rambled for hours through these great underground vaults and saw the holes in the stone pillars where the horses were tied.
