7555_105394_000000_000000	CHAPTER XV DOUBT	CHAPTER fifteen DOUBT
7555_105394_000001_000000	Marguerite Blakeney had watched the slight sable-clad figure of Chauvelin, as he worked his way through the ball-room.	Marguerite Blakeney had watched the slight sable clad figure of Chauvelin, as he worked his way through the ball room.
7555_105394_000002_000000	Listlessly she sat in the small, still deserted boudoir, looking out through the curtained doorway on the dancing couples beyond: looking at them, yet seeing nothing, hearing the music, yet conscious of naught save a feeling of expectancy, of anxious, weary waiting.	Listlessly she sat in the small, still deserted boudoir, looking out through the curtained doorway on the dancing couples beyond: looking at them, yet seeing nothing, hearing the music, yet conscious of naught save a feeling of expectancy, of anxious, weary waiting.
7555_105394_000003_000000	Her mind conjured up before her the vision of what was, perhaps at this very moment, passing downstairs.	Her mind conjured up before her the vision of what was, perhaps at this very moment, passing downstairs.
7555_105394_000005_000001	Ah! had Armand's life not been at stake! . . .	Ah! had Armand's life not been at stake! . . .
7555_105394_000006_000000	"Faith! your ladyship must have thought me very remiss," said a voice suddenly, close to her elbow.	"Faith! your ladyship must have thought me very remiss," said a voice suddenly, close to her elbow.
7555_105394_000006_000001	"I had a deal of difficulty in delivering your message, for I could not find Blakeney anywhere at first . . ."	"I had a deal of difficulty in delivering your message, for I could not find Blakeney anywhere at first . . ."
7555_105394_000008_000000	"I did find him at last," continued Lord Fancourt, "and gave him your message.	"I did find him at last," continued Lord Fancourt, "and gave him your message.
7555_105394_000008_000001	He said that he would give orders at once for the horses to be put to."	He said that he would give orders at once for the horses to be put to."
7555_105394_000009_000000	"Ah!" she said, still very absently, "you found my husband, and gave him my message?"	"Ah!" she said, still very absently, "you found my husband, and gave him my message?"
7555_105394_000010_000001	I could not manage to wake him up at first."	I could not manage to wake him up at first."
7555_105394_000011_000000	"Thank you very much," she said mechanically, trying to collect her thoughts.	"Thank you very much," she said mechanically, trying to collect her thoughts.
7555_105394_000016_000000	Lord Fancourt was very attentive.	Lord Fancourt was very attentive.
7555_105394_000016_000001	She scarcely heard what he said, and suddenly startled him by asking abruptly,--	She scarcely heard what he said, and suddenly startled him by asking abruptly,--
7555_105394_000017_000000	"Lord Fancourt, did you perceive who was in the dining-room just now besides Sir Percy Blakeney?"	"Lord Fancourt, did you perceive who was in the dining room just now besides Sir Percy Blakeney?"
7555_105394_000018_000001	"Why does your ladyship ask?"	"Why does your ladyship ask?"
7555_105394_000019_000000	"I know not . . .	"I know not . . .
7555_105394_000019_000002	Did you notice the time when you were there?"	Did you notice the time when you were there?"
