7555_105394_000000_000000	CHAPTER XV DOUBT	CHAPTER fifteen DOUBT	true	22.59	25.36	24.680237
7555_105394_000001_000000	Marguerite Blakeney had watched the slight sable-clad figure of Chauvelin, as he worked his way through the ball-room.	Marguerite Blakeney had watched the slight sable clad figure of Chauvelin, as he worked his way through the ball room.	true	26.21	33.88	21
7555_105394_000001_000001	Then perforce she had had to wait, while her nerves tingled with excitement.	Then perforce she had had to wait, while her nerves tingled with excitement.	false	33.98	38.29	21.621836
7555_105394_000002_000000	Listlessly she sat in the small, still deserted boudoir, looking out through the curtained doorway on the dancing couples beyond: looking at them, yet seeing nothing, hearing the music, yet conscious of naught save a feeling of expectancy, of anxious, weary waiting.	Listlessly she sat in the small, still deserted boudoir, looking out through the curtained doorway on the dancing couples beyond: looking at them, yet seeing nothing, hearing the music, yet conscious of naught save a feeling of expectancy, of anxious, weary waiting.	true	38.84	59.23	22.466959
7555_105394_000003_000000	Her mind conjured up before her the vision of what was, perhaps at this very moment, passing downstairs.	Her mind conjured up before her the vision of what was, perhaps at this very moment, passing downstairs.	true	59.96	67.81	23.125887
7555_105394_000003_000001	The half-deserted dining-room, the fateful hour--Chauvelin on the watch!--then, precise to the moment, the entrance of a man, he, the Scarlet Pimpernel, the mysterious leader, who to Marguerite had become almost unreal, so strange, so weird was this hidden identity.	The half deserted dining room, the fateful hour-Chauvelin on the watch!--then, precise to the moment, the entrance of a man, he, the Scarlet Pimpernel, the mysterious leader, who to Marguerite had become almost unreal, so strange, so weird was this hidden identity.	false	68.42	92.5	23.855448
7555_105394_000004_000000	She wished she were in the supper-room, too, at this moment, watching him as he entered; she knew that her woman's penetration would at once recognise in the stranger's face--whoever he might be--that strong individuality which belongs to a leader of men--to a hero: to the mighty, high-soaring eagle, whose daring wings were becoming entangled in the ferret's trap.	She wished she were in the supper room, too, at this moment, watching him as he entered; she knew that her woman's penetration would at once recognise in the stranger's face-whoever he might be-that strong individuality which belongs to a leader of men-to a hero: to the mighty, high soaring eagle, whose daring wings were becoming entangled in the ferret's trap.	false	93.2	120.46	21.365498
7555_105394_000005_000000	Woman-like, she thought of him with unmixed sadness; the irony of that fate seemed so cruel which allowed the fearless lion to succumb to the gnawing of a rat!	Woman like, she thought of him with unmixed sadness; the irony of that fate seemed so cruel which allowed the fearless lion to succumb to the gnawing of a rat!	false	120.71	132.01	22.095327
7555_105394_000005_000001	Ah! had Armand's life not been at stake! . . .	Ah! had Armand's life not been at stake! . . .	true	132.68	136.06	21.854727
7555_105394_000006_000000	"Faith! your ladyship must have thought me very remiss," said a voice suddenly, close to her elbow.	"Faith! your ladyship must have thought me very remiss," said a voice suddenly, close to her elbow.	true	136.7	142.99	21.293505
7555_105394_000006_000001	"I had a deal of difficulty in delivering your message, for I could not find Blakeney anywhere at first . . ."	"I had a deal of difficulty in delivering your message, for I could not find Blakeney anywhere at first . . ."	true	143.33	148.9	23.023655
7555_105394_000007_000000	Marguerite had forgotten all about her husband and her message to him; his very name, as spoken by Lord Fancourt, sounded strange and unfamiliar to her, so completely had she in the last five minutes lived her old life in the Rue de Richelieu again, with Armand always near her to love and protect her, to guard her from the many subtle intrigues which were forever raging in Paris in those days.	Marguerite had forgotten all about her husband and her message to him; his very name, as spoken by Lord Fancourt, sounded strange and unfamiliar to her, so completely had she in the last five minutes lived her old life in the Rue de Richelieu again, with Armand always near her to love and protect her, to guard her from the many subtle intrigues which were forever raging in Paris in those days.	false	149.87	179.02	19.21518
7555_105394_000008_000000	"I did find him at last," continued Lord Fancourt, "and gave him your message.	"I did find him at last," continued Lord Fancourt, "and gave him your message.	true	179.3	185.14	20.928318
7555_105394_000008_000001	He said that he would give orders at once for the horses to be put to."	He said that he would give orders at once for the horses to be put to."	true	185.33	188.95	21.693798
7555_105394_000009_000000	"Ah!" she said, still very absently, "you found my husband, and gave him my message?"	"Ah!" she said, still very absently, "you found my husband, and gave him my message?"	true	189.62	195.76	21.370745
7555_105394_000010_000000	"Yes; he was in the dining-room fast asleep.	"Yes; he was in the dining room fast asleep.	true	197.03	199.875	15.142131
7555_105394_000010_000001	I could not manage to wake him up at first."	I could not manage to wake him up at first."	true	199.875	202.87	24.787579
7555_105394_000011_000000	"Thank you very much," she said mechanically, trying to collect her thoughts.	"Thank you very much," she said mechanically, trying to collect her thoughts.	true	204.05	208.54	28.046383
7555_105394_000012_000000	"Will your ladyship honour me with the CONTREDANSE until your coach is ready?" asked Lord Fancourt.	"Will your ladyship honour me with the c o n t r e d a n s e until your coach is ready?" asked Lord Fancourt.	false	209.33	215.32	23
7555_105394_000013_000000	"No, I thank you, my lord, but--and you will forgive me--I really am too tired, and the heat in the ball-room has become oppressive."	"No, I thank you, my lord, but-and you will forgive me-I really am too tired, and the heat in the ball room has become oppressive."	false	216.23	224.44	22.879562
7555_105394_000014_000000	"The conservatory is deliciously cool; let me take you there, and then get you something.	"The conservatory is deliciously cool; let me take you there, and then get you something.	false	225.59	230.47	22.99377
7555_105394_000014_000001	You seem ailing, Lady Blakeney."	You seem ailing, Lady Blakeney."	true	230.63	233.08	19.889456
7555_105394_000015_000000	"I am only very tired," she repeated wearily, as she allowed Lord Fancourt to lead her, where subdued lights and green plants lent coolness to the air.	"I am only very tired," she repeated wearily, as she allowed Lord Fancourt to lead her, where subdued lights and green plants lent coolness to the air.	true	233.51	243.61	18
7555_105394_000015_000001	He got her a chair, into which she sank.	He got her a chair, into which she sank.	true	243.95	246.73	19
7555_105394_000015_000002	This long interval of waiting was intolerable.	This long interval of waiting was intolerable.	true	247.58	250.66	19.680933
7555_105394_000015_000003	Why did not Chauvelin come and tell her the result of his watch?	Why did not Chauvelin come and tell her the result of his watch?	true	250.85	254.71	19
7555_105394_000016_000000	Lord Fancourt was very attentive.	Lord Fancourt was very attentive.	true	255.74	258.21	20.188757
7555_105394_000016_000001	She scarcely heard what he said, and suddenly startled him by asking abruptly,--	She scarcely heard what he said, and suddenly startled him by asking abruptly,--	true	258.21	262.99	20.633396
7555_105394_000017_000000	"Lord Fancourt, did you perceive who was in the dining-room just now besides Sir Percy Blakeney?"	"Lord Fancourt, did you perceive who was in the dining room just now besides Sir Percy Blakeney?"	true	263.27	269.32	21.647175
7555_105394_000018_000000	"Only the agent of the French government, M. Chauvelin, equally fast asleep in another corner," he said.	"Only the agent of the French government, m Chauvelin, equally fast asleep in another corner," he said.	false	270.56	277.72	23.052263
7555_105394_000018_000001	"Why does your ladyship ask?"	"Why does your ladyship ask?"	true	278.12	280.15	23.400873
7555_105394_000019_000000	"I know not . . .	"I know not . . .	true	281.03	282.06	20.822117
7555_105394_000019_000001	I . . .	I . . .	true	282.06	282.61	17
7555_105394_000019_000002	Did you notice the time when you were there?"	Did you notice the time when you were there?"	true	283.16	285.46	24.106688
7555_105394_000020_000000	"It must have been about five or ten minutes past one. . . .	"It must have been about five or ten minutes past one. . . .	true	286.73	291.04	23.21064
7555_105394_000020_000001	I wonder what your ladyship is thinking about," he added, for evidently the fair lady's thoughts were very far away, and she had not been listening to his intellectual conversation.	I wonder what your ladyship is thinking about," he added, for evidently the fair lady's thoughts were very far away, and she had not been listening to his intellectual conversation.	true	291.35	301.84	22.480705
7555_105394_000021_000000	But indeed her thoughts were not very far away: only one storey below, in this same house, in the dining-room where sat Chauvelin still on the watch.	But indeed her thoughts were not very far away: only one storey below, in this same house, in the dining room where sat Chauvelin still on the watch.	true	303.05	313.93	21.925327
7555_105394_000021_000001	Had he failed?	Had he failed?	true	314.99	316.27	23.888294
7555_105394_000021_000002	For one instant that possibility rose before as a hope--the hope that the Scarlet Pimpernel had been warned by Sir Andrew, and that Chauvelin's trap had failed to catch his bird; but that hope soon gave way to fear.	For one instant that possibility rose before as a hope-the hope that the Scarlet Pimpernel had been warned by Sir Andrew, and that Chauvelin's trap had failed to catch his bird; but that hope soon gave way to fear.	true	317.09	331.39	20.424778
7555_105394_000021_000003	Had he failed?	Had he failed?	true	332.15	333.43	23.984287
7555_105394_000021_000004	But then--Armand!	But then-Armand!	false	333.77	336.69	22.044317
7555_105394_000022_000000	Lord Fancourt had given up talking since he found that he had no listener.	Lord Fancourt had given up talking since he found that he had no listener.	false	336.69	341.08	20.917068
7555_105394_000022_000001	He wanted an opportunity for slipping away; for sitting opposite to a lady, however fair, who is evidently not heeding the most vigorous efforts made for her entertainment, is not exhilarating, even to a Cabinet Minister.	He wanted an opportunity for slipping away; for sitting opposite to a lady, however fair, who is evidently not heeding the most vigorous efforts made for her entertainment, is not exhilarating, even to a Cabinet Minister.	false	341.33	356.53	22.70156
7555_105394_000023_000000	"Shall I find out if your ladyship's coach is ready," he said at last, tentatively.	"Shall I find out if your ladyship's coach is ready," he said at last, tentatively.	true	357.62	362.83	23.21526
7555_105394_000024_000000	"Oh, thank you . . . thank you . . . if you would be so kind . . .	"Oh, thank you . . . thank you . . . if you would be so kind . . .	false	363.89	367.87	22.259289
7555_105394_000024_000001	I fear I am but sorry company . . . but I am really tired . . . and, perhaps, would be best alone."	I fear I am but sorry company . . . but I am really tired . . . and, perhaps, would be best alone."	false	368	373.9	22.210745
7555_105394_000025_000000	But Lord Fancourt went, and still Chauvelin did not come.	But Lord Fancourt went, and still Chauvelin did not come.	true	375.62	379.39	23
7555_105394_000025_000001	Oh! what had happened?	Oh! what had happened?	true	379.46	381.43	22.803375
7555_105394_000025_000002	She felt Armand's fate trembling in the balance . . . she feared--now with a deadly fear that Chauvelin HAD failed, and that the mysterious Scarlet Pimpernel had proved elusive once more; then she knew that she need hope for no pity, no mercy, from him.	She felt Armand's fate trembling in the balance . . . she feared-now with a deadly fear that Chauvelin HAD failed, and that the mysterious Scarlet Pimpernel had proved elusive once more; then she knew that she need hope for no pity, no mercy, from him.	false	381.74	400.24	21.654577
7555_105394_000026_000000	He had pronounced his "Either--or--" and nothing less would content him: he was very spiteful, and would affect the belief that she had wilfully misled him, and having failed to trap the eagle once again, his revengeful mind would be content with the humble prey--Armand!	He had pronounced his "Either-or-" and nothing less would content him: he was very spiteful, and would affect the belief that she had wilfully misled him, and having failed to trap the eagle once again, his revengeful mind would be content with the humble prey-Armand!	false	400.91	421.05	22.6094
7555_105394_000027_000000	Yet she had done her best; had strained every nerve for Armand's sake. She could not bear to think that all had failed.	Yet she had done her best; had strained every nerve for Armand's sake. She could not bear to think that all had failed.	false	421.05	429.885	22.841742
7555_105394_000027_000001	She could not sit still; she wanted to go and hear the worst at once; she wondered even that Chauvelin had not come yet, to vent his wrath and satire upon her.	She could not sit still; she wanted to go and hear the worst at once; she wondered even that Chauvelin had not come yet, to vent his wrath and satire upon her.	false	429.885	440.05	20.510153
7555_105394_000028_000000	Lord Grenville himself came presently to tell her that her coach was ready, and that Sir Percy was already waiting for her--ribbons in hand.	Lord Grenville himself came presently to tell her that her coach was ready, and that Sir Percy was already waiting for her-ribbons in hand.	true	441.08	450.04	23.085663
