6330_62850_000000_000000	XXXI	thirty one	true	25.14	26.17	13
6330_62850_000001_000000	WITH A STEIN ON THE TABLE	WITH A STEIN ON THE TABLE	true	26.33	28.87	19.251644
6330_62850_000002_000000	Half a League would be better than one.	Half a League would be better than one.	true	29.75	32.98	13
6330_62850_000002_000001	Perhaps a quarter section would be still better.	Perhaps a quarter section would be still better.	true	33.17	36.46	13
6330_62850_000002_000002	The thing that sank Mr. Wilson's project, so far as America was concerned, was the machinery.	The thing that sank mr Wilson's project, so far as America was concerned, was the machinery.	true	37.34	44.5	12
6330_62850_000002_000003	It was too heavy.	It was too heavy.	true	44.96	46.39	17
6330_62850_000002_000004	Not so much was needed.	Not so much was needed.	true	46.55	48.7	16
6330_62850_000002_000005	The only essential thing was a large round table and a pleasant room held under at least one year's lease.	The only essential thing was a large round table and a pleasant room held under at least one year's lease.	true	49.31	57.79	16
6330_62850_000002_000006	Of course, it should have been the right sort of table.	Of course, it should have been the right sort of table.	true	57.92	61.12	15
6330_62850_000002_000007	If they had put knives and forks and, better yet, glasses upon the one in Paris, instead of ink and paper, we might already have a better world.	If they had put knives and forks and, better yet, glasses upon the one in Paris, instead of ink and paper, we might already have a better world.	true	61.37	72.9	15
6330_62850_000002_000008	Beer and light wines can settle subjects which defy all the subtleties possible to ink.	Beer and light wines can settle subjects which defy all the subtleties possible to ink.	true	72.9	80.08	14
6330_62850_000003_000000	What the world needs, then, is not so much a league as an international beer night to be held at regular intervals by representatives of the nations.	What the world needs, then, is not so much a league as an international beer night to be held at regular intervals by representatives of the nations.	true	80.39	91.81	10
6330_62850_000003_000001	Good beer and enough of it would have settled the whole problem of the covenants which were going to be open and did not turn out that way.	Good beer and enough of it would have settled the whole problem of the covenants which were going to be open and did not turn out that way.	true	92.42	101.35	12
6330_62850_000003_000002	The little meetings would have a persuasive privacy, and yet they would not be secret to any destructive extent.	The little meetings would have a persuasive privacy, and yet they would not be secret to any destructive extent.	false	101.69	109.33	12
6330_62850_000003_000003	An alert reporter hanging about the front door could not fail to hear the strains of "He's a jolly good fellow" drifting down the stairs from the conference room and, if he were a journalist of any ability, he would have no difficulty in surmising that the crowd was entertaining the delegate from Germany and discussing indemnities.	An alert reporter hanging about the front door could not fail to hear the strains of "He's a jolly good fellow" drifting down the stairs from the conference room and, if he were a journalist of any ability, he would have no difficulty in surmising that the crowd was entertaining the delegate from Germany and discussing indemnities.	false	109.76	133.42	11
6330_62850_000004_000000	Some persons were not quite fair in criticizing the shortcomings of President Wilson at Paris.	Some persons were not quite fair in criticizing the shortcomings of President Wilson at Paris.	true	134.03	140.95	12
6330_62850_000004_000001	It was easy to seize upon "open covenants" and to demolish his sincerity by pointing out the secrecy with which negotiations were carried on.	It was easy to seize upon "open covenants" and to demolish his sincerity by pointing out the secrecy with which negotiations were carried on.	true	141.8	152.16	12
6330_62850_000004_000002	It is sentimentally satisfying to every liberal and radical in the world to declare that all the walls should have come down and to continue this criticism by suggesting that the Arms conference ought to have been taken out of the Pan American Building and transferred to Tex Rickard's arena on Boyle's Thirty Acres, or the Yale Bowl.	It is sentimentally satisfying to every liberal and radical in the world to declare that all the walls should have come down and to continue this criticism by suggesting that the Arms conference ought to have been taken out of the Pan American Building and transferred to Tex Rickard's arena on Boyle's Thirty Acres, or the Yale Bowl.	true	152.16	177.49	13
6330_62850_000004_000003	The notion is fascinating because it permits the possibility of cheering sections and enables one to picture Henry Cabot Lodge leaping to his feet every now and again and asking all the men with the R. R. banners (Reactionary Republicans) to join him in nine long rahs for the freedom of the seas.	The notion is fascinating because it permits the possibility of cheering sections and enables one to picture Henry Cabot Lodge leaping to his feet every now and again and asking all the men with the r r banners (Reactionary Republicans) to join him in nine long rahs for the freedom of the seas.	true	177.62	199.68	12
6330_62850_000004_000004	The delegates, of course, would be numbered so that the spectators could tell who was doing the kicking.	The delegates, of course, would be numbered so that the spectators could tell who was doing the kicking.	true	199.68	205.81	13
6330_62850_000005_000000	It is appealing and we wish it could be done that way, but it is not sound.	It is appealing and we wish it could be done that way, but it is not sound.	true	206.27	211.75	16
6330_62850_000005_000001	We all know how bitter and destructive are legal battles which have their first hearing in the newspapers.	We all know how bitter and destructive are legal battles which have their first hearing in the newspapers.	true	212.36	219.07	11
6330_62850_000005_000002	We also remember how tenacious have been many of the struggles between capital and labor just so long as the leaders of either side were talking to each other across eight-column headlines instead of a table.	We also remember how tenacious have been many of the struggles between capital and labor just so long as the leaders of either side were talking to each other across eight column headlines instead of a table.	true	219.17	233.86	16
6330_62850_000006_000000	One may counter by calling to mind various evil things which have come to the world from the tops of tables, but we must insist again upon stressing the point that these were not tables which supported food and drink.	One may counter by calling to mind various evil things which have come to the world from the tops of tables, but we must insist again upon stressing the point that these were not tables which supported food and drink.	true	234.35	251.62	15
6330_62850_000006_000001	In Paris various points were lost to democracy because the supporters of the right were outstayed by the champions of evil.	In Paris various points were lost to democracy because the supporters of the right were outstayed by the champions of evil.	true	251.93	260.86	15
6330_62850_000006_000002	In our little club room it would be hard to put such pressure upon anybody.	In our little club room it would be hard to put such pressure upon anybody.	true	260.99	265.77	15
