329_862_000001_000000	CHAPTER X: A PLACE OF REFUGE	CHAPTER ten: A PLACE OF REFUGE
329_862_000002_000005	Sir John Powis and his party repulsed over and over again the efforts of the assailants against that part of the wall entrusted to them, but at other points the French gained a footing, and swarming up rushed along the walls, slaying all whom they encountered.	Sir john Powis and his party repulsed over and over again the efforts of the assailants against that part of the wall entrusted to them, but at other points the French gained a footing, and swarming up rushed along the walls, slaying all whom they encountered.
329_862_000003_000000	"All is lost," Sir John exclaimed; "let us fall back to the castle and die fighting there."	"All is lost," Sir john exclaimed; "let us fall back to the castle and die fighting there."
329_862_000005_000007	The bucket hung at the windlass.	The bucket hung at the windlass.
329_862_000010_000000	With great efforts they managed to rid themselves of their armour, and then held on with ease to the rope.	With great efforts they managed to rid themselves of their armour, and then held on with ease to the rope.
329_862_000010_000002	Putting their feet in this, they were able to stand with their heads above the surface without difficulty.	Putting their feet in this, they were able to stand with their heads above the surface without difficulty.
329_862_000011_000000	"This is a nice fix," Ralph exclaimed.	"This is a nice fix," Ralph exclaimed.
329_862_000013_000000	"But we are no better off if they don't," Ralph remarked, "for we must die here if we are not hauled out.	"But we are no better off if they don't," Ralph remarked, "for we must die here if we are not hauled out.
329_862_000015_000000	Ten minutes later they saw two heads appear above, and instantly withdrew their feet from the bucket and made a stroke to the side, which was but four feet distant, being careful as they did that no motion was imparted to the rope.	Ten minutes later they saw two heads appear above, and instantly withdrew their feet from the bucket and made a stroke to the side, which was but four feet distant, being careful as they did that no motion was imparted to the rope.
329_862_000015_000001	Then though it was too dark to see anything, they heard the bucket lifted from the water.	Then though it was too dark to see anything, they heard the bucket lifted from the water.
329_862_000015_000002	A minute later it fell back again with a splash, then all was quiet.	A minute later it fell back again with a splash, then all was quiet.
329_862_000016_000002	And now we must think about climbing up."	And now we must think about climbing up."
329_862_000018_000003	If we tie them four feet apart we can go up step by step; I don't see much difficulty about that."	If we tie them four feet apart we can go up step by step; I don't see much difficulty about that."
329_862_000020_000001	The rope was cut up and unravelled, and the strands cut into pieces about two feet long.	The rope was cut up and unravelled, and the strands cut into pieces about two feet long.
329_862_000020_000005	This was done by tying a knot close to one end of a piece of the strand, then sufficient was left to form the loop, and the remainder was wound round the rope in such a way that the weight only served to tighten its hold.	This was done by tying a knot close to one end of a piece of the strand, then sufficient was left to form the loop, and the remainder was wound round the rope in such a way that the weight only served to tighten its hold.
329_862_000021_000000	"Shall we begin at once?" Ralph said, when success was achieved.	"Shall we begin at once?" Ralph said, when success was achieved.
329_862_000023_000000	"Do you think we have sufficient bits of rope," Ralph asked.	"Do you think we have sufficient bits of rope," Ralph asked.
329_862_000025_000000	In a short time the fading brightness of the circle of light far overhead told them that twilight had commenced, and shortly afterwards they attached the first strand to the rope some three feet above the water.	In a short time the fading brightness of the circle of light far overhead told them that twilight had commenced, and shortly afterwards they attached the first strand to the rope some three feet above the water.
329_862_000026_000000	"Now," Walter said, "I will go first, at any rate for a time.	"Now," Walter said, "I will go first, at any rate for a time.
329_862_000027_000000	They now set to work, and step by step mounted the rope.	They now set to work, and step by step mounted the rope.
329_862_000027_000001	They found the work less arduous than they had expected.	They found the work less arduous than they had expected.
329_862_000027_000005	Descending a step or two he held parley with Ralph.	Descending a step or two he held parley with Ralph.
329_862_000029_000000	"I am ready to try it, Master Walter," Ralph replied, "for I ache from head to foot with holding on to this rope.	"I am ready to try it, Master Walter," Ralph replied, "for I ache from head to foot with holding on to this rope.
329_862_000030_000000	In another minute both stood in the courtyard.	In another minute both stood in the courtyard.
329_862_000030_000001	It was a retired spot, and none were passing.	It was a retired spot, and none were passing.
329_862_000030_000002	Going along the passage they issued into the main yard.	Going along the passage they issued into the main yard.
329_862_000032_000001	He also picked up a sword for Ralph--his own still hung in its sheath--and then he joined his companion, and the two putting on the steel caps and cloaks walked quietly to the gate.	He also picked up a sword for Ralph-his own still hung in its sheath-and then he joined his companion, and the two putting on the steel caps and cloaks walked quietly to the gate.
329_862_000036_000000	At first Walter and his friend feared that their retreat was cut off for the night, but several other people presently arrived, and the officer on guard said, coming out, "You must wait a while; the last batch have only just gone, and I cannot keep opening and closing the gate; in half an hour I will let you out."	At first Walter and his friend feared that their retreat was cut off for the night, but several other people presently arrived, and the officer on guard said, coming out, "You must wait a while; the last batch have only just gone, and I cannot keep opening and closing the gate; in half an hour I will let you out."
329_862_000037_000000	Before that time elapsed some fifty or sixty people, anxious to return to their villages, gathered round the gate.	Before that time elapsed some fifty or sixty people, anxious to return to their villages, gathered round the gate.
329_862_000038_000000	"Best lay aside your steel cap, Ralph, before we join them," Walter said.	"Best lay aside your steel cap, Ralph, before we join them," Walter said.
329_862_000038_000001	"In the dim light of that lamp none will notice that we have head-gear, but if it were to glint upon the steel cap the officer might take us for deserters and question us as to who we are."	"In the dim light of that lamp none will notice that we have head gear, but if it were to glint upon the steel cap the officer might take us for deserters and question us as to who we are."
329_862_000039_000000	Presently the officer came out from the guard-room again.	Presently the officer came out from the guard room again.
