329_862_000000_000000	"The outlook is bad, Walter," Sir John Powis said.	"The outlook is bad, Walter," Sir john Powis said.	false	0	1.02	26.057562
329_862_000000_000001	"These men approach with an air of resolution which shows that they are bent upon success. They outnumber us by twelve to one, and it is likely enough that the citizens may rise and attack us in the rear.	"These men approach with an air of resolution which shows that they are bent upon success. They outnumber us by twelve to one, and it is likely enough that the citizens may rise and attack us in the rear.	false	1.02	7.95	20.693394
329_862_000000_000002	They have been ordered to bring the stones for the machines to the walls, but no one has laid his hand to the work.	They have been ordered to bring the stones for the machines to the walls, but no one has laid his hand to the work.	false	7.95	11.28	23.283718
329_862_000000_000003	We must do our duty as brave men, my lad, but I doubt me if yonder is not the last sun which we shall see.	We must do our duty as brave men, my lad, but I doubt me if yonder is not the last sun which we shall see.	false	11.28	16.38	26.824585
329_862_000000_000004	Furious as the French are at our recent success here you may be sure that little quarter will given."	Furious as the French are at our recent success here you may be sure that little quarter will given."	false	16.38	22.65	20.511318
329_862_000001_000000	CHAPTER X: A PLACE OF REFUGE	CHAPTER ten: A PLACE OF REFUGE	true	22.65	26.14	23.432373
329_862_000002_000000	The French, excited to the utmost by the exhortations of their commanders, and by their desire to wipe out the disgrace of the easy capture of Vannes by the English, advanced with ardour to the assault, and officers and men vied with each other in the valour which they displayed.	The French, excited to the utmost by the exhortations of their commanders, and by their desire to wipe out the disgrace of the easy capture of Vannes by the English, advanced with ardour to the assault, and officers and men vied with each other in the valour which they displayed.	false	27.26	43.96	20
329_862_000002_000001	In vain did the garrison shower arrows and cross-bow bolts among them, and pour down burning oil and quicklime upon them as they thronged at the foot of the wall.	In vain did the garrison shower arrows and cross bow bolts among them, and pour down burning oil and quicklime upon them as they thronged at the foot of the wall.	true	44.21	53.98	16
329_862_000002_000002	In vain were the ladders, time after time, hurled back loaded with men upon the mass below.	In vain were the ladders, time after time, hurled back loaded with men upon the mass below.	true	54.23	60.91	19
329_862_000002_000003	The efforts of the men-at-arms to scale the defences were seconded by their archers and crossbow-men, who shot such a storm of bolts that great numbers of the defenders were killed.	The efforts of the men at arms to scale the defences were seconded by their archers and crossbow men, who shot such a storm of bolts that great numbers of the defenders were killed.	false	61.16	72.1	19
329_862_000002_000004	The assault was made at a score of different points, and the garrison was too weak to defend all with success.	The assault was made at a score of different points, and the garrison was too weak to defend all with success.	false	72.56	79.03	20
329_862_000002_000005	Sir John Powis and his party repulsed over and over again the efforts of the assailants against that part of the wall entrusted to them, but at other points the French gained a footing, and swarming up rushed along the walls, slaying all whom they encountered.	Sir john Powis and his party repulsed over and over again the efforts of the assailants against that part of the wall entrusted to them, but at other points the French gained a footing, and swarming up rushed along the walls, slaying all whom they encountered.	true	79.25	95.8	20
329_862_000003_000000	"All is lost," Sir John exclaimed; "let us fall back to the castle and die fighting there."	"All is lost," Sir john exclaimed; "let us fall back to the castle and die fighting there."	true	95.9	102.13	21.668697
