1289_288044_000002_000001	W. E. Barton, of Oak Park, is one of the ablest Congregational ministers in the West.	w e Barton, of Oak Park, is one of the ablest Congregational ministers in the West.
1289_288044_000002_000002	He has recently expressed himself on the Mangasarian-Crapsey Debate.	He has recently expressed himself on the Mangasarian Crapsey Debate.
1289_288044_000003_000000	The Reverend gentleman begins by an uncompromising denial of our statements, and ends by virtually admitting all that we contend for. This morning we will write of his denials; next Sunday, of his admissions.	The Reverend gentleman begins by an uncompromising denial of our statements, and ends by virtually admitting all that we contend for. This morning we will write of his denials; next Sunday, of his admissions.
1289_288044_000004_000000	"Mr. Mangasarian," says Dr. Barton, "has not given evidence of his skill as a logician or of his accuracy in the use of history." Then he proceeds to apologize, in a way, for the character of his reply to our argument, by saying that "Mr.	"mr Mangasarian," says dr Barton, "has not given evidence of his skill as a logician or of his accuracy in the use of history." Then he proceeds to apologize, in a way, for the character of his reply to our argument, by saying that "mr
1289_288044_000004_000001	Mangasarian's arguments, fortunately, do not require to be taken very seriously, for they are not in themselves serious."	Mangasarian's arguments, fortunately, do not require to be taken very seriously, for they are not in themselves serious."
1289_288044_000005_000000	Notwithstanding this protest, Dr. Barton proceeds to do his best to reply to our position.	Notwithstanding this protest, dr Barton proceeds to do his best to reply to our position.
1289_288044_000006_000001	Yet Paul never seems to have met Jesus, or to have heard of his teachings or miracles.	Yet Paul never seems to have met Jesus, or to have heard of his teachings or miracles.
1289_288044_000007_000000	The above reply, we are compelled to say, much to our regret, is not even honest.	The above reply, we are compelled to say, much to our regret, is not even honest.
1289_288044_000007_000001	Without actually telling any untruths, it suggests indirectly two falsehoods: First, that Jesus was not much in Jerusalem--that he was there only on a few occasions; and that, therefore, it is not strange that Paul did not see him or hear of his preaching or miracles; and second, that Paul was absent from the city when Jesus was there.	Without actually telling any untruths, it suggests indirectly two falsehoods: First, that Jesus was not much in Jerusalem-that he was there only on a few occasions; and that, therefore, it is not strange that Paul did not see him or hear of his preaching or miracles; and second, that Paul was absent from the city when Jesus was there.
1289_288044_000007_000002	The question is not how often Jesus visited Jerusalem, but how conspicuous was the part he played there.	The question is not how often Jesus visited Jerusalem, but how conspicuous was the part he played there.
1289_288044_000008_000000	The Reverend debater attempts to belittle the Jerusalem career of Jesus, by suggesting that he was not there much, when according to the Gospels, it was in that city that his ministry began and culminated.	The Reverend debater attempts to belittle the Jerusalem career of Jesus, by suggesting that he was not there much, when according to the Gospels, it was in that city that his ministry began and culminated.
1289_288044_000009_000001	We say Paul gives not a single quotation to prove that he knew of a teaching Jesus.	We say Paul gives not a single quotation to prove that he knew of a teaching Jesus.
1289_288044_000010_000001	There is not a single miracle, parable or moral teaching attributed to Jesus in the Gospels of which Paul seems to possess any knowledge whatever.	There is not a single miracle, parable or moral teaching attributed to Jesus in the Gospels of which Paul seems to possess any knowledge whatever.
1289_288044_000011_000000	Nor is it true that it is of no consequence that "Paul seldom quotes the words of Jesus." For it proves that the Gospel Jesus was unknown to Paul, and that he was created at a later date.	Nor is it true that it is of no consequence that "Paul seldom quotes the words of Jesus." For it proves that the Gospel Jesus was unknown to Paul, and that he was created at a later date.
1289_288044_000012_000000	Once more; we say that the only Jesus Paul knew was the one he met in a trance on his way to Damascus.	Once more; we say that the only Jesus Paul knew was the one he met in a trance on his way to Damascus.
1289_288044_000012_000001	To this the pastor of the First Congregational Church of Oak Park replies in the same we-do-not-care- to-explain style.	To this the pastor of the First Congregational Church of Oak Park replies in the same we do not care to explain style.
1289_288044_000012_000002	He says: "Nor is it of consequence that Paul values comparatively lightly, having known him in the flesh."	He says: "Nor is it of consequence that Paul values comparatively lightly, having known him in the flesh."
1289_288044_000013_000001	The clergyman's words, however, convey the impression that Paul knew Jesus in the flesh, but he valued that, knowledge "comparatively lightly," that is to say, he did not think much of it.	The clergyman's words, however, convey the impression that Paul knew Jesus in the flesh, but he valued that, knowledge "comparatively lightly," that is to say, he did not think much of it.
1289_288044_000013_000002	And Dr. Barton is one of the foremost divines of the country.	And dr Barton is one of the foremost divines of the country.
1289_288044_000016_000001	After two thousand years, it is still uncertain to whom we are indebted for the story of Jesus.	After two thousand years, it is still uncertain to whom we are indebted for the story of Jesus.
1289_288044_000016_000002	What, in Dr. Barton's opinion, could have influenced the framers of the life of Jesus to suppress their identity?	What, in dr Barton's opinion, could have influenced the framers of the life of Jesus to suppress their identity?
1289_288044_000017_000001	"At the very least, four of Paul's epistles are genuine," says the same clergyman.	"At the very least, four of Paul's epistles are genuine," says the same clergyman.
1289_288044_000017_000002	Only four?	Only four?
1289_288044_000017_000003	Paul has thirteen epistles in the bible, and of only four of them is Dr. Barton certain.	Paul has thirteen epistles in the bible, and of only four of them is dr Barton certain.
1289_288044_000017_000004	What are the remaining nine doing in the Holy Bible?	What are the remaining nine doing in the Holy Bible?
1289_288044_000017_000005	And which 'four' does the clergyman accept as doubtlessly "genuine?" Only yesterday all thirteen of Paul's letters were infallible, and they are so still wherever no questions are asked about them.	And which 'four' does the clergyman accept as doubtlessly "genuine?" Only yesterday all thirteen of Paul's letters were infallible, and they are so still wherever no questions are asked about them.
1289_288044_000017_000006	It is only where there is intelligence and inquiry that "four of them" at least are reliable.	It is only where there is intelligence and inquiry that "four of them" at least are reliable.
1289_288044_000017_000007	As honesty and culture increase, the number of inspired epistles decreases.	As honesty and culture increase, the number of inspired epistles decreases.
1289_288044_000018_000000	III.	three.
1289_288044_000018_000002	We wonder how many kinds of flesh there are according to Dr. Barton.	We wonder how many kinds of flesh there are according to dr Barton.
1289_288044_000018_000004	The good man controls his appetites and passions, but his flesh is not any different from anybody else's.	The good man controls his appetites and passions, but his flesh is not any different from anybody else's.
1289_288044_000018_000006	Our point is, that if the New Testament is reliable, in the time of the apostles themselves, the Gnostics, an influential body of Christians, denied that Jesus was any more than an imaginary existence.	Our point is, that if the New Testament is reliable, in the time of the apostles themselves, the Gnostics, an influential body of Christians, denied that Jesus was any more than an imaginary existence.
1289_288044_000018_000009	How does the Reverend Barton like the conclusion to which his own reasoning leads him?	How does the Reverend Barton like the conclusion to which his own reasoning leads him?
1289_288044_000019_000003	The doctor admits the charge, except that he calls it by another name.	The doctor admits the charge, except that he calls it by another name.
1289_288044_000019_000004	The difference between fiction and forgery is this: the former is, what it claims to be; the latter is a lie parading as a truth.	The difference between fiction and forgery is this: the former is, what it claims to be; the latter is a lie parading as a truth.
1289_288044_000019_000005	Fiction is honest because it does not try to deceive.	Fiction is honest because it does not try to deceive.
1289_288044_000019_000006	Forgery is dishonest because its object is to deceive.	Forgery is dishonest because its object is to deceive.
1289_288044_000019_000007	If the Gospel was a novel, no one would object to its mythology, but pretending to be historical, it must square its claims with the facts, or be branded as a forgery.	If the Gospel was a novel, no one would object to its mythology, but pretending to be historical, it must square its claims with the facts, or be branded as a forgery.
1289_288044_000020_000002	It concedes all that higher criticism contends for.	It concedes all that higher criticism contends for.
1289_288044_000020_000003	We are not sure either of Jesus' words or of his character, intimates the Reverend preacher.	We are not sure either of Jesus' words or of his character, intimates the Reverend preacher.
1289_288044_000020_000004	Precisely.	Precisely.
1289_288044_000021_000000	In commenting on our remark that in the eighth century "Pope Hadrian called upon the Christian world to think of Jesus as a man," Dr. Barton replies with considerable temper: "To date people's right to think of Jesus as a man from that decree is not to be characterized by any polite term." Our neighbor, in the first place, misquotes us in his haste.	In commenting on our remark that in the eighth century "Pope Hadrian called upon the Christian world to think of Jesus as a man," dr Barton replies with considerable temper: "To date people's right to think of Jesus as a man from that decree is not to be characterized by any polite term." Our neighbor, in the first place, misquotes us in his haste.
1289_288044_000023_000000	VII	seven
1289_288044_000025_000000	"In answer to your query, which I received, I beg to give the following statement.	"In answer to your query, which I received, I beg to give the following statement.
1289_288044_000025_000001	Facts, not theories.	Facts, not theories.
1289_288044_000025_000002	The date of your own letter 1908 tells what?	The date of your own letter nineteen o eight tells what?
1289_288044_000025_000003	1908 years after what?	one thousand nine hundred eight years after what?
1289_288044_000025_000004	The looking forward of the world to Him."	The looking forward of the world to Him."
1289_288044_000026_000000	Rev. Shayler has an original way of proving the historicity of Jesus. Every time we date our letters, suggests the clergyman, we prove that Jesus lived.	reverend Shayler has an original way of proving the historicity of Jesus. Every time we date our letters, suggests the clergyman, we prove that Jesus lived.
1289_288044_000026_000001	The ancient Greeks reckoned time by the Olympiads, which fact, according to this interesting clergyman, ought to prove that the Olympic games were instituted by the God Heracles or Hercules, son of Zeus; the Roman Chronology began with the building of Rome by Romulus, which by the same reasoning would prove that Romulus and Remus, born of Mars, and nursed by a she-wolf, are historical.	The ancient Greeks reckoned time by the Olympiads, which fact, according to this interesting clergyman, ought to prove that the Olympic games were instituted by the God Heracles or Hercules, son of Zeus; the Roman Chronology began with the building of Rome by Romulus, which by the same reasoning would prove that Romulus and Remus, born of Mars, and nursed by a she wolf, are historical.
1289_288044_000027_000001	This date prevailed in many countries until 1745.	This date prevailed in many countries until seventeen forty five.
1289_288044_000027_000003	According to this clergyman, scientists, instead of studying the crust of the earth and making geological investigations to ascertain the probable age of the earth, ought to look at the date in the margin of the bible which tells exactly the world's age.	According to this clergyman, scientists, instead of studying the crust of the earth and making geological investigations to ascertain the probable age of the earth, ought to look at the date in the margin of the bible which tells exactly the world's age.
1289_288044_000028_000000	Rev. Shayler continues: "The places where he was born, labored and died are still extant, and have no value apart from such testimony."	reverend Shayler continues: "The places where he was born, labored and died are still extant, and have no value apart from such testimony."
1289_288044_000029_000000	While this is amusing, we are going to deny ourselves the pleasure of laughing at it; we will do our best to give it a serious answer.	While this is amusing, we are going to deny ourselves the pleasure of laughing at it; we will do our best to give it a serious answer.
