6877_77361_000001_000000	Section 3	Section three
6877_77361_000002_000001	After failing to find any young couple that corresponded to young Verrall and Nettie, I presently discovered an unsatisfactory quartette of couples.	After failing to find any young couple that corresponded to young Verrall and Nettie, I presently discovered an unsatisfactory quartette of couples.
6877_77361_000003_000000	Any of these four couples might have been the one I sought; with regard to none of them was there conviction.	Any of these four couples might have been the one I sought; with regard to none of them was there conviction.
6877_77361_000003_000001	They had all arrived either on Wednesday or Thursday.	They had all arrived either on Wednesday or Thursday.
6877_77361_000003_000002	Two couples were still in occupation of their rooms, but neither of these were at home.	Two couples were still in occupation of their rooms, but neither of these were at home.
6877_77361_000003_000003	Late in the afternoon I reduced my list by eliminating a young man in drab, with side whiskers and long cuffs, accompanied by a lady, of thirty or more, of consciously ladylike type.	Late in the afternoon I reduced my list by eliminating a young man in drab, with side whiskers and long cuffs, accompanied by a lady, of thirty or more, of consciously ladylike type.
6877_77361_000003_000006	I stood outside in the meteor's livid light, hating them and cursing them for having delayed me so long.	I stood outside in the meteor's livid light, hating them and cursing them for having delayed me so long.
6877_77361_000003_000007	I stood until it was evident they remarked me, a black shape of envy, silhouetted against the glare.	I stood until it was evident they remarked me, a black shape of envy, silhouetted against the glare.
6877_77361_000004_000000	That finished Shaphambury.	That finished Shaphambury.
6877_77361_000004_000001	The question I now had to debate was which of the remaining couples I had to pursue.	The question I now had to debate was which of the remaining couples I had to pursue.
6877_77361_000005_000000	I walked back to the parade trying to reason my next step out, and muttering to myself, because there was something in that luminous wonderfulness that touched one's brain, and made one feel a little light-headed.	I walked back to the parade trying to reason my next step out, and muttering to myself, because there was something in that luminous wonderfulness that touched one's brain, and made one feel a little light headed.
6877_77361_000006_000000	One couple had gone to London; the other had gone to the Bungalow village at Bone Cliff.	One couple had gone to London; the other had gone to the Bungalow village at Bone Cliff.
6877_77361_000006_000001	Where, I wondered, was Bone Cliff?	Where, I wondered, was Bone Cliff?
6877_77361_000007_000000	I came upon my wooden-legged man at the top of his steps.	I came upon my wooden legged man at the top of his steps.
6877_77361_000008_000000	"Hullo," said I.	"Hullo," said i
6877_77361_000009_000000	He pointed seaward with his pipe, his silver ring shone in the sky light.	He pointed seaward with his pipe, his silver ring shone in the sky light.
6877_77361_000011_000000	"What is?" I asked.	"What is?" I asked.
6877_77361_000012_000000	"Search-lights!	"Search lights!
6877_77361_000012_000001	Smoke!	Smoke!
6877_77361_000012_000002	Ships going north!	Ships going north!
6877_77361_000012_000003	If it wasn't for this blasted Milky Way gone green up there, we might see."	If it wasn't for this blasted Milky Way gone green up there, we might see."
6877_77361_000013_000000	He was too intent to heed my questions for a time.	He was too intent to heed my questions for a time.
6877_77361_000013_000001	Then he vouchsafed over his shoulder--	Then he vouchsafed over his shoulder-
6877_77361_000014_000000	"Know Bungalow village?--rather.	"Know Bungalow village?--rather.
6877_77361_000014_000002	Nice goings on! Mixed bathing--something scandalous.	Nice goings on! Mixed bathing-something scandalous.
6877_77361_000014_000003	Yes."	Yes."
6877_77361_000015_000000	"But where is it?" I said, suddenly exasperated.	"But where is it?" I said, suddenly exasperated.
6877_77361_000016_000000	"There!" he said.	"There!" he said.
6877_77361_000016_000001	"What's that flicker?	"What's that flicker?
6877_77361_000016_000002	A gunflash--or I'm a lost soul!"	A gunflash-or I'm a lost soul!"
