258_121528_000000_000000	Thus did Ulysses sleep, and the young men slept beside him.	Thus did Ulysses sleep, and the young men slept beside him.	false	0	0.24	-20
258_121528_000000_000001	But the swineherd did not like sleeping away from his pigs, so he got ready to go outside, and Ulysses was glad to see that he looked after his property during his master's absence.	But the swineherd did not like sleeping away from his pigs, so he got ready to go outside, and Ulysses was glad to see that he looked after his property during his master's absence.	false	0.24	1.02	12.642409
258_121528_000000_000002	First he slung his sword over his brawny shoulders and put on a thick cloak to keep out the wind.	First he slung his sword over his brawny shoulders and put on a thick cloak to keep out the wind.	false	1.02	3.84	21.33629
258_121528_000000_000003	He also took the skin of a large and well fed goat, and a javelin in case of attack from men or dogs.	He also took the skin of a large and well fed goat, and a javelin in case of attack from men or dogs.	false	3.84	7.86	19.846684
258_121528_000000_000004	Thus equipped he went to his rest where the pigs were camping under an overhanging rock that gave them shelter from the North wind.	Thus equipped he went to his rest where the pigs were camping under an overhanging rock that gave them shelter from the North wind.	false	7.86	17.64	20.57168
258_121528_000001_000000	Book XV	Book fifteen	false	17.64	17.7	10
258_121528_000002_000000	MINERVA SUMMONS TELEMACHUS FROM LACEDAEMON--HE MEETS WITH THEOCLYMENUS AT PYLOS AND BRINGS HIM TO ITHACA--ON LANDING HE GOES TO THE HUT OF EUMAEUS.	MINERVA SUMMONS TELEMACHUS FROM l a c e d a e m o n-HE MEETS WITH t h e o c l y m e n u s AT PYLOS AND BRINGS HIM TO ITHACA-ON LANDING HE GOES TO THE HUT OF EUMAEUS.	false	17.7	26.76	17.959843
258_121528_000003_000000	But Minerva went to the fair city of Lacedaemon to tell Ulysses' son that he was to return at once.	But Minerva went to the fair city of Lacedaemon to tell Ulysses' son that he was to return at once.	false	26.76	32.5	19
258_121528_000003_000001	She found him and Pisistratus sleeping in the forecourt of Menelaus's house; Pisistratus was fast asleep, but Telemachus could get no rest all night for thinking of his unhappy father, so Minerva went close up to him and said:	She found him and Pisistratus sleeping in the forecourt of Menelaus's house; Pisistratus was fast asleep, but Telemachus could get no rest all night for thinking of his unhappy father, so Minerva went close up to him and said:	false	33.2	47.32	21.324324
258_121528_000004_000000	"Telemachus, you should not remain so far away from home any longer, nor leave your property with such dangerous people in your house; they will eat up everything you have among them, and you will have been on a fool's errand.	"Telemachus, you should not remain so far away from home any longer, nor leave your property with such dangerous people in your house; they will eat up everything you have among them, and you will have been on a fool's errand.	true	47.81	60.88	21.96659
258_121528_000004_000001	Ask Menelaus to send you home at once if you wish to find your excellent mother still there when you get back.	Ask Menelaus to send you home at once if you wish to find your excellent mother still there when you get back.	true	61.91	67.57	19.985449
258_121528_000004_000002	Her father and brothers are already urging her to marry Eurymachus, who has given her more than any of the others, and has been greatly increasing his wedding presents.	Her father and brothers are already urging her to marry Eurymachus, who has given her more than any of the others, and has been greatly increasing his wedding presents.	false	67.91	76.06	20.225077
258_121528_000004_000003	I hope nothing valuable may have been taken from the house in spite of you, but you know what women are--they always want to do the best they can for the man who marries them, and never give another thought to the children of their first husband, nor to their father either when he is dead and done with.	I hope nothing valuable may have been taken from the house in spite of you, but you know what women are-they always want to do the best they can for the man who marries them, and never give another thought to the children of their first husband, nor to their father either when he is dead and done with.	false	77	93.31	20.63223
258_121528_000004_000004	Go home, therefore, and put everything in charge of the most respectable woman servant that you have, until it shall please heaven to send you a wife of your own.	Go home, therefore, and put everything in charge of the most respectable woman servant that you have, until it shall please heaven to send you a wife of your own.	true	93.86	102.37	20
258_121528_000004_000005	Let me tell you also of another matter which you had better attend to.	Let me tell you also of another matter which you had better attend to.	true	103.16	106.9	20.369883
258_121528_000004_000006	The chief men among the suitors are lying in wait for you in the Strait {128} between Ithaca and Samos, and they mean to kill you before you can reach home.	The chief men among the suitors are lying in wait for you in the Strait {one hundred twenty eight} between Ithaca and Samos, and they mean to kill you before you can reach home.	false	107.6	115.18	19
258_121528_000004_000007	I do not much think they will succeed; it is more likely that some of those who are now eating up your property will find a grave themselves.	I do not much think they will succeed; it is more likely that some of those who are now eating up your property will find a grave themselves.	true	115.7	122.98	21.7038
258_121528_000004_000008	Sail night and day, and keep your ship well away from the islands; the god who watches over you and protects you will send you a fair wind.	Sail night and day, and keep your ship well away from the islands; the god who watches over you and protects you will send you a fair wind.	true	123.47	131.2	19.945822
258_121528_000004_000009	As soon as you get to Ithaca send your ship and men on to the town, but yourself go straight to the swineherd who has charge of your pigs; he is well disposed towards you, stay with him, therefore, for the night, and then send him to Penelope to tell her that you have got back safe from Pylos."	As soon as you get to Ithaca send your ship and men on to the town, but yourself go straight to the swineherd who has charge of your pigs; he is well disposed towards you, stay with him, therefore, for the night, and then send him to Penelope to tell her that you have got back safe from Pylos."	false	131.9	150.57	20.994743
258_121528_000005_000000	Then she went back to Olympus; but Telemachus stirred Pisistratus with his heel to rouse him, and said, "Wake up Pisistratus, and yoke the horses to the chariot, for we must set off home." {129}	Then she went back to Olympus; but Telemachus stirred Pisistratus with his heel to rouse him, and said, "Wake up Pisistratus, and yoke the horses to the chariot, for we must set off home." {one hundred twenty nine}	false	150.57	162.33	21.198309
258_121528_000006_000000	But Pisistratus said, "No matter what hurry we are in we cannot drive in the dark.	But Pisistratus said, "No matter what hurry we are in we cannot drive in the dark.	false	162.33	167.5	21.859367
258_121528_000006_000001	It will be morning soon; wait till Menelaus has brought his presents and put them in the chariot for us; and let him say good bye to us in the usual way.	It will be morning soon; wait till Menelaus has brought his presents and put them in the chariot for us; and let him say good bye to us in the usual way.	true	167.6	176.29	20.661037
258_121528_000006_000002	So long as he lives a guest should never forget a host who has shown him kindness."	So long as he lives a guest should never forget a host who has shown him kindness."	true	176.9	181.93	20.137983
258_121528_000007_000000	As he spoke day began to break, and Menelaus, who had already risen, leaving Helen in bed, came towards them.	As he spoke day began to break, and Menelaus, who had already risen, leaving Helen in bed, came towards them.	true	182.84	190.03	21.115799
258_121528_000007_000001	When Telemachus saw him he put on his shirt as fast as he could, threw a great cloak over his shoulders, and went out to meet him.	When Telemachus saw him he put on his shirt as fast as he could, threw a great cloak over his shoulders, and went out to meet him.	false	190.34	197.23	21.111147
258_121528_000007_000002	"Menelaus," said he, "let me go back now to my own country, for I want to get home."	"Menelaus," said he, "let me go back now to my own country, for I want to get home."	true	197.81	203.83	22.963
258_121528_000008_000000	And Menelaus answered, "Telemachus, if you insist on going I will not detain you.	And Menelaus answered, "Telemachus, if you insist on going I will not detain you.	true	204.68	210.13	21.60576
258_121528_000008_000001	I do not like to see a host either too fond of his guest or too rude to him.	I do not like to see a host either too fond of his guest or too rude to him.	true	210.38	214.75	22
