820_123133_000000_000000	XXV -- THE LETTER	twenty five -- THE LETTER	true	20.835	23.65	17.530697
820_123133_000001_000000	ON the 16th of April, nearly six months after the day just described, Papa entered our schoolroom and told us that that night we must start with him for our country house.	ON the sixteenth of April, nearly six months after the day just described, Papa entered our schoolroom and told us that that night we must start with him for our country house.	true	25.1	38.53	18
820_123133_000001_000001	I felt a pang at my heart when I heard the news, and my thoughts at once turned to Mamma.	I felt a pang at my heart when I heard the news, and my thoughts at once turned to Mamma.	true	38.93	44.71	15
820_123133_000001_000002	The cause of our unexpected departure was the following letter:	The cause of our unexpected departure was the following letter:	true	44.96	48.72	14
820_123133_000002_000000	"PETROVSKOE, 12th April.	"p e t r o v s k o e, the twelfth of april.	false	48.72	53.05	18.343645
820_123133_000003_000000	"Only this moment (i.e. at ten o'clock in the evening) have I received your dear letter of the 3rd of April, but as usual, I answer it at once. Fedor brought it yesterday from town, but, as it was late, he did not give it to Mimi till this morning, and Mimi (since I was unwell) kept it from me all day.	"Only this moment (i e at ten o'clock in the evening) have I received your dear letter of the third of April, but as usual, I answer it at once. Fedor brought it yesterday from town, but, as it was late, he did not give it to Mimi till this morning, and Mimi (since I was unwell) kept it from me all day.	true	53.72	78.13	18.408167
820_123133_000003_000001	I have been a little feverish.	I have been a little feverish.	true	78.32	80.26	17.77939
820_123133_000003_000002	In fact, to tell the truth, this is the fourth day that I have been in bed.	In fact, to tell the truth, this is the fourth day that I have been in bed.	true	80.33	85.51	17.967722
820_123133_000004_000000	"Yet do not be uneasy.	"Yet do not be uneasy.	false	86.09	88.21	18.84678
820_123133_000004_000001	I feel almost myself again now, and if Ivan Vassilitch should allow me, I think of getting up to-morrow.	I feel almost myself again now, and if Ivan Vassilitch should allow me, I think of getting up to morrow.	false	88.28	96.13	18.479044
820_123133_000005_000000	"On Friday last I took the girls for a drive, and, close to the little bridge by the turning on to the high road (the place which always makes me nervous), the horses and carriage stuck fast in the mud.	"On Friday last I took the girls for a drive, and, close to the little bridge by the turning on to the high road (the place which always makes me nervous), the horses and carriage stuck fast in the mud.	true	97.28	110.56	17
820_123133_000005_000001	Well, the day being fine, I thought that we would walk a little up the road until the carriage should be extricated, but no sooner had we reached the chapel than I felt obliged to sit down, I was so tired, and in this way half-an-hour passed while help was being sent for to get the carriage dug out.	Well, the day being fine, I thought that we would walk a little up the road until the carriage should be extricated, but no sooner had we reached the chapel than I felt obliged to sit down, I was so tired, and in this way half an hour passed while help was being sent for to get the carriage dug out.	true	111.59	131.89	15
820_123133_000005_000002	I felt cold, for I had only thin boots on, and they had been wet through.	I felt cold, for I had only thin boots on, and they had been wet through.	true	132.89	138.04	19
820_123133_000005_000003	After luncheon too, I had alternate cold and hot fits, yet still continued to follow our ordinary routine.	After luncheon too, I had alternate cold and hot fits, yet still continued to follow our ordinary routine.	true	138.38	146.41	16
820_123133_000006_000000	"When tea was over I sat down to the piano to play a duct with Lubotshka, (you would be astonished to hear what progress she has made!), but imagine my surprise when I found that I could not count the beats!	"When tea was over I sat down to the piano to play a duct with Lubotshka, (you would be astonished to hear what progress she has made!), but imagine my surprise when I found that I could not count the beats!	false	147.41	161.14	18
820_123133_000006_000001	Several times I began to do so, yet always felt confused in my head, and kept hearing strange noises in my ears.	Several times I began to do so, yet always felt confused in my head, and kept hearing strange noises in my ears.	true	161.45	169.81	14
820_123133_000006_000002	I would begin 'One-two-three--' and then suddenly go on '-eight-fifteen,' and so on, as though I were talking nonsense and could not help it.	I would begin 'One two three-' and then suddenly go on '-eight fifteen,' and so on, as though I were talking nonsense and could not help it.	true	170.24	182.26	18.900133
820_123133_000006_000003	At last Mimi came to my assistance and forced me to retire to bed.	At last Mimi came to my assistance and forced me to retire to bed.	true	182.63	187.9	16
820_123133_000006_000004	That was how my illness began, and it was all through my own fault.	That was how my illness began, and it was all through my own fault.	true	188.15	192.61	17.827887
820_123133_000006_000005	The next day I had a good deal of fever, and our good Ivan Vassilitch came.	The next day I had a good deal of fever, and our good Ivan Vassilitch came.	false	194.03	199.66	17.54699
820_123133_000006_000006	He has not left us since, but promises soon to restore me to the world.	He has not left us since, but promises soon to restore me to the world.	true	200.36	205.99	18
820_123133_000007_000000	"What a wonderful old man he is!	"What a wonderful old man he is!	true	206.54	209.26	12
820_123133_000007_000001	While I was feverish and delirious he sat the whole night by my bedside without once closing his eyes; and at this moment (since he knows I am busy writing) he is with the girls in the divannaia, and I can hear him telling them German stories, and them laughing as they listen to him.	While I was feverish and delirious he sat the whole night by my bedside without once closing his eyes; and at this moment (since he knows I am busy writing) he is with the girls in the divannaia, and I can hear him telling them German stories, and them laughing as they listen to him.	false	209.39	228.93	16
820_123133_000008_000000	"'La Belle Flamande,' as you call her, is now spending her second week here as my guest (her mother having gone to pay a visit somewhere), and she is most attentive and attached to me.	"'La Belle Flamande,' as you call her, is now spending her second week here as my guest (her mother having gone to pay a visit somewhere), and she is most attentive and attached to me.	false	228.93	242.05	16.490128
820_123133_000008_000001	She even tells me her secret affairs.	She even tells me her secret affairs.	true	242.21	244.78	14
820_123133_000008_000002	Under different circumstances her beautiful face, good temper, and youth might have made a most excellent girl of her, but in the society in which according to her own account, she moves she will be wasted.	Under different circumstances her beautiful face, good temper, and youth might have made a most excellent girl of her, but in the society in which according to her own account, she moves she will be wasted.	true	245	258.85	17
820_123133_000008_000003	The idea has more than once occurred to me that, had I not had so many children of my own, it would have been a deed of mercy to have adopted her.	The idea has more than once occurred to me that, had I not had so many children of my own, it would have been a deed of mercy to have adopted her.	true	258.92	268.45	12
820_123133_000009_000000	"Lubotshka had meant to write to you herself, but she has torn up three sheets of paper, saying: 'I know what a quizzer Papa always is.	"Lubotshka had meant to write to you herself, but she has torn up three sheets of paper, saying: 'I know what a quizzer Papa always is.	false	269.3	278.91	17
820_123133_000009_000001	If he were to find a single fault in my letter he would show it to everybody.' Katenka is as charming as usual, and Mimi, too, is good, but tiresome.	If he were to find a single fault in my letter he would show it to everybody.' Katenka is as charming as usual, and Mimi, too, is good, but tiresome.	true	278.91	290.47	17.744741
820_123133_000010_000000	"Now let me speak of more serious matters.	"Now let me speak of more serious matters.	true	291.41	294.58	16
820_123133_000010_000001	You write to me that your affairs are not going well this winter, and that you wish to break into the revenues of Chabarovska.	You write to me that your affairs are not going well this winter, and that you wish to break into the revenues of Chabarovska.	true	294.8	302.8	15
820_123133_000010_000002	It seems to me strange that you should think it necessary to ask my consent.	It seems to me strange that you should think it necessary to ask my consent.	true	302.93	307.68	13
820_123133_000010_000003	Surely what belongs to me belongs no less to you?	Surely what belongs to me belongs no less to you?	true	307.68	311.35	13
820_123133_000010_000004	You are so kind-hearted, dear, that, for fear of worrying me, you conceal the real state of things, but I can guess that you have lost a great deal at cards, as also that you are afraid of my being angry at that.	You are so kind hearted, dear, that, for fear of worrying me, you conceal the real state of things, but I can guess that you have lost a great deal at cards, as also that you are afraid of my being angry at that.	true	311.69	326.32	14
820_123133_000010_000005	Yet, so long as you can tide over this crisis, I shall not think much of it, and you need not be uneasy, I have grown accustomed to no longer relying, so far as the children are concerned, upon your gains at play, nor yet--excuse me for saying so--upon your income.	Yet, so long as you can tide over this crisis, I shall not think much of it, and you need not be uneasy, I have grown accustomed to no longer relying, so far as the children are concerned, upon your gains at play, nor yet-excuse me for saying so-upon your income.	true	326.54	346.54	14
820_123133_000010_000006	Therefore your losses cause me as little anxiety as your gains give me pleasure.	Therefore your losses cause me as little anxiety as your gains give me pleasure.	true	347.12	353.08	12
820_123133_000010_000007	What I really grieve over is your unhappy passion itself for gambling--a passion which bereaves me of part of your tender affection and obliges me to tell you such bitter truths as (God knows with what pain) I am now telling you.	What I really grieve over is your unhappy passion itself for gambling-a passion which bereaves me of part of your tender affection and obliges me to tell you such bitter truths as (God knows with what pain) I am now telling you.	false	353.39	370.24	14
820_123133_000010_000008	I never cease to beseech Him that He may preserve us, not from poverty (for what is poverty?), but from the terrible juncture which would arise should the interests of the children, which I am called upon to protect, ever come into collision with our own.	I never cease to beseech Him that He may preserve us, not from poverty (for what is poverty?), but from the terrible juncture which would arise should the interests of the children, which I am called upon to protect, ever come into collision with our own.	false	370.49	387.7	17
820_123133_000010_000009	Hitherto God has listened to my prayers.	Hitherto God has listened to my prayers.	true	388.25	391.09	16
