770_43321_000000_000000	He pointed to the papers.	He pointed to the papers.	false	1.65	4.53	23.395199
770_43321_000001_000000	"Yes, Mr. Brand.	"Yes, mr Brand.	false	4.53	6.06	21.240812
770_43321_000001_000001	There is one more question."	There is one more question."	false	6.06	8.19	25.772993
770_43321_000002_000000	"I must not stay, sir," said Oliver, shaking his head.	"I must not stay, sir," said Oliver, shaking his head.	false	8.19	12.27	23.290865
770_43321_000003_000000	"One instant--is it true that this worship will be compulsory?"	"One instant-is it true that this worship will be compulsory?"	false	12.27	17.16	26.318577
770_43321_000004_000000	Oliver bowed as he gathered up his papers.	Oliver bowed as he gathered up his papers.	false	17.16	21.45	26.016941
770_43321_000005_000000	II	two	false	21.45	23.07	19.615337
770_43321_000006_000000	Mabel, seated in the gallery that evening behind the President's chair, had already glanced at her watch half-a-dozen times in the last hour, hoping each time that twenty-one o'clock was nearer than she feared.	Mabel, seated in the gallery that evening behind the President's chair, had already glanced at her watch half a dozen times in the last hour, hoping each time that twenty one o'clock was nearer than she feared.	true	23.07	34.87	21.166237
770_43321_000006_000001	She knew well enough by now that the President of Europe would not be half-a-minute either before or after his time.	She knew well enough by now that the President of Europe would not be half a minute either before or after his time.	true	35.12	41.59	22.263758
770_43321_000006_000002	His supreme punctuality was famous all over the continent.	His supreme punctuality was famous all over the continent.	true	41.66	45.13	22.308308
770_43321_000006_000003	He had said Twenty-One, so it was to be twenty-one.	He had said Twenty One, so it was to be twenty one.	true	45.41	48.76	24.870295
770_43321_000007_000000	A sharp bell-note impinged from beneath, and in a moment the drawling voice of the speaker stopped.	A sharp bell note impinged from beneath, and in a moment the drawling voice of the speaker stopped.	true	49.64	55.66	22.466682
770_43321_000007_000001	Once more she lifted her wrist, saw that it wanted five minutes of the hour; then she leaned forward from her corner and stared down into the House.	Once more she lifted her wrist, saw that it wanted five minutes of the hour; then she leaned forward from her corner and stared down into the House.	true	55.94	64.66	21.580202
770_43321_000008_000000	A great change had passed over it at the metallic noise.	A great change had passed over it at the metallic noise.	false	65.36	68.26	25.587477
770_43321_000008_000001	All down the long brown seats members were shifting and arranging themselves more decorously, uncrossing their legs, slipping their hats beneath the leather fringes.	All down the long brown seats members were shifting and arranging themselves more decorously, uncrossing their legs, slipping their hats beneath the leather fringes.	true	68.6	77.68	22.72797
770_43321_000008_000002	As she looked, too, she saw the President of the House coming down the three steps from his chair, for Another would need it in a few moments.	As she looked, too, she saw the President of the House coming down the three steps from his chair, for Another would need it in a few moments.	true	78.11	85.18	21.583916
770_43321_000009_000000	The house was full from end to end; a late comer ran in from the twilight of the south door and looked distractedly about him in the full light before he saw his vacant place.	The house was full from end to end; a late comer ran in from the twilight of the south door and looked distractedly about him in the full light before he saw his vacant place.	true	85.52	95.26	23.11631
