8028_233382_000003_000000	APPENDIX A.	APPENDIX a
8028_233382_000004_000000	HOMOSEXUALITY AMONG TRAMPS.	HOMOSEXUALITY AMONG TRAMPS.
8028_233382_000005_000000	BY "JOSIAH FLYNT."	BY "JOSIAH FLYNT."
8028_233382_000006_000001	I have lived with the tramps there for eight consecutive months, besides passing numerous shorter periods in their company, and my acquaintance with them is nearly of ten years' standing.	I have lived with the tramps there for eight consecutive months, besides passing numerous shorter periods in their company, and my acquaintance with them is nearly of ten years' standing.
8028_233382_000006_000003	This can only be done by becoming part and parcel of its manifestations.	This can only be done by becoming part and parcel of its manifestations.
8028_233382_000007_000001	The latter are the real tramps. They make a business of begging--a very good business too--and keep at it, as a rule, to the end of their days.	The latter are the real tramps. They make a business of begging-a very good business too-and keep at it, as a rule, to the end of their days.
8028_233382_000008_000006	By smiles and flattering caresses they let him know that the stories are meant for him alone, and before long, if the boy is a suitable subject, he smiles back just as slyly.	By smiles and flattering caresses they let him know that the stories are meant for him alone, and before long, if the boy is a suitable subject, he smiles back just as slyly.
8028_233382_000008_000007	In time he learns to think that he is the favorite of the tramp, who will take him on his travels, and he begins to plan secret meetings with the man.	In time he learns to think that he is the favorite of the tramp, who will take him on his travels, and he begins to plan secret meetings with the man.
8028_233382_000008_000011	They are also expected to beg in every town they come to, any laziness on their part receiving very severe punishment.	They are also expected to beg in every town they come to, any laziness on their part receiving very severe punishment.
8028_233382_000009_000000	How the act of unnatural intercourse takes place is not entirely clear; the hoboes are not agreed.	How the act of unnatural intercourse takes place is not entirely clear; the hoboes are not agreed.
8028_233382_000010_000001	In company with eight hoboes, I was in a freight-car attached to a slowly moving train.	In company with eight hoboes, I was in a freight car attached to a slowly moving train.
8028_233382_000010_000002	A colored boy succeeded in scrambling into the car, and when the train was well under way again he was tripped up and "seduced" (to use the hobo euphemism) by each of the tramps.	A colored boy succeeded in scrambling into the car, and when the train was well under way again he was tripped up and "seduced" (to use the hobo euphemism) by each of the tramps.
8028_233382_000010_000005	At first they do not submit, and are inclined to run away or fight, but the men fondle and pet them, and after awhile they do not seem to care.	At first they do not submit, and are inclined to run away or fight, but the men fondle and pet them, and after awhile they do not seem to care.
8028_233382_000010_000008	What the pleasure consists in I cannot say.	What the pleasure consists in I cannot say.
8028_233382_000010_000010	Those who have passed the age of puberty seem to be satisfied in pretty much the same way that the men are.	Those who have passed the age of puberty seem to be satisfied in pretty much the same way that the men are.
8028_233382_000010_000011	Among the men the practice is decidedly one of passion.	Among the men the practice is decidedly one of passion.
8028_233382_000011_000003	One of the prisoners said he had known her before she was married and had lived with her.	One of the prisoners said he had known her before she was married and had lived with her.
8028_233382_000011_000005	On learning that she was still approachable, he looked her up immediately after his release, and succeeded in staying with her for nearly a month.	On learning that she was still approachable, he looked her up immediately after his release, and succeeded in staying with her for nearly a month.
