3389_13250_000000_000000	Chapter Six	Chapter Six	false	0.9	18.52	21.757162
3389_13250_000001_000000	"If any man cometh unto me and hateth not his own father and mother and wife and children and brethren and sisters, yea, and his own life also, he cannot be my disciple."	"If any man cometh unto me and hateth not his own father and mother and wife and children and brethren and sisters, yea, and his own life also, he cannot be my disciple."	false	20.21	31.36	17.681177
3389_13250_000002_000000	"And whosoever forsaketh not all that he hath, he cannot be my disciple."	"And whosoever forsaketh not all that he hath, he cannot be my disciple."	false	32.3	36.88	12
3389_13250_000003_000000	WHEN Rachel Winslow and Virginia Page separated after the meeting at the First Church on Sunday they agreed to continue their conversation the next day.	WHEN Rachel Winslow and Virginia Page separated after the meeting at the First Church on Sunday they agreed to continue their conversation the next day.	true	38.06	46.9	17
3389_13250_000003_000001	Virginia asked Rachel to come and lunch with her at noon, and Rachel accordingly rang the bell at the Page mansion about half-past eleven.	Virginia asked Rachel to come and lunch with her at noon, and Rachel accordingly rang the bell at the Page mansion about half past eleven.	true	47.36	55.57	18
3389_13250_000003_000002	Virginia herself met her and the two were soon talking earnestly.	Virginia herself met her and the two were soon talking earnestly.	true	56.12	60.1	14
3389_13250_000004_000000	"The fact is," Rachel was saying, after they had been talking a few moments, "I cannot reconcile it with my judgment of what Christ would do.	"The fact is," Rachel was saying, after they had been talking a few moments, "I cannot reconcile it with my judgment of what Christ would do.	true	61.19	69.22	18.126282
3389_13250_000004_000001	I cannot tell another person what to do, but I feel that I ought not to accept this offer."	I cannot tell another person what to do, but I feel that I ought not to accept this offer."	true	69.77	74.71	16
3389_13250_000005_000000	"What will you do then?" asked Virginia with great interest.	"What will you do then?" asked Virginia with great interest.	true	75.71	79.15	17.533457
3389_13250_000006_000000	"I don't know yet, but I have decided to refuse this offer."	"I don't know yet, but I have decided to refuse this offer."	false	79.64	82.99	17
3389_13250_000007_000000	Rachel picked up a letter that had been lying in her lap and ran over its contents again.	Rachel picked up a letter that had been lying in her lap and ran over its contents again.	true	84.14	89.05	14
3389_13250_000007_000001	It was a letter from the manager of a comic opera offering her a place with a large traveling company of the season.	It was a letter from the manager of a comic opera offering her a place with a large traveling company of the season.	true	89.48	95.56	15
3389_13250_000007_000002	The salary was a very large figure, and the prospect held out by the manager was flattering.	The salary was a very large figure, and the prospect held out by the manager was flattering.	true	96.05	101.17	16
3389_13250_000007_000003	He had heard Rachel sing that Sunday morning when the stranger had interrupted the service.	He had heard Rachel sing that Sunday morning when the stranger had interrupted the service.	false	101.57	105.76	13
3389_13250_000007_000004	He had been much impressed.	He had been much impressed.	true	106.01	107.77	18.292206
3389_13250_000007_000005	There was money in that voice and it ought to be used in comic opera, so said the letter, and the manager wanted a reply as soon as possible.	There was money in that voice and it ought to be used in comic opera, so said the letter, and the manager wanted a reply as soon as possible.	true	108.02	115.72	15.975553
3389_13250_000008_000000	"There's no great virtue in saying 'No' to this offer when I have the other one," Rachel went on thoughtfully.	"There's no great virtue in saying 'No' to this offer when I have the other one," Rachel went on thoughtfully.	true	116.51	121.36	11
3389_13250_000008_000001	"That's harder to decide.	"That's harder to decide.	true	121.7	123.31	20.391489
3389_13250_000008_000002	But I've about made up my mind.	But I've about made up my mind.	true	123.65	125.44	21.00717
3389_13250_000008_000003	To tell the truth, Virginia, I'm completely convinced in the first case that Jesus would never use any talent like a good voice just to make money.	To tell the truth, Virginia, I'm completely convinced in the first case that Jesus would never use any talent like a good voice just to make money.	true	125.6	132.58	12
3389_13250_000008_000004	But now, take this concert offer.	But now, take this concert offer.	true	133.4	135.61	18.008848
3389_13250_000008_000005	Here is a reputable company, to travel with an impersonator and a violinist and a male quartet, all people of good reputation.	Here is a reputable company, to travel with an impersonator and a violinist and a male quartet, all people of good reputation.	true	135.83	144.19	15.514971
3389_13250_000008_000006	I'm asked to go as one of the company and sing leading soprano.	I'm asked to go as one of the company and sing leading soprano.	true	144.56	147.22	9
3389_13250_000008_000007	The salary--I mentioned it, didn't I?--is guaranteed to be $200 a month for the season.	The salary-I mentioned it, didn't I?--is guaranteed to be two hundred dollars a month for the season.	true	147.77	152.71	17.019527
3389_13250_000008_000008	But I don't feel satisfied that Jesus would go.	But I don't feel satisfied that Jesus would go.	true	153.17	155.56	16
3389_13250_000008_000009	What do you think?"	What do you think?"	true	156.05	157.12	17
3389_13250_000009_000000	"You mustn't ask me to decide for you," replied Virginia with a sad smile.	"You mustn't ask me to decide for you," replied Virginia with a sad smile.	true	158.12	162.04	12
3389_13250_000009_000001	"I believe Mr. Maxwell was right when he said we must each one of us decide according to the judgment we feel for ourselves to be Christ-like.	"I believe mr Maxwell was right when he said we must each one of us decide according to the judgment we feel for ourselves to be Christ like.	true	162.35	169.84	13
3389_13250_000009_000002	I am having a harder time than you are, dear, to decide what He would do."	I am having a harder time than you are, dear, to decide what He would do."	true	170.24	173.95	15
3389_13250_000010_000000	"Are you?" Rachel asked.	"Are you?" Rachel asked.	true	174.74	176.68	18.102558
3389_13250_000010_000001	She rose and walked over to the window and looked out.	She rose and walked over to the window and looked out.	false	176.93	179.71	16.99841
3389_13250_000010_000002	Virginia came and stood by her.	Virginia came and stood by her.	true	179.9	181.93	14.271573
3389_13250_000010_000003	The street was crowded with life and the two young women looked at it silently for a moment.	The street was crowded with life and the two young women looked at it silently for a moment.	false	181.97	187.6	17
3389_13250_000010_000004	Suddenly Virginia broke out as Rachel had never heard her before:	Suddenly Virginia broke out as Rachel had never heard her before:	true	187.91	191.41	16
3389_13250_000011_000000	"Rachel, what does all this contrast in conditions mean to you as you ask this question of what Jesus would do?	"Rachel, what does all this contrast in conditions mean to you as you ask this question of what Jesus would do?	false	191.84	198.28	15
3389_13250_000011_000001	It maddens me to think that the society in which I have been brought up, the same to which we are both said to belong, is satisfied year after year to go on dressing and eating and having a good time, giving and receiving entertainments, spending its money on houses and luxuries and, occasionally, to ease its conscience, donating, without any personal sacrifice, a little money to charity.	It maddens me to think that the society in which I have been brought up, the same to which we are both said to belong, is satisfied year after year to go on dressing and eating and having a good time, giving and receiving entertainments, spending its money on houses and luxuries and, occasionally, to ease its conscience, donating, without any personal sacrifice, a little money to charity.	false	198.65	219.64	15
