6492_68353_000001_000000	CHAPTER XI	CHAPTER eleven
6492_68353_000002_000000	SOME IMPRESSIONS OF THE GREAT PEACE CONFERENCE	SOME IMPRESSIONS OF THE GREAT PEACE CONFERENCE
6492_68353_000004_000001	It is either universal peace or universal doom.	It is either universal peace or universal doom.
6492_68353_000004_000002	Either some plan to stop war or preparation for the final judgment.	Either some plan to stop war or preparation for the final judgment.
6492_68353_000004_000003	Quit fighting or quit living.	Quit fighting or quit living.
6492_68353_000004_000004	Peace or death.	Peace or death.
6492_68353_000005_000000	The late war revealed the possibilities of human genius.	The late war revealed the possibilities of human genius.
6492_68353_000005_000001	Man's power to destroy has been discovered and across the sky can be seen in letters of blood the warning, "Abolish war or perish." Some say the war ended six months too soon, but had it continued that much longer, the probable results are too awful to contemplate.	Man's power to destroy has been discovered and across the sky can be seen in letters of blood the warning, "Abolish war or perish." Some say the war ended six months too soon, but had it continued that much longer, the probable results are too awful to contemplate.
6492_68353_000005_000002	The Angel of Destruction had the sword lifted over Germany, but it was as though divine providence stayed his hand.	The Angel of Destruction had the sword lifted over Germany, but it was as though divine providence stayed his hand.
6492_68353_000006_000000	American genius was just coming into play.	American genius was just coming into play.
6492_68353_000006_000001	For instance, we are told that a gas had been discovered that is so deadly that a few bombs filled with it and dropped upon a city would all but wipe it out of existence. When the armistice was signed hundreds of tons of that gas were ready for use and on the way to the battle front.	For instance, we are told that a gas had been discovered that is so deadly that a few bombs filled with it and dropped upon a city would all but wipe it out of existence. When the armistice was signed hundreds of tons of that gas were ready for use and on the way to the battle front.
6492_68353_000006_000002	Other inventions and discoveries have since been brought out that are too deadly to even talk about.	Other inventions and discoveries have since been brought out that are too deadly to even talk about.
6492_68353_000007_000000	No one can describe the Peace Conference without giving great credit to our president, for without him it seemed that the leaders were unable to get anywhere.	No one can describe the Peace Conference without giving great credit to our president, for without him it seemed that the leaders were unable to get anywhere.
6492_68353_000007_000002	A committee was at once appointed to work out a constitution for such an organization and President Wilson was made the chairman.	A committee was at once appointed to work out a constitution for such an organization and President Wilson was made the chairman.
6492_68353_000009_000000	To abolish war would rejoice the heart of every mother who has gone into the jaws of death to give birth to a son.	To abolish war would rejoice the heart of every mother who has gone into the jaws of death to give birth to a son.
6492_68353_000009_000001	It would bring gratitude from the heart of every wife and sweetheart whose face has been bathed with tears as the last good-bys were on their lips.	It would bring gratitude from the heart of every wife and sweetheart whose face has been bathed with tears as the last good bys were on their lips.
6492_68353_000009_000003	It would thrill the heart of every lover of justice and mercy and would answer the heart longings of millions who have prayed without ceasing for the reign of peace on earth among men of good will.	It would thrill the heart of every lover of justice and mercy and would answer the heart longings of millions who have prayed without ceasing for the reign of peace on earth among men of good will.
6492_68353_000010_000001	No one knows how many are alive and well today who would have been sleeping in unknown and unmarked graves had the armistice been detained a single week.	No one knows how many are alive and well today who would have been sleeping in unknown and unmarked graves had the armistice been detained a single week.
