868_131295_000000_000000	The claims of contemporary art cannot be ignored in any vital scheme of life.	The claims of contemporary art cannot be ignored in any vital scheme of life.	false	0	0.36	20.075512
868_131295_000000_000001	The art of to-day is that which really belongs to us: it is our own reflection.	The art of to day is that which really belongs to us: it is our own reflection.	false	0.36	0.84	-20
868_131295_000000_000002	In condemning it we but condemn ourselves.	In condemning it we but condemn ourselves.	false	0.84	1.05	-20
868_131295_000000_000003	We say that the present age possesses no art:--who is responsible for this?	We say that the present age possesses no art:--who is responsible for this?	false	1.05	1.68	100
868_131295_000000_000004	It is indeed a shame that despite all our rhapsodies about the ancients we pay so little attention to our own possibilities.	It is indeed a shame that despite all our rhapsodies about the ancients we pay so little attention to our own possibilities.	false	1.68	4.98	18.402443
868_131295_000000_000005	Struggling artists, weary souls lingering in the shadow of cold disdain!	Struggling artists, weary souls lingering in the shadow of cold disdain!	false	4.98	5.28	7
868_131295_000000_000006	In our self-centered century, what inspiration do we offer them?	In our self centered century, what inspiration do we offer them?	false	5.28	5.79	7
868_131295_000000_000007	The past may well look with pity at the poverty of our civilisation; the future will laugh at the barrenness of our art.	The past may well look with pity at the poverty of our civilisation; the future will laugh at the barrenness of our art.	false	5.79	7.5	19.87622
868_131295_000000_000008	We are destroying the beautiful in life.	We are destroying the beautiful in life.	false	7.5	11.43	21
868_131295_000000_000009	Would that some great wizard might from the stem of society shape a mighty harp whose strings would resound to the touch of genius.	Would that some great wizard might from the stem of society shape a mighty harp whose strings would resound to the touch of genius.	false	11.43	21.6	19.996752
868_131295_000001_000000	VI.	VI.	false	21.6	22.005	14
868_131295_000001_000001	Flowers	Flowers	true	22.005	22.74	20.76426
868_131295_000002_000000	In the trembling grey of a spring dawn, when the birds were whispering in mysterious cadence among the trees, have you not felt that they were talking to their mates about the flowers?	In the trembling grey of a spring dawn, when the birds were whispering in mysterious cadence among the trees, have you not felt that they were talking to their mates about the flowers?	false	22.74	33.76	21.162142
868_131295_000002_000001	Surely with mankind the appreciation of flowers must have been coeval with the poetry of love. Where better than in a flower, sweet in its unconsciousness, fragrant because of its silence, can we image the unfolding of a virgin soul? The primeval man in offering the first garland to his maiden thereby transcended the brute.	Surely with mankind the appreciation of flowers must have been coeval with the poetry of love. Where better than in a flower, sweet in its unconsciousness, fragrant because of its silence, can we image the unfolding of a virgin soul? The primeval man in offering the first garland to his maiden thereby transcended the brute.	false	34.25	53.08	20.340128
868_131295_000002_000002	He became human in thus rising above the crude necessities of nature.	He became human in thus rising above the crude necessities of nature.	true	53.09	57.28	19.308378
868_131295_000002_000003	He entered the realm of art when he perceived the subtle use of the useless.	He entered the realm of art when he perceived the subtle use of the useless.	false	57.44	61.39	19
868_131295_000003_000000	In joy or sadness, flowers are our constant friends.	In joy or sadness, flowers are our constant friends.	true	62.21	65.71	19.81913
868_131295_000003_000001	We eat, drink, sing, dance, and flirt with them.	We eat, drink, sing, dance, and flirt with them.	true	65.93	69.19	21.382217
868_131295_000003_000002	We wed and christen with flowers.	We wed and christen with flowers.	true	69.5	71.5	18.976778
868_131295_000003_000003	We dare not die without them.	We dare not die without them.	true	71.57	73.33	22.118753
868_131295_000003_000004	We have worshipped with the lily, we have meditated with the lotus, we have charged in battle array with the rose and the chrysanthemum.	We have worshipped with the lily, we have meditated with the lotus, we have charged in battle array with the rose and the chrysanthemum.	true	73.67	80.83	20.61023
868_131295_000003_000005	We have even attempted to speak in the language of flowers.	We have even attempted to speak in the language of flowers.	true	81.5	84.46	20.154928
868_131295_000003_000006	How could we live without them?	How could we live without them?	true	84.74	86.32	21.684114
868_131295_000003_000007	It frightens one to conceive of a world bereft of their presence.	It frightens one to conceive of a world bereft of their presence.	true	86.51	89.92	21.224104
868_131295_000003_000008	What solace do they not bring to the bedside of the sick, what a light of bliss to the darkness of weary spirits?	What solace do they not bring to the bedside of the sick, what a light of bliss to the darkness of weary spirits?	true	90.47	96.61	20.711075
868_131295_000003_000009	Their serene tenderness restores to us our waning confidence in the universe even as the intent gaze of a beautiful child recalls our lost hopes.	Their serene tenderness restores to us our waning confidence in the universe even as the intent gaze of a beautiful child recalls our lost hopes.	false	97.31	105.46	18
868_131295_000003_000010	When we are laid low in the dust it is they who linger in sorrow over our graves.	When we are laid low in the dust it is they who linger in sorrow over our graves.	true	106.19	110.85	18
