5139_61422_000003_000000	CHAPTER XVI.	CHAPTER sixteen.
5139_61422_000003_000001	INTO TRAINING FOR MARY ELLEN	INTO TRAINING FOR MARY ELLEN
5139_61422_000004_000000	Bertram told a friend afterwards that he never knew the meaning of the word "chaos" until he had seen the Strata during the weeks immediately following the laying away of his old servant.	Bertram told a friend afterwards that he never knew the meaning of the word "chaos" until he had seen the Strata during the weeks immediately following the laying away of his old servant.
5139_61422_000005_000000	"Every stratum was aquiver with apprehension," he declared; "and there was never any telling when the next grand upheaval would rock the whole structure to its foundations."	"Every stratum was aquiver with apprehension," he declared; "and there was never any telling when the next grand upheaval would rock the whole structure to its foundations."
5139_61422_000006_000000	Nor was Bertram so far from being right.	Nor was Bertram so far from being right.
5139_61422_000006_000001	It was, indeed, a chaos, as none knew better than did Bertram's wife.	It was, indeed, a chaos, as none knew better than did Bertram's wife.
5139_61422_000007_000000	Poor Billy!	Poor Billy!
5139_61422_000007_000001	Sorry indeed were these days for Billy; and, as if to make her cup of woe full to overflowing, there were Sister Kate's epistolary "I told you so," and Aunt Hannah's ever recurring lament: "If only, Billy, you were a practical housekeeper yourself, they wouldn't impose on you so!"	Sorry indeed were these days for Billy; and, as if to make her cup of woe full to overflowing, there were Sister Kate's epistolary "I told you so," and Aunt Hannah's ever recurring lament: "If only, Billy, you were a practical housekeeper yourself, they wouldn't impose on you so!"
5139_61422_000008_000000	Aunt Hannah, to be sure, offered Rosa, and Kate, by letter, offered advice--plenty of it.	Aunt Hannah, to be sure, offered Rosa, and Kate, by letter, offered advice-plenty of it.
5139_61422_000008_000001	But Billy, stung beyond all endurance, and fairly radiating hurt pride and dogged determination, disdained all assistance, and, with head held high, declared she was getting along very well, very well indeed!	But Billy, stung beyond all endurance, and fairly radiating hurt pride and dogged determination, disdained all assistance, and, with head held high, declared she was getting along very well, very well indeed!
5139_61422_000009_000000	And this was the way she "got along."	And this was the way she "got along."
5139_61422_000010_000000	First came Nora.	First came Nora.
5139_61422_000010_000001	Nora was a blue-eyed, black-haired Irish girl, the sixth that the despairing Billy had interviewed on that fateful morning when Bertram had summoned her to his aid.	Nora was a blue eyed, black haired Irish girl, the sixth that the despairing Billy had interviewed on that fateful morning when Bertram had summoned her to his aid.
5139_61422_000010_000002	Nora stayed two days.	Nora stayed two days.
5139_61422_000010_000003	During her reign the entire Strata echoed to banged doors, dropped china, and slammed furniture.	During her reign the entire Strata echoed to banged doors, dropped china, and slammed furniture.
5139_61422_000011_000000	Olga came next.	Olga came next.
5139_61422_000011_000001	Olga was a Treasure.	Olga was a Treasure.
5139_61422_000011_000002	She was low-voiced, gentle-eyed, and a good cook.	She was low voiced, gentle eyed, and a good cook.
5139_61422_000011_000003	She stayed a week.	She stayed a week.
5139_61422_000011_000004	By that time the growing frequency of the disappearance of sundry small articles of value and convenience led to Billy's making a reluctant search of Olga's room--and to Olga's departure; for the room was, indeed, a treasure house, the Treasure having gathered unto itself other treasures.	By that time the growing frequency of the disappearance of sundry small articles of value and convenience led to Billy's making a reluctant search of Olga's room-and to Olga's departure; for the room was, indeed, a treasure house, the Treasure having gathered unto itself other treasures.
5139_61422_000012_000000	Following Olga came a period of what Bertram called "one night stands," so frequently were the dramatis personae below stairs changed. Gretchen drank.	Following Olga came a period of what Bertram called "one night stands," so frequently were the dramatis personae below stairs changed. Gretchen drank.
5139_61422_000012_000001	Christine knew only four words of English: salt, good-by, no, and yes; and Billy found need occasionally of using other words.	Christine knew only four words of English: salt, good by, no, and yes; and Billy found need occasionally of using other words.
5139_61422_000012_000002	Mary was impertinent and lazy.	Mary was impertinent and lazy.
5139_61422_000012_000003	Jennie could not even boil a potato properly, much less cook a dinner.	Jennie could not even boil a potato properly, much less cook a dinner.
5139_61422_000012_000004	Sarah (colored) was willing and pleasant, but insufferably untidy.	Sarah (colored) was willing and pleasant, but insufferably untidy.
5139_61422_000012_000005	Bridget was neatness itself, but she had no conception of the value of time.	Bridget was neatness itself, but she had no conception of the value of time.
5139_61422_000012_000006	Her meals were always from thirty to sixty minutes late, and half-cooked at that.	Her meals were always from thirty to sixty minutes late, and half cooked at that.
5139_61422_000012_000007	Vera sang--when she wasn't whistling--and as she was generally off the key, and always off the tune, her almost frantic mistress dismissed her before twenty-four hours had passed.	Vera sang-when she wasn't whistling-and as she was generally off the key, and always off the tune, her almost frantic mistress dismissed her before twenty four hours had passed.
5139_61422_000012_000008	Then came Mary Ellen.	Then came Mary Ellen.
5139_61422_000013_000000	Mary Ellen began well.	Mary Ellen began well.
5139_61422_000013_000001	She was neat, capable, and obliging; but it did not take her long to discover just how much--and how little--her mistress really knew of practical housekeeping.	She was neat, capable, and obliging; but it did not take her long to discover just how much-and how little-her mistress really knew of practical housekeeping.
5139_61422_000013_000002	Matters and things were very different then.	Matters and things were very different then.
5139_61422_000013_000003	Mary Ellen became argumentative, impertinent, and domineering.	Mary Ellen became argumentative, impertinent, and domineering.
5139_61422_000013_000005	Billy, in weary despair, submitted to this bullying for almost a week; then, in a sudden accession of outraged dignity that left Mary Ellen gasping with surprise, she told the girl to go.	Billy, in weary despair, submitted to this bullying for almost a week; then, in a sudden accession of outraged dignity that left Mary Ellen gasping with surprise, she told the girl to go.
5139_61422_000014_000001	The maids came and the maids went, and, to Billy, each one seemed a little worse than the one before.	The maids came and the maids went, and, to Billy, each one seemed a little worse than the one before.
5139_61422_000014_000002	Nowhere was there comfort, rest, or peacefulness.	Nowhere was there comfort, rest, or peacefulness.
5139_61422_000014_000004	Noise, confusion, meals poorly cooked and worse served, dust, disorder, and uncertainty.	Noise, confusion, meals poorly cooked and worse served, dust, disorder, and uncertainty.
