7245_104888_000000_000000	Next time, to stay! Next time, the things to see By ear unheard, Unscrutinized by eye.	Next time, to stay! Next time, the things to see By ear unheard, Unscrutinized by eye.	false	0	4.59	21.522757
7245_104888_000001_000000	Next time, to tarry, While the ages steal, -- Slow tramp the centuries, And the cycles wheel.	Next time, to tarry, While the ages steal, -- Slow tramp the centuries, And the cycles wheel.	false	4.59	10.56	20.125967
7245_104888_000002_000000	II.	two.	false	10.56	11.205	-20
7245_104888_000003_000000	LOVE.	LOVE.	true	11.205	11.91	22.66257
7245_104888_000004_000000	I.	I.	false	11.91	15.21	17.785782
7245_104888_000005_000000	CHOICE.	CHOICE.	true	15.21	16	25.535244
7245_104888_000006_000000	Of all the souls that stand create I have elected one. When sense from spirit files away, And subterfuge is done;	Of all the souls that stand create I have elected one. When sense from spirit files away, And subterfuge is done;	true	16.67	24.82	21.276592
7245_104888_000007_000000	When that which is and that which was Apart, intrinsic, stand, And this brief tragedy of flesh Is shifted like a sand;	When that which is and that which was Apart, intrinsic, stand, And this brief tragedy of flesh Is shifted like a sand;	true	25.31	33.64	22.804653
7245_104888_000008_000000	When figures show their royal front And mists are carved away, -- Behold the atom I preferred To all the lists of clay!	When figures show their royal front And mists are carved away, -- Behold the atom I preferred To all the lists of clay!	true	33.98	42.21	23.82592
7245_104888_000009_000000	II.	two.	false	42.21	46.11	14.061693
7245_104888_000010_000000	I have no life but this, To lead it here; Nor any death, but lest Dispelled from there;	I have no life but this, To lead it here; Nor any death, but lest Dispelled from there;	true	46.11	52.81	22.999664
7245_104888_000011_000000	Nor tie to earths to come, Nor action new, Except through this extent, The realm of you.	Nor tie to earths to come, Nor action new, Except through this extent, The realm of you.	true	53.3	60.13	24.097889
7245_104888_000012_000000	III.	three.	true	62.09	62.89	27.004929
7245_104888_000013_000000	Your riches taught me poverty. Myself a millionnaire In little wealths, -- as girls could boast, -- Till broad as Buenos Ayre,	Your riches taught me poverty. Myself a millionnaire In little wealths, -- as girls could boast, -- Till broad as Buenos Ayre,	true	63.26	70.75	20
7245_104888_000014_000000	You drifted your dominions A different Peru; And I esteemed all poverty, For life's estate with you.	You drifted your dominions A different Peru; And I esteemed all poverty, For life's estate with you.	true	71.09	77.56	21.510384
7245_104888_000015_000000	Of mines I little know, myself, But just the names of gems, -- The colors of the commonest; And scarce of diadems	Of mines I little know, myself, But just the names of gems, -- The colors of the commonest; And scarce of diadems	true	78.17	85.66	18.321426
7245_104888_000016_000000	So much that, did I meet the queen, Her glory I should know: But this must be a different wealth, To miss it beggars so.	So much that, did I meet the queen, Her glory I should know: But this must be a different wealth, To miss it beggars so.	true	85.94	93.25	24
7245_104888_000017_000000	I 'm sure 't is India all day To those who look on you Without a stint, without a blame, -- Might I but be the Jew!	I 'm sure 't is India all day To those who look on you Without a stint, without a blame, -- Might I but be the Jew!	false	93.83	101.38	21.40134
7245_104888_000018_000000	I 'm sure it is Golconda, Beyond my power to deem, -- To have a smile for mine each day, How better than a gem!	I 'm sure it is Golconda, Beyond my power to deem, -- To have a smile for mine each day, How better than a gem!	false	101.87	109.03	21
7245_104888_000019_000000	At least, it solaces to know That there exists a gold, Although I prove it just in time Its distance to behold!	At least, it solaces to know That there exists a gold, Although I prove it just in time Its distance to behold!	true	109.67	116.88	20
7245_104888_000020_000000	It 's far, far treasure to surmise, And estimate the pearl That slipped my simple fingers through While just a girl at school!	It 's far, far treasure to surmise, And estimate the pearl That slipped my simple fingers through While just a girl at school!	false	116.88	125.64	22.404404
7245_104888_000021_000000	IV.	i v.	false	125.64	128.82	18.442516
