1509_145699_000000_000000	STORY OF THE EMPEROR'S NEW CLOTHES(4)	STORY OF THE EMPEROR'S NEW CLOTHES(four)	false	25.68	28.5	20
1509_145699_000001_000000	(4) Andersen.	(four) Andersen.	false	28.5	29.74	20.365704
1509_145699_000002_000000	Many years ago there lived an Emperor who was so fond of new clothes that he spent all his money on them in order to be beautifully dressed. He did not care about his soldiers, he did not care about the theatre; he only liked to go out walking to show off his new clothes.	Many years ago there lived an Emperor who was so fond of new clothes that he spent all his money on them in order to be beautifully dressed. He did not care about his soldiers, he did not care about the theatre; he only liked to go out walking to show off his new clothes.	false	30.2	49	20.058075
1509_145699_000002_000001	He had a coat for every hour of the day; and just as they say of a king, 'He is in the council-chamber,' they always said here, 'The Emperor is in the wardrobe.'	He had a coat for every hour of the day; and just as they say of a king, 'He is in the council chamber,' they always said here, 'The Emperor is in the wardrobe.'	true	49.52	61.81	18.970196
1509_145699_000003_000000	In the great city in which he lived there was always something going on; every day many strangers came there.	In the great city in which he lived there was always something going on; every day many strangers came there.	true	62.39	69.58	21.397566
1509_145699_000003_000001	One day two impostors arrived who gave themselves out as weavers, and said that they knew how to manufacture the most beautiful cloth imaginable.	One day two impostors arrived who gave themselves out as weavers, and said that they knew how to manufacture the most beautiful cloth imaginable.	true	69.83	79.66	19.309368
1509_145699_000003_000002	Not only were the texture and pattern uncommonly beautiful, but the clothes which were made of the stuff possessed this wonderful property that they were invisible to anyone who was not fit for his office, or who was unpardonably stupid.	Not only were the texture and pattern uncommonly beautiful, but the clothes which were made of the stuff possessed this wonderful property that they were invisible to anyone who was not fit for his office, or who was unpardonably stupid.	false	79.97	94.77	19.607044
1509_145699_000004_000000	'Those must indeed be splendid clothes,' thought the Emperor.	'Those must indeed be splendid clothes,' thought the Emperor.	true	94.77	98.89	20.583755
1509_145699_000004_000001	'If I had them on I could find out which men in my kingdom are unfit for the offices they hold; I could distinguish the wise from the stupid!	'If I had them on I could find out which men in my kingdom are unfit for the offices they hold; I could distinguish the wise from the stupid!	true	98.99	106.93	21.022772
1509_145699_000004_000002	Yes, this cloth must be woven for me at once.' And he gave both the impostors much money, so that they might begin their work.	Yes, this cloth must be woven for me at once.' And he gave both the impostors much money, so that they might begin their work.	true	107.06	115.12	22.575054
1509_145699_000005_000000	They placed two weaving-looms, and began to do as if they were working, but they had not the least thing on the looms.	They placed two weaving looms, and began to do as if they were working, but they had not the least thing on the looms.	true	115.43	121.96	18
1509_145699_000005_000001	They also demanded the finest silk and the best gold, which they put in their pockets, and worked at the empty looms till late into the night.	They also demanded the finest silk and the best gold, which they put in their pockets, and worked at the empty looms till late into the night.	true	122.09	130.66	19.396675
1509_145699_000006_000000	'I should like very much to know how far they have got on with the cloth,' thought the Emperor.	'I should like very much to know how far they have got on with the cloth,' thought the Emperor.	true	131.33	135.97	23.389435
1509_145699_000006_000001	But he remembered when he thought about it that whoever was stupid or not fit for his office would not be able to see it.	But he remembered when he thought about it that whoever was stupid or not fit for his office would not be able to see it.	true	136.25	142.39	20
1509_145699_000006_000002	Now he certainly believed that he had nothing to fear for himself, but he wanted first to send somebody else in order to see how he stood with regard to his office.	Now he certainly believed that he had nothing to fear for himself, but he wanted first to send somebody else in order to see how he stood with regard to his office.	true	142.73	152.475	18.920084
1509_145699_000006_000003	Everybody in the whole town knew what a wonderful power the cloth had, and they were all curious to see how bad or how stupid their neighbour was.	Everybody in the whole town knew what a wonderful power the cloth had, and they were all curious to see how bad or how stupid their neighbour was.	false	152.475	160.03	20
1509_145699_000007_000000	'I will send my old and honoured minister to the weavers,' thought the Emperor. 'He can judge best what the cloth is like, for he has intellect, and no one understands his office better than he.'	'I will send my old and honoured minister to the weavers,' thought the Emperor. 'He can judge best what the cloth is like, for he has intellect, and no one understands his office better than he.'	false	160.43	170.68	19.825363
1509_145699_000008_000000	Now the good old minister went into the hall where the two impostors sat working at the empty weaving-looms. 'Dear me!' thought the old minister, opening his eyes wide, 'I can see nothing!' But he did not say so.	Now the good old minister went into the hall where the two impostors sat working at the empty weaving looms. 'Dear me!' thought the old minister, opening his eyes wide, 'I can see nothing!' But he did not say so.	true	170.99	184.15	19.129107
1509_145699_000009_000000	Both the impostors begged him to be so kind as to step closer, and asked him if it were not a beautiful texture and lovely colours.	Both the impostors begged him to be so kind as to step closer, and asked him if it were not a beautiful texture and lovely colours.	true	184.55	192.58	20
1509_145699_000009_000001	They pointed to the empty loom, and the poor old minister went forward rubbing his eyes; but he could see nothing, for there was nothing there.	They pointed to the empty loom, and the poor old minister went forward rubbing his eyes; but he could see nothing, for there was nothing there.	false	192.86	200.95	19.25691
1509_145699_000010_000000	'Dear, dear!' thought he, 'can I be stupid?	'Dear, dear!' thought he, 'can I be stupid?	true	201.5	204.73	18.873816
1509_145699_000010_000001	I have never thought that, and nobody must know it!	I have never thought that, and nobody must know it!	true	204.74	207.28	21.262457
1509_145699_000010_000002	Can I be not fit for my office?	Can I be not fit for my office?	true	207.65	210.01	18.757236
1509_145699_000010_000003	No, I must certainly not say that I cannot see the cloth!'	No, I must certainly not say that I cannot see the cloth!'	true	210.29	213.94	23.46446
1509_145699_000011_000000	'Have you nothing to say about it?' asked one of the men who was weaving.	'Have you nothing to say about it?' asked one of the men who was weaving.	true	214.34	217.96	19.526363
1509_145699_000012_000000	'Oh, it is lovely, most lovely!' answered the old minister, looking through his spectacles.	'Oh, it is lovely, most lovely!' answered the old minister, looking through his spectacles.	true	218.15	222.94	17.80015
1509_145699_000012_000001	'What a texture!	'What a texture!	true	223.01	224.04	22.58907
1509_145699_000012_000002	What colours!	What colours!	true	224.04	225.13	21.614635
1509_145699_000012_000003	Yes, I will tell the Emperor that it pleases me very much.'	Yes, I will tell the Emperor that it pleases me very much.'	true	225.23	228.46	18
1509_145699_000013_000000	'Now we are delighted at that,' said both the weavers, and thereupon they named the colours and explained the make of the texture.	'Now we are delighted at that,' said both the weavers, and thereupon they named the colours and explained the make of the texture.	false	229.22	236.32	19.5578
1509_145699_000014_000000	The old minister paid great attention, so that he could tell the same to the Emperor when he came back to him, which he did.	The old minister paid great attention, so that he could tell the same to the Emperor when he came back to him, which he did.	true	238.01	244.3	18.176697
1509_145699_000015_000000	The impostors now wanted more money, more silk, and more gold to use in their weaving.	The impostors now wanted more money, more silk, and more gold to use in their weaving.	true	244.61	249.55	17
1509_145699_000015_000001	They put it all in their own pockets, and there came no threads on the loom, but they went on as they had done before, working at the empty loom.	They put it all in their own pockets, and there came no threads on the loom, but they went on as they had done before, working at the empty loom.	true	249.68	257.65	19.943226
1509_145699_000015_000002	The Emperor soon sent another worthy statesman to see how the weaving was getting on, and whether the cloth would soon be finished.	The Emperor soon sent another worthy statesman to see how the weaving was getting on, and whether the cloth would soon be finished.	true	258.02	265.45	17.657946
1509_145699_000015_000003	It was the same with him as the first one; he looked and looked, but because there was nothing on the empty loom he could see nothing.	It was the same with him as the first one; he looked and looked, but because there was nothing on the empty loom he could see nothing.	true	265.55	273.64	18.370016
1509_145699_000016_000000	'Is it not a beautiful piece of cloth?' asked the two impostors, and they pointed to and described the splendid material which was not there.	'Is it not a beautiful piece of cloth?' asked the two impostors, and they pointed to and described the splendid material which was not there.	true	274.52	283.51	19.150038
1509_145699_000017_000000	'Stupid I am not!' thought the man, 'so it must be my good office for which I am not fitted.	'Stupid I am not!' thought the man, 'so it must be my good office for which I am not fitted.	true	283.88	290.17	19.536903
1509_145699_000017_000001	It is strange, certainly, but no one must be allowed to notice it.' And so he praised the cloth which he did not see, and expressed to them his delight at the beautiful colours and the splendid texture.	It is strange, certainly, but no one must be allowed to notice it.' And so he praised the cloth which he did not see, and expressed to them his delight at the beautiful colours and the splendid texture.	true	290.42	303.28	19.530432
1509_145699_000017_000002	'Yes, it is quite beautiful,' he said to the Emperor.	'Yes, it is quite beautiful,' he said to the Emperor.	true	303.74	306.67	20.380783
1509_145699_000018_000000	Everybody in the town was talking of the magnificent cloth.	Everybody in the town was talking of the magnificent cloth.	false	307.25	311.41	18.318432
1509_145699_000019_000000	Now the Emperor wanted to see it himself while it was still on the loom.	Now the Emperor wanted to see it himself while it was still on the loom.	true	311.63	315.82	20.495844
1509_145699_000019_000001	With a great crowd of select followers, amongst whom were both the worthy statesmen who had already been there before, he went to the cunning impostors, who were now weaving with all their might, but without fibre or thread.	With a great crowd of select followers, amongst whom were both the worthy statesmen who had already been there before, he went to the cunning impostors, who were now weaving with all their might, but without fibre or thread.	true	316.49	330.25	20.977867
1509_145699_000020_000000	'Is it not splendid!' said both the old statesmen who had already been there.	'Is it not splendid!' said both the old statesmen who had already been there.	true	330.65	334.72	20.744892
1509_145699_000020_000001	'See, your Majesty, what a texture!	'See, your Majesty, what a texture!	true	334.88	336.885	18
1509_145699_000020_000002	What colours!' And then they pointed to the empty loom, for they believed that the others could see the cloth quite well.	What colours!' And then they pointed to the empty loom, for they believed that the others could see the cloth quite well.	true	336.885	343.69	20.092524
1509_145699_000021_000000	'What!' thought the Emperor, 'I can see nothing!	'What!' thought the Emperor, 'I can see nothing!	true	344.3	347.47	24.342094
1509_145699_000021_000001	This is indeed horrible!	This is indeed horrible!	true	347.66	349.665	18.47915
1509_145699_000021_000002	Am I stupid?	Am I stupid?	true	349.665	350.985	22.487724
1509_145699_000021_000003	Am I not fit to be Emperor?	Am I not fit to be Emperor?	true	350.985	352.93	20.891035
1509_145699_000021_000004	That were the most dreadful thing that could happen to me.	That were the most dreadful thing that could happen to me.	true	353.18	356.35	21.993696
1509_145699_000021_000005	Oh, it is very beautiful,' he said.	Oh, it is very beautiful,' he said.	true	356.72	359.085	17.145554
1509_145699_000021_000006	'It has my gracious approval.' And then he nodded pleasantly, and examined the empty loom, for he would not say that he could see nothing.	'It has my gracious approval.' And then he nodded pleasantly, and examined the empty loom, for he would not say that he could see nothing.	true	359.085	367.8	20.418789
1509_145699_000022_000000	His whole Court round him looked and looked, and saw no more than the others; but they said like the Emperor, 'Oh! it is beautiful!' And they advised him to wear these new and magnificent clothes for the first time at the great procession which was soon to take place.	His whole Court round him looked and looked, and saw no more than the others; but they said like the Emperor, 'Oh! it is beautiful!' And they advised him to wear these new and magnificent clothes for the first time at the great procession which was soon to take place.	false	367.8	379.92	19.066225
1509_145699_000022_000001	'Splendid!	'Splendid!	false	379.92	380.28	4
1509_145699_000022_000002	Lovely! Most beautiful!' went from mouth to mouth; everyone seemed delighted over them, and the Emperor gave to the impostors the title of Court weavers to the Emperor.	Lovely! Most beautiful!' went from mouth to mouth; everyone seemed delighted over them, and the Emperor gave to the impostors the title of Court weavers to the Emperor.	false	380.28	390.09	16.963062
1509_145699_000023_000000	Throughout the whole of the night before the morning on which the procession was to take place, the impostors were up and were working by the light of over sixteen candles.	Throughout the whole of the night before the morning on which the procession was to take place, the impostors were up and were working by the light of over sixteen candles.	false	390.09	400.485	20.688288
1509_145699_000023_000001	The people could see that they were very busy making the Emperor's new clothes ready.	The people could see that they were very busy making the Emperor's new clothes ready.	false	400.485	402.72	19.708004
1509_145699_000023_000002	They pretended they were taking the cloth from the loom, cut with huge scissors in the air, sewed with needles without thread, and then said at last, 'Now the clothes are finished!'	They pretended they were taking the cloth from the loom, cut with huge scissors in the air, sewed with needles without thread, and then said at last, 'Now the clothes are finished!'	false	402.72	411.345	19.478628
1509_145699_000024_000000	The Emperor came himself with his most distinguished knights, and each impostor held up his arm just as if he were holding something, and said, 'See! here are the breeches!	The Emperor came himself with his most distinguished knights, and each impostor held up his arm just as if he were holding something, and said, 'See! here are the breeches!	false	411.345	416.82	20.733488
