581_126955_000001_000000	CHAPTER XI	CHAPTER eleven
581_126955_000003_000000	Summer was now over.	Summer was now over.
581_126955_000003_000001	The winter following, the plague a second time attacked the Athenians; for although it had never entirely left them, still there had been a notable abatement in its ravages.	The winter following, the plague a second time attacked the Athenians; for although it had never entirely left them, still there had been a notable abatement in its ravages.
581_126955_000003_000003	At the same time took place the numerous earthquakes in Athens, Euboea, and Boeotia, particularly at Orchomenus in the last-named country.	At the same time took place the numerous earthquakes in Athens, Euboea, and Boeotia, particularly at Orchomenus in the last named country.
581_126955_000004_000000	The same winter the Athenians in Sicily and the Rhegians, with thirty ships, made an expedition against the islands of Aeolus; it being impossible to invade them in summer, owing to the want of water.	The same winter the Athenians in Sicily and the Rhegians, with thirty ships, made an expedition against the islands of Aeolus; it being impossible to invade them in summer, owing to the want of water.
581_126955_000005_000002	A similar inundation also occurred at Atalanta, the island off the Opuntian Locrian coast, carrying away part of the Athenian fort and wrecking one of two ships which were drawn up on the beach.	A similar inundation also occurred at Atalanta, the island off the Opuntian Locrian coast, carrying away part of the Athenian fort and wrecking one of two ships which were drawn up on the beach.
581_126955_000005_000005	Without an earthquake I do not see how such an accident could happen.	Without an earthquake I do not see how such an accident could happen.
581_126955_000006_000003	This town afterwards also submitted upon the approach of the Athenians and their allies, and gave hostages and all other securities required.	This town afterwards also submitted upon the approach of the Athenians and their allies, and gave hostages and all other securities required.
581_126955_000008_000007	The settlement effected, they fortified anew the city, now called Heraclea, distant about four miles and a half from Thermopylae and two miles and a quarter from the sea, and commenced building docks, closing the side towards Thermopylae just by the pass itself, in order that they might be easily defended.	The settlement effected, they fortified anew the city, now called Heraclea, distant about four miles and a half from Thermopylae and two miles and a quarter from the sea, and commenced building docks, closing the side towards Thermopylae just by the pass itself, in order that they might be easily defended.
581_126955_000011_000002	The plan which they recommended was to attack first the Apodotians, next the Ophionians, and after these the Eurytanians, who are the largest tribe in Aetolia, and speak, as is said, a language exceedingly difficult to understand, and eat their flesh raw.	The plan which they recommended was to attack first the Apodotians, next the Ophionians, and after these the Eurytanians, who are the largest tribe in Aetolia, and speak, as is said, a language exceedingly difficult to understand, and eat their flesh raw.
581_126955_000011_000003	These once subdued, the rest would easily come in.	These once subdued, the rest would easily come in.
581_126955_000015_000004	These were by far the best men in the city of Athens that fell during this war.	These were by far the best men in the city of Athens that fell during this war.
581_126955_000017_000000	The same summer the Aetolians, who before the Athenian expedition had sent an embassy to Corinth and Lacedaemon, composed of Tolophus, an Ophionian, Boriades, an Eurytanian, and Tisander, an Apodotian, obtained that an army should be sent them against Naupactus, which had invited the Athenian invasion.	The same summer the Aetolians, who before the Athenian expedition had sent an embassy to Corinth and Lacedaemon, composed of Tolophus, an Ophionian, Boriades, an Eurytanian, and Tisander, an Apodotian, obtained that an army should be sent them against Naupactus, which had invited the Athenian invasion.
581_126955_000019_000000	His preparations completed, Eurylochus lodged the hostages in Kytinium, in Doris, and advanced upon Naupactus through the country of the Locrians, taking upon his way Oeneon and Eupalium, two of their towns that refused to join him.	His preparations completed, Eurylochus lodged the hostages in Kytinium, in Doris, and advanced upon Naupactus through the country of the Locrians, taking upon his way Oeneon and Eupalium, two of their towns that refused to join him.
581_126955_000020_000001	The winter ensuing, the Athenians in Sicily with their Hellenic allies, and such of the Sicel subjects or allies of Syracuse as had revolted from her and joined their army, marched against the Sicel town Inessa, the acropolis of which was held by the Syracusans, and after attacking it without being able to take it, retired.	The winter ensuing, the Athenians in Sicily with their Hellenic allies, and such of the Sicel subjects or allies of Syracuse as had revolted from her and joined their army, marched against the Sicel town Inessa, the acropolis of which was held by the Syracusans, and after attacking it without being able to take it, retired.
581_126955_000021_000000	The same winter the Athenians purified Delos, in compliance, it appears, with a certain oracle.	The same winter the Athenians purified Delos, in compliance, it appears, with a certain oracle.
581_126955_000021_000001	It had been purified before by Pisistratus the tyrant; not indeed the whole island, but as much of it as could be seen from the temple.	It had been purified before by Pisistratus the tyrant; not indeed the whole island, but as much of it as could be seen from the temple.
581_126955_000022_000002	Nothing can be clearer on this point than the following verses of Homer, taken from a hymn to Apollo:	Nothing can be clearer on this point than the following verses of Homer, taken from a hymn to Apollo:
581_126955_000024_000000	That there was also a poetical contest in which the Ionians went to contend, again is shown by the following, taken from the same hymn. After celebrating the Delian dance of the women, he ends his song of praise with these verses, in which he also alludes to himself:	That there was also a poetical contest in which the Ionians went to contend, again is shown by the following, taken from the same hymn. After celebrating the Delian dance of the women, he ends his song of praise with these verses, in which he also alludes to himself:
581_126955_000027_000002	On their part, the Ambraciots at Olpae sent a messenger to their own city, to beg them to come with their whole levy to their assistance, fearing that the army of Eurylochus might not be able to pass through the Acarnanians, and that they might themselves be obliged to fight single-handed, or be unable to retreat, if they wished it, without danger.	On their part, the Ambraciots at Olpae sent a messenger to their own city, to beg them to come with their whole levy to their assistance, fearing that the army of Eurylochus might not be able to pass through the Acarnanians, and that they might themselves be obliged to fight single handed, or be unable to retreat, if they wished it, without danger.
581_126955_000029_000000	Uniting here at daybreak, they sat down at the place called Metropolis, and encamped.	Uniting here at daybreak, they sat down at the place called Metropolis, and encamped.
581_126955_000029_000002	While the fleet off Olpae blockaded the hill from the sea, the Acarnanians and a few of the Amphilochians, most of whom were kept back by force by the Ambraciots, had already arrived at Argos, and were preparing to give battle to the enemy, having chosen Demosthenes to command the whole of the allied army in concert with their own generals.	While the fleet off Olpae blockaded the hill from the sea, the Acarnanians and a few of the Amphilochians, most of whom were kept back by force by the Ambraciots, had already arrived at Argos, and were preparing to give battle to the enemy, having chosen Demosthenes to command the whole of the allied army in concert with their own generals.
581_126955_000029_000003	Demosthenes led them near to Olpae and encamped, a great ravine separating the two armies. During five days they remained inactive; on the sixth both sides formed in order of battle.	Demosthenes led them near to Olpae and encamped, a great ravine separating the two armies. During five days they remained inactive; on the sixth both sides formed in order of battle.
