3703_73732_000000_000000	CHAPTER II.	CHAPTER two.	false	1.32	7.98	27.382652
3703_73732_000001_000000	_In Which the Reader Is Again Introduced to Captain Armine, during His Visit to London_.	underscore In Which the Reader Is Again Introduced to Captain Armine, during His Visit to London underscore.	false	7.98	30.81	25.04984
3703_73732_000002_000000	MISS GRANDISON had resolved upon taking a house in London for the season, and had obtained a promise from her uncle and aunt to be her guests.	MISS GRANDISON had resolved upon taking a house in London for the season, and had obtained a promise from her uncle and aunt to be her guests.	true	30.81	40.15	24.785765
3703_73732_000002_000001	Lady Armine's sister was to join them from Bath.	Lady Armine's sister was to join them from Bath.	true	40.55	43.78	19.939274
3703_73732_000002_000002	As for Ferdinand, the spring had gradually restored him to health, but not to his former frame of mind.	As for Ferdinand, the spring had gradually restored him to health, but not to his former frame of mind.	true	43.85	51.1	24.174997
3703_73732_000002_000003	He remained moody and indolent, incapable of exertion, and a prey to the darkest humours; circumstances, however, occurred which rendered some energy on his part absolutely necessary. His creditors grew importunate, and the arrangement of his affairs or departure from his native land was an alternative now inevitable.	He remained moody and indolent, incapable of exertion, and a prey to the darkest humours; circumstances, however, occurred which rendered some energy on his part absolutely necessary. His creditors grew importunate, and the arrangement of his affairs or departure from his native land was an alternative now inevitable.	true	51.14	76.03	25.790155
3703_73732_000002_000004	The month of April, which witnessed the arrival of the Temples and Lord Montfort in England, welcomed also to London Miss Grandison and her guests.	The month of April, which witnessed the arrival of the Temples and Lord Montfort in England, welcomed also to London Miss Grandison and her guests.	true	77.36	87.46	26.271786
3703_73732_000002_000005	A few weeks after, Ferdinand, who had evaded the journey with his family, and who would not on any account become a guest of his cousin, settled himself down at a quiet hotel in the vicinity of Grosvenor-square; but not quite alone, for almost at the last hour Glastonbury had requested permission to accompany him, and Ferdinand, who duly valued the society of the only person with whom he could converse about his broken fortunes and his blighted hopes without reserve, acceded to his wish with the greatest satisfaction.	A few weeks after, Ferdinand, who had evaded the journey with his family, and who would not on any account become a guest of his cousin, settled himself down at a quiet hotel in the vicinity of Grosvenor square; but not quite alone, for almost at the last hour Glastonbury had requested permission to accompany him, and Ferdinand, who duly valued the society of the only person with whom he could converse about his broken fortunes and his blighted hopes without reserve, acceded to his wish with the greatest satisfaction.	false	87.89	126.28	25.006636
3703_73732_000003_000000	A sudden residence in a vast metropolis, after a life of rural seclusion, has without doubt a very peculiar effect upon the mind.	A sudden residence in a vast metropolis, after a life of rural seclusion, has without doubt a very peculiar effect upon the mind.	true	127.43	138.97	25.09864
3703_73732_000003_000001	The immense population, the multiplicity of objects, the important interests hourly impressed upon the intelligence, the continually occurring events, the noise, the bustle, the general and widely-spread excitement, all combine to make us keenly sensible of our individual insignificance; and those absorbing passions that in our solitude, fed by our imagination, have assumed such gigantic and substantial shapes, rapidly subside, by an almost imperceptible process, into less colossal proportions, and seem invested, as it were, with a more shadowy aspect. As Ferdinand Armine jostled his way through the crowded streets of London, urged on by his own harassing and inexorable affairs, and conscious of the impending peril of his career, while power and wealth dazzled his eyes in all directions, he began to look back upon the passionate past with feelings of less keen sensation than heretofore, and almost to regret that a fatal destiny or his impetuous soul had entailed upon him so much anxiety, and prompted him to reject the glittering cup of fortune that had been proffered to him so opportunely. He sighed for enjoyment and repose; the memory of his recent sufferings made him shrink from that reckless indulgence of the passions, of which the consequences had been so severe.	The immense population, the multiplicity of objects, the important interests hourly impressed upon the intelligence, the continually occurring events, the noise, the bustle, the general and widely spread excitement, all combine to make us keenly sensible of our individual insignificance; and those absorbing passions that in our solitude, fed by our imagination, have assumed such gigantic and substantial shapes, rapidly subside, by an almost imperceptible process, into less colossal proportions, and seem invested, as it were, with a more shadowy aspect. As Ferdinand Armine jostled his way through the crowded streets of London, urged on by his own harassing and inexorable affairs, and conscious of the impending peril of his career, while power and wealth dazzled his eyes in all directions, he began to look back upon the passionate past with feelings of less keen sensation than heretofore, and almost to regret that a fatal destiny or his impetuous soul had entailed upon him so much anxiety, and prompted him to reject the glittering cup of fortune that had been proffered to him so opportunely. He sighed for enjoyment and repose; the memory of his recent sufferings made him shrink from that reckless indulgence of the passions, of which the consequences had been so severe.	true	139.37	240.79	24.711779
3703_73732_000004_000000	It was in this mood, exhausted by a visit to his lawyer, that he stepped into a military club and took up a newspaper.	It was in this mood, exhausted by a visit to his lawyer, that he stepped into a military club and took up a newspaper.	true	241.52	250.21	26.80266
3703_73732_000004_000001	Caring little for politics, his eye wandered over, uninterested, its pugnacious leading articles and tedious parliamentary reports; and he was about to throw it down when a paragraph caught his notice which instantly engrossed all his attention.	Caring little for politics, his eye wandered over, uninterested, its pugnacious leading articles and tedious parliamentary reports; and he was about to throw it down when a paragraph caught his notice which instantly engrossed all his attention.	true	250.34	267.9	24.11873
3703_73732_000004_000002	It was in the 'Morning Post' that he thus read:	It was in the 'Morning Post' that he thus read:	true	267.9	271	25.036335
3703_73732_000005_000000	'The Marquis of Montfort, the eldest son of the Duke of------, whose return to England we recently noticed, has resided for several years in Italy.	'The Marquis of Montfort, the eldest son of the Duke of------, whose return to England we recently noticed, has resided for several years in Italy.	false	271.76	282.7	23.458067
3703_73732_000005_000001	His lordship is considered one of the most accomplished noblemen of the day, and was celebrated at Rome for his patronage of the arts. Lord Montfort will shortly be united to the beautiful Miss Temple, the only daughter of the Right Honourable Pelham Temple.	His lordship is considered one of the most accomplished noblemen of the day, and was celebrated at Rome for his patronage of the arts. Lord Montfort will shortly be united to the beautiful Miss Temple, the only daughter of the Right Honourable Pelham Temple.	true	282.77	299.8	26.021778
3703_73732_000005_000002	Miss Temple is esteemed one of the richest heiresses in England, as she will doubtless inherit the whole of the immense fortune to which her father so unexpectedly acceded.	Miss Temple is esteemed one of the richest heiresses in England, as she will doubtless inherit the whole of the immense fortune to which her father so unexpectedly acceded.	true	299.93	311.14	25.491436
3703_73732_000005_000003	Mr. Temple is a widower, and has no son.	mr Temple is a widower, and has no son.	true	311.6	314.74	22.786888
3703_73732_000005_000004	Mr. Temple was formerly our minister at several of the German Courts, where he was distinguished by his abilities and his hospitality to his travelling countrymen.	mr Temple was formerly our minister at several of the German Courts, where he was distinguished by his abilities and his hospitality to his travelling countrymen.	true	314.81	326.08	26.341066
3703_73732_000005_000005	It is said that the rent-roll of the Yorkshire estates of the late Sir Temple Devereux is not less than 15,000L. per annum.	It is said that the rent roll of the Yorkshire estates of the late Sir Temple Devereux is not less than fifteen thousand L. per annum.	false	326.75	335.59	26.801804
3703_73732_000005_000006	The personal property is also very considerable.	The personal property is also very considerable.	true	336.02	339.1	28.07316
3703_73732_000005_000007	We understand that Mr. Temple has purchased the mansion of the Duke of -----, in Grosvenor-square.	We understand that mr Temple has purchased the mansion of the Duke of -----, in Grosvenor square.	false	339.23	346.24	25.361542
3703_73732_000005_000008	Lord Montfort accompanied Mr. Temple and his amiable daughter to this country.'	Lord Montfort accompanied mr Temple and his amiable daughter to this country.'	true	346.37	351.73	27.785051
3703_73732_000006_000000	What a wild and fiery chaos was the mind of Ferdinand Armine when he read this paragraph.	What a wild and fiery chaos was the mind of Ferdinand Armine when he read this paragraph.	true	352.4	358.9	22.083635
3703_73732_000006_000001	The wonders it revealed succeeded each other with such rapidity that for some time he was deprived of the power of reflection.	The wonders it revealed succeeded each other with such rapidity that for some time he was deprived of the power of reflection.	true	359.18	368.26	25.191725
3703_73732_000006_000002	Henrietta Temple in England!	Henrietta Temple in England!	true	368.54	370.9	22.435957
3703_73732_000006_000003	Henrietta Temple one of the greatest heiresses in the country!	Henrietta Temple one of the greatest heiresses in the country!	true	371.06	375.28	25.112494
3703_73732_000006_000004	Henrietta Temple about to be immediately married to another!	Henrietta Temple about to be immediately married to another!	true	375.29	379.36	25.91514
3703_73732_000006_000005	His Henrietta Temple, the Henrietta Temple whom he adored, and by whom he had been worshipped!	His Henrietta Temple, the Henrietta Temple whom he adored, and by whom he had been worshipped!	true	379.37	386.23	23.937916
3703_73732_000006_000006	The Henrietta Temple whose beautiful lock of hair was at this very moment on his heart!	The Henrietta Temple whose beautiful lock of hair was at this very moment on his heart!	true	386.27	392.2	26.616179
3703_73732_000006_000007	The Henrietta Temple for whom he had forfeited fortune, family, power, almost life!	The Henrietta Temple for whom he had forfeited fortune, family, power, almost life!	true	392.27	399.1	24.65754
3703_73732_000007_000000	O Woman, Woman!	O Woman, Woman!	true	399.47	401.53	20.743704
3703_73732_000007_000001	Put not thy trust in woman!	Put not thy trust in woman!	true	401.66	404.2	25.328732
3703_73732_000007_000002	And yet, could he reproach her?	And yet, could he reproach her?	true	404.36	406.63	27.646309
3703_73732_000007_000003	Did she not believe herself trifled with by him, outraged, deceived, deluded, deserted?	Did she not believe herself trifled with by him, outraged, deceived, deluded, deserted?	true	406.76	414.25	24.463886
3703_73732_000007_000004	And did she, could she love another?	And did she, could she love another?	true	414.32	416.92	25.904083
3703_73732_000007_000005	Was there another to whom she had poured forth her heart as to him, and all that beautiful flow of fascinating and unrivalled emotion?	Was there another to whom she had poured forth her heart as to him, and all that beautiful flow of fascinating and unrivalled emotion?	true	416.96	426.46	23.527794
3703_73732_000007_000006	Was there another to whom she had pledged her pure and passionate soul?	Was there another to whom she had pledged her pure and passionate soul?	true	426.59	431.41	24.62647
3703_73732_000007_000007	Ah, no! he would not, he could not believe it.	Ah, no! he would not, he could not believe it.	true	431.6	436.09	21.9209
3703_73732_000007_000008	Light and false Henrietta could never be.	Light and false Henrietta could never be.	true	436.1	439.03	25.249968
3703_73732_000007_000009	She had been seen, she had been admired, she had been loved: who that saw her would not admire and love? and he was the victim of her pique, perhaps of her despair.	She had been seen, she had been admired, she had been loved: who that saw her would not admire and love? and he was the victim of her pique, perhaps of her despair.	false	439.22	451.3	22.985464
3703_73732_000008_000000	But she was not yet married.	But she was not yet married.	true	452.78	454.66	24.233673
3703_73732_000008_000001	They were, according to these lines, to be soon united.	They were, according to these lines, to be soon united.	true	454.7	458.91	21.145086
3703_73732_000008_000002	It appeared they had travelled together; that thought gave him a pang.	It appeared they had travelled together; that thought gave him a pang.	false	458.91	463.27	28.772865
3703_73732_000008_000003	Could he not see her?	Could he not see her?	false	463.46	464.97	29.13359
3703_73732_000008_000004	Could he not explain all?	Could he not explain all?	true	464.97	466.6	27.163498
3703_73732_000008_000005	Could he not prove that his heart had ever been true and fond?	Could he not prove that his heart had ever been true and fond?	true	466.76	470.71	24.394491
3703_73732_000008_000006	Could he not tell her all that had happened, all that he had suffered, all the madness of his misery; and could she resist that voice whose accents had once been her joy, that glance which had once filled her heart with rapture?	Could he not tell her all that had happened, all that he had suffered, all the madness of his misery; and could she resist that voice whose accents had once been her joy, that glance which had once filled her heart with rapture?	false	470.9	486.1	26.60112
3703_73732_000008_000007	And when she found that Ferdinand, her own Ferdinand, had indeed never deceived her, was worthy of her choice affection, and suffering even at this moment for her sweet sake, what were all the cold-blooded ties in which she had since involved herself?	And when she found that Ferdinand, her own Ferdinand, had indeed never deceived her, was worthy of her choice affection, and suffering even at this moment for her sweet sake, what were all the cold blooded ties in which she had since involved herself?	true	486.26	503.74	24.474165
3703_73732_000008_000008	She was his by an older and more ardent bond.	She was his by an older and more ardent bond.	true	503.81	507.45	23.780054
3703_73732_000008_000009	Should he not claim his right?	Should he not claim his right?	true	507.45	509.31	25.137205
3703_73732_000008_000010	Could she deny it?	Could she deny it?	true	509.31	510.67	31.078152
3703_73732_000009_000000	Claim what?	Claim what?	true	510.92	512.02	41.515255
3703_73732_000009_000001	The hand of an heiress.	The hand of an heiress.	true	512.03	513.46	18.799648
3703_73732_000009_000002	Should it be said that an Armine came crouching for lucre, where he ought to have commanded for love? Never!	Should it be said that an Armine came crouching for lucre, where he ought to have commanded for love? Never!	false	513.68	521.65	24.758781
3703_73732_000009_000003	Whatever she might think, his conduct had been faultless to her. It was not for Henrietta to complain.	Whatever she might think, his conduct had been faultless to her. It was not for Henrietta to complain.	true	521.78	529.81	27.253487
3703_73732_000009_000004	She was not the victim, if one indeed there might chance to be.	She was not the victim, if one indeed there might chance to be.	true	529.85	534.16	24.088982
3703_73732_000009_000005	He had loved her, she had returned his passion; for her sake he had made the greatest of sacrifices, forfeited a splendid inheritance, and a fond and faithful heart.	He had loved her, she had returned his passion; for her sake he had made the greatest of sacrifices, forfeited a splendid inheritance, and a fond and faithful heart.	false	534.2	546.25	23.795511
3703_73732_000009_000006	When he had thought of her before, pining perhaps in some foreign solitude, he had never ceased reproaching himself for his conduct, and had accused himself of deception and cruelty; but now, in this moment of her flush prosperity, 'esteemed one of the richest heiresses in England' (he ground his teeth as he recalled that phrase), and the affianced bride of a great noble (his old companion, Lord Montfort, too; what a strange thing is life!), proud, smiling, and prosperous, while he was alone, with a broken heart and worse than desperate fortunes, and all for her sake, his soul became bitter: he reproached her with want of feeling; he pictured her as void of genuine sensibility; he dilated on her indifference since they had parted; her silence, so strange, now no longer inexplicable; the total want of interest she had exhibited as to his career; he sneered at the lightness of her temperament; he cursed her caprice; he denounced her infernal treachery; in the distorted phantom of his agonised imagination she became to him even an object of hatred.	When he had thought of her before, pining perhaps in some foreign solitude, he had never ceased reproaching himself for his conduct, and had accused himself of deception and cruelty; but now, in this moment of her flush prosperity, 'esteemed one of the richest heiresses in England' (he ground his teeth as he recalled that phrase), and the affianced bride of a great noble (his old companion, Lord Montfort, too; what a strange thing is life!), proud, smiling, and prosperous, while he was alone, with a broken heart and worse than desperate fortunes, and all for her sake, his soul became bitter: he reproached her with want of feeling; he pictured her as void of genuine sensibility; he dilated on her indifference since they had parted; her silence, so strange, now no longer inexplicable; the total want of interest she had exhibited as to his career; he sneered at the lightness of her temperament; he cursed her caprice; he denounced her infernal treachery; in the distorted phantom of his agonised imagination she became to him even an object of hatred.	true	546.47	625.18	24.647993
3703_73732_000010_000000	Poor Ferdinand Armine! it was the first time he had experienced the maddening pangs of jealousy.	Poor Ferdinand Armine! it was the first time he had experienced the maddening pangs of jealousy.	true	625.28	632.29	23.104034
3703_73732_000011_000000	Yet how he had loved this woman!	Yet how he had loved this woman!	true	633.05	635.2	27.253183
3703_73732_000011_000001	How he had doated on her!	How he had doated on her!	false	635.36	637.125	27.654364
3703_73732_000011_000002	And now they might have been so happy!	And now they might have been so happy!	true	637.125	639.64	27.877184
3703_73732_000011_000003	There is nothing that depresses a man so much as the conviction of bad fortune.	There is nothing that depresses a man so much as the conviction of bad fortune.	true	639.8	645.76	24.467707
3703_73732_000011_000004	There seemed, in this sudden return, great wealth, and impending marriage of Henrietta Temple, such a combination, so far as Ferdinand Armine was concerned, of vexatious circumstances; it would appear that he had been so near perfect happiness and missed it, that he felt quite weary of existence, and seriously meditated depriving himself of it.	There seemed, in this sudden return, great wealth, and impending marriage of Henrietta Temple, such a combination, so far as Ferdinand Armine was concerned, of vexatious circumstances; it would appear that he had been so near perfect happiness and missed it, that he felt quite weary of existence, and seriously meditated depriving himself of it.	false	646.19	670.9	24.634272
3703_73732_000012_000000	It so happened that he had promised this day to dine at his cousin's; for Glastonbury, who was usually his companion, had accepted an invitation this day to dine with the noble widow of his old patron. Ferdinand, however, found himself quite incapable of entering into any society, and he hurried to his hotel to send a note of excuse to Brook-street.	It so happened that he had promised this day to dine at his cousin's; for Glastonbury, who was usually his companion, had accepted an invitation this day to dine with the noble widow of his old patron. Ferdinand, however, found himself quite incapable of entering into any society, and he hurried to his hotel to send a note of excuse to Brook street.	true	671.15	696.045	25.251095
3703_73732_000012_000001	As he arrived, Glastonbury was just about to step into a hackney-coach, so that Ferdinand had no opportunity of communicating his sorrows to his friend, even had he been inclined.	As he arrived, Glastonbury was just about to step into a hackney coach, so that Ferdinand had no opportunity of communicating his sorrows to his friend, even had he been inclined.	true	696.045	708.96	24.013983
3703_73732_000013_000000	CHAPTER III.	CHAPTER three.	false	708.96	709.08	-20
3703_73732_000014_000000	_In Which Glastonbury Meets the Very Last Person in the World He Expected, and the Strange Consequences_.	underscore In Which Glastonbury Meets the Very Last Person in the World He Expected, and the Strange Consequences underscore.	false	709.08	710.64	20.921904
3703_73732_000015_000000	WHEN Glastonbury arrived at the mansion of the good old duchess, he found nobody in the drawing-room but a young man of distinguished appearance, whose person was unknown to him, but who nevertheless greeted him with remarkable cordiality.	WHEN Glastonbury arrived at the mansion of the good old duchess, he found nobody in the drawing room but a young man of distinguished appearance, whose person was unknown to him, but who nevertheless greeted him with remarkable cordiality.	false	710.64	716.28	24.995676
