2388_153733_000000_000000	Marvels of the Aurora	Marvels of the Aurora	true	22.95	25.21	26.962934
2388_153733_000001_000000	One of the most vivid recollections of my early boyhood is that of seeing my father return hastily into the house one evening and call out to the family: ``Come outside and look at the sky!'' Ours was a country house situated on a commanding site, and as we all emerged from the doorway we were dumbfounded to see the heavens filled with pale flames which ran licking and quivering over the stars.	One of the most vivid recollections of my early boyhood is that of seeing my father return hastily into the house one evening and call out to the family: backquote backquote Come outside and look at the sky!'' Ours was a country house situated on a commanding site, and as we all emerged from the doorway we were dumbfounded to see the heavens filled with pale flames which ran licking and quivering over the stars.	false	26.06	49.54	22.919024
2388_153733_000001_000001	Instantly there sprang into my terrified mind the recollection of an awful description of ``the Day of Judgment'' (the Dies Irae), which I had heard with much perturbation of spirit in the Dutch Reformed church from the lips of a tall, dark-browed, dreadfully-in-earnest preacher of the old-fashioned type.	Instantly there sprang into my terrified mind the recollection of an awful description of backquote backquote the Day of Judgment'' (the Dies Irae), which I had heard with much perturbation of spirit in the Dutch Reformed church from the lips of a tall, dark browed, dreadfully in earnest preacher of the old-fashioned type.	false	50.12	66.85	23.66746
2388_153733_000001_000002	My heart literally sank at sight of the spectacle, for it recalled the preacher's very words; it was just as he had said it would be, and it needed the assured bearing of my elders finally to convince me that	My heart literally sank at sight of the spectacle, for it recalled the preacher's very words; it was just as he had said it would be, and it needed the assured bearing of my elders finally to convince me that	false	67.19	79.66	22.85072
2388_153733_000002_000000	That Day of Wrath, O dreadful day, When Heaven and Earth shall pass away, As David and the Sibyl say	That Day of Wrath, O dreadful day, When Heaven and Earth shall pass away, As David and the Sibyl say	false	79.94	87.6	24.239038
2388_153733_000003_000000	had not actually come upon us.	had not actually come upon us.	false	87.6	90.7	22.422335
2388_153733_000003_000001	And even the older members of the household were not untouched with misgivings when menacing spots of crimson appeared, breaking out now here, now there, in the shuddering sky.	And even the older members of the household were not untouched with misgivings when menacing spots of crimson appeared, breaking out now here, now there, in the shuddering sky.	false	91.31	101.62	23.360353
2388_153733_000003_000002	Toward the north the spectacle was appalling.	Toward the north the spectacle was appalling.	true	102.11	105.01	24.476713
2388_153733_000003_000003	A huge arch spanned an unnaturally dark segment resting on the horizon, and above this arch sprang up beams and streamers in a state of incessant agitation, sometimes shooting up to the zenith with a velocity that took one's breath, and sometimes suddenly falling into long ranks, and marching, marching, marching, like an endless phalanx of fiery specters, and moving, as I remember, always from east to west.	A huge arch spanned an unnaturally dark segment resting on the horizon, and above this arch sprang up beams and streamers in a state of incessant agitation, sometimes shooting up to the zenith with a velocity that took one's breath, and sometimes suddenly falling into long ranks, and marching, marching, marching, like an endless phalanx of fiery specters, and moving, as I remember, always from east to west.	true	105.17	131.74	22.411644
2388_153733_000003_000004	The absolute silence with which these mysterious evolutions were performed and the quavering reflections which were thrown upon the ground increased the awfulness of the exhibition.	The absolute silence with which these mysterious evolutions were performed and the quavering reflections which were thrown upon the ground increased the awfulness of the exhibition.	true	132.02	142.63	22.446978
2388_153733_000003_000005	Occasionally enormous curtains of lambent flame rolled and unrolled with a majestic motion, or were shaken to and fro as if by a mighty, noiseless wind.	Occasionally enormous curtains of lambent flame rolled and unrolled with a majestic motion, or were shaken to and fro as if by a mighty, noiseless wind.	false	143.21	152.71	21.920437
2388_153733_000003_000006	At times, too, a sudden billowing rush would be made toward the zenith, and for a minute the sky overhead would glow so brightly that the stars seemed to have been consumed.	At times, too, a sudden billowing rush would be made toward the zenith, and for a minute the sky overhead would glow so brightly that the stars seemed to have been consumed.	false	153.05	163.24	22.732153
2388_153733_000003_000007	The spectacle continued with varying intensity for hours.	The spectacle continued with varying intensity for hours.	true	163.64	167.02	24.630264
2388_153733_000004_000000	This exhibition occurred in Central New York, a latitude in which the Aurora Borealis is seldom seen with so much splendor.	This exhibition occurred in Central New York, a latitude in which the Aurora Borealis is seldom seen with so much splendor.	true	168.17	175.51	21.248957
2388_153733_000004_000001	I remember another similar one seen from the city of New York in November, 1882. On this last occasion some observers saw a great upright beam of light which majestically moved across the heavens, stalking like an apparition in the midst of the auroral pageant, of whose general movements it seemed to be independent, maintaining always its upright posture, and following a magnetic parallel from east to west.	I remember another similar one seen from the city of New York in November, eighteen eighty two. On this last occasion some observers saw a great upright beam of light which majestically moved across the heavens, stalking like an apparition in the midst of the auroral pageant, of whose general movements it seemed to be independent, maintaining always its upright posture, and following a magnetic parallel from east to west.	false	176	202.81	22.74123
