2388_153733_000000_000000	Marvels of the Aurora	Marvels of the Aurora
2388_153733_000003_000002	Toward the north the spectacle was appalling.	Toward the north the spectacle was appalling.
2388_153733_000003_000003	A huge arch spanned an unnaturally dark segment resting on the horizon, and above this arch sprang up beams and streamers in a state of incessant agitation, sometimes shooting up to the zenith with a velocity that took one's breath, and sometimes suddenly falling into long ranks, and marching, marching, marching, like an endless phalanx of fiery specters, and moving, as I remember, always from east to west.	A huge arch spanned an unnaturally dark segment resting on the horizon, and above this arch sprang up beams and streamers in a state of incessant agitation, sometimes shooting up to the zenith with a velocity that took one's breath, and sometimes suddenly falling into long ranks, and marching, marching, marching, like an endless phalanx of fiery specters, and moving, as I remember, always from east to west.
2388_153733_000003_000004	The absolute silence with which these mysterious evolutions were performed and the quavering reflections which were thrown upon the ground increased the awfulness of the exhibition.	The absolute silence with which these mysterious evolutions were performed and the quavering reflections which were thrown upon the ground increased the awfulness of the exhibition.
2388_153733_000003_000007	The spectacle continued with varying intensity for hours.	The spectacle continued with varying intensity for hours.
2388_153733_000004_000000	This exhibition occurred in Central New York, a latitude in which the Aurora Borealis is seldom seen with so much splendor.	This exhibition occurred in Central New York, a latitude in which the Aurora Borealis is seldom seen with so much splendor.
2388_153733_000005_000002	The pages in the narratives of Arctic exploration that are devoted to descriptions of the wonderful effects of the Northern Lights are second to none that man has ever penned in their fascination.	The pages in the narratives of Arctic exploration that are devoted to descriptions of the wonderful effects of the Northern Lights are second to none that man has ever penned in their fascination.
2388_153733_000005_000003	The lights, as I have already intimated, display astonishing colors, particularly shades of red and green, as they flit from place to place in the sky.	The lights, as I have already intimated, display astonishing colors, particularly shades of red and green, as they flit from place to place in the sky.
2388_153733_000005_000006	After the invention of magnetic telegraphy it was found that whenever a great Aurora occurred the telegraph lines were interrupted in their operation, and the ocean cables ceased to work.	After the invention of magnetic telegraphy it was found that whenever a great Aurora occurred the telegraph lines were interrupted in their operation, and the ocean cables ceased to work.
2388_153733_000006_000002	The first notable proof of the suspected connection was furnished with dramatic emphasis by an occurrence which happened on September 1, 1859.	The first notable proof of the suspected connection was furnished with dramatic emphasis by an occurrence which happened on september first eighteen fifty nine.
2388_153733_000006_000003	Near noon on that day two intensely brilliant points suddenly broke out in a group of sun-spots which were under observation by Mr R. C. Carrington at his observatory at Redhill, England.	Near noon on that day two intensely brilliant points suddenly broke out in a group of sun spots which were under observation by Mr r c Carrington at his observatory at Redhill, England.
2388_153733_000006_000004	The points remained visible for not more than five minutes, during which interval they moved thirty-five thousand miles across the solar disk.	The points remained visible for not more than five minutes, during which interval they moved thirty five thousand miles across the solar disk.
2388_153733_000006_000005	Mr R. Hodgson happened to see the same phenomenon at his observatory at Highgate, and thus all possibility of deception was removed.	Mr r Hodgson happened to see the same phenomenon at his observatory at Highgate, and thus all possibility of deception was removed.
2388_153733_000006_000006	But neither of the startled observers could have anticipated what was to follow, and, indeed, it was an occurrence which has never been precisely duplicated.	But neither of the startled observers could have anticipated what was to follow, and, indeed, it was an occurrence which has never been precisely duplicated.
2388_153733_000007_000003	The coincidence was even closer.	The coincidence was even closer.
2388_153733_000008_000001	It is true that the late Lord Kelvin raised difficulties in the way of the hypothesis of a direct magnetic action of the sun upon the earth, because it seemed to him that an inadmissible quantity of energy was demanded to account for such action.	It is true that the late Lord Kelvin raised difficulties in the way of the hypothesis of a direct magnetic action of the sun upon the earth, because it seemed to him that an inadmissible quantity of energy was demanded to account for such action.
2388_153733_000008_000003	It was Lord Kelvin who, but a few years before the thing was actually accomplished, declared that aerial navigation was an impracticable dream, and demonstrated its impracticability by calculation.	It was Lord Kelvin who, but a few years before the thing was actually accomplished, declared that aerial navigation was an impracticable dream, and demonstrated its impracticability by calculation.
2388_153733_000009_000004	In short, the coincidences are so numerous and significant that one would have to throw the doctrine of probability to the winds in order to be able to reject the conclusion to which they so plainly lead.	In short, the coincidences are so numerous and significant that one would have to throw the doctrine of probability to the winds in order to be able to reject the conclusion to which they so plainly lead.
2388_153733_000010_000000	But still the question recurs: How is the influence transmitted?	But still the question recurs: How is the influence transmitted?
2388_153733_000010_000002	He would give the Aurora the same lineage with the Zodiacal Light.	He would give the Aurora the same lineage with the Zodiacal Light.
2388_153733_000011_000007	These coincidences are certainly very striking, and they have a cumulative force.	These coincidences are certainly very striking, and they have a cumulative force.
2388_153733_000011_000008	If we accept the theory, it would appear that we ought to congratulate ourselves that the inclination of the sun's equator is so slight, for as things stand the earth is never directly over the most active regions of the sun-spots, and consequently never suffers from the maximum bombardment of charged particles of which the sun is capable.	If we accept the theory, it would appear that we ought to congratulate ourselves that the inclination of the sun's equator is so slight, for as things stand the earth is never directly over the most active regions of the sun spots, and consequently never suffers from the maximum bombardment of charged particles of which the sun is capable.
