1923_161975_000000_000000	Dicky's tone was light and confident as he rose.	Dicky's tone was light and confident as he rose.	false	0	6.3	18.167866
1923_161975_000000_000001	Life always has been easy for Dicky.	Life always has been easy for Dicky.	false	6.3	9.66	19.08559
1923_161975_000000_000002	I heard him say once he never could remember the time when he didn't get his own way.	I heard him say once he never could remember the time when he didn't get his own way.	false	9.66	17.52	18.359362
1923_161975_000001_000000	V	V	false	17.52	18.15	-20
1923_161975_000002_000000	"ALWAYS YOUR JACK"	"ALWAYS YOUR JACK"	true	18.15	19.99	19.98786
1923_161975_000003_000000	As soon as Dicky had left the house I cleared away the dishes and washed them and prepared a dessert for dinner.	As soon as Dicky had left the house I cleared away the dishes and washed them and prepared a dessert for dinner.	true	20.96	27.82	18
1923_161975_000003_000001	Then, finding the want advertisements of the Sunday papers, I looked carefully through the columns headed "Situations Wanted, Female."	Then, finding the want advertisements of the Sunday papers, I looked carefully through the columns headed "Situations Wanted, Female."	true	28.22	37.36	20.71715
1923_161975_000004_000000	I clipped the advertisements and fastened each neatly to a sheet of notepaper.	I clipped the advertisements and fastened each neatly to a sheet of notepaper.	true	37.88	43.15	23
1923_161975_000004_000001	Then I wrote beneath each one: "Please call Thursday or Friday.	Then I wrote beneath each one: "Please call Thursday or Friday.	true	43.43	47.94	23
1923_161975_000004_000002	Ask for Mrs. Richard Graham, Apartment 4, 46 East Twenty-ninth street."	Ask for mrs Richard Graham, Apartment four, forty six East Twenty ninth street."	true	47.94	54.28	24
1923_161975_000005_000000	I addressed the envelopes properly, inserted the answers in the envelopes, sealed and stamped them, then ran out to the post box on the corner with them.	I addressed the envelopes properly, inserted the answers in the envelopes, sealed and stamped them, then ran out to the post box on the corner with them.	true	54.68	64.72	22.806242
1923_161975_000005_000001	I walked back very slowly, for there was nothing more that needed to be done, and I could put off no longer the settling of my problem.	I walked back very slowly, for there was nothing more that needed to be done, and I could put off no longer the settling of my problem.	true	65.3	74.98	21
1923_161975_000006_000000	I locked the door of my room, pulled down the shade and, exchanging my house dress for a comfortable negligee, lay down upon my bed to think things out.	I locked the door of my room, pulled down the shade and, exchanging my house dress for a comfortable negligee, lay down upon my bed to think things out.	true	75.77	86.17	20
