7959_109185_000000_000000	One day, in the early summer, however, Grim came very near to finding her match.	One day, in the early summer, however, Grim came very near to finding her match.	false	8.76	29.655	23.06687
7959_109185_000001_000000	XIII: A FIGHT WITH AN OTTER	thirteen: A FIGHT WITH AN OTTER	true	29.655	32.98	25.46301
7959_109185_000002_000000	The harrier was sitting on her newly-hatched young, and the pair of crows were feeding theirs for the last time; it was the time of the owls--and the nightingales.	The harrier was sitting on her newly hatched young, and the pair of crows were feeding theirs for the last time; it was the time of the owls-and the nightingales.	true	35.09	48.19	22.49263
7959_109185_000002_000001	Silent and weary, the cuckoo came from the meadow-land to the bog, where the twilight enveloped it and hid it on its branch.	Silent and weary, the cuckoo came from the meadow land to the bog, where the twilight enveloped it and hid it on its branch.	true	48.86	58.69	24.127005
7959_109185_000003_000000	The willow-thickets and the rushes settled gradually into cool and shade; only along the promontories and banks, where the dragonflies hunted, did the mid-summer sunlight still hold its ground.	The willow thickets and the rushes settled gradually into cool and shade; only along the promontories and banks, where the dragonflies hunted, did the mid summer sunlight still hold its ground.	false	59.66	74.44	21.817595
7959_109185_000004_000000	The water began to sparkle with strong, bright colours, and patches of yellow, scarlet, and blue floated about, shot with brilliant flakes of emerald and purple, which gave darkened reflections of the birch-tops.	The water began to sparkle with strong, bright colours, and patches of yellow, scarlet, and blue floated about, shot with brilliant flakes of emerald and purple, which gave darkened reflections of the birch tops.	true	75.44	91.63	24.467524
7959_109185_000005_000000	Only a few moments before, all the sloping banks of the bog had been held by the sun; it shone upon the flowers of the wild chervil and upon a narrow strip of orange gravel that had been scraped out of one of the banks.	Only a few moments before, all the sloping banks of the bog had been held by the sun; it shone upon the flowers of the wild chervil and upon a narrow strip of orange gravel that had been scraped out of one of the banks.	true	92.75	108.61	21
7959_109185_000006_000000	But now it was gone.	But now it was gone.	true	109.73	111.85	25.327883
7959_109185_000006_000001	The fully-opened hawthorn flowers reluctantly gave up their sunset blush, and shudderingly paled before the approaching gloom.	The fully opened hawthorn flowers reluctantly gave up their sunset blush, and shudderingly paled before the approaching gloom.	false	112.37	122.53	23.315258
7959_109185_000007_000000	Suddenly the nightingale up in the thicket becomes silent, stops in the middle of its highest trill, and begins to snarl.	Suddenly the nightingale up in the thicket becomes silent, stops in the middle of its highest trill, and begins to snarl.	true	123.92	135.43	22.39783
7959_109185_000008_000000	A large otter with low-set ears cautiously raises its head above the strip of gravel.	A large otter with low set ears cautiously raises its head above the strip of gravel.	true	136.61	143.53	24.275042
7959_109185_000008_000001	It sniffs long and continuously, as it stretches its round, shaggy neck out over the ridge.	It sniffs long and continuously, as it stretches its round, shaggy neck out over the ridge.	true	144.11	152.5	23.224333
7959_109185_000009_000000	Above the distant banks on the other side of the bog, the first glow of the full moon peeps out.	Above the distant banks on the other side of the bog, the first glow of the full moon peeps out.	true	153.77	161.41	23.375364
7959_109185_000009_000001	Like a monster toadstool, it grows up out of the horizon, sending up a cloud of purple into the air.	Like a monster toadstool, it grows up out of the horizon, sending up a cloud of purple into the air.	true	161.93	170.05	22
7959_109185_000009_000002	Up and up it goes, and when almost half its disc is visible, a group of firs, whose tops stand out against it, change to a giant poppy just unfolding.	Up and up it goes, and when almost half its disc is visible, a group of firs, whose tops stand out against it, change to a giant poppy just unfolding.	false	170.54	185.11	25.847557
7959_109185_000010_000000	For a moment the flower stands out perfect, large and round at the end of its slender, black stalk, and then the illusion is shattered: from a toadstool the poppy has turned into a moon!	For a moment the flower stands out perfect, large and round at the end of its slender, black stalk, and then the illusion is shattered: from a toadstool the poppy has turned into a moon!	true	186.08	202.66	22.218285
7959_109185_000011_000000	Then the otter comes right up out of the earth, with body and tail and four legs, and shuffles down the slope.	Then the otter comes right up out of the earth, with body and tail and four legs, and shuffles down the slope.	true	203.87	212.92	22.746334
7959_109185_000011_000001	A couple of herons, fishing at the edge of the bog, bend their necks and make off with hoarse, shrill trumpetings; and a herd of splashing heifers, scenting the approach of a beast of prey, begin to growl and snort.	A couple of herons, fishing at the edge of the bog, bend their necks and make off with hoarse, shrill trumpetings; and a herd of splashing heifers, scenting the approach of a beast of prey, begin to growl and snort.	true	213.32	229.51	25.206205
7959_109185_000012_000000	The otter came to the bog every two or three months, when it was tired of hunting fish in the lake.	The otter came to the bog every two or three months, when it was tired of hunting fish in the lake.	true	230.39	237.34	25.253859
7959_109185_000013_000000	A rover's blood flowed in its veins.	A rover's blood flowed in its veins.	true	238.16	241.15	22
7959_109185_000013_000001	Nature had endowed it with a peculiarly active power of assimilation, which was probably necessary if it was to keep warm in the cold water; it needed daily its own weight in fish, and therefore had to be incessantly changing its hunting-ground.	Nature had endowed it with a peculiarly active power of assimilation, which was probably necessary if it was to keep warm in the cold water; it needed daily its own weight in fish, and therefore had to be incessantly changing its hunting ground.	true	241.37	259.21	23.494839
7959_109185_000014_000000	It was timid and suspicious, but a great glutton.	It was timid and suspicious, but a great glutton.	true	259.76	264.13	27.52235
7959_109185_000015_000000	Pike, which it used especially to catch in the bogs, were somewhat dry, it is true, but after all, one could not have salmon and trout every day!	Pike, which it used especially to catch in the bogs, were somewhat dry, it is true, but after all, one could not have salmon and trout every day!	true	265.07	275.86	22.428738
7959_109185_000016_000000	After having labouriously shuffled over a piece of land, and reached the largest of the big pools, it allowed itself to glide noiselessly from its slip--a path trodden in the grass--into its true element.	After having labouriously shuffled over a piece of land, and reached the largest of the big pools, it allowed itself to glide noiselessly from its slip-a path trodden in the grass-into its true element.	true	276.98	293.26	23.17243
7959_109185_000017_000000	A few minutes later there was an unusual disturbance in the water, which splashed high up about the dunes and foamed over the banks.	A few minutes later there was an unusual disturbance in the water, which splashed high up about the dunes and foamed over the banks.	true	294.53	304.09	19.538612
7959_109185_000017_000001	A wild chase was going on in the depths, and where it passed the rushes bowed their sheaves and the flags their fans.	A wild chase was going on in the depths, and where it passed the rushes bowed their sheaves and the flags their fans.	true	304.55	313.96	23
7959_109185_000017_000002	Black mud was stirred up in whirlpools; seething bubbles came to the surface and burst.	Black mud was stirred up in whirlpools; seething bubbles came to the surface and burst.	true	314.24	322.42	24.294945
7959_109185_000018_000000	The otter, with a newly-caught fish in its mouth, had been on its way out to a little island, intending to have its meal under a sallow, when it was suddenly attacked and robbed of its prey.	The otter, with a newly caught fish in its mouth, had been on its way out to a little island, intending to have its meal under a sallow, when it was suddenly attacked and robbed of its prey.	true	323.42	337.69	21.745815
7959_109185_000018_000001	It caught a glimpse of the indistinct outline of a great fish, and exasperated at such audacity, determined to go in chase of the robber.	It caught a glimpse of the indistinct outline of a great fish, and exasperated at such audacity, determined to go in chase of the robber.	true	338.21	349.12	25.506311
