7959_109185_000001_000000	XIII: A FIGHT WITH AN OTTER	thirteen: A FIGHT WITH AN OTTER
7959_109185_000002_000000	The harrier was sitting on her newly-hatched young, and the pair of crows were feeding theirs for the last time; it was the time of the owls--and the nightingales.	The harrier was sitting on her newly hatched young, and the pair of crows were feeding theirs for the last time; it was the time of the owls-and the nightingales.
7959_109185_000002_000001	Silent and weary, the cuckoo came from the meadow-land to the bog, where the twilight enveloped it and hid it on its branch.	Silent and weary, the cuckoo came from the meadow land to the bog, where the twilight enveloped it and hid it on its branch.
7959_109185_000004_000000	The water began to sparkle with strong, bright colours, and patches of yellow, scarlet, and blue floated about, shot with brilliant flakes of emerald and purple, which gave darkened reflections of the birch-tops.	The water began to sparkle with strong, bright colours, and patches of yellow, scarlet, and blue floated about, shot with brilliant flakes of emerald and purple, which gave darkened reflections of the birch tops.
7959_109185_000005_000000	Only a few moments before, all the sloping banks of the bog had been held by the sun; it shone upon the flowers of the wild chervil and upon a narrow strip of orange gravel that had been scraped out of one of the banks.	Only a few moments before, all the sloping banks of the bog had been held by the sun; it shone upon the flowers of the wild chervil and upon a narrow strip of orange gravel that had been scraped out of one of the banks.
7959_109185_000006_000000	But now it was gone.	But now it was gone.
7959_109185_000007_000000	Suddenly the nightingale up in the thicket becomes silent, stops in the middle of its highest trill, and begins to snarl.	Suddenly the nightingale up in the thicket becomes silent, stops in the middle of its highest trill, and begins to snarl.
7959_109185_000008_000000	A large otter with low-set ears cautiously raises its head above the strip of gravel.	A large otter with low set ears cautiously raises its head above the strip of gravel.
7959_109185_000008_000001	It sniffs long and continuously, as it stretches its round, shaggy neck out over the ridge.	It sniffs long and continuously, as it stretches its round, shaggy neck out over the ridge.
7959_109185_000009_000000	Above the distant banks on the other side of the bog, the first glow of the full moon peeps out.	Above the distant banks on the other side of the bog, the first glow of the full moon peeps out.
7959_109185_000009_000001	Like a monster toadstool, it grows up out of the horizon, sending up a cloud of purple into the air.	Like a monster toadstool, it grows up out of the horizon, sending up a cloud of purple into the air.
7959_109185_000010_000000	For a moment the flower stands out perfect, large and round at the end of its slender, black stalk, and then the illusion is shattered: from a toadstool the poppy has turned into a moon!	For a moment the flower stands out perfect, large and round at the end of its slender, black stalk, and then the illusion is shattered: from a toadstool the poppy has turned into a moon!
7959_109185_000011_000000	Then the otter comes right up out of the earth, with body and tail and four legs, and shuffles down the slope.	Then the otter comes right up out of the earth, with body and tail and four legs, and shuffles down the slope.
7959_109185_000011_000001	A couple of herons, fishing at the edge of the bog, bend their necks and make off with hoarse, shrill trumpetings; and a herd of splashing heifers, scenting the approach of a beast of prey, begin to growl and snort.	A couple of herons, fishing at the edge of the bog, bend their necks and make off with hoarse, shrill trumpetings; and a herd of splashing heifers, scenting the approach of a beast of prey, begin to growl and snort.
7959_109185_000012_000000	The otter came to the bog every two or three months, when it was tired of hunting fish in the lake.	The otter came to the bog every two or three months, when it was tired of hunting fish in the lake.
7959_109185_000013_000000	A rover's blood flowed in its veins.	A rover's blood flowed in its veins.
7959_109185_000013_000001	Nature had endowed it with a peculiarly active power of assimilation, which was probably necessary if it was to keep warm in the cold water; it needed daily its own weight in fish, and therefore had to be incessantly changing its hunting-ground.	Nature had endowed it with a peculiarly active power of assimilation, which was probably necessary if it was to keep warm in the cold water; it needed daily its own weight in fish, and therefore had to be incessantly changing its hunting ground.
7959_109185_000014_000000	It was timid and suspicious, but a great glutton.	It was timid and suspicious, but a great glutton.
7959_109185_000015_000000	Pike, which it used especially to catch in the bogs, were somewhat dry, it is true, but after all, one could not have salmon and trout every day!	Pike, which it used especially to catch in the bogs, were somewhat dry, it is true, but after all, one could not have salmon and trout every day!
7959_109185_000016_000000	After having labouriously shuffled over a piece of land, and reached the largest of the big pools, it allowed itself to glide noiselessly from its slip--a path trodden in the grass--into its true element.	After having labouriously shuffled over a piece of land, and reached the largest of the big pools, it allowed itself to glide noiselessly from its slip-a path trodden in the grass-into its true element.
7959_109185_000017_000001	A wild chase was going on in the depths, and where it passed the rushes bowed their sheaves and the flags their fans.	A wild chase was going on in the depths, and where it passed the rushes bowed their sheaves and the flags their fans.
7959_109185_000017_000002	Black mud was stirred up in whirlpools; seething bubbles came to the surface and burst.	Black mud was stirred up in whirlpools; seething bubbles came to the surface and burst.
7959_109185_000018_000000	The otter, with a newly-caught fish in its mouth, had been on its way out to a little island, intending to have its meal under a sallow, when it was suddenly attacked and robbed of its prey.	The otter, with a newly caught fish in its mouth, had been on its way out to a little island, intending to have its meal under a sallow, when it was suddenly attacked and robbed of its prey.
7959_109185_000018_000001	It caught a glimpse of the indistinct outline of a great fish, and exasperated at such audacity, determined to go in chase of the robber.	It caught a glimpse of the indistinct outline of a great fish, and exasperated at such audacity, determined to go in chase of the robber.
