5984_56840_000003_000000	CHAPTER XXVII.	CHAPTER twenty seven.
5984_56840_000005_000001	Often had she wrote to her perfidious seducer, and with the most persuasive eloquence endeavoured to convince him of her innocence; but these letters were never suffered to reach the hands of Montraville, or they must, though on the very eve of marriage, have prevented his deserting the wretched girl.	Often had she wrote to her perfidious seducer, and with the most persuasive eloquence endeavoured to convince him of her innocence; but these letters were never suffered to reach the hands of Montraville, or they must, though on the very eve of marriage, have prevented his deserting the wretched girl.
5984_56840_000005_000002	Real anguish of heart had in a great measure faded her charms, her cheeks were pale from want of rest, and her eyes, by frequent, indeed almost continued weeping, were sunk and heavy.	Real anguish of heart had in a great measure faded her charms, her cheeks were pale from want of rest, and her eyes, by frequent, indeed almost continued weeping, were sunk and heavy.
5984_56840_000006_000000	"If she were here," she would cry, "she would certainly comfort me, and sooth the distraction of my soul."	"If she were here," she would cry, "she would certainly comfort me, and sooth the distraction of my soul."
5984_56840_000007_000000	She was sitting one afternoon, wrapped in these melancholy reflexions, when she was interrupted by the entrance of Belcour.	She was sitting one afternoon, wrapped in these melancholy reflexions, when she was interrupted by the entrance of Belcour.
5984_56840_000008_000001	"And how does my lovely Charlotte?" said he, taking her hand: "I fear you are not so well as I could wish."	"And how does my lovely Charlotte?" said he, taking her hand: "I fear you are not so well as I could wish."
5984_56840_000009_000000	"I am not well, Mr. Belcour," said she, "very far from it; but the pains and infirmities of the body I could easily bear, nay, submit to them with patience, were they not aggravated by the most insupportable anguish of my mind."	"I am not well, mr Belcour," said she, "very far from it; but the pains and infirmities of the body I could easily bear, nay, submit to them with patience, were they not aggravated by the most insupportable anguish of my mind."
5984_56840_000010_000000	"You are not happy, Charlotte," said he, with a look of well-dissembled sorrow.	"You are not happy, Charlotte," said he, with a look of well dissembled sorrow.
5984_56840_000012_000001	You are lonely here, my dear girl; give me leave to conduct you to New-York, where the agreeable society of some ladies, to whom I will introduce you, will dispel these sad thoughts, and I shall again see returning cheerfulness animate those lovely features."	You are lonely here, my dear girl; give me leave to conduct you to New York, where the agreeable society of some ladies, to whom I will introduce you, will dispel these sad thoughts, and I shall again see returning cheerfulness animate those lovely features."
5984_56840_000013_000000	"Oh never!	"Oh never!
5984_56840_000013_000001	never!" cried Charlotte, emphatically: "the virtuous part of my sex will scorn me, and I will never associate with infamy.	never!" cried Charlotte, emphatically: "the virtuous part of my sex will scorn me, and I will never associate with infamy.
