1052_132776_000000_000000	The Whigs saw that their time was come.	The Whigs saw that their time was come.	true	25.635	27.64	20.921417
1052_132776_000000_000001	Whether they should draw the sword against the government had, during six or seven years, been, in their view, merely a question of prudence; and prudence itself now urged them to take a bold course.	Whether they should draw the sword against the government had, during six or seven years, been, in their view, merely a question of prudence; and prudence itself now urged them to take a bold course.	true	27.77	39.19	19.809835
1052_132776_000001_000000	In May, before the birth of the Prince of Wales, and while it was still uncertain whether the Declaration would or would not be read in the churches, Edward Russell had repaired to the Hague.	In May, before the birth of the Prince of Wales, and while it was still uncertain whether the Declaration would or would not be read in the churches, Edward Russell had repaired to the Hague.	true	40.25	50.67	18.818907
1052_132776_000001_000001	He had strongly represented to the Prince of Orange the state of the public mind, and had advised his Highness to appear in England at the head of a strong body of troops, and to call the people to arms.	He had strongly represented to the Prince of Orange the state of the public mind, and had advised his Highness to appear in England at the head of a strong body of troops, and to call the people to arms.	false	50.67	61.03	17
1052_132776_000002_000000	William had seen, at a glance, the whole importance of the crisis.	William had seen, at a glance, the whole importance of the crisis.	true	62.96	66.4	16
1052_132776_000002_000001	"Now or never," he exclaimed in Latin to Dykvelt. [413] To Russell he held more guarded language, admitted that the distempers of the state were such as required an extraordinary remedy, but spoke with earnestness of the chance of failure, and of the calamities which failure might bring on Britain and on Europe.	"Now or never," he exclaimed in Latin to Dykvelt. [four hundred thirteen] To Russell he held more guarded language, admitted that the distempers of the state were such as required an extraordinary remedy, but spoke with earnestness of the chance of failure, and of the calamities which failure might bring on Britain and on Europe.	false	66.62	84.22	19.184587
1052_132776_000002_000002	He knew well that many who talked in high language about sacrificing their lives and fortunes for their country would hesitate when the prospect of another Bloody Circuit was brought close to them.	He knew well that many who talked in high language about sacrificing their lives and fortunes for their country would hesitate when the prospect of another Bloody Circuit was brought close to them.	true	84.41	93.82	16
1052_132776_000002_000003	He wanted therefore to have, not vague professions of good will, but distinct invitations and promises of support subscribed by powerful and eminent men.	He wanted therefore to have, not vague professions of good will, but distinct invitations and promises of support subscribed by powerful and eminent men.	true	94.19	103.51	17
1052_132776_000002_000004	Russell remarked that it would be dangerous to entrust the design to a great number of persons.	Russell remarked that it would be dangerous to entrust the design to a great number of persons.	true	103.82	108.4	16
1052_132776_000002_000005	William assented, and said that a few signatures would be sufficient, if they were the signatures of statesmen who represented great interests.	William assented, and said that a few signatures would be sufficient, if they were the signatures of statesmen who represented great interests.	true	109.46	116.67	16
1052_132776_000002_000006	[414]	[four hundred fourteen]	false	116.67	117.3	3
1052_132776_000003_000000	With this answer Russell returned to London, where he found the excitement greatly increased and daily increasing.	With this answer Russell returned to London, where he found the excitement greatly increased and daily increasing.	true	117.3	123.22	14
1052_132776_000003_000001	The imprisonment of the Bishops and the delivery of the Queen made his task easier than he could have anticipated.	The imprisonment of the Bishops and the delivery of the Queen made his task easier than he could have anticipated.	true	123.68	129.34	16
1052_132776_000003_000002	He lost no time in collecting the voices of the chiefs of the opposition.	He lost no time in collecting the voices of the chiefs of the opposition.	true	130.34	134.41	16
1052_132776_000003_000003	His principal coadjutor in this work was Henry Sidney, brother of Algernon.	His principal coadjutor in this work was Henry Sidney, brother of Algernon.	true	135.44	139.6	16
1052_132776_000003_000004	It is remarkable that both Edward Russell and Henry Sidney had been in the household of James, that both had, partly on public and partly on private grounds, become his enemies, and that both had to avenge the blood of near kinsmen who had, in the same year, fallen victims to his implacable severity.	It is remarkable that both Edward Russell and Henry Sidney had been in the household of james, that both had, partly on public and partly on private grounds, become his enemies, and that both had to avenge the blood of near kinsmen who had, in the same year, fallen victims to his implacable severity.	true	140.39	157.3	18
1052_132776_000003_000005	Here the resemblance ends.	Here the resemblance ends.	true	157.61	159.37	19.156313
1052_132776_000003_000006	Russell, with considerable abilities, was proud, acrimonious, restless, and violent.	Russell, with considerable abilities, was proud, acrimonious, restless, and violent.	true	159.47	165.25	19
1052_132776_000003_000007	Sidney, with a sweet temper and winning manners, seemed to be deficient in capacity and knowledge, and to be sunk in voluptuousness and indolence.	Sidney, with a sweet temper and winning manners, seemed to be deficient in capacity and knowledge, and to be sunk in voluptuousness and indolence.	true	165.89	174.13	17
1052_132776_000003_000008	His face and form were eminently handsome. In his youth he had been the terror of husbands; and even now, at near fifty, he was the favourite of women and the envy of younger men.	His face and form were eminently handsome. In his youth he had been the terror of husbands; and even now, at near fifty, he was the favourite of women and the envy of younger men.	true	174.38	184.23	15
