8772_295710_000000_000000	X	X	false	32.58	33.69	-6
8772_295710_000001_000000	The entire range of Henriot's experience, read, imagined, dreamed, then fainted into unreality before the sheer wonder of what he saw.	The entire range of Henriot's experience, read, imagined, dreamed, then fainted into unreality before the sheer wonder of what he saw.	true	33.69	44.17	22.438908
8772_295710_000001_000001	In the brief interval it takes to snap the fingers the climax was thus so hurriedly upon him.	In the brief interval it takes to snap the fingers the climax was thus so hurriedly upon him.	true	44.72	50.68	19
8772_295710_000001_000002	And, through it all, he was clearly aware of the pair of little human figures, man and woman, standing erect and commanding at the centre--knew, too, that she directed and controlled, while he in some secondary fashion supported her--and ever watched.	And, through it all, he was clearly aware of the pair of little human figures, man and woman, standing erect and commanding at the centre-knew, too, that she directed and controlled, while he in some secondary fashion supported her-and ever watched.	false	51.23	69.76	22.12255
8772_295710_000001_000003	But both were dim, dropped somewhere into a lesser scale.	But both were dim, dropped somewhere into a lesser scale.	true	70.16	74.47	22.813583
8772_295710_000001_000004	It was the knowledge of their presence, however, that alone enabled him to keep his powers in hand at all.	It was the knowledge of their presence, however, that alone enabled him to keep his powers in hand at all.	false	74.96	81.12	20
8772_295710_000001_000005	But for these two _human_ beings there within possible reach, he must have closed his eyes and swooned.	But for these two underscore human underscore beings there within possible reach, he must have closed his eyes and swooned.	false	81.12	88.36	19.753485
8772_295710_000002_000000	For a tempest that seemed to toss loose stars about the sky swept round about him, pouring up the pillared avenue in front of the procession.	For a tempest that seemed to toss loose stars about the sky swept round about him, pouring up the pillared avenue in front of the procession.	true	89.21	98.65	23
8772_295710_000002_000001	A blast of giant energy, of liberty, came through.	A blast of giant energy, of liberty, came through.	true	99.29	103.6	22.814846
8772_295710_000002_000002	Forwards and backwards, circling spirally about him like a whirlwind, came this revival of Life that sought to dip itself once more in matter and in form.	Forwards and backwards, circling spirally about him like a whirlwind, came this revival of Life that sought to dip itself once more in matter and in form.	true	103.73	114.01	19
8772_295710_000002_000003	It came to the accurate out-line of its form they had traced for it.	It came to the accurate out line of its form they had traced for it.	true	114.65	118.9	25
