4856_20410_000000_000000	"No," I answered, "it certainly would not."	"No," I answered, "it certainly would not."	false	0	1.32	24.624199
4856_20410_000001_000000	"Then that seems to settle it.	"Then that seems to settle it.	false	1.32	3.03	25.154692
4856_20410_000001_000001	But it is a most mysterious affair.	But it is a most mysterious affair.	false	3.03	4.5	12
4856_20410_000001_000002	Can you suggest any way in which he can have concealed a store of the drug?"	Can you suggest any way in which he can have concealed a store of the drug?"	false	4.5	7.35	16.943186
4856_20410_000002_000000	I stood up and looked him straight in the face; it was the first chance I had had of inspecting him by any but the feeblest light, and I looked at him very attentively.	I stood up and looked him straight in the face; it was the first chance I had had of inspecting him by any but the feeblest light, and I looked at him very attentively.	false	7.35	16.86	24.312431
4856_20410_000002_000001	Now, it is a curious fact--though one that most persons must have observed--that there sometimes occurs a considerable interval between the reception of a visual impression and its complete transfer to the consciousness.	Now, it is a curious fact-though one that most persons must have observed-that there sometimes occurs a considerable interval between the reception of a visual impression and its complete transfer to the consciousness.	false	16.86	27.555	26.29718
4856_20410_000002_000002	A thing may be seen, as it were, unconsciously, and the impression consigned, apparently, to instant oblivion; and yet the picture may be subsequently revived by memory with such completeness that its details can be studied as though the object were still actually visible.	A thing may be seen, as it were, unconsciously, and the impression consigned, apparently, to instant oblivion; and yet the picture may be subsequently revived by memory with such completeness that its details can be studied as though the object were still actually visible.	false	27.555	32.505	23.752424
4856_20410_000003_000000	Something of this kind must have happened to me now.	Something of this kind must have happened to me now.	true	32.505	35.8	21
4856_20410_000003_000001	Preoccupied as I was, by the condition of the patient, the professional habit of rapid and close observation caused me to direct a searching glance at the man before me.	Preoccupied as I was, by the condition of the patient, the professional habit of rapid and close observation caused me to direct a searching glance at the man before me.	true	35.9	47.17	22.676058
4856_20410_000003_000002	It was only a brief glance--for Mr. Weiss, perhaps embarrassed by my keen regard of him, almost immediately withdrew into the shadow--and my attention seemed principally to be occupied by the odd contrast between the pallor of his face and the redness of his nose and by the peculiar stiff, bristly character of his eyebrows.	It was only a brief glance-for mr Weiss, perhaps embarrassed by my keen regard of him, almost immediately withdrew into the shadow-and my attention seemed principally to be occupied by the odd contrast between the pallor of his face and the redness of his nose and by the peculiar stiff, bristly character of his eyebrows.	false	47.69	69.79	21.910233
4856_20410_000003_000003	But there was another fact, and a very curious one, that was observed by me subconsciously and instantly forgotten, to be revived later when I reflected on the events of the night.	But there was another fact, and a very curious one, that was observed by me subconsciously and instantly forgotten, to be revived later when I reflected on the events of the night.	false	70.34	83.02	18.60775
4856_20410_000003_000004	It was this:	It was this:	true	83.21	84.4	23.394207
4856_20410_000004_000000	As Mr. Weiss stood, with his head slightly turned, I was able to look through one glass of his spectacles at the wall beyond.	As mr Weiss stood, with his head slightly turned, I was able to look through one glass of his spectacles at the wall beyond.	true	85.19	93.73	22
4856_20410_000004_000001	On the wall was a framed print; and the edge of the frame, seen through the spectacle-glass, appeared quite unaltered and free from distortion, magnification or reduction, as if seen through plain window-glass; and yet the reflections of the candle-flame in the spectacles showed the flame upside down, proving conclusively that the glasses were concave on one surface at least.	On the wall was a framed print; and the edge of the frame, seen through the spectacle glass, appeared quite unaltered and free from distortion, magnification or reduction, as if seen through plain window glass; and yet the reflections of the candle flame in the spectacles showed the flame upside down, proving conclusively that the glasses were concave on one surface at least.	true	94.16	119.23	21.78437
4856_20410_000004_000002	The strange phenomenon was visible only for a moment or two, and as it passed out of my sight it passed also out of my mind.	The strange phenomenon was visible only for a moment or two, and as it passed out of my sight it passed also out of my mind.	true	119.63	128.17	21.720566
4856_20410_000005_000000	"No," I said, replying to the last question; "I can think of no way in which he could have effectually hidden a store of morphine.	"No," I said, replying to the last question; "I can think of no way in which he could have effectually hidden a store of morphine.	true	129.41	137.89	22.731747
