7594_91192_000001_000000	XII	twelve
7594_91192_000002_000000	Symphony and Symphonic Poem	Symphony and Symphonic Poem
7594_91192_000003_000000	That adventurous spirit, Claudio Monteverde, who nearly three hundred years ago made himself responsible for the first feeble utterances of an orchestra that tried to say something for itself, divined the possibilities of expression in varying combinations of tone-quality and gave vigorous impulse to the germ of the symphony already existing in the formless instrumental preludes and interludes of his predecessors among opera-makers.	That adventurous spirit, Claudio Monteverde, who nearly three hundred years ago made himself responsible for the first feeble utterances of an orchestra that tried to say something for itself, divined the possibilities of expression in varying combinations of tone quality and gave vigorous impulse to the germ of the symphony already existing in the formless instrumental preludes and interludes of his predecessors among opera makers.
7594_91192_000003_000002	The prelude developed into the operatic overture whose business it became to prepare the spectator for what followed.	The prelude developed into the operatic overture whose business it became to prepare the spectator for what followed.
7594_91192_000004_000001	As the vocal aria was the result of the simple folk-song combined with the intense craving of song's master molders for individual expression, so instrumental music striving to walk alone, without support from words, gained vital elements through the discovery that various phases of mental disposition might be indicated by alternating dance tunes differing in rhythm and movement, according to Nature's own law of contrasts.	As the vocal aria was the result of the simple folk song combined with the intense craving of song's master molders for individual expression, so instrumental music striving to walk alone, without support from words, gained vital elements through the discovery that various phases of mental disposition might be indicated by alternating dance tunes differing in rhythm and movement, according to Nature's own law of contrasts.
7594_91192_000004_000002	That unity of purpose was essential to the effectiveness of the diversity was instinctively discerned.	That unity of purpose was essential to the effectiveness of the diversity was instinctively discerned.
7594_91192_000005_000001	These compositions were usually written for the harpsichord and perhaps three instruments of the viol order, the master himself playing the leading melody on the violin.	These compositions were usually written for the harpsichord and perhaps three instruments of the viol order, the master himself playing the leading melody on the violin.
7594_91192_000005_000004	Absolute music was set once for all on the right path by them.	Absolute music was set once for all on the right path by them.
7594_91192_000006_000001	It ceased to be a mere grouping of dances, the name suite being applied to that, and struck out into independent excursions in the domain of fancy.	It ceased to be a mere grouping of dances, the name suite being applied to that, and struck out into independent excursions in the domain of fancy.
7594_91192_000006_000002	The prevailing melody of its monophonic style proved suitable to furnish a subject for the most animated discussion.	The prevailing melody of its monophonic style proved suitable to furnish a subject for the most animated discussion.
7594_91192_000007_000000	A German critic has jocosely remarked that the early writers meant the sonata to show first what they could do, second what they could feel, and third how glad they were to have finished.	A German critic has jocosely remarked that the early writers meant the sonata to show first what they could do, second what they could feel, and third how glad they were to have finished.
7594_91192_000007_000001	Time vastly increased its importance.	Time vastly increased its importance.
7594_91192_000007_000002	Two subjects, a melody in the tonic, another usually in the dominant, came to set forth the exposition of the opening movement, leading to a free development, with various episodes, and an assured return to the original statement.	Two subjects, a melody in the tonic, another usually in the dominant, came to set forth the exposition of the opening movement, leading to a free development, with various episodes, and an assured return to the original statement.
7594_91192_000008_000001	His thirty years of musical service to the house of Esterhazy, with an orchestra increasing from 16 to 24 pieces to experiment on, as the solo virtuoso experiments on piano or violin, brought him wholly under the spell of the instruments.	His thirty years of musical service to the house of Esterhazy, with an orchestra increasing from sixteen to twenty four pieces to experiment on, as the solo virtuoso experiments on piano or violin, brought him wholly under the spell of the instruments.
7594_91192_000008_000002	Their individual characteristics afforded him continually new suggestions in regard to tone-coloring, and he rose often to audacity, for his time, in his harmonic devices.	Their individual characteristics afforded him continually new suggestions in regard to tone coloring, and he rose often to audacity, for his time, in his harmonic devices.
7594_91192_000008_000003	Grace and spirit, originality of invention, joyous abandon, a fancy controlled by a studious mind, a profusion of quaint humor and a proper division of light and shade, combine to give the dominant note to his music.	Grace and spirit, originality of invention, joyous abandon, a fancy controlled by a studious mind, a profusion of quaint humor and a proper division of light and shade, combine to give the dominant note to his music.
7594_91192_000008_000004	His symphonies recall the fairy tale, with its sparkling "once upon a time," and yet like it are not without their mysterious shadows.	His symphonies recall the fairy tale, with its sparkling "once upon a time," and yet like it are not without their mysterious shadows.
7594_91192_000009_000000	With Mozart, whose life-work began after, but ended before that of Haydn, influencing and being influenced by the latter, the symphony broadened in scope and grew richer in warmth of melodious expression, definiteness of plan and completeness of form.	With Mozart, whose life work began after, but ended before that of Haydn, influencing and being influenced by the latter, the symphony broadened in scope and grew richer in warmth of melodious expression, definiteness of plan and completeness of form.
7594_91192_000009_000001	His profoundly poetic musical nature, with its high capacity for joy and sorrow and infinite longing, was reflected in all that he wrote.	His profoundly poetic musical nature, with its high capacity for joy and sorrow and infinite longing, was reflected in all that he wrote.
7594_91192_000009_000002	By means of a generous employment of free counterpoint, in other words a kind of polyphony in which the various voices use different melodies in harmonious combination, he gained a potent auxiliary in his cunning workmanship, and emphasized the folly of rejecting the contrapuntal experiences, of, for instance, a Sebastian Bach. Musical instruments, as well as musical materials, were his servants in developing the glowing fancies of his marvelously constructive brain.	By means of a generous employment of free counterpoint, in other words a kind of polyphony in which the various voices use different melodies in harmonious combination, he gained a potent auxiliary in his cunning workmanship, and emphasized the folly of rejecting the contrapuntal experiences, of, for instance, a Sebastian Bach. Musical instruments, as well as musical materials, were his servants in developing the glowing fancies of his marvelously constructive brain.
7594_91192_000009_000003	The crowning glory of his graceful perfection of outline and detail is the noble spirit of serenity which illumines all its beauty.	The crowning glory of his graceful perfection of outline and detail is the noble spirit of serenity which illumines all its beauty.
7594_91192_000010_000000	Beethoven further advanced the technique of the symphony, and proved its power to "strike fire from the soul of man." Varying his themes while repeating them, adding spice to his episodes and working out his entire scheme with consummate skill, he was able to construct from a motive of a few notes a mighty epic tone-poem.	Beethoven further advanced the technique of the symphony, and proved its power to "strike fire from the soul of man." Varying his themes while repeating them, adding spice to his episodes and working out his entire scheme with consummate skill, he was able to construct from a motive of a few notes a mighty epic tone poem.
7594_91192_000010_000001	He translated into superb orchestral pages the dreams of the human heart, the soul's longing for liberty and all the holiest aspirations of the inner being.	He translated into superb orchestral pages the dreams of the human heart, the soul's longing for liberty and all the holiest aspirations of the inner being.
7594_91192_000010_000002	He discussed in tones problems of man's life and destiny, ever displaying sublime faith that Fate, however cruel, is powerless to crush the spiritual being, the real individuality.	He discussed in tones problems of man's life and destiny, ever displaying sublime faith that Fate, however cruel, is powerless to crush the spiritual being, the real individuality.
7594_91192_000010_000003	His conflicts never fail to end in triumph.	His conflicts never fail to end in triumph.
7594_91192_000011_000000	Twenty-six years younger than Beethoven Schubert lived but a year after he had passed away and died in 1828, two years later than Weber, and felt the glow of the spirit of romanticism.	Twenty six years younger than Beethoven Schubert lived but a year after he had passed away and died in eighteen twenty eight, two years later than Weber, and felt the glow of the spirit of romanticism.
7594_91192_000011_000001	From the perennial fount of song within his breast there streamed fresh melodious strains through his symphonies, the ninth and last of which, the C major, ranks him with the great symphonists.	From the perennial fount of song within his breast there streamed fresh melodious strains through his symphonies, the ninth and last of which, the C major, ranks him with the great symphonists.
7594_91192_000011_000004	Ultra romanticism was foreign to the nature and repulsive to the tastes of the refined, elegant Mendelssohn, yet in spite of himself its influence crept gently into his polished works.	Ultra romanticism was foreign to the nature and repulsive to the tastes of the refined, elegant Mendelssohn, yet in spite of himself its influence crept gently into his polished works.
7594_91192_000012_000000	This brings us to Hector Berlioz, the famous French symphonist, the exponent par excellence of programme music, that is, music intended to illustrate a special story.	This brings us to Hector Berlioz, the famous French symphonist, the exponent par excellence of programme music, that is, music intended to illustrate a special story.
7594_91192_000012_000001	He lived from 1803 to 1869, and because of his audacity in using new and startling tonal effects was called the most flagrant musical heretic of the nineteenth century.	He lived from eighteen o three to eighteen sixty nine, and because of his audacity in using new and startling tonal effects was called the most flagrant musical heretic of the nineteenth century.
7594_91192_000012_000002	He was the first to impress on the world the idea of music as a definite language. His recurrent themes, called "fixed ideas," prefigured Wagner's "leading motives." His skill in combining instruments added new lustre to orchestration.	He was the first to impress on the world the idea of music as a definite language. His recurrent themes, called "fixed ideas," prefigured Wagner's "leading motives." His skill in combining instruments added new lustre to orchestration.
7594_91192_000012_000004	His four famous symphonic works are: "Fantastic Symphony," "Grand Funeral and Triumphal Symphony," "Harold in Italy" and "Romeo and Juliet." In a preface to the first he thus explains his ideas: "The plan of a musical drama without words, requires to be explained beforehand.	His four famous symphonic works are: "Fantastic Symphony," "Grand Funeral and Triumphal Symphony," "Harold in Italy" and "Romeo and Juliet." In a preface to the first he thus explains his ideas: "The plan of a musical drama without words, requires to be explained beforehand.
7594_91192_000012_000005	The programme (which is indispensable to the perfect comprehension of the work) ought therefore to be considered in the light of the spoken text of an opera, serving to lead up to the piece of music, and indicate the character and expression."	The programme (which is indispensable to the perfect comprehension of the work) ought therefore to be considered in the light of the spoken text of an opera, serving to lead up to the piece of music, and indicate the character and expression."
7594_91192_000013_000000	From programme music came the symphonic poem of which Franz Liszt was the creator.	From programme music came the symphonic poem of which Franz Liszt was the creator.
7594_91192_000014_000000	Camille Saint-Saens, without doubt the most original and intellectual modern French composer, who at sixty-seven years of age is still in the midst of his activity, and who has made his own the spirit of the classic composers, owes to the symphonic poem a great part of his reputation, and has also written symphonies of great value.	Camille Saint Saens, without doubt the most original and intellectual modern French composer, who at sixty seven years of age is still in the midst of his activity, and who has made his own the spirit of the classic composers, owes to the symphonic poem a great part of his reputation, and has also written symphonies of great value.
7594_91192_000014_000001	His orchestration is distinguished by its clarity, power and exquisite coloring.	His orchestration is distinguished by its clarity, power and exquisite coloring.
7594_91192_000014_000003	A strong national flavor is also felt in the work of Christian Sinding, the Norwegian, whose D minor symphony has been styled "a piece born of the gloomy romanticism of the North." Edward Grieg, known as the incarnation of the strong, vigorous, breezy spirit of the land of the midnight sun, has put some of his most characteristic work into symphonic poems and orchestral suites.	A strong national flavor is also felt in the work of Christian Sinding, the Norwegian, whose D minor symphony has been styled "a piece born of the gloomy romanticism of the North." Edward Grieg, known as the incarnation of the strong, vigorous, breezy spirit of the land of the midnight sun, has put some of his most characteristic work into symphonic poems and orchestral suites.
