6426_64292_000001_000000	ANOTHER CHANGE.	ANOTHER CHANGE.
6426_64292_000002_000000	For some time Tom made progress toward health, and was able to read a good part of the day.	For some time Tom made progress toward health, and was able to read a good part of the day.
6426_64292_000002_000002	When he had done with Joseph, or when he did not want him, Mary was always ready to give the latter a lesson; and, had he been a less gifted man than he was, he could not have failed to make progress with such a teacher.	When he had done with Joseph, or when he did not want him, Mary was always ready to give the latter a lesson; and, had he been a less gifted man than he was, he could not have failed to make progress with such a teacher.
6426_64292_000003_000000	The large-hearted, delicate-souled woman felt nothing strange in the presence of the workingman, but, on the contrary, was comfortably aware of a being like her own, less privileged but more gifted, whose nearness was strength.	The large hearted, delicate souled woman felt nothing strange in the presence of the workingman, but, on the contrary, was comfortably aware of a being like her own, less privileged but more gifted, whose nearness was strength.
6426_64292_000003_000001	And no teacher, not to say no woman, could have failed to be pleased at the thorough painstaking with which he followed the slightest of her hints, and the delight his flushed face would reveal when she praised the success he had achieved.	And no teacher, not to say no woman, could have failed to be pleased at the thorough painstaking with which he followed the slightest of her hints, and the delight his flushed face would reveal when she praised the success he had achieved.
6426_64292_000004_000002	Mary's delight was great when first he brought her one of his compositions very fairly written out--after which others followed with a rapidity that astonished her.	Mary's delight was great when first he brought her one of his compositions very fairly written out-after which others followed with a rapidity that astonished her.
6426_64292_000004_000003	They enabled her also to understand the man better and better; for to have a thing to brood over which we are capable of understanding must be more to us than even the master's playing of it.	They enabled her also to understand the man better and better; for to have a thing to brood over which we are capable of understanding must be more to us than even the master's playing of it.
6426_64292_000005_000000	To the first he brought her she contrived to put a poor little faulty accompaniment; and when she played his air to him so accompanied, his delight was touching, and not a little amusing.	To the first he brought her she contrived to put a poor little faulty accompaniment; and when she played his air to him so accompanied, his delight was touching, and not a little amusing.
6426_64292_000005_000001	Plainly he thought the accompaniment a triumph of human faculty, and beyond anything he could ever develop.	Plainly he thought the accompaniment a triumph of human faculty, and beyond anything he could ever develop.
6426_64292_000005_000002	Never pupil was more humble, never pupil more obedient; thinking nothing of himself or of anything he had done or could do, his path was open to the swiftest and highest growth.	Never pupil was more humble, never pupil more obedient; thinking nothing of himself or of anything he had done or could do, his path was open to the swiftest and highest growth.
6426_64292_000006_000000	What the gift of such an instructor was to Joseph, my reader may be requested to imagine.	What the gift of such an instructor was to Joseph, my reader may be requested to imagine.
6426_64292_000006_000002	Under such an influence all that was gentlest and sweetest in his nature might well develop with rapidity, and every accidental roughness--and in him there was no other--by swift degrees vanish from both speech and manners.	Under such an influence all that was gentlest and sweetest in his nature might well develop with rapidity, and every accidental roughness-and in him there was no other-by swift degrees vanish from both speech and manners.
6426_64292_000006_000003	The angels do not want tailors to make their clothes: their habits come out of themselves.	The angels do not want tailors to make their clothes: their habits come out of themselves.
6426_64292_000006_000005	Of such a nobility, good Lord, deliver us from all envy!	Of such a nobility, good Lord, deliver us from all envy!
