6426_64292_000000_000000	CHAPTER XLVII.	CHAPTER forty seven.	false	0.81	19.515	23.439808
6426_64292_000001_000000	ANOTHER CHANGE.	ANOTHER CHANGE.	true	19.515	21.16	23.565445
6426_64292_000002_000000	For some time Tom made progress toward health, and was able to read a good part of the day.	For some time Tom made progress toward health, and was able to read a good part of the day.	true	22.19	27.67	23.143522
6426_64292_000002_000001	Most evenings he asked Joseph to play to him for a while; he was fond of music, and fonder still of criticism--upon anything.	Most evenings he asked Joseph to play to him for a while; he was fond of music, and fonder still of criticism-upon anything.	false	27.83	35.89	24.658365
6426_64292_000002_000002	When he had done with Joseph, or when he did not want him, Mary was always ready to give the latter a lesson; and, had he been a less gifted man than he was, he could not have failed to make progress with such a teacher.	When he had done with Joseph, or when he did not want him, Mary was always ready to give the latter a lesson; and, had he been a less gifted man than he was, he could not have failed to make progress with such a teacher.	true	36.05	49.03	22
6426_64292_000003_000000	The large-hearted, delicate-souled woman felt nothing strange in the presence of the workingman, but, on the contrary, was comfortably aware of a being like her own, less privileged but more gifted, whose nearness was strength.	The large hearted, delicate souled woman felt nothing strange in the presence of the workingman, but, on the contrary, was comfortably aware of a being like her own, less privileged but more gifted, whose nearness was strength.	true	49.25	62.505	20.119093
6426_64292_000003_000001	And no teacher, not to say no woman, could have failed to be pleased at the thorough painstaking with which he followed the slightest of her hints, and the delight his flushed face would reveal when she praised the success he had achieved.	And no teacher, not to say no woman, could have failed to be pleased at the thorough painstaking with which he followed the slightest of her hints, and the delight his flushed face would reveal when she praised the success he had achieved.	true	62.505	77.56	25.356737
6426_64292_000004_000000	It was not long before he began to write some of the things that came into his mind.	It was not long before he began to write some of the things that came into his mind.	false	77.72	83.32	19
6426_64292_000004_000001	For the period of quiescence as to production, which followed the initiation of more orderly study, was, after all, but of short duration, and the return tide of musical utterance was stronger than ever.	For the period of quiescence as to production, which followed the initiation of more orderly study, was, after all, but of short duration, and the return tide of musical utterance was stronger than ever.	true	83.42	95.68	18
6426_64292_000004_000002	Mary's delight was great when first he brought her one of his compositions very fairly written out--after which others followed with a rapidity that astonished her.	Mary's delight was great when first he brought her one of his compositions very fairly written out-after which others followed with a rapidity that astonished her.	true	95.9	105.19	22.40651
6426_64292_000004_000003	They enabled her also to understand the man better and better; for to have a thing to brood over which we are capable of understanding must be more to us than even the master's playing of it.	They enabled her also to understand the man better and better; for to have a thing to brood over which we are capable of understanding must be more to us than even the master's playing of it.	true	105.29	116.5	20.753437
6426_64292_000004_000004	She could not be sure this or that was correct, according to the sweet inexorability of musical ordainment, but the more she pondered them, the more she felt that the man was original, that the material was there, and the law at hand, that he brought his music from the only bottomless well of utterance, the truth, namely, by which alone the soul most glorious in gladness, or any other the stupidest of souls, can live.	She could not be sure this or that was correct, according to the sweet inexorability of musical ordainment, but the more she pondered them, the more she felt that the man was original, that the material was there, and the law at hand, that he brought his music from the only bottomless well of utterance, the truth, namely, by which alone the soul most glorious in gladness, or any other the stupidest of souls, can live.	false	116.51	141.27	24
6426_64292_000005_000000	To the first he brought her she contrived to put a poor little faulty accompaniment; and when she played his air to him so accompanied, his delight was touching, and not a little amusing.	To the first he brought her she contrived to put a poor little faulty accompaniment; and when she played his air to him so accompanied, his delight was touching, and not a little amusing.	true	141.27	151.905	24.290104
6426_64292_000005_000001	Plainly he thought the accompaniment a triumph of human faculty, and beyond anything he could ever develop.	Plainly he thought the accompaniment a triumph of human faculty, and beyond anything he could ever develop.	true	151.905	158.5	24.31927
6426_64292_000005_000002	Never pupil was more humble, never pupil more obedient; thinking nothing of himself or of anything he had done or could do, his path was open to the swiftest and highest growth.	Never pupil was more humble, never pupil more obedient; thinking nothing of himself or of anything he had done or could do, his path was open to the swiftest and highest growth.	true	158.81	171.255	26.31323
6426_64292_000005_000003	It matters little where a man may be at this moment; the point is whether he is growing. The next point will be, whether he is growing at the ratio given him. The key to the whole thing is _obedience_, and nothing else.	It matters little where a man may be at this moment; the point is whether he is growing. The next point will be, whether he is growing at the ratio given him. The key to the whole thing is underscore obedience underscore, and nothing else.	false	171.255	184.2	24.008173
6426_64292_000006_000000	What the gift of such an instructor was to Joseph, my reader may be requested to imagine.	What the gift of such an instructor was to Joseph, my reader may be requested to imagine.	true	184.2	189.19	21
6426_64292_000006_000001	He was like a man seated on the grass outside the heavenly gate, from which, slow-opening every evening as the sun went down, came an angel to teach, and teach, until he too should be fit to enter in: an hour would arrive when she would no longer have to come out to him where he sat.	He was like a man seated on the grass outside the heavenly gate, from which, slow opening every evening as the sun went down, came an angel to teach, and teach, until he too should be fit to enter in: an hour would arrive when she would no longer have to come out to him where he sat	false	189.23	206.97	21.860317
6426_64292_000006_000002	Under such an influence all that was gentlest and sweetest in his nature might well develop with rapidity, and every accidental roughness--and in him there was no other--by swift degrees vanish from both speech and manners.	Under such an influence all that was gentlest and sweetest in his nature might well develop with rapidity, and every accidental roughness-and in him there was no other-by swift degrees vanish from both speech and manners.	true	206.97	220.99	21
6426_64292_000006_000003	The angels do not want tailors to make their clothes: their habits come out of themselves.	The angels do not want tailors to make their clothes: their habits come out of themselves.	true	221.48	226.72	26.19631
6426_64292_000006_000004	But we are often too hard upon our fellows; for many of those in the higher ranks of life--no, no, I mean of society--whose insolence wakens ours, as growl wakes growl in the forest, are not yet so far removed from the savage--I mean in their personal history--as some in the lowest ranks. When a nobleman mistakes the love of right in another for a hatred of refinement, he can not be far from mistaking insolence for good manners.	But we are often too hard upon our fellows; for many of those in the higher ranks of life-no, no, I mean of society-whose insolence wakens ours, as growl wakes growl in the forest, are not yet so far removed from the savage-I mean in their personal history-as some in the lowest ranks. When a nobleman mistakes the love of right in another for a hatred of refinement, he can not be far from mistaking insolence for good manners.	false	226.91	255.57	21.747461
6426_64292_000006_000005	Of such a nobility, good Lord, deliver us from all envy!	Of such a nobility, good Lord, deliver us from all envy!	true	255.57	259.27	24.890472
6426_64292_000007_000000	As to falling in love with a lady like Mary, such a thing was as far from Jasper's consciousness as if she had been a duchess.	As to falling in love with a lady like Mary, such a thing was as far from Jasper's consciousness as if she had been a duchess.	false	259.46	267.43	20.707396
6426_64292_000007_000001	She belonged to another world from his, a world which his world worshiped, waiting. He might miss her even to death; her absence might, for him, darken the universe as if the sun had withdrawn his brightness; but who thinks of falling in love with the sun, or dreams of climbing nearer to his radiance?	She belonged to another world from his, a world which his world worshiped, waiting. He might miss her even to death; her absence might, for him, darken the universe as if the sun had withdrawn his brightness; but who thinks of falling in love with the sun, or dreams of climbing nearer to his radiance?	true	267.59	289.02	21.266184
6426_64292_000008_000000	The day will one day come--or what of the long-promised kingdom of heaven?--when a woman, instead of spending anxious thought on the adornment of her own outward person, will seek with might the adornment of the inward soul of another, and will make that her crown of rejoicing.	The day will one day come-or what of the long promised kingdom of heaven?--when a woman, instead of spending anxious thought on the adornment of her own outward person, will seek with might the adornment of the inward soul of another, and will make that her crown of rejoicing.	true	289.02	304.21	19
6426_64292_000008_000001	Nay, are there none such even now?	Nay, are there none such even now?	true	304.28	307.72	20
6426_64292_000008_000002	The day will come when a man, rather than build a great house for the overflow of a mighty hospitality, will give himself, in the personal labor of outgoing love, to build spiritual houses like St. Paul--a higher art than any of man's invention.	The day will come when a man, rather than build a great house for the overflow of a mighty hospitality, will give himself, in the personal labor of outgoing love, to build spiritual houses like saint Paul--a higher art than any of man's invention.	true	307.79	322.87	20
6426_64292_000008_000003	O my brother, what were it not for thee to have a hand in making thy brother beautiful!	O my brother, what were it not for thee to have a hand in making thy brother beautiful!	true	323.09	329.08	20.56193
