3224_168198_000000_000000	CHAPTER V	CHAPTER five	true	24.285	25.65	23.799536
3224_168198_000001_000000	_How the pirates arm their vessels, and regulate their voyages._	underscore How the pirates arm their vessels, and regulate their voyages.underscore	false	25.65	32.88	25.232052
3224_168198_000002_000000	BEFORE the pirates go to sea, they give notice to all concerned, of the day on which they are to embark; obliging each man to bring so many pounds of powder and ball as they think necessary.	BEFORE the pirates go to sea, they give notice to all concerned, of the day on which they are to embark; obliging each man to bring so many pounds of powder and ball as they think necessary.	false	32.88	43.42	21
3224_168198_000002_000001	Being all come aboard, they consider where to get provisions, especially flesh, seeing they scarce eat anything else; and of this the most common sort is pork; the next food is tortoises, which they salt a little: sometimes they rob such or such hog-yards, where the Spaniards often have a thousand head of swine together.	Being all come aboard, they consider where to get provisions, especially flesh, seeing they scarce eat anything else; and of this the most common sort is pork; the next food is tortoises, which they salt a little: sometimes they rob such or such hog yards, where the Spaniards often have a thousand head of swine together.	true	43.88	62.59	23.298857
3224_168198_000002_000002	They come to these places in the night, and having beset the keeper's lodge, they force him to rise, and give them as many heads as they desire, threatening to kill him if he refuses, or makes any noise; and these menaces are oftentimes executed on the miserable swine-keepers, or any other person that endeavours to hinder their robberies.	They come to these places in the night, and having beset the keeper's lodge, they force him to rise, and give them as many heads as they desire, threatening to kill him if he refuses, or makes any noise; and these menaces are oftentimes executed on the miserable swine keepers, or any other person that endeavours to hinder their robberies.	false	62.84	81.4	21
3224_168198_000003_000000	Having got flesh sufficient for their voyage, they return to their ship: here they allow, twice a day, every one as much as he can eat, without weight or measure; nor does the steward of the vessel give any more flesh, or anything else, to the captain, than to the meanest mariner. The ship being well victualled, they deliberate whither they shall go to seek their desperate fortunes, and likewise agree upon certain articles, which are put in writing, which every one is bound to observe; and all of them, or the chiefest part, do set their hands to it.	Having got flesh sufficient for their voyage, they return to their ship: here they allow, twice a day, every one as much as he can eat, without weight or measure; nor does the steward of the vessel give any more flesh, or anything else, to the captain, than to the meanest mariner. The ship being well victualled, they deliberate whither they shall go to seek their desperate fortunes, and likewise agree upon certain articles, which are put in writing, which every one is bound to observe; and all of them, or the chiefest part, do set their hands to it.	false	82.16	113.14	24.246023
3224_168198_000003_000001	Here they set down distinctly what sums of money each particular person ought to have for that voyage, the fund of all the payments being what is gotten by the whole expedition; for otherwise it is the same law among these people as with other pirates.	Here they set down distinctly what sums of money each particular person ought to have for that voyage, the fund of all the payments being what is gotten by the whole expedition; for otherwise it is the same law among these people as with other pirates.	false	113.3	126.465	20
3224_168198_000003_000002	No prey, no pay.	No prey, no pay.	true	126.465	128.71	25.068724
3224_168198_000003_000003	First, therefore, they mention how much the captain is to have for his ship; next, the salary of the carpenter, or shipwright, who careened, mended, and rigged the vessel: this commonly amounts to one hundred or one hundred and fifty pieces of eight, according to the agreement.	First, therefore, they mention how much the captain is to have for his ship; next, the salary of the carpenter, or shipwright, who careened, mended, and rigged the vessel: this commonly amounts to one hundred or one hundred and fifty pieces of eight, according to the agreement.	true	128.72	142.93	22.84514
3224_168198_000003_000004	Afterwards, for provisions and victualling, they draw out of the same common stock about two hundred pieces of eight; also a salary for the surgeon, and his chest of medicaments, which usually is rated at two hundred or two hundred and fifty pieces of eight.	Afterwards, for provisions and victualling, they draw out of the same common stock about two hundred pieces of eight; also a salary for the surgeon, and his chest of medicaments, which usually is rated at two hundred or two hundred and fifty pieces of eight.	true	143.12	156.69	21
3224_168198_000003_000005	Lastly, they agree what rate each one ought to have that is either wounded or maimed in his body, suffering the loss of any limb; as, for the loss of a right arm, six hundred pieces of eight, or six slaves; for the left arm, five hundred pieces of eight, or five slaves; for a right leg, five hundred pieces of eight, or five slaves; for the left leg, four hundred pieces of eight, or four slaves; for an eye, one hundred pieces of eight, or one slave; for a finger, the same as for an eye.	Lastly, they agree what rate each one ought to have that is either wounded or maimed in his body, suffering the loss of any limb; as, for the loss of a right arm, six hundred pieces of eight, or six slaves; for the left arm, five hundred pieces of eight, or five slaves; for a right leg, five hundred pieces of eight, or five slaves; for the left leg, four hundred pieces of eight, or four slaves; for an eye, one hundred pieces of eight, or one slave; for a finger, the same as for an eye.	true	156.69	185.8	23.462505
3224_168198_000003_000006	All which sums are taken out of the common stock of what is gotten by their piracy, and a very exact and equal dividend is made of the remainder.	All which sums are taken out of the common stock of what is gotten by their piracy, and a very exact and equal dividend is made of the remainder.	true	186.11	193.66	21
3224_168198_000003_000007	They have also regard to qualities and places: thus the captain, or chief, is allotted five or six portions, to what the ordinary seamen have: the master's mate only two, and other officers proportionately to their employ: after which, they draw equal parts from the highest to the lowest mariner, the boys not being omitted, who draw half a share; because when they take a better vessel than their own, it is in the boys' duty to fire their former vessel, and then retire to the prize.	They have also regard to qualities and places: thus the captain, or chief, is allotted five or six portions, to what the ordinary seamen have: the master's mate only two, and other officers proportionately to their employ: after which, they draw equal parts from the highest to the lowest mariner, the boys not being omitted, who draw half a share; because when they take a better vessel than their own, it is in the boys' duty to fire their former vessel, and then retire to the prize.	false	194	220.54	23.949102
3224_168198_000004_000000	They observe among themselves very good orders; for in the prizes which they take, it is severely prohibited, to every one, to take anything to themselves: hence all they take is equally divided, as hath been said before: yea, they take a solemn oath to each other, not to conceal the least thing they find among the prizes; and if any one is found false to the said oath, he is immediately turned out of the society.	They observe among themselves very good orders; for in the prizes which they take, it is severely prohibited, to every one, to take anything to themselves: hence all they take is equally divided, as hath been said before: yea, they take a solemn oath to each other, not to conceal the least thing they find among the prizes; and if any one is found false to the said oath, he is immediately turned out of the society.	false	221.33	243.61	22
3224_168198_000004_000001	They are very civil and charitable to each other; so that if any one wants what another has, with great willingness they give it one to another.	They are very civil and charitable to each other; so that if any one wants what another has, with great willingness they give it one to another.	false	243.86	251.17	23
3224_168198_000004_000002	As soon as these pirates have taken a prize, they immediately set ashore the prisoners, detaining only some few, for their own help and service: whom, also, they release, after two or three years.	As soon as these pirates have taken a prize, they immediately set ashore the prisoners, detaining only some few, for their own help and service: whom, also, they release, after two or three years.	false	251.24	261.31	19
3224_168198_000004_000003	They refresh themselves at one island or another, but especially at those on the south of Cuba; here they careen their vessels, while some hunt, and others cruise in canoes for prizes.	They refresh themselves at one island or another, but especially at those on the south of Cuba; here they careen their vessels, while some hunt, and others cruise in canoes for prizes.	true	261.71	271.21	22
3224_168198_000005_000000	The inhabitants of New Spain and Campechy lade their best merchandize in ships of great bulk: the vessels from Campechy sail in the winter to Caraccas, Trinity isles, and that of Margarita, and return back again in the summer.	The inhabitants of New Spain and Campechy lade their best merchandize in ships of great bulk: the vessels from Campechy sail in the winter to Caraccas, Trinity isles, and that of Margarita, and return back again in the summer.	false	272.39	286.45	24.173416
3224_168198_000005_000001	The pirates knowing these seasons (being very diligent in their inquiries) always cruise between the places above-mentioned; but in case they light on no considerable booty, they commonly undertake some more hazardous enterprises: one remarkable instance of which I shall here give you.	The pirates knowing these seasons (being very diligent in their inquiries) always cruise between the places above mentioned; but in case they light on no considerable booty, they commonly undertake some more hazardous enterprises: one remarkable instance of which I shall here give you.	true	286.7	302.2	21
3224_168198_000006_000000	A certain pirate called Pierre Francois, or Peter Francis, waiting a long time at sea with his boat and twenty-six men, for the ships that were to return from Maracaibo to Campechy, and not being able to find any prey, at last he resolved to direct his course to Rancheiras, near the River de la Plata, in 12 deg. and a half north latitude.	A certain pirate called Pierre Francois, or peter Francis, waiting a long time at sea with his boat and twenty six men, for the ships that were to return from Maracaibo to Campechy, and not being able to find any prey, at last he resolved to direct his course to Rancheiras, near the River de la Plata, in twelve d e g. and a half north latitude.	false	302.57	323.44	23
3224_168198_000006_000001	Here lies a rich bank of pearl, to the fishery whereof they yearly sent from Carthagena twelve vessels with a man-of-war for their defence.	Here lies a rich bank of pearl, to the fishery whereof they yearly sent from Carthagena twelve vessels with a man of war for their defence.	false	323.66	331.93	21.50892
3224_168198_000006_000002	Every vessel has at least two negroes in it, who are very dextrous in diving to the depth of six fathoms, where they find good store of pearls.	Every vessel has at least two negroes in it, who are very dextrous in diving to the depth of six fathoms, where they find good store of pearls.	true	332.57	340.57	23.564186
