6494_60800_000000_000000	When it was the Four Hundred and Ninety-seventh Night,	When it was the Four Hundred and Ninety seventh Night,	true	30.66	33.315	19
6494_60800_000001_000000	She said, It hath reached me, O auspicious King, that the angel said to Bulukiya when describing the serpent, "'And were it not for fear of the Most Highest, this serpent would assuredly swallow up all that is above it, air and fire, and the Angel and his burden, without sensing it.	She said, It hath reached me, O auspicious King, that the angel said to Bulukiya when describing the serpent, "'And were it not for fear of the Most Highest, this serpent would assuredly swallow up all that is above it, air and fire, and the Angel and his burden, without sensing it.	false	33.315	52.99	20.7029
6494_60800_000001_000001	When Allah created this serpent He said to it by inspiration, 'I will give thee somewhat to keep for me, so open thy mouth.' The serpent replied, 'Do whatso Thou wilt;' and opened his mouth and God placed Hell into his maw, saying, 'Keep it until the Day of Resurrection.	When Allah created this serpent He said to it by inspiration, 'I will give thee somewhat to keep for me, so open thy mouth.' The serpent replied, 'Do whatso Thou wilt;' and opened his mouth and God placed Hell into his maw, saying, 'Keep it until the Day of Resurrection.	false	53.6	74.86	21.344364
6494_60800_000001_000002	When that time comes, the Almighty will send His angels with chains to bring Hell and bind it until the Day when all men shall meet; and the Lord will order Hell to go open its gates and there will issue therefrom sparks bigger than the mountains.' When Bulukiya heard these things he wept with sore weeping and, taking leave of the Angel, fared on westwards, till he came in sight of two creatures sitting before a great shut gate.	When that time comes, the Almighty will send His angels with chains to bring Hell and bind it until the Day when all men shall meet; and the Lord will order Hell to go open its gates and there will issue therefrom sparks bigger than the mountains.' When Bulukiya heard these things he wept with sore weeping and, taking leave of the Angel, fared on westwards, till he came in sight of two creatures sitting before a great shut gate.	true	75.2	106.3	21.492138
6494_60800_000001_000003	As he drew near, he saw that one of the gatekeepers had the semblance of a lion and the other that of a bull; so he saluted them and they returned his salam and enquired who and whence he was and whither he was bound. Quoth he, 'I am of the sons of Adam, a wanderer for the love of Mohammed (whom Allah assain and save!) and I have strayed from my way.' Then he asked them what they were and what was the gate before which they sat, and they answered, 'We are the guardians of this gate thou seest and we have no other business than the praise and hallowing of Allah and the invocation of blessings on Mohammed (whom may He bless and keep!).' Bulukiya wondered and asked them, 'What is within the gate?'; and they answered, 'We wot not.' Then quoth he, 'I conjure you, by the truth of your glorious Lord, open to me the gate, that I may see that which is therein.' Quoth they, 'We cannot, and none may open this gate, of all created beings save Gabriel, the Faithful One, with whom be peace!' Then Bulukiya lifted up his voice in supplication to Allah, saying, 'O Lord, send me thy messenger Gabriel, the Faithful One, to open for me this gate that I may see what be therein;' and the Almighty gave ear unto his prayer and commanded the Archangel to descend to earth and open to him the gate of the Meeting-place of the Two Seas.	As he drew near, he saw that one of the gatekeepers had the semblance of a lion and the other that of a bull; so he saluted them and they returned his salam and enquired who and whence he was and whither he was bound. Quoth he, 'I am of the sons of Adam, a wanderer for the love of Mohammed (whom Allah assain and save!) and I have strayed from my way.' Then he asked them what they were and what was the gate before which they sat, and they answered, 'We are the guardians of this gate thou seest and we have no other business than the praise and hallowing of Allah and the invocation of blessings on Mohammed (whom may He bless and keep!).' Bulukiya wondered and asked them, 'What is within the gate?'; and they answered, 'We wot not.' Then quoth he, 'I conjure you, by the truth of your glorious Lord, open to me the gate, that I may see that which is therein.' Quoth they, 'We cannot, and none may open this gate, of all created beings save Gabriel, the Faithful One, with whom be peace!' Then Bulukiya lifted up his voice in supplication to Allah, saying, 'O Lord, send me thy messenger Gabriel, the Faithful One, to open for me this gate that I may see what be therein;' and the Almighty gave ear unto his prayer and commanded the Archangel to descend to earth and open to him the gate of the Meeting place of the Two Seas.	false	107.15	207.55	20.536058
6494_60800_000001_000004	So Gabriel descended and, saluting Bulukiya, opened the gate to him, saying, 'Enter this door, for Allah commandeth me to open to thee.' So he entered and Gabriel locked the gate behind him and flew back to heaven.	So Gabriel descended and, saluting Bulukiya, opened the gate to him, saying, 'Enter this door, for Allah commandeth me to open to thee.' So he entered and Gabriel locked the gate behind him and flew back to heaven.	true	208.34	223.39	20.918854
6494_60800_000001_000005	When Bulukiya found himself within the gate, he looked and beheld a vast ocean, half salt and half fresh, bounded on every side by mountain ranges of red ruby whereon he saw angels singing the praises of the Lord and hallowing Him.	When Bulukiya found himself within the gate, he looked and beheld a vast ocean, half salt and half fresh, bounded on every side by mountain ranges of red ruby whereon he saw angels singing the praises of the Lord and hallowing Him.	true	224.12	241.06	21.634964
6494_60800_000001_000006	So he went up to them and saluted them and having received a return of his salam, questioned them of the sea and the mountains.	So he went up to them and saluted them and having received a return of his salam, questioned them of the sea and the mountains.	true	241.79	249.58	18.785646
6494_60800_000001_000007	Replied they, 'This place is situate under the Arsh or empyreal heaven; and this Ocean causeth the flux and flow of all the seas of the world; and we are appointed to distribute them and drive them to the various parts of the earth, the salt to the salt and the fresh to the fresh,[FN#534] and this is our employ until the Day of Doom.	Replied they, 'This place is situate under the Arsh or empyreal heaven; and this Ocean causeth the flux and flow of all the seas of the world; and we are appointed to distribute them and drive them to the various parts of the earth, the salt to the salt and the fresh to the fresh,[f n # five hundred thirty four] and this is our employ until the Day of Doom.	false	250.31	275.2	21.73431
6494_60800_000001_000008	As for the mountain ranges they serve to limit and to contain the waters.	As for the mountain ranges they serve to limit and to contain the waters.	false	275.81	280.21	22.220097
6494_60800_000001_000009	But thou, whence comest thou and whither art thou bound?' So he told them his story and asked them of the road.	But thou, whence comest thou and whither art thou bound?' So he told them his story and asked them of the road.	false	280.85	289.18	22.050104
6494_60800_000001_000010	They bade him traverse the surface of the ocean which lay before him: so he anointed his feet with the juice of the herb he had with him, and taking leave of the angels, set out upon the face of the sea and sped on over the water nights and days; and as he was faring, behold, he met a handsome youth journeying along like himself, whereupon he greeted him and he returned his greeting.	They bade him traverse the surface of the ocean which lay before him: so he anointed his feet with the juice of the herb he had with him, and taking leave of the angels, set out upon the face of the sea and sped on over the water nights and days; and as he was faring, behold, he met a handsome youth journeying along like himself, whereupon he greeted him and he returned his greeting.	true	289.64	315.34	21.73274
6494_60800_000001_000011	After they parted he espied four great Angels wayfaring over the face of the sea, and their going was like the blinding lightning; so he stationed himself in their road, and when they came up to him, he saluted them and said to them, 'I ask you by the Almighty, the Glorious, to tell me your names and whither are ye bound?' Replied the first Angel, 'My name is Gabriel and these my companions are called Israfil and Mika'il and Azra'il.	After they parted he espied four great Angels wayfaring over the face of the sea, and their going was like the blinding lightning; so he stationed himself in their road, and when they came up to him, he saluted them and said to them, 'I ask you by the Almighty, the Glorious, to tell me your names and whither are ye bound?' Replied the first Angel, 'My name is Gabriel and these my companions are called Israfil and Mika'il and Azra'il.	false	316.19	347.14	19.906904
6494_60800_000001_000012	There hath appeared in the East a mighty dragon, which hath laid waste a thousand cities and devoured their inhabitants; wherefore Allah Almighty hath commanded us to go to him and seize him and cast him into Jahannam.' Bulukiya marvelled at the vastness of their stature and fared on, as before, days and nights, till he came to an island where he landed and walked about for a while,"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	There hath appeared in the East a mighty dragon, which hath laid waste a thousand cities and devoured their inhabitants; wherefore Allah Almighty hath commanded us to go to him and seize him and cast him into Jahannam.' Bulukiya marvelled at the vastness of their stature and fared on, as before, days and nights, till he came to an island where he landed and walked about for a while,"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	347.75	380.68	19.986639
6494_60800_000002_000000	When it was the Four Hundred and Ninety-eighth Night,	When it was the Four Hundred and Ninety eighth Night,	true	382.28	385.065	20.915401
6494_60800_000003_000000	She said, It hath reached me, O auspicious King, that "Bulukiya landed on the island and walked about for a while, till he saw a comely young man with light shining from his visage, sitting weeping and lamenting between two built tombs.	She said, It hath reached me, O auspicious King, that "Bulukiya landed on the island and walked about for a while, till he saw a comely young man with light shining from his visage, sitting weeping and lamenting between two built tombs.	false	385.065	403.21	22.290651
